date,open,high,low,close,volume,adj Close
2014-02-21,91.00,92.25,90.70,92.15,8574000,91.72
2014-02-21,89.85,90.00,89.50,89.80,5249000,89.38
2014-02-20,88.50,89.50,88.35,89.50,5421500,89.08
2014-02-19,88.75,89.35,88.40,89.35,5879300,88.93
2014-02-18,89.60,89.75,88.80,89.00,6754200,88.58
2014-02-17,89.00,89.75,88.70,89.45,5037400,89.03
2014-02-14,88.95,89.45,88.40,88.65,6259200,88.24
2014-02-13,89.30,89.30,88.05,89.10,8157300,88.68
2014-02-12,90.05,90.75,89.50,89.50,7406400,89.08
2014-02-11,88.80,90.00,88.55,90.00,5940400,89.58
2014-02-10,87.50,88.35,87.35,88.25,6412900,87.84
2014-02-07,87.50,87.55,86.45,87.30,7458500,86.89
2014-02-06,86.90,87.30,86.20,87.25,12894700,86.84
2014-02-05,87.00,87.05,86.25,86.50,11417700,86.10
2014-02-04,86.65,87.25,86.30,86.75,6806900,86.35
2014-02-03,87.80,87.95,86.60,87.10,8557500,86.69
2014-01-31,88.15,88.40,86.75,87.70,10201300,87.29
2014-01-30,87.65,89.10,86.55,88.20,9215600,87.79
2014-01-29,89.65,90.85,86.50,87.85,21659100,87.44
2014-01-28,89.25,89.95,89.05,89.95,9751600,89.53
2014-01-27,89.95,89.95,88.50,89.25,11465100,88.83
2014-01-24,91.05,91.20,90.20,90.20,8633800,89.78
2014-01-23,90.85,91.95,90.65,91.10,8187600,90.67
2014-01-22,90.80,91.35,90.40,91.05,7488300,90.63
2014-01-21,90.95,91.15,90.05,90.35,8733500,89.93
2014-01-20,90.85,91.80,90.25,91.70,6084200,91.27
2014-01-17,90.40,91.05,90.20,91.00,6726100,90.58
2014-01-16,90.75,90.85,90.00,90.50,7868100,90.08
2014-01-15,88.25,90.95,88.15,90.70,13235000,90.28
2014-01-14,87.85,88.20,87.00,88.10,7439500,87.69
2014-01-13,89.00,89.00,88.15,88.20,5446500,87.79
2014-01-10,88.55,88.75,87.85,88.20,6260900,87.79
2014-01-09,88.00,89.20,87.95,88.20,7371500,87.79
2014-01-08,87.15,88.45,86.95,87.65,11364500,87.24
2014-01-07,86.20,87.00,85.90,86.75,11000200,86.35
2014-01-06,85.50,85.50,85.50,85.50,000,85.10
2014-01-03,86.00,86.45,85.45,85.50,4424600,85.10
2014-01-02,86.65,86.85,85.40,86.05,7543900,85.65
2014-01-01,86.65,86.65,86.65,86.65,000,86.25
2013-12-31,86.65,86.65,86.65,86.65,000,86.25
2013-12-30,86.20,86.65,85.55,86.65,7688100,86.25
2013-12-27,85.90,86.20,85.40,86.00,4215300,85.60
2013-12-26,85.25,85.25,85.25,85.25,000,84.85
2013-12-25,85.25,85.25,85.25,85.25,000,84.85
2013-12-24,85.25,85.25,85.25,85.25,000,84.85
2013-12-23,84.85,85.25,84.45,85.25,5701300,84.85
2013-12-20,83.50,84.70,83.30,84.35,11867300,83.96
2013-12-19,82.70,83.35,82.50,83.35,10230400,82.96
2013-12-18,80.90,81.90,80.85,81.80,6857000,81.42
2013-12-17,81.35,82.00,80.55,80.70,7018900,80.32
2013-12-16,80.70,81.60,80.25,81.40,5967900,81.02
2013-12-13,80.80,81.40,80.50,80.70,6167100,80.32
2013-12-12,81.70,81.85,80.60,80.70,7288100,80.32
2013-12-11,81.55,82.30,81.40,81.80,5380200,81.42
2013-12-10,82.90,83.25,81.80,81.80,7164000,81.42
2013-12-09,82.20,83.20,81.95,82.95,7528500,82.56
2013-12-06,81.50,82.00,80.70,81.85,6474400,81.47
2013-12-05,81.40,82.00,81.00,81.00,7991200,80.62
2013-12-04,82.25,82.55,80.85,81.60,7438000,81.22
2013-12-03,84.10,84.10,81.55,81.95,9075300,81.57
2013-12-02,84.75,84.75,83.85,83.95,5814100,83.56
2013-11-29,85.00,85.20,84.15,84.75,12745600,84.35
2013-11-28,83.95,84.60,83.90,84.60,6089300,84.21
2013-11-27,83.20,83.95,82.95,83.80,4950400,83.41
2013-11-26,83.10,83.70,82.95,83.15,19409500,82.76
2013-11-25,83.00,83.32,82.80,83.20,6036300,82.81
2013-11-22,81.95,82.80,81.75,82.75,7713100,82.36
2013-11-21,81.50,81.85,81.05,81.80,6815000,81.42
2013-11-20,81.20,81.90,80.70,81.65,10147400,81.27
2013-11-19,82.15,82.65,81.80,82.50,7478800,82.12
2013-11-18,80.90,82.60,80.90,82.30,9785900,81.92
2013-11-15,81.40,81.40,80.60,81.00,9013400,80.62
2013-11-14,81.35,81.40,80.30,81.20,8951000,80.82
2013-11-13,80.30,80.90,80.15,80.75,9804800,80.37
2013-11-12,81.40,81.50,80.55,80.65,7453000,80.27
2013-11-11,81.50,81.95,81.10,81.45,4739500,81.07
2013-11-08,80.80,82.03,80.55,81.35,10179800,80.97
2013-11-07,81.50,83.05,80.55,81.25,11271400,80.87
2013-11-06,81.70,82.35,81.10,81.70,5957000,81.32
2013-11-05,82.45,82.70,81.10,81.75,10139600,81.37
2013-11-04,84.05,84.05,83.00,83.10,5680600,82.71
2013-11-01,83.10,83.55,82.70,83.55,3311600,83.16
2013-10-31,83.90,84.20,82.90,83.00,9883800,82.61
2013-10-30,83.95,84.20,83.55,83.90,5705000,83.51
2013-10-29,83.85,84.40,83.60,83.80,6958300,83.41
2013-10-28,83.70,83.90,83.15,83.75,8008600,83.36
2013-10-25,82.05,83.00,81.70,83.00,11592000,82.61
2013-10-24,82.00,82.40,81.75,82.15,10739000,81.77
2013-10-23,81.70,81.80,80.60,81.80,12626500,81.42
2013-10-22,81.65,82.55,81.60,82.55,10870200,82.16
2013-10-21,81.65,81.85,80.85,80.85,7581500,80.47
2013-10-18,80.80,81.85,80.50,81.50,8520600,81.12
2013-10-17,80.05,80.65,79.35,80.65,9085300,80.27
2013-10-16,78.65,80.25,78.10,79.90,10842400,79.53
2013-10-15,78.00,78.90,77.90,78.70,6428200,78.33
2013-10-14,77.40,77.80,77.10,77.65,5135100,77.29
2013-10-11,77.90,78.05,77.50,77.95,7043300,77.59
2013-10-10,76.65,77.60,76.55,77.60,8293900,77.24
2013-10-09,76.20,77.10,75.95,76.10,6791300,75.74
2013-10-08,77.00,77.15,75.95,76.45,8245600,76.09
2013-10-07,76.45,76.65,75.75,76.50,5996300,76.14
2013-10-04,77.05,77.50,76.55,76.55,10128400,76.19
2013-10-03,77.90,78.30,76.90,77.20,12951100,76.84
2013-10-02,77.80,78.15,77.40,77.75,9030300,77.39
2013-10-01,77.50,77.80,76.90,77.65,9105800,77.29
2013-09-30,77.30,77.55,76.95,77.50,10192300,77.14
2013-09-27,78.40,78.90,78.00,78.15,11429400,77.79
2013-09-26,77.45,78.05,77.20,77.95,14118700,77.59
2013-09-25,77.00,78.00,76.75,77.15,66252600,76.79
2013-09-24,78.25,79.45,78.25,79.20,9065900,78.83
2013-09-23,79.30,79.35,77.90,78.15,5431200,77.79
2013-09-20,79.05,79.40,78.90,79.40,6898900,79.03
2013-09-19,79.50,79.80,78.70,78.95,8173200,78.58
2013-09-18,78.45,78.65,77.90,78.60,7245900,78.23
2013-09-17,78.95,79.00,77.95,78.35,6660200,77.98
2013-09-16,80.10,80.10,78.75,79.15,7830800,78.78
2013-09-13,79.30,79.55,78.70,79.55,6375500,79.18
2013-09-12,80.45,80.65,78.95,79.45,7970500,79.08
2013-09-11,80.95,81.10,80.05,80.40,6570100,80.02
2013-09-10,80.05,80.85,79.80,80.80,6774400,80.42
2013-09-09,79.30,79.60,78.75,79.40,5035400,79.03
2013-09-06,79.25,79.50,78.15,79.25,9467300,78.88
2013-09-05,78.90,80.15,78.75,79.35,9404000,78.98
2013-09-04,78.85,78.85,77.75,78.65,6891700,78.28
2013-09-03,78.70,78.95,77.75,78.55,6011300,78.18
2013-09-02,77.90,78.85,77.70,78.30,6321400,77.93
2013-08-30,78.65,78.65,77.15,77.15,17750100,76.79
2013-08-29,78.25,78.50,77.45,78.25,9283000,77.88
2013-08-28,78.00,78.50,76.80,77.65,14452900,77.29
2013-08-27,80.30,80.35,77.50,78.30,14150500,77.93
2013-08-26,82.30,82.30,79.85,80.65,8656000,80.27
2013-08-23,81.25,81.95,80.95,81.95,5201300,81.57
2013-08-22,80.40,81.70,80.40,81.25,6127700,80.87
2013-08-21,82.75,82.90,80.00,80.10,9207500,79.73
2013-08-20,82.80,82.90,81.70,82.50,5132200,82.12
2013-08-19,84.05,84.05,83.10,83.25,3814100,82.86
2013-08-16,83.00,84.20,82.90,84.05,4073500,83.66
2013-08-15,84.15,84.15,82.40,83.30,5834500,82.91
2013-08-14,84.45,84.60,83.95,84.40,3516800,84.01
2013-08-13,84.45,84.70,83.65,84.45,5409200,84.06
2013-08-12,84.90,84.90,83.90,84.10,2755700,83.71
2013-08-09,84.45,85.00,84.05,84.50,4056700,84.11
2013-08-08,83.70,84.65,83.50,84.00,4102000,83.61
2013-08-07,82.95,83.70,82.95,83.35,4727500,82.96
2013-08-06,84.65,84.70,83.10,83.25,5415800,82.86
2013-08-05,84.90,84.95,84.20,84.70,3748300,84.30
2013-08-02,84.70,85.00,84.05,84.85,4249700,84.45
2013-08-01,83.30,84.60,83.05,84.60,5975200,84.21
2013-07-31,83.50,83.60,82.55,82.55,5316100,82.16
2013-07-30,82.60,83.65,82.50,83.45,5130500,83.06
2013-07-29,83.00,83.40,82.00,82.25,3521900,81.87
2013-07-26,84.25,84.40,82.60,83.00,4458500,82.61
2013-07-25,83.05,84.15,82.65,84.15,5752900,83.76
2013-07-24,82.35,83.35,81.80,83.05,5573600,82.66
2013-07-23,81.75,82.50,81.65,81.80,5075700,81.42
2013-07-22,82.10,82.55,81.15,81.35,5589000,80.97
2013-07-19,81.40,81.90,80.70,81.90,7865700,81.52
2013-07-18,78.80,81.65,78.40,81.20,13271200,80.82
2013-07-17,77.75,78.95,76.55,78.00,11925700,77.64
2013-07-16,78.65,78.70,77.25,77.45,6084300,77.09
2013-07-15,78.60,79.30,78.20,78.30,6061200,77.93
2013-07-12,78.55,78.70,77.90,77.90,5278400,77.54
2013-07-11,78.00,78.40,77.50,78.40,7752100,78.03
2013-07-10,77.05,77.40,76.25,77.10,5836400,76.74
2013-07-09,77.45,78.05,76.75,77.50,6963500,77.14
2013-07-08,76.10,77.30,76.05,77.05,7606000,76.69
2013-07-05,77.00,77.10,75.40,75.50,8528100,75.15
2013-07-04,75.80,76.90,75.45,76.85,12308300,76.49
2013-07-03,75.00,75.60,73.90,75.55,5513800,75.20
2013-07-02,76.90,77.00,75.30,75.75,6092000,75.40
2013-07-01,75.50,76.70,75.10,76.70,7400500,76.34
2013-06-28,75.85,76.20,74.85,75.00,8744400,74.65
2013-06-27,75.10,75.70,74.45,75.65,9029600,75.30
2013-06-26,73.25,75.25,72.80,74.95,11970200,74.60
2013-06-25,72.25,73.75,71.75,73.15,16166700,72.81
2013-06-24,72.60,73.15,70.75,71.60,19083000,71.27
2013-06-21,73.30,73.30,73.30,73.30,000,72.96
2013-06-20,74.50,74.75,72.95,73.30,21432200,72.96
2013-06-19,75.50,76.35,75.05,75.05,124384600,74.70
2013-06-18,78.80,79.95,78.40,78.75,7009300,78.38
2013-06-17,78.65,79.65,78.40,79.20,4802200,78.83
2013-06-14,78.55,79.35,78.15,78.25,8333500,77.88
2013-06-13,76.95,78.10,76.80,77.85,8579300,77.49
2013-06-12,78.35,79.70,78.05,78.15,4636200,77.79
2013-06-11,78.75,79.00,77.95,78.75,8102000,78.38
2013-06-10,79.75,80.20,78.90,79.10,7044300,78.73
2013-06-07,79.10,80.85,78.40,80.40,7740000,80.02
2013-06-06,79.45,79.45,79.45,79.45,000,79.08
2013-06-05,80.45,80.95,79.25,79.45,5804800,79.08
2013-06-04,81.25,82.05,80.85,81.25,4209800,80.87
2013-06-03,81.80,82.50,81.00,81.00,6778400,80.62
2013-05-31,82.45,82.80,81.50,82.20,9906100,81.82
2013-05-30,81.10,82.85,81.10,82.25,6306100,81.87
2013-05-29,82.60,82.80,81.35,81.50,5759800,81.12
