Company Name,Exchange:Ticker,Industry Group,Bottom up Beta for sector,Bottom up levered beta,Market Cap (in US $),Total Debt,Cash,Cash/ Firm Value,Book Debt to capital ratio,Market Debt to capital ratio,Book Debt to Equity Ratio,Market Debt to Equity ratio,"Stock price (Dec 31, 2012)in US$",Beta,Correlation with market,Standard deviation in stock price,Interest coverage ratio,Current PE,PEG,PS,EV/EBIT,EV/EBITDA,EV/Invested Capital,EV/Sales,Dividend Yield,Historical growth in Net Income - Last 3 years,Historical growth in Net Income - Last 5 years,Historical growth in Revenues - Last 3 years,Historical growth in Revenues - Last 5 years,Expected growth rate in EPS- Next 5 years,Expected growth in revenues - Next 2 years,Return on Equity,Return on Capital (ROC or ROIC),Net Profit Margin,Pre-tax Operating Margin,Effective Tax Rate,Net Income,Trailing Net Income,Operating Income,Trailing Operating Income (adj for leases),Revenues,Trailing Revenues,EBITDA,Trailing EBITDA,EBIT (1-t),Net Debt issued (Debt issue - repaid),Change in non-cash Working capital,Net Cap Ex,Reinvestment Rate,FCFF,FCFE,FCFE without debt,Book Value of Equity - 4 qtrs ago,Invested Capital - 4 qtre ago,Current Book Value of Equity,Current Invested Capital,Dividends,Modified 2-year beta,Modified 5-year beta,Beta adjustment factor,Coeff of variation - Op Income,Coeff of variation - Net Income,Average 10-year EBIT,Average 10-yr Net Income
H & M Hennes & Mauritz AB (publ) (OM:HM B),OM:HM B,Retail (Special Lines),0.799,0.8558,"USD 76 355,20","USD 0,00","USD 1 651,50",1.98,54.36,8.44,119.1,9.22,"USD 46,13",1.23,55.77,35.37,4287.67,30.14,3.03,4.21,20.67,21.38,7.23,4.51,3.1,-4.54,2.53,5.27,7.93,9.94,9.07,43.92,36,13.51,21.06,22.88,"USD 2 533,40","USD 2 537,80","USD 3 232,90","USD 3 954,87","USD 18 143,70","USD 18 782,50","USD 3 823,90","USD 3 843,50","USD 3 049,92","USD 0,00","USD 235,40","USD 972,50",39.6,"USD 1 842,02","USD 1 329,90","USD 1 329,90","USD 5 777,80","USD 10 984,74","USD 5 911,00","USD 11 299,64","-USD 2 370,70",0.79,0.27,0.5,0.03,0.04,"USD 2 492,37","USD 1 853,99"
Electrolux AB (OM:ELUX B),OM:ELUX B,Furn/Home Furnishings,0.8669,1.0841,"USD 7 516,40","USD 2 163,10","USD 773,90",7.67,51.93,25.47,108.02,34.18,"USD 26,24",1.8,47.54,47.54,6.66,18.85,1.31,0.44,12.57,7.92,2.74,0.55,3.87,-18.8,1.64,0.76,1.07,14.4,1.85,11.21,20.67,1.95,4.35,26.69,"USD 398,70","USD 332,10","USD 702,60","USD 740,96","USD 16 892,80","USD 17 037,90","USD 1 176,40","USD 1 101,40","USD 543,18","-USD 30,40","USD 65,20","USD 741,00",148.42,"-USD 263,02","-USD 443,70","-USD 474,10","USD 2 962,30","USD 3 584,29","USD 2 378,60","USD 3 394,69","-USD 290,80",0.9,0.89,0.5,0.04,0.05,"USD 658,06","USD 409,53"
"Autoliv, Inc. (NYSE:ALV)",NYSE:ALV,Auto Parts,1.1136,1.1832,"USD 8 803,00","USD 640,10","USD 1 134,70",11.89,15.46,7.73,18.29,8.38,"USD 91,80",3.42,69.79,57.68,24.37,18.22,2.81,1.06,10.13,7.98,4.15,1.02,2.17,3.42,12.1,7.02,3.78,6.49,5.81,14.24,43.01,6.17,9.76,25.37,"USD 483,10","USD 524,80","USD 813,80","USD 829,78","USD 8 266,70","USD 8 503,40","USD 1 053,40","USD 1 093,60","USD 619,24","USD 14,90","USD 69,50","USD 355,40",68.62,"USD 194,34","USD 85,00","USD 99,90","USD 3 685,50","USD 1 929,28","USD 4 032,30","USD 2 026,78","-USD 191,20",1.61,1.91,0.5,0.04,0.05,"USD 569,19","USD 344,93"
Husqvarna AB (OM:HUSQ B),OM:HUSQ B,Furn/Home Furnishings,0.8669,1.1251,"USD 3 451,40","USD 1 063,90","USD 193,70",4.15,40.74,26.09,68.76,35.3,"USD 6,03",1.79,44.27,49.35,3.55,22.08,1.15,0.73,20.22,11.68,2.34,0.95,3.87,-20.2,-16.6,-2.23,-1.49,19.2,1.23,6.12,10.27,2.38,4.73,15.62,"USD 156,30","USD 111,50","USD 195,20","USD 221,42","USD 4 735,50","USD 4 682,10","USD 383,20","USD 321,80","USD 186,83","USD 75,00","-USD 122,70","USD 143,10",10.92,"USD 166,43","USD 16,10","USD 91,10","USD 1 821,00","USD 2 155,01","USD 1 771,90","USD 1 916,81","-USD 133,70",0.87,0.93,0.5,0.04,0.05,"USD 332,23","USD 202,92"
Bilia AB (OM:BILI A),OM:BILI A,Retail (Automotive),0.6413,0.7475,"USD 642,20","USD 137,20","USD 41,90",5.38,35.56,17.6,55.19,21.36,"USD 25,54",1.79,35.5,52.68,12.27,27.56,0.79,0.24,6.36,7.32,2.43,0.27,3.58,-9.43,30.9,3.81,2.28,34.8,1.37,14.44,47.6,1.35,4.3,22.55,"USD 23,30","USD 36,40","USD 53,50","USD 116,00","USD 2 712,50","USD 2 695,10","USD 100,80","USD 107,30","USD 89,84","-USD 13,24","USD 35,64","USD 46,99",91.98,"USD 7,21","-USD 32,99","-USD 46,23","USD 252,10","USD 243,71","USD 248,60","USD 303,40","-USD 23,00",0.75,1.2,0.5,0.06,0.08,"USD 37,58","USD 26,14"
Modern Times Group Mtg AB (OM:MTG B),OM:MTG B,Broadcasting,1.0846,1.1508,"USD 3 458,10","USD 174,50","USD 70,10",1.87,26.81,7.67,36.64,8.31,"USD 51,90",1.86,35.21,54.45,12.98,14.75,4.47,1.69,5.04,13.51,7.09,1.79,3,0,-15.6,4.98,1.66,3.3,7.1,27.37,136.53,8.76,34.29,26.53,"USD 234,40","USD 186,30","USD 203,80","USD 729,62","USD 2 048,10","USD 2 127,60","USD 272,10","USD 229,30","USD 536,02","USD 38,90","-USD 18,89","USD 87,36",12.77,"USD 467,55","USD 78,93","USD 117,83","USD 680,70","USD 534,40","USD 784,40","USD 518,60","-USD 103,70",0.77,1.26,0.5,0.04,0.1,"USD 198,30","USD 136,59"
JM AB (publ) (OM:JM),OM:JM,Homebuilding,1.0371,1.0853,"USD 2 256,30","USD 141,40","USD 249,10",10.39,18.06,5.9,22.04,6.27,"USD 28,27",2.04,47.43,48.96,24.69,15.29,1.08,1.18,9.81,9.7,4.02,1.12,3.71,21.9,-8.73,12.2,-1.78,14.2,2.26,21.73,41.71,7.84,11.56,25.75,"USD 147,60","USD 148,50","USD 219,00","USD 219,00","USD 1 916,70","USD 1 895,00","USD 221,60","USD 220,50","USD 162,61","-USD 2,10","USD 42,66","USD 0,00",26.23,"USD 119,95","USD 107,94","USD 105,84","USD 683,30","USD 525,00","USD 641,70","USD 534,00","-USD 83,60",0.93,1.21,0.5,0.05,0.06,"USD 181,62","USD 125,00"
Nobia AB (OM:NOBI),OM:NOBI,Furn/Home Furnishings,0.8669,0.9473,"USD 1 418,70","USD 131,50","USD 23,20",1.5,22.9,8.48,29.7,9.27,"USD 8,49",2.19,33.62,71.54,10.92,0,0,0.75,7.51,10.35,6.76,0.81,0.92,0,0,-5.7,-5.87,0,-0.19,-12.31,70.33,-3.54,10.92,0,"-USD 83,50","-USD 65,90","USD 103,70","USD 203,40","USD 1 895,60","USD 1 862,00","USD 147,60","USD 166,00","USD 203,40","USD 57,80","-USD 34,39","USD 55,50",10.38,"USD 182,29","-USD 144,81","-USD 87,01","USD 535,40","USD 289,20","USD 442,70","USD 225,80","-USD 13,10",0.96,1.37,0.5,0.05,0.1,"USD 111,85","USD 46,08"
Clas Ohlson AB (publ) (OM:CLAS B),OM:CLAS B,Retail (Building Supply),0.7368,0.7522,"USD 1 186,30","USD 30,90","USD 21,20",1.74,10.55,2.54,11.8,2.6,"USD 18,81",0.38,11.83,34.23,43.8,23.22,4.84,1.18,7.24,12.32,4.4,1.19,3.5,-4.03,-2.08,5.44,6.57,4.8,4.66,21.59,60.7,5.28,16.11,20.09,"USD 51,10","USD 54,10","USD 69,20","USD 165,10","USD 1 004,90","USD 1 024,60","USD 97,10","USD 100,90","USD 131,93","USD 7,40","-USD 3,20","USD 21,77",14.07,"USD 113,37","USD 28,13","USD 35,53","USD 250,60","USD 272,00","USD 261,90","USD 271,60","-USD 41,50",0.16,0.25,0.5,0.02,0.02,"USD 72,13","USD 52,43"
Mekonomen AB (OM:MEKO),OM:MEKO,Retail (Automotive),0.6413,0.901,"USD 1 107,20","USD 302,30","USD 25,20",1.53,61.01,32.78,156.47,48.77,"USD 30,84",0.77,35.64,33.6,8.88,19.22,2.79,1.34,18.48,16.3,1.89,1.96,3.48,7.23,13.4,21.3,17.7,6.9,6.35,18.78,10.06,6.68,9.49,16.97,"USD 57,60","USD 61,80","USD 80,20","USD 87,76","USD 829,20","USD 925,20","USD 99,50","USD 109,90","USD 72,87","-USD 224,20","-USD 19,97","-USD 12,25",-44.22,"USD 105,09","USD 318,22","USD 94,02","USD 329,00","USD 872,59","USD 345,10","USD 859,89","-USD 38,50",0.48,0.19,0.5,0.05,0.06,"USD 44,26","USD 33,20"
