Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,12.90,12.90,12.75,12.75,1000,12.75
2014-02-25,13.00,13.50,13.00,13.00,1900,13.00
2014-02-24,13.40,13.40,13.40,13.40,500,13.40
2014-02-21,13.10,13.40,13.10,13.40,3000,13.40
2014-02-20,13.70,13.70,13.70,13.70,000,13.70
2014-02-19,13.35,13.70,13.35,13.70,1800,13.70
2014-02-18,13.50,13.50,13.50,13.50,000,13.50
2014-02-17,13.75,13.75,13.25,13.50,7100,13.50
2014-02-14,13.40,13.40,13.40,13.40,000,13.40
2014-02-13,13.30,13.40,12.50,13.40,3600,13.40
2014-02-12,13.70,13.70,13.70,13.70,100,13.70
2014-02-11,13.50,13.50,13.50,13.50,1600,13.50
2014-02-10,13.30,13.60,12.80,13.60,8400,13.60
2014-02-07,12.90,13.15,12.75,13.15,18700,13.15
2014-02-06,13.00,13.30,12.45,12.80,27300,12.80
2014-02-05,12.95,13.20,12.95,13.20,3100,13.20
2014-02-04,13.25,13.25,13.25,13.25,1700,13.25
2014-02-03,13.75,13.75,13.75,13.75,000,13.75
2014-01-31,13.45,13.75,13.45,13.75,300,13.75
2014-01-30,13.45,13.45,13.45,13.45,2100,13.45
2014-01-29,13.45,13.45,13.45,13.45,100,13.45
2014-01-28,13.20,13.20,13.20,13.20,1100,13.20
2014-01-27,13.30,13.60,13.25,13.25,3200,13.25
2014-01-24,13.25,13.25,13.25,13.25,2800,13.25
2014-01-23,13.60,13.70,13.30,13.70,1500,13.70
2014-01-22,13.75,13.75,13.75,13.75,000,13.75
2014-01-21,13.75,13.75,13.75,13.75,5000,13.75
2014-01-20,13.60,13.95,13.60,13.90,4300,13.90
2014-01-17,13.75,13.95,13.75,13.90,1600,13.90
2014-01-16,13.60,13.60,13.60,13.60,1400,13.60
2014-01-15,13.70,13.70,13.70,13.70,000,13.70
2014-01-14,13.40,13.40,13.40,13.40,4200,13.40
2014-01-13,13.40,13.80,13.30,13.70,18900,13.70
2014-01-10,13.40,13.40,13.40,13.40,000,13.40
2014-01-09,13.00,13.40,13.00,13.40,4600,13.40
2014-01-08,13.00,13.45,12.90,13.25,24100,13.25
2014-01-07,12.90,12.90,12.90,12.90,1000,12.90
2014-01-06,13.00,13.00,13.00,13.00,000,13.00
2014-01-03,12.35,13.00,12.35,13.00,6300,13.00
2014-01-02,12.60,13.25,12.60,12.60,11500,12.60
2014-01-01,12.20,12.20,12.20,12.20,000,12.20
2013-12-31,12.20,12.20,12.20,12.20,000,12.20
2013-12-30,12.10,12.35,11.75,12.20,29300,12.20
2013-12-27,12.15,12.45,12.15,12.30,5100,12.30
2013-12-26,12.20,12.20,12.20,12.20,000,12.20
2013-12-25,12.20,12.20,12.20,12.20,000,12.20
2013-12-24,12.20,12.20,12.20,12.20,000,12.20
2013-12-23,12.40,12.50,12.10,12.20,17700,12.20
2013-12-20,12.05,12.40,11.80,12.40,29900,12.40
2013-12-19,12.45,12.50,11.60,12.10,24600,12.10
2013-12-18,11.75,12.10,11.75,12.10,8800,12.10
2013-12-17,12.00,12.00,11.90,11.90,2500,11.90
2013-12-16,12.25,12.25,12.00,12.00,10400,12.00
2013-12-13,12.10,12.10,11.60,11.60,21300,11.60
2013-12-12,12.50,12.50,12.10,12.10,7600,12.10
2013-12-11,12.50,12.50,12.50,12.50,000,12.50
2013-12-10,12.80,12.80,12.15,12.50,6300,12.50
2013-12-09,12.80,12.80,12.80,12.80,800,12.80
2013-12-06,12.75,12.75,12.75,12.75,000,12.75
2013-12-05,12.65,12.85,12.65,12.85,7000,12.85
2013-12-04,12.60,12.60,12.55,12.55,3800,12.55
2013-12-03,12.90,12.90,12.60,12.60,3100,12.60
2013-12-02,12.55,12.85,12.55,12.85,1200,12.85
2013-11-29,12.60,12.75,12.60,12.70,3800,12.70
2013-11-28,12.50,12.55,12.50,12.55,9500,12.55
2013-11-27,12.60,12.60,12.60,12.60,6600,12.60
2013-11-26,12.80,12.90,12.80,12.80,2500,12.80
2013-11-25,13.00,13.00,12.85,12.85,10300,12.85
2013-11-22,12.80,12.80,12.70,12.70,1300,12.70
2013-11-21,12.90,12.90,12.80,12.80,500,12.80
2013-11-20,12.90,12.90,12.80,12.85,5400,12.85
2013-11-19,13.15,13.15,12.80,12.80,4400,12.80
2013-11-18,13.30,13.50,13.05,13.45,17200,13.45
2013-11-15,13.15,13.25,12.90,13.25,14400,13.25
2013-11-14,12.80,13.50,12.80,13.20,11300,13.20
2013-11-13,12.90,13.00,12.90,12.90,12000,12.90
2013-11-12,13.45,13.50,12.70,12.70,14000,12.70
2013-11-11,13.00,13.95,12.95,13.40,20400,13.40
2013-11-08,13.20,13.20,13.00,13.00,5000,13.00
2013-11-07,13.10,13.50,13.10,13.20,5900,13.20
2013-11-06,12.90,13.50,12.90,13.40,20000,13.40
2013-11-05,13.05,13.05,12.70,12.70,5900,12.70
2013-11-04,13.45,13.45,13.10,13.10,9400,13.10
2013-11-01,13.50,13.50,13.40,13.45,6700,13.45
2013-10-31,13.50,13.50,13.40,13.40,21800,13.40
