Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,422.80,425.00,422.00,425.00,107800,418.93
2014-02-25,424.50,425.00,422.00,424.00,31800,417.94
2014-02-21,425.10,428.30,422.50,423.90,33500,417.85
2014-02-20,420.00,425.50,415.10,422.00,113300,415.97
2014-02-19,412.50,422.40,412.00,422.40,33300,416.37
2014-02-18,410.10,415.90,407.10,412.50,55800,406.61
2014-02-17,406.10,410.00,406.10,407.50,13300,401.68
2014-02-14,405.30,409.00,404.10,406.10,29500,400.30
2014-02-13,410.00,410.00,405.50,407.10,25200,401.29
2014-02-12,404.30,407.80,403.50,407.50,21800,401.68
2014-02-11,402.50,406.00,401.10,405.20,27300,399.41
2014-02-10,399.80,403.50,399.80,402.90,38500,397.15
2014-02-07,403.30,403.90,399.20,402.90,165800,397.15
2014-02-06,392.20,408.00,392.20,404.50,49300,398.72
2014-02-05,408.00,409.00,396.00,400.00,89100,394.29
2014-02-04,401.80,405.40,398.20,403.50,51100,397.74
2014-02-03,400.60,408.50,398.10,401.80,34500,396.06
2014-01-31,388.40,401.90,388.40,400.60,54400,394.88
2014-01-30,392.50,393.00,388.60,390.40,134000,384.82
2014-01-29,400.50,403.00,389.00,394.30,130100,388.67
2014-01-28,398.20,405.00,398.20,399.20,18400,393.50
2014-01-27,399.90,402.00,390.00,400.30,37400,394.58
2014-01-24,418.00,418.00,399.00,401.00,38700,395.27
2014-01-23,412.00,416.50,412.00,413.00,67200,407.10
2014-01-22,408.50,413.50,408.50,412.40,12000,406.51
2014-01-21,405.00,408.00,404.50,408.00,196600,402.17
2014-01-20,408.00,408.10,403.00,404.50,31600,398.72
2014-01-17,411.00,411.10,403.50,408.00,54000,402.17
2014-01-16,414.60,415.10,410.10,412.00,21100,406.12
2014-01-15,415.40,415.40,410.00,415.00,31100,409.07
2014-01-14,419.00,420.00,412.60,413.10,121400,407.20
2014-01-13,418.00,420.90,414.10,417.80,23500,411.83
2014-01-10,411.00,420.80,411.00,418.40,43800,412.42
2014-01-09,408.60,412.30,405.60,410.30,29200,404.44
2014-01-08,406.00,409.00,405.80,407.00,14200,401.19
2014-01-07,408.50,413.20,405.00,406.00,43600,400.20
2014-01-06,413.50,413.50,413.50,413.50,000,407.59
2014-01-03,408.10,413.50,408.10,413.50,13500,407.59
2014-01-02,413.00,413.50,402.00,408.00,33700,402.17
2014-01-01,412.00,412.00,412.00,412.00,000,406.12
2013-12-31,412.00,412.00,412.00,412.00,000,406.12
2013-12-30,411.00,414.00,408.50,412.00,30800,406.12
2013-12-27,408.00,414.50,408.00,413.00,31500,407.10
2013-12-26,408.00,408.00,408.00,408.00,000,402.17
2013-12-25,408.00,408.00,408.00,408.00,000,402.17
2013-12-24,408.00,408.00,408.00,408.00,000,402.17
2013-12-23,398.00,408.00,398.00,408.00,37100,402.17
2013-12-20,401.00,401.00,395.50,398.00,41500,392.32
2013-12-19,397.00,400.50,397.00,400.00,35000,394.29
2013-12-18,398.50,402.00,396.50,397.00,30500,391.33
2013-12-17,397.00,400.00,396.00,398.00,30300,392.32
2013-12-16,395.00,399.00,395.00,398.00,122600,392.32
2013-12-13,399.00,399.00,395.00,395.00,115700,389.36
2013-12-12,395.00,399.00,395.00,399.00,34300,393.30
2013-12-11,400.50,401.00,396.00,399.00,24100,393.30
2013-12-10,405.00,406.50,400.00,401.50,30300,395.77
2013-12-09,409.50,413.50,402.00,403.00,29400,397.24
2013-12-06,408.50,414.00,404.50,408.00,48000,402.17
2013-12-05,405.50,432.00,405.00,408.50,37100,402.67
2013-12-04,402.50,408.00,401.50,405.50,76400,399.71
2013-12-03,405.50,409.00,403.00,405.50,158200,399.71
2013-12-02,404.00,406.50,401.00,404.50,25900,398.72
2013-11-29,398.50,405.50,398.00,403.00,31600,397.24
2013-11-28,398.00,403.00,396.00,399.00,18600,393.30
2013-11-27,398.50,401.00,397.50,399.00,15000,393.30
2013-11-26,385.50,399.50,385.50,398.50,220900,392.81
2013-11-25,394.50,395.00,389.50,392.00,22600,386.40
2013-11-22,391.50,394.00,388.00,392.00,41100,386.40
2013-11-21,391.00,392.50,386.50,391.00,41600,385.42
2013-11-20,394.50,394.50,390.50,390.50,16100,384.92
2013-11-19,391.00,395.00,390.00,393.00,24600,387.39
2013-11-18,390.50,392.50,390.00,391.00,18600,385.42
2013-11-15,390.00,392.00,388.50,389.50,20700,383.94
2013-11-14,387.00,391.50,387.00,390.00,60900,384.43
2013-11-13,390.00,390.00,385.50,387.50,52300,381.97
2013-11-12,386.50,390.00,386.00,390.00,124500,384.43
2013-11-11,383.50,390.50,383.50,386.00,70100,380.49
2013-11-08,380.50,383.50,379.00,383.50,24100,378.02
2013-11-07,373.00,382.00,372.00,382.00,40900,376.54
2013-11-06,371.00,372.50,369.00,370.50,16300,365.21
2013-11-05,374.50,374.50,369.50,370.50,35800,365.21
2013-11-04,376.50,377.50,373.00,374.50,24600,369.15
2013-11-01,382.50,382.50,373.00,375.50,14200,370.14
2013-10-31,383.50,386.00,379.00,383.50,42200,378.02
2013-10-30,381.50,386.00,377.00,385.00,70600,379.50
2013-10-29,386.00,386.00,383.50,384.00,50400,378.52
2013-10-28,384.00,386.50,379.00,386.50,102900,380.98
2013-10-25,385.00,385.00,380.50,382.00,27100,376.54
2013-10-24,385.00,385.50,381.50,383.00,15000,377.53
2013-10-23,382.00,386.00,380.50,384.50,25000,379.01
2013-10-22,384.00,386.50,381.50,382.50,20200,377.04
2013-10-21,383.00,388.00,382.00,384.50,36300,379.01
2013-10-18,379.00,384.00,378.50,383.00,13300,377.53
2013-10-17,375.50,379.00,373.00,377.00,20500,371.62
2013-10-16,379.00,379.00,372.00,375.00,19700,369.64
2013-10-15,375.50,381.50,375.50,380.00,52900,374.57
2013-10-14,378.00,379.00,373.00,375.00,16800,369.64
2013-10-11,381.50,381.50,375.00,378.00,52800,372.60
2013-10-10,378.00,381.50,373.00,378.00,43000,372.60
2013-10-09,379.50,379.50,370.00,376.00,44500,370.63
2013-10-08,383.00,387.00,381.50,381.50,44800,376.05
2013-10-07,384.50,384.50,372.00,382.50,66200,377.04
2013-10-04,401.50,401.50,383.50,385.00,68700,379.50
2013-10-03,405.00,406.00,400.00,402.00,16000,396.26
2013-10-02,410.00,410.00,400.00,404.00,51700,398.23
2013-10-01,398.00,410.50,393.00,410.50,45400,404.64
2013-09-30,396.50,401.50,396.50,401.50,85200,395.77
2013-09-27,399.50,403.50,399.00,401.00,7700,395.27
2013-09-26,402.00,406.00,399.00,399.50,39000,393.79
2013-09-25,405.50,405.50,395.50,401.50,23600,395.77
2013-09-24,404.50,408.50,403.00,407.00,26800,401.19
2013-09-23,403.00,409.50,401.50,404.00,25300,398.23
2013-09-20,398.00,405.00,397.00,403.00,22500,397.24
2013-09-19,394.00,401.50,393.50,400.00,37700,394.29
2013-09-18,396.50,396.50,387.00,392.50,22300,386.89
2013-09-17,398.50,398.50,390.50,394.00,15500,388.37
2013-09-16,393.50,399.00,393.50,396.50,31300,390.84
2013-09-13,394.00,395.00,390.50,392.00,14100,386.40
2013-09-12,391.00,395.50,391.00,394.00,21300,388.37
2013-09-11,397.50,398.00,387.50,390.00,30300,384.43
2013-09-10,396.00,401.50,391.00,393.00,50700,387.39
2013-09-09,400.50,408.50,391.50,391.50,51100,385.91
2013-09-06,391.00,393.00,386.00,390.00,30000,384.43
2013-09-05,385.00,390.50,383.50,390.50,30200,384.92
2013-09-04,377.00,385.50,377.00,383.50,62900,378.02
2013-09-03,370.00,380.00,366.50,376.50,73300,371.12
2013-09-02,368.50,371.50,365.50,369.00,40300,363.73
2013-08-30,369.00,369.00,363.50,364.50,42400,359.29
2013-08-29,363.50,369.00,361.00,368.50,44300,363.24
2013-08-28,369.50,371.00,360.50,363.00,32800,357.82
2013-08-27,373.50,373.50,369.00,371.00,14200,365.70
2013-08-26,380.00,380.00,373.00,373.50,15300,368.17
2013-08-23,380.00,380.00,375.50,376.00,11800,370.63
2013-08-22,369.00,380.00,368.50,378.00,68300,372.60
2013-08-21,371.50,372.00,368.00,369.00,26600,363.73
2013-08-20,370.00,375.50,370.00,373.00,47700,367.67
2013-08-19,376.50,377.00,370.50,373.50,26700,368.17
2013-08-16,375.00,375.50,373.50,375.00,25300,369.64
2013-08-15,384.00,384.00,372.50,377.00,15000,371.62
