Date,Open,High,Low,Close,Volume,Adj Close
2013-09-16,1.25,1.46,1.25,1.45,32900,1.45
2013-09-13,1.20,1.20,1.20,1.20,1900,1.20
2013-09-12,1.39,1.50,1.39,1.50,3100,1.50
2013-09-11,1.60,1.60,1.26,1.39,10600,1.39
2013-09-10,1.41,1.41,1.41,1.41,6000,1.41
2013-09-09,1.59,1.70,1.59,1.70,2000,1.70
2013-09-06,1.70,1.70,1.20,1.53,152000,1.53
2013-09-05,1.24,1.80,1.24,1.80,138400,1.80
2013-09-04,1.21,1.21,1.21,1.21,000,1.21
2013-09-03,1.42,1.42,1.42,1.42,100,1.42
2013-09-02,1.32,1.42,1.32,1.42,1000,1.42
2013-08-30,1.28,1.32,1.28,1.32,10200,1.32
2013-08-29,1.32,1.32,1.32,1.32,10000,1.32
2013-08-28,1.35,1.35,1.35,1.35,000,1.35
2013-08-27,1.35,1.35,1.35,1.35,000,1.35
2013-08-26,1.15,1.35,1.05,1.35,14500,1.35
2013-08-23,1.59,1.59,1.59,1.59,000,1.59
2013-08-22,1.59,1.59,1.59,1.59,000,1.59
2013-08-21,1.59,1.59,1.59,1.59,000,1.59
2013-08-20,1.59,1.59,1.59,1.59,200,1.59
2013-08-19,1.58,1.58,1.58,1.58,000,1.58
2013-08-16,1.58,1.58,1.58,1.58,2500,1.58
2013-08-15,1.58,1.58,1.58,1.58,000,1.58
2013-08-14,1.44,1.58,1.43,1.58,10000,1.58
2013-08-13,1.42,1.42,1.42,1.42,000,1.42
2013-08-12,1.02,1.42,1.02,1.42,2100,1.42
2013-08-09,1.40,1.45,1.40,1.40,13100,1.40
2013-08-08,1.39,1.39,1.39,1.39,500,1.39
2013-08-07,0.96,0.96,0.96,0.96,1000,0.96
