Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,38.90,40.50,38.90,40.00,288600,40.00
2014-02-25,38.70,38.90,38.20,38.90,162500,38.90
2014-02-21,37.10,37.40,36.50,37.40,190300,37.40
2014-02-20,36.20,36.90,35.70,36.90,218600,36.90
2014-02-19,36.40,37.00,34.40,36.40,529000,36.40
2014-02-18,36.80,36.80,35.00,36.50,203700,36.50
2014-02-17,37.00,37.90,36.20,36.20,217900,36.20
2014-02-14,34.80,36.70,34.40,36.30,294000,36.30
2014-02-13,35.20,36.40,34.30,34.80,250500,34.80
2014-02-12,37.70,37.70,35.10,35.20,275300,35.20
2014-02-11,35.50,38.20,34.80,37.30,354400,37.30
2014-02-10,34.70,35.30,34.50,34.90,255200,34.90
2014-02-07,36.90,37.00,34.10,34.50,407000,34.50
2014-02-06,34.40,36.90,34.00,36.40,426100,36.40
2014-02-05,34.20,34.70,33.10,34.30,607500,34.30
2014-02-04,31.70,34.20,31.50,34.00,356000,34.00
2014-02-03,34.60,35.50,32.30,32.30,592600,32.30
2014-01-31,33.40,34.80,32.70,34.50,923700,34.50
2014-01-30,34.60,34.60,31.00,32.90,1270700,32.90
2014-01-29,36.50,37.20,34.50,34.60,663900,34.60
2014-01-28,39.10,39.20,35.60,36.30,975200,36.30
2014-01-27,41.20,42.40,37.80,38.60,1335300,38.60
2014-01-24,77.00,77.75,39.30,41.10,5605000,41.10
2014-01-23,73.00,77.50,72.75,76.00,455200,76.00
2014-01-22,73.50,74.25,72.75,73.00,273100,73.00
2014-01-21,71.75,73.50,70.75,73.00,200200,73.00
2014-01-20,74.00,74.00,71.00,71.00,78700,71.00
2014-01-17,72.25,74.25,72.25,73.25,141900,73.25
2014-01-16,73.25,74.00,72.00,73.25,124700,73.25
2014-01-15,71.50,73.50,71.25,72.50,247300,72.50
2014-01-14,69.50,71.25,68.25,71.25,119500,71.25
2014-01-13,70.25,71.00,69.75,69.75,101400,69.75
2014-01-10,70.25,70.25,69.50,70.00,71300,70.00
2014-01-09,71.50,71.50,70.00,70.25,140000,70.25
2014-01-08,71.50,72.25,70.50,71.25,108900,71.25
2014-01-07,72.50,72.50,71.00,71.75,129600,71.75
2014-01-06,72.50,72.50,72.50,72.50,000,72.50
2014-01-03,71.75,74.00,71.75,72.50,70200,72.50
2014-01-02,70.00,72.25,70.00,71.75,86800,71.75
2014-01-01,69.50,69.50,69.50,69.50,000,69.50
2013-12-31,69.50,69.50,69.50,69.50,000,69.50
2013-12-30,67.00,69.75,66.50,69.50,87200,69.50
2013-12-27,68.75,68.75,66.00,67.50,117000,67.50
2013-12-26,68.50,68.50,68.50,68.50,000,68.50
2013-12-25,68.50,68.50,68.50,68.50,000,68.50
2013-12-24,68.50,68.50,68.50,68.50,000,68.50
2013-12-23,69.25,70.00,68.25,68.50,70300,68.50
2013-12-20,74.75,76.00,61.00,69.25,634100,69.25
2013-12-19,73.00,75.00,72.75,73.00,176500,73.00
2013-12-18,70.75,72.50,70.75,71.75,79200,71.75
2013-12-17,71.25,72.25,69.50,70.00,107900,70.00
2013-12-16,72.50,73.50,71.25,71.25,101100,71.25
2013-12-13,72.00,72.50,71.00,72.25,101600,72.25
2013-12-12,74.50,74.50,70.50,71.75,130600,71.75
2013-12-11,75.50,75.50,73.00,74.50,85800,74.50
2013-12-10,76.50,78.00,75.00,75.75,164600,75.75
2013-12-09,77.00,78.00,75.75,76.25,118700,76.25
2013-12-06,78.00,79.50,76.00,77.25,186900,77.25
2013-12-05,76.50,79.50,76.25,77.75,200800,77.75
2013-12-04,78.25,81.25,72.25,74.75,474800,74.75
2013-12-03,79.50,81.50,76.00,78.75,245900,78.75
2013-12-02,74.00,80.50,73.75,79.50,391500,79.50
2013-11-29,72.75,74.50,72.25,74.00,171600,74.00
2013-11-28,70.75,73.50,70.25,72.25,219400,72.25
2013-11-27,69.50,71.00,69.25,70.00,137900,70.00
2013-11-26,68.00,69.75,67.00,69.25,126600,69.25
2013-11-25,68.25,69.00,67.00,67.00,52800,67.00
2013-11-22,68.75,70.00,64.50,67.75,193200,67.75
2013-11-21,68.00,70.00,67.00,68.00,158800,68.00
2013-11-20,69.00,70.50,67.00,68.00,69600,68.00
2013-11-19,69.00,70.00,68.25,69.00,37100,69.00
2013-11-18,70.00,71.25,68.00,69.00,146400,69.00
2013-11-15,70.25,71.00,69.50,70.00,51500,70.00
2013-11-14,69.50,72.00,69.25,70.25,103900,70.25
