Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,0.90,0.93,0.90,0.93,2000,0.93
2014-02-25,0.92,0.92,0.92,0.92,000,0.92
2014-02-24,0.90,0.92,0.90,0.92,15700,0.92
2014-02-21,0.92,0.93,0.92,0.93,26200,0.93
2014-02-20,0.98,0.98,0.90,0.94,18600,0.94
2014-02-19,1.08,1.08,1.08,1.08,000,1.08
2014-02-18,1.09,1.09,1.08,1.08,4200,1.08
2014-02-17,0.99,1.14,0.99,1.14,2000,1.14
2014-02-14,0.89,0.98,0.88,0.89,69700,0.89
2014-02-13,0.98,0.99,0.98,0.99,56500,0.99
2014-02-12,0.98,0.99,0.98,0.99,6700,0.99
2014-02-11,0.95,0.99,0.90,0.90,20500,0.90
2014-02-10,0.94,0.95,0.94,0.95,33300,0.95
2014-02-07,0.95,0.95,0.95,0.95,000,0.95
2014-02-06,0.95,0.95,0.95,0.95,000,0.95
2014-02-05,0.95,0.95,0.95,0.95,000,0.95
2014-02-04,0.93,0.95,0.90,0.95,6100,0.95
2014-02-03,0.96,0.96,0.96,0.96,5200,0.96
2014-01-31,0.90,0.90,0.90,0.90,000,0.90
2014-01-30,0.90,0.90,0.90,0.90,4000,0.90
2014-01-29,0.89,0.89,0.89,0.89,000,0.89
2014-01-28,0.96,0.96,0.89,0.89,18000,0.89
2014-01-27,0.89,0.93,0.88,0.93,44900,0.93
2014-01-24,0.97,0.97,0.97,0.97,2900,0.97
2014-01-23,0.98,0.98,0.98,0.98,000,0.98
2014-01-22,0.98,0.98,0.98,0.98,5000,0.98
2014-01-21,0.97,0.97,0.97,0.97,000,0.97
2014-01-20,0.98,0.98,0.97,0.97,1800,0.97
2014-01-17,0.91,0.91,0.91,0.91,000,0.91
2014-01-16,0.98,0.98,0.91,0.91,11200,0.91
2014-01-15,0.97,0.97,0.81,0.81,3700,0.81
2014-01-14,0.98,0.98,0.98,0.98,000,0.98
2014-01-13,0.98,0.98,0.98,0.98,000,0.98
2014-01-10,0.98,0.98,0.98,0.98,000,0.98
2014-01-09,0.98,0.98,0.98,0.98,15000,0.98
2014-01-08,0.97,0.97,0.97,0.97,000,0.97
2014-01-07,0.97,0.97,0.97,0.97,000,0.97
2014-01-06,0.97,0.97,0.97,0.97,000,0.97
2014-01-03,0.97,0.97,0.97,0.97,15400,0.97
2014-01-02,0.96,0.96,0.96,0.96,3000,0.96
2014-01-01,0.96,0.96,0.96,0.96,000,0.96
2013-12-31,0.96,0.96,0.96,0.96,000,0.96
2013-12-30,0.95,0.98,0.95,0.96,43000,0.96
2013-12-27,0.95,0.96,0.95,0.96,6000,0.96
2013-12-26,0.99,0.99,0.99,0.99,000,0.99
2013-12-25,0.99,0.99,0.99,0.99,000,0.99
2013-12-24,0.99,0.99,0.99,0.99,000,0.99
2013-12-23,0.97,0.99,0.96,0.99,23600,0.99
2013-12-20,0.94,0.98,0.94,0.98,20400,0.98
2013-12-19,0.92,0.94,0.92,0.94,10100,0.94
2013-12-18,0.93,0.93,0.93,0.93,000,0.93
2013-12-17,0.94,0.94,0.92,0.93,28000,0.93
2013-12-16,0.91,0.95,0.91,0.95,11500,0.95
2013-12-13,0.96,0.96,0.96,0.96,400,0.96
2013-12-12,0.97,0.97,0.97,0.97,000,0.97
2013-12-11,0.97,0.97,0.97,0.97,500,0.97
2013-12-10,0.96,0.96,0.96,0.96,000,0.96
2013-12-09,0.95,0.96,0.95,0.96,44900,0.96
2013-12-06,0.97,0.97,0.89,0.95,61100,0.95
2013-12-05,0.99,0.99,0.99,0.99,12000,0.99
2013-12-04,0.99,0.99,0.99,0.99,000,0.99
2013-12-03,1.01,1.01,0.99,0.99,46500,0.99
2013-12-02,1.15,1.15,1.10,1.10,15100,1.10
2013-11-29,0.98,1.12,0.96,1.12,192300,1.12
2013-11-28,1.06,1.06,1.06,1.06,000,1.06
2013-11-27,1.02,1.08,1.02,1.08,9000,1.08
2013-11-26,1.00,1.00,0.98,0.98,10000,0.98
2013-11-25,1.02,1.02,1.01,1.01,14000,1.01
2013-11-22,1.11,1.11,1.11,1.11,1400,1.11
2013-11-21,1.03,1.18,1.03,1.18,6100,1.18
2013-11-20,1.08,1.08,1.02,1.02,50000,1.02
2013-11-19,1.08,1.08,1.08,1.08,000,1.08
2013-11-18,1.08,1.08,1.08,1.08,000,1.08
2013-11-15,1.08,1.08,1.08,1.08,3600,1.08
2013-11-14,1.07,1.07,1.07,1.07,000,1.07
2013-11-13,1.07,1.07,1.07,1.07,8500,1.07
