Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,624.50,625.00,619.00,622.50,196300,621.96
2014-02-25,624.00,627.00,620.00,625.00,184000,624.46
2014-02-21,626.50,629.00,623.50,626.50,172300,625.96
2014-02-20,618.50,627.50,614.00,626.00,218200,625.46
2014-02-19,616.50,622.00,610.50,622.00,245000,621.46
2014-02-18,621.00,623.00,615.50,617.50,209600,616.97
2014-02-17,620.00,625.00,618.50,623.00,197400,621.94
2014-02-14,620.00,621.50,614.00,618.00,217200,616.95
2014-02-13,613.50,620.50,605.50,620.00,329600,618.95
2014-02-12,610.00,616.00,606.50,614.50,286900,613.46
2014-02-11,608.00,611.50,603.00,608.00,211700,606.97
2014-02-10,610.50,611.50,602.00,605.00,244400,603.97
2014-02-07,605.00,611.50,600.50,607.00,357400,605.97
2014-02-06,595.00,601.50,591.00,600.00,448100,598.98
2014-02-05,594.00,598.00,586.00,591.50,410600,590.50
2014-02-04,591.50,595.00,586.00,588.50,331900,587.50
2014-02-03,595.50,611.00,591.00,594.00,1147700,592.99
2014-01-31,569.50,593.00,542.00,593.00,890000,591.99
2014-01-30,566.00,573.00,562.50,571.50,364700,570.53
2014-01-29,570.50,573.00,559.50,569.50,298100,568.53
2014-01-28,558.00,566.50,557.00,564.50,323000,563.54
2014-01-27,556.00,560.50,553.00,554.50,334900,553.56
2014-01-24,572.50,574.00,560.00,561.00,343800,560.05
2014-01-23,578.00,583.50,572.00,574.00,338200,573.03
2014-01-22,573.50,579.50,570.00,574.50,553500,573.53
2014-01-21,584.00,587.00,577.50,579.50,369600,578.52
2014-01-20,588.50,589.00,581.50,583.50,200000,582.51
2014-01-17,590.00,590.50,587.00,588.00,305100,587.00
2014-01-16,593.00,593.00,586.00,589.00,373200,588.00
2014-01-15,585.00,597.50,585.00,595.00,250300,593.99
2014-01-14,590.00,592.00,583.00,586.50,248300,585.51
2014-01-13,592.50,595.00,590.00,593.50,154300,592.49
2014-01-10,590.00,594.00,587.50,592.00,100600,591.00
2014-01-09,594.50,596.50,587.00,589.00,206800,588.00
2014-01-08,592.00,598.00,589.00,593.50,196900,592.49
2014-01-07,585.00,591.00,580.50,590.00,282800,589.00
2014-01-06,583.00,583.00,583.00,583.00,000,582.01
2014-01-03,584.50,591.00,582.00,583.00,122000,582.01
2014-01-02,590.50,592.00,583.00,583.00,144500,582.01
2014-01-01,592.00,592.00,592.00,592.00,000,591.00
2013-12-31,592.00,592.00,592.00,592.00,000,591.00
2013-12-30,595.50,597.50,590.00,592.00,98100,591.00
2013-12-27,598.00,601.50,594.50,596.50,83500,595.49
2013-12-26,596.50,596.50,596.50,596.50,000,595.49
2013-12-25,596.50,596.50,596.50,596.50,000,595.49
2013-12-24,596.50,596.50,596.50,596.50,000,595.49
2013-12-23,592.00,599.00,592.00,596.50,254400,595.49
2013-12-20,592.00,593.00,586.50,591.00,228000,590.00
2013-12-19,593.50,594.00,587.50,590.00,184400,589.00
2013-12-18,590.00,592.50,582.00,586.00,477400,585.01
2013-12-17,590.50,595.50,587.00,588.00,231600,587.00
2013-12-16,586.50,592.00,581.50,590.50,193800,589.50
2013-12-13,589.50,589.50,584.00,588.00,100100,587.00
2013-12-12,590.00,590.50,582.50,588.00,189100,587.00
2013-12-11,597.00,598.50,591.00,591.50,84900,590.50
2013-12-10,597.50,601.50,593.50,598.50,155700,597.49
2013-12-09,595.50,601.00,595.50,599.50,103900,598.48
2013-12-06,591.00,602.00,588.50,595.50,125900,594.49
2013-12-05,588.50,596.50,588.50,590.50,133600,589.50
2013-12-04,592.50,594.00,587.00,590.50,204300,589.50
2013-12-03,604.00,604.00,594.00,596.50,191700,595.49
2013-12-02,607.00,610.00,604.00,607.50,251200,606.47
2013-11-29,613.00,614.50,608.00,608.00,237900,606.97
2013-11-28,615.00,617.00,612.00,612.50,92900,611.46
2013-11-27,610.50,615.00,609.50,615.00,147800,613.96
2013-11-26,607.00,613.00,605.00,611.50,168000,610.46
2013-11-25,607.50,609.00,605.00,607.00,96200,605.97
2013-11-22,603.00,604.50,598.00,604.50,197700,603.48
2013-11-21,597.50,603.00,592.00,603.00,176200,601.98
2013-11-20,593.00,596.00,591.00,594.50,138800,593.49
2013-11-19,601.00,601.00,596.00,596.50,213800,595.49
2013-11-18,599.50,602.00,598.50,600.50,368400,599.48
2013-11-15,601.00,602.50,598.00,602.00,191900,600.48
2013-11-14,598.00,600.50,596.50,598.50,224300,596.99
2013-11-13,590.00,595.00,587.00,594.50,358000,593.00
2013-11-12,592.00,595.00,589.50,593.50,182600,592.00
2013-11-11,595.00,597.00,592.00,593.00,130200,591.50
2013-11-08,583.50,594.50,582.00,594.50,168000,593.00
2013-11-07,591.50,596.50,583.50,585.50,246300,584.02
2013-11-06,590.00,594.50,589.00,592.00,224700,590.51
2013-11-05,587.50,592.00,582.50,590.00,289900,588.51
2013-11-04,580.50,584.50,577.50,584.00,196800,582.53
2013-11-01,579.50,580.50,575.50,578.00,210700,576.54
2013-10-31,570.00,581.50,569.00,581.50,280600,580.03
2013-10-30,575.00,578.00,569.00,570.00,162100,568.56
2013-10-29,578.00,580.00,571.00,575.00,228900,573.55
2013-10-28,582.00,584.50,576.50,577.00,217900,575.54
2013-10-25,586.50,587.00,578.00,580.50,393200,579.03
2013-10-24,600.00,608.50,557.50,581.00,1766800,579.53
2013-10-23,596.00,598.50,593.00,596.00,171300,594.50
2013-10-22,594.00,602.00,592.00,596.00,374700,594.50
2013-10-21,602.50,603.00,592.50,596.00,227600,594.50
2013-10-18,593.50,599.50,592.00,599.50,200300,597.99
2013-10-17,594.00,595.00,586.50,593.00,140500,591.50
2013-10-16,592.00,595.50,588.00,595.00,310600,593.50
2013-10-15,586.00,594.50,586.00,593.50,225400,592.00
2013-10-14,580.00,585.00,578.00,582.50,108100,581.03
2013-10-11,580.00,585.00,578.00,581.00,164300,579.53
2013-10-10,566.00,582.00,566.00,579.00,276800,577.54
2013-10-09,560.00,566.00,557.50,560.00,139400,558.59
2013-10-08,569.00,571.00,564.00,566.00,106500,564.57
2013-10-07,574.00,574.50,568.00,572.00,152800,570.56
2013-10-04,567.00,577.00,564.00,575.00,160000,573.55
2013-10-03,564.00,573.00,563.00,566.00,334500,564.57
2013-10-02,563.50,564.00,555.00,561.00,87600,559.58
2013-10-01,563.00,568.00,558.00,562.50,210000,561.08
2013-09-30,564.00,564.00,556.00,563.00,112100,561.58
2013-09-27,566.50,570.50,562.50,566.00,181300,564.57
2013-09-26,572.00,573.00,566.00,568.00,185900,566.57
2013-09-25,569.00,572.50,566.00,571.50,181800,570.06
2013-09-24,560.50,572.00,560.50,570.00,374400,568.56
2013-09-23,561.00,567.00,556.50,559.50,225000,558.09
2013-09-20,565.50,567.00,561.50,562.50,149800,561.08
2013-09-19,565.50,567.50,560.50,565.00,216400,563.57
2013-09-18,565.00,565.50,561.00,563.00,269300,561.58
2013-09-17,561.50,564.50,559.00,561.50,219900,560.08
2013-09-16,561.00,567.00,559.50,562.50,236200,561.08
2013-09-13,556.50,562.00,553.50,559.00,105200,557.59
2013-09-12,565.00,565.00,556.00,559.00,174900,557.59
2013-09-11,565.00,570.00,562.50,564.50,124600,563.08
2013-09-10,561.50,567.50,561.50,566.00,181000,564.57
2013-09-09,560.50,562.50,558.00,560.00,247500,558.59
2013-09-06,557.50,563.00,552.00,563.00,241800,561.58
2013-09-05,548.00,558.00,546.50,557.00,422500,555.59
2013-09-04,546.50,546.50,538.00,542.50,177700,541.13
2013-09-03,545.00,546.00,537.50,543.50,117000,542.13
2013-09-02,537.50,545.00,536.00,545.00,225600,543.62
2013-08-30,536.00,538.00,531.00,534.50,116900,533.15
2013-08-29,528.00,538.00,528.00,536.00,302500,534.65
2013-08-28,524.00,529.00,520.50,528.50,349100,527.17
2013-08-27,534.00,536.00,524.50,529.00,230800,527.66
2013-08-26,540.00,543.00,534.50,538.50,107400,537.14
2013-08-23,540.00,543.00,538.00,538.50,182500,537.14
2013-08-22,535.00,541.00,532.00,536.50,117900,535.15
2013-08-21,535.00,541.00,533.00,534.00,196300,532.65
2013-08-20,535.50,537.50,530.00,534.50,110700,533.15
2013-08-19,539.00,540.50,534.50,535.00,211000,533.65
2013-08-16,537.50,543.50,533.50,543.00,214400,541.13
2013-08-15,548.00,548.00,539.50,542.50,222600,540.63
2013-08-14,549.00,551.50,543.00,547.00,335900,545.12
2013-08-13,540.50,547.50,537.50,547.00,252000,545.12
2013-08-12,541.50,541.50,533.00,539.50,138700,537.64
2013-08-09,542.50,545.50,538.00,540.00,108600,538.14
2013-08-08,536.00,541.50,536.00,538.50,74000,536.65
2013-08-07,540.50,540.50,535.00,537.50,78300,535.65
2013-08-06,545.50,546.50,539.00,543.00,86400,541.13
2013-08-05,548.00,549.50,545.00,547.50,52900,545.62
2013-08-02,546.50,549.50,544.50,548.00,113100,546.11
2013-08-01,538.00,547.50,536.00,545.50,173300,543.62
2013-07-31,532.50,540.00,532.50,536.50,188000,534.65
2013-07-30,523.00,534.50,521.50,530.50,190400,528.67
2013-07-29,521.00,525.00,521.00,522.00,67800,520.20
2013-07-26,525.00,528.50,521.00,521.50,132500,519.70
