Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,2.49,2.49,2.42,2.48,28100,2.48
2014-02-25,2.49,2.51,2.47,2.49,33800,2.49
2014-02-21,2.58,2.58,2.42,2.53,235900,2.53
2014-02-20,2.74,2.78,2.47,2.52,421000,2.52
2014-02-19,2.60,2.73,2.57,2.73,100200,2.73
2014-02-18,2.73,2.73,2.59,2.65,52800,2.65
2014-02-17,2.63,2.72,2.63,2.70,97600,2.70
2014-02-14,2.60,2.63,2.57,2.63,168300,2.63
2014-02-13,2.69,2.72,2.60,2.66,38900,2.66
2014-02-12,2.57,2.72,2.57,2.69,202500,2.69
2014-02-11,2.50,2.59,2.48,2.52,47000,2.52
2014-02-10,2.52,2.52,2.42,2.45,26100,2.45
2014-02-07,2.49,2.52,2.42,2.52,78400,2.52
2014-02-06,2.51,2.55,2.48,2.55,39200,2.55
2014-02-05,2.56,2.56,2.56,2.56,800,2.56
2014-02-04,2.53,2.59,2.53,2.56,10800,2.56
2014-02-03,2.60,2.60,2.54,2.56,15900,2.56
2014-01-31,2.57,2.60,2.54,2.60,58100,2.60
2014-01-30,2.59,2.62,2.56,2.62,28000,2.62
2014-01-29,2.59,2.61,2.58,2.59,26700,2.59
2014-01-28,2.60,2.60,2.60,2.60,11100,2.60
2014-01-27,2.62,2.62,2.58,2.62,71000,2.62
2014-01-24,2.68,2.68,2.60,2.62,77600,2.62
2014-01-23,2.61,2.65,2.61,2.62,28700,2.62
2014-01-22,2.70,2.71,2.66,2.67,71900,2.67
2014-01-21,2.65,2.67,2.59,2.65,118800,2.65
2014-01-20,2.60,2.71,2.60,2.68,90100,2.68
2014-01-17,2.70,2.70,2.60,2.62,105300,2.62
2014-01-16,2.65,2.69,2.64,2.64,63100,2.64
2014-01-15,2.67,2.72,2.65,2.65,47000,2.65
2014-01-14,2.70,2.70,2.65,2.66,63200,2.66
2014-01-13,2.72,2.72,2.65,2.70,37600,2.70
2014-01-10,2.68,2.72,2.65,2.67,74600,2.67
2014-01-09,2.62,2.73,2.62,2.65,92900,2.65
2014-01-08,2.63,2.75,2.63,2.64,166200,2.64
2014-01-07,2.71,2.75,2.60,2.62,186100,2.62
2014-01-06,2.70,2.70,2.70,2.70,000,2.70
2014-01-03,2.49,2.80,2.49,2.70,472000,2.70
2014-01-02,2.47,2.49,2.41,2.49,42900,2.49
2014-01-01,2.42,2.42,2.42,2.42,000,2.42
2013-12-31,2.42,2.42,2.42,2.42,000,2.42
2013-12-30,2.49,2.49,2.41,2.42,298400,2.42
2013-12-27,2.55,2.55,2.48,2.50,166200,2.50
2013-12-26,2.50,2.50,2.50,2.50,000,2.50
2013-12-25,2.50,2.50,2.50,2.50,000,2.50
2013-12-24,2.50,2.50,2.50,2.50,000,2.50
2013-12-23,2.50,2.58,2.48,2.50,63200,2.50
2013-12-20,2.52,2.55,2.40,2.55,256300,2.55
2013-12-19,2.54,2.54,2.44,2.44,99100,2.44
2013-12-18,2.50,2.52,2.48,2.50,124800,2.50
2013-12-17,2.58,2.59,2.51,2.54,109700,2.54
2013-12-16,2.62,2.62,2.51,2.59,161900,2.59
2013-12-13,2.65,2.67,2.62,2.62,84500,2.62
2013-12-12,2.68,2.68,2.62,2.64,161500,2.64
2013-12-11,2.70,2.73,2.65,2.68,103300,2.68
2013-12-10,2.74,2.74,2.68,2.69,128800,2.69
2013-12-09,2.70,2.75,2.68,2.70,108900,2.70
2013-12-06,2.79,2.79,2.70,2.70,47600,2.70
2013-12-05,2.79,2.80,2.73,2.73,77800,2.73
2013-12-04,2.67,2.80,2.66,2.78,115300,2.78
2013-12-03,2.73,3.09,2.59,2.75,620200,2.75
2013-12-02,2.77,2.78,2.73,2.74,150800,2.74
2013-11-29,2.77,2.80,2.71,2.77,80100,2.77
2013-11-28,2.87,2.87,2.80,2.80,167400,2.80
2013-11-27,2.89,2.89,2.85,2.87,26400,2.87
2013-11-26,2.91,2.91,2.75,2.85,106100,2.85
2013-11-25,3.01,3.01,2.84,2.85,242700,2.85
2013-11-22,2.80,3.16,2.80,3.02,742000,3.02
2013-11-21,2.83,2.83,2.69,2.69,229800,2.69
2013-11-20,2.81,2.90,2.75,2.85,135700,2.85
2013-11-19,2.83,2.90,2.81,2.90,24500,2.90
2013-11-18,2.94,2.94,2.83,2.93,60300,2.93
2013-11-15,3.19,3.19,2.91,2.95,237600,2.95
2013-11-14,2.84,3.21,2.84,3.15,779100,3.15
2013-11-13,2.70,2.84,2.67,2.81,277200,2.81
2013-11-12,2.74,2.74,2.66,2.70,111400,2.70
2013-11-11,2.61,2.86,2.61,2.73,257900,2.73
2013-11-08,2.60,2.67,2.60,2.61,29900,2.61
2013-11-07,2.65,2.68,2.60,2.65,90000,2.65
2013-11-06,2.70,2.72,2.65,2.68,78300,2.68
2013-11-05,2.67,2.74,2.60,2.69,151400,2.69
2013-11-04,2.66,2.73,2.66,2.66,131600,2.66
2013-11-01,2.71,2.71,2.70,2.70,14700,2.70
2013-10-31,2.84,2.84,2.72,2.75,67900,2.75
2013-10-30,2.69,2.84,2.66,2.80,157000,2.80
2013-10-29,2.71,2.71,2.69,2.69,32200,2.69
2013-10-28,2.80,2.80,2.71,2.71,29000,2.71
2013-10-25,2.76,2.80,2.74,2.80,17100,2.80
2013-10-24,2.75,2.80,2.75,2.75,22900,2.75
2013-10-23,2.77,2.80,2.75,2.75,91600,2.75
2013-10-22,2.80,2.81,2.73,2.75,139500,2.75
2013-10-21,2.80,2.82,2.73,2.82,56300,2.82
2013-10-18,2.90,2.90,2.81,2.81,91100,2.81
2013-10-17,2.91,2.95,2.81,2.90,94400,2.90
2013-10-16,2.80,2.90,2.76,2.88,119800,2.88
2013-10-15,2.84,2.95,2.84,2.85,157300,2.85
2013-10-14,2.76,2.84,2.76,2.80,26600,2.80
2013-10-11,2.72,2.96,2.72,2.84,191100,2.84
2013-10-10,2.62,2.72,2.62,2.70,42400,2.70
2013-10-09,2.75,2.76,2.66,2.72,101000,2.72
2013-10-08,2.85,2.85,2.75,2.75,184400,2.75
2013-10-07,2.65,2.89,2.65,2.85,318800,2.85
2013-10-04,2.58,2.63,2.58,2.63,74200,2.63
2013-10-03,2.55,2.63,2.55,2.58,48900,2.58
2013-10-02,2.61,2.63,2.61,2.63,18700,2.63
2013-10-01,2.59,2.65,2.57,2.60,126100,2.60
2013-09-30,2.65,2.65,2.55,2.59,66500,2.59
2013-09-27,2.63,2.70,2.51,2.70,149200,2.70
2013-09-26,2.67,2.75,2.59,2.62,87300,2.62
2013-09-25,2.60,2.67,2.52,2.55,143200,2.55
2013-09-24,2.68,2.68,2.53,2.58,398100,2.58
2013-09-23,2.77,2.81,2.70,2.70,145100,2.70
2013-09-20,2.86,2.86,2.69,2.80,361800,2.80
2013-09-19,2.60,2.96,2.60,2.87,1121100,2.87
2013-09-18,2.53,2.53,2.37,2.50,260700,2.50
2013-09-17,2.58,2.58,2.48,2.53,183100,2.53
2013-09-16,2.66,2.71,2.54,2.58,288500,2.58
2013-09-13,2.80,2.80,2.65,2.71,365600,2.71
2013-09-12,2.82,2.90,2.76,2.80,234900,2.80
2013-09-11,2.85,2.86,2.76,2.86,327900,2.86
2013-09-10,2.95,3.02,2.81,2.85,501000,2.85
2013-09-09,2.97,2.97,2.90,2.95,114000,2.95
2013-09-06,3.16,3.20,2.93,2.97,544200,2.97
2013-09-05,2.82,3.09,2.82,3.04,721200,3.04
2013-09-04,2.95,2.95,2.75,2.82,582200,2.82
2013-09-03,3.15,3.15,2.88,2.92,1499000,2.92
2013-09-02,3.50,3.50,3.03,3.10,1907800,3.10
2013-08-30,3.35,3.80,3.21,3.40,5909200,3.40
2013-08-29,2.30,3.24,2.30,3.19,5394200,3.19
2013-08-28,2.17,2.18,2.13,2.16,72900,2.16
2013-08-27,2.22,2.22,2.18,2.20,96600,2.20
2013-08-26,2.30,2.35,2.20,2.25,150000,2.25
2013-08-23,2.17,2.35,2.13,2.30,187600,2.30
2013-08-22,2.16,2.19,2.15,2.18,61000,2.18
2013-08-21,2.17,2.19,2.15,2.19,94500,2.19
2013-08-20,2.20,2.21,2.16,2.17,151700,2.17
2013-08-19,2.22,2.24,2.21,2.21,29500,2.21
2013-08-16,2.22,2.25,2.20,2.21,77200,2.21
2013-08-15,2.23,2.27,2.23,2.25,57400,2.25
2013-08-14,2.26,2.27,2.22,2.23,34700,2.23
2013-08-13,2.24,2.26,2.22,2.26,38000,2.26
2013-08-12,2.29,2.29,2.19,2.24,216200,2.24
2013-08-09,2.33,2.33,2.26,2.29,71700,2.29
2013-08-08,2.29,2.39,2.29,2.35,113100,2.35
2013-08-07,2.30,2.32,2.25,2.26,165100,2.26
2013-08-06,2.35,2.40,2.33,2.33,101800,2.33
2013-08-05,2.45,2.45,2.33,2.35,110300,2.35
2013-08-02,2.18,2.51,2.12,2.46,238100,2.46
2013-08-01,2.21,2.21,2.15,2.18,102300,2.18
2013-07-31,2.21,2.22,2.14,2.22,64300,2.22
2013-07-30,2.24,2.26,2.19,2.22,72500,2.22
2013-07-29,2.29,2.29,2.21,2.24,84400,2.24
2013-07-26,2.27,2.30,2.19,2.30,165200,2.30
2013-07-25,2.24,2.29,2.20,2.29,91800,2.29
2013-07-24,2.40,2.40,2.23,2.23,163800,2.23
2013-07-23,2.38,2.40,2.38,2.40,17500,2.40
2013-07-22,2.43,2.45,2.38,2.41,68300,2.41
2013-07-19,2.41,2.49,2.40,2.48,83800,2.48
2013-07-18,2.40,2.43,2.35,2.41,59000,2.41
2013-07-17,2.41,2.47,2.40,2.47,21900,2.47
2013-07-16,2.45,2.45,2.40,2.41,89100,2.41
2013-07-15,2.55,2.55,2.49,2.50,42700,2.50
2013-07-12,2.65,2.65,2.50,2.55,48500,2.55
2013-07-11,2.44,2.51,2.44,2.50,59200,2.50
2013-07-10,2.50,2.50,2.44,2.45,15900,2.45
2013-07-09,2.40,2.50,2.40,2.49,61500,2.49
2013-07-08,2.58,2.58,2.25,2.43,292900,2.43
2013-07-05,2.58,2.65,2.56,2.57,59800,2.57
2013-07-04,2.56,2.59,2.52,2.58,72500,2.58
2013-07-03,2.57,2.62,2.52,2.53,94500,2.53
2013-07-02,2.70,2.70,2.58,2.61,61700,2.61
2013-07-01,2.57,2.72,2.57,2.64,109200,2.64
2013-06-28,2.71,2.72,2.49,2.51,137000,2.51
2013-06-27,2.70,2.71,2.64,2.65,70600,2.65
2013-06-26,2.61,2.92,2.61,2.65,411600,2.65
2013-06-25,2.38,2.75,2.38,2.62,248600,2.62
