Date,Open,High,Low,Close,Volume,Adj Close
2013-09-16,0.61,0.65,0.55,0.65,77500,0.65
2013-09-13,0.60,0.65,0.60,0.63,101300,0.63
2013-09-12,0.61,0.65,0.60,0.60,134000,0.60
2013-09-11,0.63,0.63,0.60,0.61,142400,0.61
2013-09-10,0.65,0.65,0.57,0.61,276700,0.61
2013-09-09,0.66,0.72,0.65,0.65,68200,0.65
2013-09-06,0.68,0.68,0.64,0.66,37700,0.66
2013-09-05,0.70,0.72,0.69,0.72,161400,0.72
2013-09-04,0.72,0.72,0.67,0.68,321800,0.68
2013-09-03,0.84,0.84,0.72,0.80,20000,0.80
2013-09-02,0.82,0.87,0.77,0.84,121700,0.84
2013-08-30,0.84,0.87,0.74,0.74,86700,0.74
2013-08-29,0.82,0.82,0.82,0.82,000,0.82
2013-08-28,0.72,0.82,0.72,0.82,19500,0.82
2013-08-27,0.77,0.86,0.72,0.85,111000,0.85
2013-08-26,0.80,0.83,0.77,0.79,77200,0.79
2013-08-23,0.80,0.88,0.80,0.80,168900,0.80
2013-08-22,0.75,0.85,0.75,0.80,62700,0.80
2013-08-21,0.80,0.80,0.75,0.75,17800,0.75
2013-08-20,0.77,0.82,0.77,0.82,125200,0.82
2013-08-19,0.80,0.81,0.73,0.73,66000,0.73
2013-08-16,0.86,0.86,0.72,0.82,175300,0.82
2013-08-15,0.70,0.99,0.70,0.88,274100,0.88
2013-08-14,0.67,0.70,0.67,0.70,86700,0.70
2013-08-13,0.67,0.69,0.58,0.63,162600,0.63
2013-08-12,0.62,0.69,0.62,0.69,39700,0.69
2013-08-09,0.67,0.70,0.62,0.62,58600,0.62
2013-08-08,0.68,0.69,0.67,0.68,30800,0.68
2013-08-07,0.68,0.68,0.60,0.67,120200,0.67
2013-08-06,0.55,0.59,0.53,0.59,57600,0.59
