Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,38.60,39.60,38.60,39.20,3400,37.00
2014-02-25,39.20,39.20,39.00,39.10,7600,36.90
2014-02-24,39.20,39.50,39.20,39.20,1200,37.00
2014-02-21,38.80,39.20,38.80,39.20,501400,37.00
2014-02-20,39.50,39.70,38.90,39.10,4900,36.90
2014-02-19,38.90,39.80,38.90,39.80,3100,37.56
2014-02-18,38.50,39.80,38.50,39.80,3300,37.56
2014-02-17,39.90,39.90,39.00,39.50,20100,37.28
2014-02-14,39.80,40.00,39.70,40.00,12000,37.75
2014-02-13,40.30,40.30,39.70,39.80,700,37.56
2014-02-12,39.80,40.10,39.80,40.10,2800,37.84
2014-02-11,40.50,40.50,39.70,40.00,14800,37.75
2014-02-10,39.40,40.10,39.40,40.10,23600,37.84
2014-02-07,39.90,40.00,39.50,39.50,8400,37.28
2014-02-06,39.50,40.00,39.00,39.90,20100,37.66
2014-02-05,38.90,39.50,38.90,39.50,85500,37.28
2014-02-04,38.50,39.20,38.50,38.90,12400,36.71
2014-02-03,39.50,39.50,38.30,39.50,27800,37.28
2014-01-31,39.30,39.30,39.30,39.30,400,37.09
2014-01-30,37.90,38.90,37.80,38.90,1100,36.71
2014-01-29,39.20,39.30,39.20,39.20,400,37.00
2014-01-28,38.50,38.90,38.00,38.90,700,36.71
2014-01-27,38.70,38.70,38.10,38.20,6600,36.05
2014-01-24,38.40,38.60,38.30,38.30,2500,36.15
2014-01-23,38.90,39.10,38.80,38.80,1500,36.62
2014-01-22,39.00,39.50,38.70,39.50,2900,37.28
2014-01-21,39.50,41.20,38.80,39.10,5200,36.90
2014-01-20,38.10,40.00,38.00,39.50,17400,37.28
2014-01-17,39.00,40.00,38.90,38.90,6400,36.71
2014-01-16,40.00,40.00,39.20,39.20,6300,37.00
2014-01-15,40.00,40.00,39.70,40.00,4800,37.75
2014-01-14,40.00,40.00,40.00,40.00,2100,37.75
2014-01-13,39.90,40.20,39.60,40.20,55200,37.94
2014-01-10,39.80,39.90,39.50,39.90,4700,37.66
2014-01-09,39.80,39.90,39.80,39.80,1200,37.56
2014-01-08,39.00,39.80,39.00,39.80,4100,37.56
2014-01-07,39.60,39.60,39.00,39.50,5400,37.28
2014-01-06,39.50,39.50,39.50,39.50,000,37.28
2014-01-03,38.70,39.50,38.50,39.50,3200,37.28
2014-01-02,38.80,39.50,38.50,39.50,5100,37.28
2014-01-01,38.80,38.80,38.80,38.80,000,36.62
2013-12-31,38.80,38.80,38.80,38.80,000,36.62
2013-12-30,38.00,38.80,38.00,38.80,5900,36.62
2013-12-27,38.30,38.60,38.00,38.60,9200,36.43
2013-12-26,38.40,38.40,38.40,38.40,000,36.24
2013-12-25,38.40,38.40,38.40,38.40,000,36.24
2013-12-24,38.40,38.40,38.40,38.40,000,36.24
2013-12-23,38.10,38.50,37.80,38.40,6900,36.24
2013-12-20,37.60,38.20,37.60,38.20,3800,36.05
2013-12-19,37.80,38.00,37.80,38.00,2300,35.86
2013-12-18,38.00,38.00,37.30,37.60,6000,35.48
2013-12-17,37.60,37.90,37.30,37.90,1200,35.77
2013-12-16,37.30,38.00,37.30,38.00,2400,35.86
2013-12-13,37.80,37.80,37.30,37.30,1200,35.20
2013-12-12,37.90,38.00,37.90,38.00,1500,35.86
2013-12-11,38.20,38.20,38.10,38.10,600,35.96
2013-12-10,38.10,38.30,38.10,38.10,1900,35.96
2013-12-09,38.20,38.60,38.00,38.10,2600,35.96
2013-12-06,38.00,38.50,38.00,38.50,500,36.33
2013-12-05,38.20,38.20,38.00,38.00,1600,35.86
2013-12-04,38.10,38.30,38.10,38.30,600,36.15
2013-12-03,38.60,38.60,37.90,38.00,400,35.86
2013-12-02,38.20,38.60,38.20,38.60,1600,36.43
2013-11-29,38.20,38.30,38.20,38.30,4000,36.15
2013-11-28,38.20,38.50,38.20,38.30,301800,36.15
2013-11-27,37.90,38.80,37.90,38.60,4400,36.43
2013-11-26,38.00,38.20,37.80,38.20,8400,36.05
2013-11-25,37.60,38.10,37.60,38.00,4000,35.86
2013-11-22,38.30,38.30,38.00,38.00,1000,35.86
2013-11-21,37.50,38.00,37.50,38.00,5500,35.86
2013-11-20,37.50,37.80,37.50,37.60,3200,35.48
2013-11-19,37.40,38.00,37.40,37.50,2700,35.39
2013-11-18,38.40,38.40,38.40,38.40,000,36.24
2013-11-15,38.40,38.40,38.40,38.40,000,36.24
2013-11-14,38.40,38.50,38.40,38.40,2500,36.24
2013-11-13,38.00,38.00,37.80,38.00,3000,35.86
2013-11-12,38.70,38.70,38.00,38.10,15700,35.96
2013-11-11,38.00,38.20,37.40,38.10,3600,35.96
2013-11-08,38.40,38.40,37.40,37.90,2900,35.77
2013-11-07,37.90,38.70,37.20,37.20,7700,35.11
2013-11-06,38.00,39.30,38.00,38.00,4700,35.86
2013-11-05,38.50,39.00,38.20,38.80,2700,36.62
2013-11-04,37.70,38.00,37.70,38.00,8300,35.86
2013-11-01,38.00,38.30,37.70,37.70,5200,35.58
2013-10-31,38.20,38.20,37.50,37.50,18800,35.39
2013-10-30,36.70,37.40,36.50,36.90,6600,34.82
2013-10-29,38.20,38.20,36.80,36.80,4700,34.73
2013-10-28,38.50,38.50,36.20,37.50,16000,35.39
2013-10-25,39.80,39.80,34.00,39.00,34200,36.81
2013-10-24,39.90,44.30,39.90,44.30,23700,41.81
2013-10-23,39.30,40.00,39.20,39.80,300,37.56
2013-10-22,39.50,39.50,39.50,39.50,500,37.28
2013-10-21,40.00,40.00,39.00,39.30,4900,37.09
2013-10-18,40.00,40.00,40.00,40.00,1900,37.75
2013-10-17,39.50,40.70,39.50,39.50,2600,37.28
2013-10-16,40.00,40.00,39.40,39.50,4100,37.28
2013-10-15,39.30,40.00,39.30,40.00,300,37.75
2013-10-14,40.00,40.50,39.20,40.00,3200,37.75
2013-10-11,40.00,40.00,40.00,40.00,1800,37.75
2013-10-10,39.40,40.00,39.40,40.00,700,37.75
2013-10-09,39.50,39.50,39.20,39.40,100,37.18
2013-10-08,39.80,40.00,39.50,39.50,85200,37.28
2013-10-07,40.50,40.50,40.00,40.00,2000,37.75
2013-10-04,39.20,40.20,39.20,40.20,200,37.94
2013-10-03,40.30,40.30,40.30,40.30,000,38.03
2013-10-02,40.50,40.50,40.30,40.30,700,38.03
2013-10-01,40.50,41.00,40.00,40.60,14000,38.32
2013-09-30,40.60,42.30,39.10,41.50,1500,39.17
2013-09-27,41.50,41.50,40.60,41.00,2400,38.69
2013-09-26,41.70,42.00,41.50,42.00,9100,39.64
2013-09-25,40.10,42.00,40.10,42.00,000,39.64
2013-09-24,42.00,42.00,41.50,41.50,1200,39.17
2013-09-23,42.00,42.00,41.50,41.50,4000,39.17
2013-09-20,41.20,42.00,41.20,42.00,2200,39.64
