Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,25.60,26.30,25.60,26.00,62000,26.00
2014-02-25,25.50,26.20,25.50,26.00,71000,26.00
2014-02-24,25.40,25.50,24.50,25.30,64500,25.30
2014-02-21,25.70,25.70,25.00,25.20,41700,25.20
2014-02-20,26.10,26.40,25.00,25.40,127700,25.40
2014-02-19,25.40,26.30,25.00,26.00,108600,26.00
2014-02-18,24.70,25.30,24.20,25.30,122800,25.30
2014-02-17,23.90,24.80,23.10,24.40,235800,24.40
2014-02-14,22.80,23.90,22.40,23.60,645500,23.60
2014-02-13,22.30,22.30,21.40,21.70,78100,21.70
2014-02-12,22.50,23.05,22.10,22.30,82900,22.30
2014-02-11,22.00,22.10,21.60,22.00,25400,22.00
2014-02-10,22.20,22.40,21.80,22.00,30300,22.00
2014-02-07,21.70,21.90,21.20,21.60,9500,21.60
2014-02-06,21.20,21.70,21.00,21.70,80200,21.70
2014-02-05,21.50,21.90,21.00,21.00,138600,21.00
2014-02-04,21.20,21.30,20.80,21.30,39300,21.30
2014-02-03,22.10,22.10,21.00,21.00,94700,21.00
2014-01-31,20.70,22.60,20.70,21.80,53100,21.80
2014-01-30,21.20,21.40,20.90,21.40,44800,21.40
2014-01-29,21.70,21.70,20.50,21.20,53700,21.20
2014-01-28,21.40,21.90,21.20,21.70,31000,21.70
2014-01-27,21.90,21.90,20.60,21.40,72500,21.40
2014-01-24,22.50,22.80,21.40,21.90,18400,21.90
2014-01-23,22.70,22.70,22.20,22.50,44000,22.50
2014-01-22,23.00,23.00,22.10,22.70,61400,22.70
2014-01-21,22.90,23.00,22.50,23.00,41500,23.00
2014-01-20,22.60,23.00,22.60,22.90,175500,22.90
2014-01-17,22.80,23.20,22.50,22.60,80600,22.60
2014-01-16,23.50,23.50,22.50,22.90,65900,22.90
2014-01-15,22.80,23.50,22.60,23.50,87800,23.50
2014-01-14,22.70,22.90,22.30,22.80,23000,22.80
2014-01-13,21.90,23.10,21.70,22.90,289500,22.90
2014-01-10,21.70,21.90,21.70,21.90,204500,21.90
2014-01-09,21.70,22.00,21.50,21.80,34900,21.80
2014-01-08,21.90,22.20,21.30,21.60,76100,21.60
2014-01-07,21.70,21.80,20.60,21.80,633100,21.80
2014-01-06,21.30,21.30,21.30,21.30,000,21.30
2014-01-03,20.90,21.30,20.80,21.30,40100,21.30
2014-01-02,20.80,21.70,20.70,20.90,39500,20.90
2014-01-01,21.30,21.30,21.30,21.30,000,21.30
2013-12-31,21.30,21.30,21.30,21.30,000,21.30
2013-12-30,21.30,21.40,20.80,21.30,78700,21.30
2013-12-27,20.60,21.70,20.60,21.60,47300,21.60
2013-12-26,21.00,21.00,21.00,21.00,000,21.00
2013-12-25,21.00,21.00,21.00,21.00,000,21.00
2013-12-24,21.00,21.00,21.00,21.00,000,21.00
2013-12-23,20.50,21.00,20.00,21.00,2729600,21.00
2013-12-20,20.40,20.50,20.00,20.50,70000,20.50
2013-12-19,20.20,20.70,20.00,20.70,57700,20.70
2013-12-18,20.30,20.40,20.00,20.40,41700,20.40
2013-12-17,20.70,21.00,20.00,20.00,234500,20.00
2013-12-16,20.30,21.00,20.30,20.70,19600,20.70
2013-12-13,20.60,20.90,20.20,20.70,35300,20.70
2013-12-12,21.30,21.50,20.00,20.40,91200,20.40
2013-12-11,20.80,22.90,20.70,20.90,59600,20.90
2013-12-10,21.00,21.00,20.30,20.70,31300,20.70
2013-12-09,21.40,21.40,20.60,20.90,53900,20.90
2013-12-06,20.40,21.10,20.40,20.90,2677800,20.90
2013-12-05,20.70,20.90,20.40,20.40,133500,20.40
2013-12-04,20.70,21.00,20.40,20.50,63800,20.50
2013-12-03,21.00,21.30,20.70,20.70,45600,20.70
2013-12-02,21.20,21.60,20.90,21.00,283500,21.00
2013-11-29,21.00,21.80,20.80,21.30,789900,21.30
2013-11-28,21.00,21.60,20.80,21.00,40300,21.00
2013-11-27,21.00,21.80,20.80,21.20,30200,21.20
2013-11-26,21.10,21.20,20.50,21.00,78700,21.00
2013-11-25,21.00,21.60,20.40,20.80,98200,20.80
2013-11-22,22.20,22.30,20.60,20.60,79700,20.60
2013-11-21,22.10,23.30,22.00,22.00,44300,22.00
2013-11-20,23.00,23.40,22.30,23.00,18600,23.00
2013-11-19,23.00,23.90,23.00,23.50,16500,23.50
2013-11-18,23.10,23.30,23.00,23.30,6400,23.30
2013-11-15,23.30,23.70,23.30,23.70,9900,23.70
2013-11-14,23.40,23.80,23.10,23.30,6500,23.30
2013-11-13,23.40,23.40,23.00,23.10,13900,23.10
2013-11-12,23.40,23.50,23.40,23.40,7700,23.40
2013-11-11,23.50,24.20,23.10,23.40,50400,23.40
2013-11-08,23.60,23.70,23.30,23.40,19400,23.40
2013-11-07,23.00,23.70,23.00,23.70,8200,23.70
2013-11-06,23.20,23.40,23.00,23.00,4900,23.00
2013-11-05,23.60,23.60,23.10,23.40,10200,23.40
2013-11-04,23.40,23.60,23.10,23.40,14500,23.40
2013-11-01,23.00,23.90,23.00,23.20,8200,23.20
2013-10-31,24.00,24.00,23.40,23.70,18600,23.70
2013-10-30,23.90,24.30,23.30,23.70,46700,23.70
2013-10-29,24.30,24.30,23.80,23.80,41600,23.80
2013-10-28,23.60,24.30,23.60,24.30,82100,24.30
2013-10-25,24.70,24.70,23.70,23.80,11300,23.80
2013-10-24,24.70,24.70,23.80,24.00,16300,24.00
2013-10-23,24.20,24.70,24.00,24.70,19300,24.70
2013-10-22,24.20,24.50,23.90,24.30,25000,24.30
2013-10-21,24.00,24.30,23.90,24.20,13400,24.20
2013-10-18,24.00,24.40,23.60,24.10,32500,24.10
2013-10-17,24.00,24.00,23.70,24.00,17700,24.00
2013-10-16,24.10,24.10,23.70,24.00,19300,24.00
2013-10-15,24.00,24.00,23.60,24.00,4500,24.00
2013-10-14,24.10,24.10,23.60,24.00,25700,24.00
