Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,357.00,360.70,356.60,358.30,42400,347.80
2014-02-21,354.00,356.20,353.20,353.20,24900,342.85
2014-02-20,351.00,356.10,350.00,354.00,34600,343.63
2014-02-19,353.00,353.00,349.00,350.50,35100,340.23
2014-02-18,352.80,354.00,350.00,352.40,44600,342.07
2014-02-17,352.20,355.10,350.00,353.60,30100,343.24
2014-02-14,350.00,350.00,348.60,349.20,31900,338.97
2014-02-13,350.00,350.10,347.50,350.00,64400,339.74
2014-02-12,348.00,350.10,348.00,349.30,45100,339.06
2014-02-11,349.90,351.30,345.30,346.10,61300,335.96
2014-02-10,348.00,349.90,347.00,348.40,146100,338.19
2014-02-07,342.00,348.50,342.00,346.80,86600,336.64
2014-02-06,342.00,344.00,339.00,342.00,73500,331.98
2014-02-05,338.70,345.00,333.60,342.00,116900,331.98
2014-02-04,322.80,338.70,319.00,338.70,617700,328.77
2014-02-03,316.00,319.20,313.00,314.00,40400,304.80
2014-01-31,315.50,315.90,313.00,314.00,26300,304.80
2014-01-30,316.00,318.10,315.00,315.10,33500,305.87
2014-01-29,321.20,322.00,315.70,315.80,44900,306.55
2014-01-28,321.80,324.90,320.10,320.70,33400,311.30
2014-01-27,323.00,323.60,318.70,321.80,32600,312.37
2014-01-24,327.50,327.50,323.10,323.50,24200,314.02
2014-01-23,330.90,330.90,326.30,326.50,41000,316.93
2014-01-22,332.70,335.00,329.60,330.00,20100,320.33
2014-01-21,331.80,334.80,331.80,332.60,12000,322.85
2014-01-20,330.00,332.00,327.90,331.50,23100,321.79
2014-01-17,335.00,335.00,330.20,331.00,22500,321.30
2014-01-16,331.20,334.40,328.00,334.30,50700,324.50
2014-01-15,326.50,332.10,326.50,331.40,44500,321.69
2014-01-14,317.50,326.50,317.00,325.20,41200,315.67
2014-01-13,316.90,321.70,316.90,317.70,31200,308.39
2014-01-10,318.00,319.90,316.90,316.90,46700,307.61
2014-01-09,319.70,320.10,318.00,318.00,23700,308.68
2014-01-08,317.90,323.20,317.20,319.40,45100,310.04
2014-01-07,323.20,323.20,315.50,317.90,31600,308.58
2014-01-06,320.80,320.80,320.80,320.80,000,311.40
2014-01-03,322.30,322.30,317.80,320.80,26600,311.40
2014-01-02,322.70,324.30,321.30,321.40,19300,311.98
2014-01-01,322.70,322.70,322.70,322.70,000,313.24
2013-12-31,322.70,322.70,322.70,322.70,000,313.24
2013-12-30,327.00,327.50,322.00,322.70,30700,313.24
2013-12-27,326.40,330.90,326.00,327.00,21400,317.42
2013-12-26,326.30,326.30,326.30,326.30,000,316.74
2013-12-25,326.30,326.30,326.30,326.30,000,316.74
2013-12-24,326.30,326.30,326.30,326.30,000,316.74
2013-12-23,324.40,328.10,324.40,326.30,8700,316.74
2013-12-20,321.20,326.80,321.20,323.30,20600,313.83
