Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,68.00,70.75,68.00,70.75,17300,69.37
2014-02-25,67.25,69.00,67.25,69.00,13100,67.66
2014-02-24,65.50,67.50,65.25,67.50,21200,66.19
2014-02-21,66.00,66.00,65.00,65.50,4100,64.23
2014-02-20,64.75,64.75,64.50,64.75,1000,63.49
2014-02-19,64.00,64.25,64.00,64.25,200,63.00
2014-02-18,64.25,64.25,63.50,64.00,2900,62.75
2014-02-17,65.00,66.50,63.75,65.00,12200,63.74
2014-02-14,62.00,65.50,61.75,65.00,11200,63.74
2014-02-13,65.00,65.00,59.75,61.75,21300,60.55
2014-02-12,62.25,65.00,62.25,65.00,5500,63.74
2014-02-11,60.50,62.50,60.50,62.50,8900,61.28
2014-02-10,62.00,62.00,60.50,61.00,88400,59.81
2014-02-07,64.00,64.00,62.00,62.00,3000,60.79
2014-02-06,66.50,66.50,63.50,64.00,8700,62.75
2014-02-05,65.75,65.75,65.75,65.75,100,64.47
2014-02-04,66.00,66.00,64.50,64.50,10100,63.25
2014-02-03,65.75,66.00,65.75,66.00,500,64.72
2014-01-31,65.00,67.00,65.00,67.00,9400,65.70
2014-01-30,64.25,65.75,63.50,65.00,13300,63.74
2014-01-29,66.00,66.25,64.25,64.25,4700,63.00
2014-01-28,65.25,66.00,65.25,66.00,300,64.72
2014-01-27,66.50,66.50,65.00,66.00,3300,64.72
2014-01-24,66.50,67.00,66.00,67.00,2600,65.70
2014-01-23,67.25,68.00,66.75,68.00,3300,66.68
2014-01-22,67.25,67.25,66.75,67.25,2900,65.94
2014-01-21,66.50,67.50,66.50,66.50,5300,65.21
2014-01-20,67.50,67.50,66.00,66.50,1100,65.21
2014-01-17,66.75,68.00,66.75,67.50,3900,66.19
2014-01-16,65.25,67.75,65.25,67.50,23700,66.19
2014-01-15,65.00,66.75,64.50,66.75,12500,65.45
2014-01-14,66.00,66.00,64.50,65.25,7400,63.98
2014-01-13,67.00,67.00,65.50,66.00,5500,64.72
2014-01-10,65.75,66.50,65.25,66.50,4200,65.21
2014-01-09,66.50,66.50,65.50,66.00,4600,64.72
2014-01-08,66.25,66.50,65.50,66.50,3000,65.21
2014-01-07,65.00,66.25,64.25,66.25,2400,64.96
2014-01-06,65.25,65.25,65.25,65.25,000,63.98
2014-01-03,66.00,66.00,65.00,65.25,1000,63.98
2014-01-02,67.50,67.50,64.25,66.00,6800,64.72
2014-01-01,67.50,67.50,67.50,67.50,000,66.19
2013-12-31,67.50,67.50,67.50,67.50,000,66.19
2013-12-30,67.25,68.00,66.75,67.50,8200,66.19
2013-12-27,64.25,67.00,64.00,67.00,17700,65.70
2013-12-26,65.00,65.00,65.00,65.00,000,63.74
2013-12-25,65.00,65.00,65.00,65.00,000,63.74
2013-12-24,65.00,65.00,65.00,65.00,000,63.74
2013-12-23,63.50,65.00,63.25,65.00,6700,63.74
2013-12-20,63.75,64.25,63.75,63.75,3900,62.51
2013-12-19,63.25,64.50,63.25,64.00,11000,62.75
2013-12-18,63.25,63.50,63.00,63.50,3000,62.26
2013-12-17,64.00,64.50,62.75,64.00,13000,62.75
2013-12-16,66.00,66.00,63.50,64.50,3400,63.25
2013-12-13,67.50,67.50,65.75,66.50,6300,65.21
2013-12-12,67.25,67.50,66.75,67.50,1300,66.19
2013-12-11,66.00,69.50,66.00,67.50,4300,66.19
2013-12-10,67.00,67.25,65.75,65.75,3600,64.47
2013-12-09,67.00,68.00,66.50,67.00,2400,65.70
2013-12-06,67.50,67.50,66.75,67.00,3900,65.70
2013-12-05,68.00,68.50,67.00,68.00,2800,66.68
2013-12-04,68.00,68.50,67.00,68.50,2200,67.17
2013-12-03,69.50,69.50,67.50,68.00,3700,66.68
2013-12-02,68.50,69.75,68.00,69.50,9000,68.15
2013-11-29,66.00,68.00,66.00,68.00,3400,66.68
2013-11-28,66.00,66.25,65.75,65.75,8600,64.47
2013-11-27,67.00,67.00,65.50,65.50,205800,64.23
2013-11-26,67.25,67.25,66.50,67.00,10400,65.70
2013-11-25,68.00,68.00,67.00,67.25,1700,65.94
2013-11-22,67.00,68.25,67.00,68.25,2600,66.92
2013-11-21,68.00,68.00,67.00,67.75,8900,66.43
2013-11-20,67.00,68.00,66.50,68.00,45900,66.68
2013-11-19,67.50,67.50,67.00,67.00,5900,65.70
2013-11-18,67.50,68.00,67.50,68.00,3800,66.68
2013-11-15,67.50,68.00,67.00,67.50,4700,66.19
2013-11-14,69.00,69.75,68.50,68.50,4300,67.17
2013-11-13,70.50,71.00,69.00,69.00,6300,67.66
2013-11-12,71.75,71.75,70.25,70.25,6100,68.88
2013-11-11,71.00,71.75,70.25,71.75,9300,70.35
2013-11-08,71.50,72.50,71.00,72.50,4300,71.09
2013-11-07,70.50,71.50,69.50,71.50,6000,70.11
2013-11-06,70.25,70.25,69.25,69.25,21800,67.90
2013-11-05,69.00,72.00,69.00,70.25,29500,68.88
2013-11-04,68.75,69.00,66.00,69.00,13000,67.66
2013-11-01,68.75,68.75,67.00,67.50,800,66.19
2013-10-31,69.00,69.00,67.50,68.25,1800,66.92
2013-10-30,67.50,69.00,67.50,68.75,4000,67.41
2013-10-29,68.00,69.00,65.50,68.75,5900,67.41
2013-10-28,70.00,70.00,68.50,68.50,1300,67.17
2013-10-25,67.50,69.50,67.50,69.25,8000,67.90
2013-10-24,67.00,67.00,66.00,66.25,3800,64.96
2013-10-23,67.00,67.00,66.25,66.25,600,64.96
2013-10-22,66.50,68.00,66.25,67.00,11900,65.70
2013-10-21,67.75,67.75,66.00,66.50,8500,65.21
2013-10-18,68.25,69.00,67.50,68.00,3800,66.68
2013-10-17,70.00,70.00,68.00,68.25,1100,66.92
2013-10-16,70.00,70.00,69.25,69.25,1800,67.90
2013-10-15,72.00,72.25,70.25,71.00,6600,69.62
2013-10-14,68.25,72.00,68.25,71.50,5500,70.11
2013-10-11,68.75,69.25,68.50,69.00,2000,67.66
2013-10-10,67.00,69.50,67.00,68.75,5400,67.41
2013-10-09,66.25,67.00,66.00,67.00,1400,65.70
2013-10-08,65.25,66.00,65.25,66.00,2000,64.72
2013-10-07,66.50,66.50,65.25,65.50,2500,64.23
2013-10-04,66.00,66.50,65.25,66.00,2700,64.72
2013-10-03,66.50,66.50,65.25,66.00,3100,64.72
2013-10-02,65.75,66.50,65.75,66.50,4100,65.21
2013-10-01,65.50,66.50,64.75,66.50,6700,65.21
2013-09-30,70.00,70.00,65.00,66.50,5900,65.21
2013-09-27,72.00,72.00,69.50,69.50,3100,68.15
2013-09-26,71.00,72.00,70.25,70.25,12800,68.88
2013-09-25,70.00,70.50,70.00,70.50,5300,69.13
2013-09-24,72.00,72.00,70.75,72.00,1400,70.60
2013-09-23,71.00,72.00,69.75,70.75,8100,69.37
2013-09-20,69.75,70.00,68.00,70.00,3800,68.64
2013-09-19,71.00,71.00,69.00,69.75,3000,68.39
2013-09-18,71.00,71.00,69.50,70.50,6200,69.13
2013-09-17,69.50,71.00,69.50,71.00,14300,69.62
2013-09-16,68.00,70.00,67.50,69.50,15900,68.15
2013-09-13,68.00,68.00,67.00,67.00,300,65.70
2013-09-12,68.00,68.00,67.75,68.00,5900,66.68
2013-09-11,69.00,69.00,67.75,68.25,1900,66.92
2013-09-10,66.00,69.75,66.00,67.75,11000,66.43
2013-09-09,65.00,66.00,65.00,66.00,7700,64.72
2013-09-06,64.00,65.25,64.00,65.25,6000,63.98
2013-09-05,62.50,64.50,62.50,64.50,7500,63.25
2013-09-04,61.50,62.50,61.50,62.25,6000,61.04
2013-09-03,62.50,63.50,61.75,63.50,5200,62.26
2013-09-02,61.50,62.50,61.50,62.50,3800,61.28
2013-08-30,61.25,61.50,61.25,61.50,4500,60.30
2013-08-29,61.50,61.75,61.00,61.00,7600,59.81
2013-08-28,62.00,62.00,61.25,61.75,6100,60.55
2013-08-27,62.75,62.75,62.00,62.00,2200,60.79
2013-08-26,63.00,63.00,62.00,62.00,800,60.79
