Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,206.50,209.50,206.00,208.00,163300,208.00
2014-02-25,208.00,208.00,205.50,207.50,116100,207.50
2014-02-24,204.00,208.50,202.00,208.00,167000,208.00
2014-02-21,207.00,207.50,204.50,206.00,77200,206.00
2014-02-20,207.00,208.50,204.50,207.00,98800,207.00
2014-02-19,205.00,208.50,204.50,208.00,150700,208.00
2014-02-18,207.00,208.00,204.00,205.00,77400,205.00
2014-02-17,205.00,208.00,205.00,207.00,164400,207.00
2014-02-14,203.50,205.00,202.50,204.00,123200,204.00
2014-02-13,204.00,204.00,202.00,204.00,100800,204.00
2014-02-12,205.00,205.50,201.00,203.50,153200,203.50
2014-02-11,203.00,205.50,202.00,205.00,185700,205.00
2014-02-10,197.00,201.50,196.00,201.00,385200,201.00
2014-02-07,191.50,199.00,187.00,194.00,607100,194.00
2014-02-06,179.50,184.00,178.00,179.00,272000,179.00
2014-02-05,180.50,183.00,179.00,180.00,111600,180.00
2014-02-04,181.00,182.50,178.00,181.00,174200,181.00
2014-02-03,185.00,186.50,180.50,182.50,116600,182.50
2014-01-31,185.00,188.50,183.00,185.00,194000,185.00
2014-01-30,189.00,189.00,181.00,184.50,205200,184.50
2014-01-29,195.50,197.00,187.00,189.00,296700,189.00
2014-01-28,193.00,195.50,193.00,195.50,79100,195.50
2014-01-27,198.00,198.00,190.50,193.50,188600,193.50
2014-01-24,200.50,201.00,195.00,198.50,177800,198.50
2014-01-23,202.50,203.00,200.00,200.00,76200,200.00
2014-01-22,203.50,204.50,202.50,203.00,58800,203.00
2014-01-21,205.50,205.50,202.50,203.50,82800,203.50
2014-01-20,205.00,206.00,204.00,205.50,64300,205.50
2014-01-17,206.50,208.00,205.00,205.00,78600,205.00
2014-01-16,203.00,207.50,203.00,206.50,182600,206.50
2014-01-15,203.50,205.00,202.00,203.00,78200,203.00
2014-01-14,203.00,204.50,201.50,203.00,96600,203.00
2014-01-13,206.00,206.50,203.00,203.00,342900,203.00
2014-01-10,202.50,206.00,202.50,203.50,174800,203.50
2014-01-09,207.00,207.50,201.50,202.50,208300,202.50
2014-01-08,208.00,212.00,208.00,208.00,118800,208.00
2014-01-07,206.50,209.00,206.00,208.00,83400,208.00
2014-01-06,206.00,206.00,206.00,206.00,000,206.00
2014-01-03,204.00,206.00,204.00,206.00,73600,206.00
2014-01-02,204.00,206.50,203.50,204.50,58000,204.50
2014-01-01,204.00,204.00,204.00,204.00,000,204.00
2013-12-31,204.00,204.00,204.00,204.00,000,204.00
2013-12-30,202.50,205.50,201.50,204.00,82900,204.00
2013-12-27,203.50,204.00,202.00,203.00,67200,203.00
2013-12-26,203.50,203.50,203.50,203.50,000,203.50
2013-12-25,203.50,203.50,203.50,203.50,000,203.50
2013-12-24,203.50,203.50,203.50,203.50,000,203.50
2013-12-23,201.50,203.50,201.00,203.50,100600,203.50
2013-12-20,200.50,201.50,199.00,201.00,63100,201.00
2013-12-19,195.00,201.50,195.00,200.50,88500,200.50
2013-12-18,194.00,195.50,192.00,195.00,95300,195.00
2013-12-17,194.00,195.00,193.00,194.00,95900,194.00
2013-12-16,193.00,194.00,192.50,194.00,116000,194.00
2013-12-13,195.50,195.50,193.00,193.00,58500,193.00
2013-12-12,194.00,195.50,192.00,195.50,78800,195.50
2013-12-11,196.00,196.00,194.00,194.50,54300,194.50
2013-12-10,197.00,199.50,194.50,196.00,94900,196.00
2013-12-09,200.00,200.00,195.50,196.50,70600,196.50
2013-12-06,200.00,201.00,196.50,199.00,290000,199.00
2013-12-05,198.00,200.00,198.00,200.00,261500,200.00
2013-12-04,200.50,201.00,197.00,198.50,79400,198.50
2013-12-03,199.00,201.00,199.00,199.50,95900,199.50
2013-12-02,200.00,201.00,198.00,199.50,96300,199.50
2013-11-29,200.00,201.00,199.00,200.00,83900,200.00
2013-11-28,201.50,202.00,198.50,200.00,169100,200.00
2013-11-27,203.00,203.00,200.50,202.00,133000,202.00
2013-11-26,204.00,204.00,201.50,203.00,124000,203.00
2013-11-25,205.00,205.00,203.00,204.00,46500,204.00
2013-11-22,204.50,205.00,203.00,205.00,34500,205.00
2013-11-21,201.00,204.00,198.50,204.00,88300,204.00
2013-11-20,205.50,205.50,202.00,203.50,59700,203.50
2013-11-19,205.00,205.50,203.00,205.50,64900,205.50
2013-11-18,207.00,207.00,204.00,206.00,77100,206.00
2013-11-15,209.00,209.00,207.00,207.00,38100,207.00
2013-11-14,207.00,209.00,206.00,208.50,62000,208.50
2013-11-13,208.50,208.50,205.00,207.00,72000,207.00
2013-11-12,211.50,212.00,208.00,209.00,98900,209.00
2013-11-11,211.50,213.50,209.00,212.00,109200,212.00
2013-11-08,209.00,212.00,207.00,211.50,145700,211.50
2013-11-07,209.00,210.00,208.50,209.50,91800,209.50
2013-11-06,204.00,210.00,204.00,209.00,256300,209.00
2013-11-05,202.50,205.00,202.00,204.00,206700,204.00
2013-11-04,204.00,206.00,201.00,201.00,153000,201.00
2013-11-01,204.00,205.50,201.50,204.00,76700,204.00
2013-10-31,201.00,205.00,200.00,204.00,80100,204.00
2013-10-30,205.00,206.00,199.00,201.00,140800,201.00
2013-10-29,207.00,207.50,205.00,205.50,108700,205.50
2013-10-28,202.50,207.00,199.50,207.00,320700,207.00
2013-10-25,196.00,203.00,196.00,202.50,877800,202.50
2013-10-24,188.00,189.50,186.50,188.50,123000,188.50
2013-10-23,190.00,190.00,186.50,187.50,128400,187.50
2013-10-22,185.50,190.00,185.00,190.00,158800,190.00
2013-10-21,187.00,187.00,182.50,185.50,323700,185.50
2013-10-18,187.00,188.00,186.50,187.50,126200,187.50
2013-10-17,190.50,190.50,186.00,187.00,151700,187.00
2013-10-16,188.50,189.50,186.00,189.50,64600,189.50
2013-10-15,188.00,189.50,188.00,189.00,98200,189.00
2013-10-14,192.00,193.00,185.50,187.50,154100,187.50
2013-10-11,192.50,193.00,191.50,192.50,47900,192.50
2013-10-10,191.50,193.00,190.00,191.50,113500,191.50
2013-10-09,189.00,192.00,188.00,191.00,135400,191.00
2013-10-08,190.00,190.00,188.00,189.50,231600,189.50
2013-10-07,190.00,190.00,188.00,189.50,74100,189.50
2013-10-04,188.00,190.00,187.00,190.00,66200,190.00
2013-10-03,189.00,189.50,188.00,188.50,76500,188.50
2013-10-02,188.00,190.00,187.50,189.50,81900,189.50
2013-10-01,190.00,190.00,187.50,188.50,138700,188.50
2013-09-30,191.50,191.50,187.00,190.50,116900,190.50
2013-09-27,192.00,196.50,188.00,192.00,226100,192.00
2013-09-26,185.00,192.00,183.50,191.50,407600,191.50
2013-09-25,185.00,185.50,182.00,184.50,92400,184.50
2013-09-24,182.00,185.50,181.50,184.50,85300,184.50
2013-09-23,184.50,185.50,180.50,181.00,89100,181.00
2013-09-20,186.50,186.50,182.50,184.50,79800,184.50
2013-09-19,184.50,187.00,183.00,186.50,256600,186.50
2013-09-18,180.50,184.00,180.50,182.00,164800,182.00
2013-09-17,177.00,180.00,177.00,180.00,136200,180.00
2013-09-16,177.00,178.00,176.00,178.00,278200,178.00
2013-09-13,176.50,176.50,175.50,176.50,77800,176.50
2013-09-12,175.00,177.00,175.00,176.50,61000,176.50
2013-09-11,175.50,176.00,174.00,175.00,150000,175.00
2013-09-10,175.50,176.00,174.50,176.00,118200,176.00
2013-09-09,176.00,176.50,175.00,176.00,246900,176.00
2013-09-06,176.00,177.00,175.00,176.50,90300,176.50
2013-09-05,176.50,177.00,176.00,176.50,182900,176.50
2013-09-04,176.50,176.50,174.00,176.00,108600,176.00
2013-09-03,177.00,178.00,175.00,176.50,104300,176.50
2013-09-02,177.00,177.50,174.00,177.00,144500,177.00
2013-08-30,177.00,178.00,175.00,177.00,74800,177.00
2013-08-29,176.50,177.50,175.50,177.00,165800,177.00
2013-08-28,180.00,180.00,173.00,176.50,91600,176.50
2013-08-27,183.00,183.00,180.00,181.00,99000,181.00
2013-08-26,184.00,184.50,183.00,183.50,45100,183.50
2013-08-23,184.50,185.00,182.00,184.50,80500,184.50
2013-08-22,184.00,185.00,183.00,184.50,42400,184.50
2013-08-21,185.00,185.50,183.50,184.00,55900,184.00
2013-08-20,184.00,187.00,182.50,185.50,118500,185.50
2013-08-19,185.50,186.00,183.50,185.00,101200,185.00
2013-08-16,183.50,185.50,182.50,185.50,73300,185.50
