Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,3.64,3.64,3.41,3.41,7000,3.41
2014-02-25,3.39,3.90,3.39,3.52,24600,3.52
2014-02-24,3.25,3.28,3.22,3.28,25600,3.28
2014-02-21,3.28,3.30,3.15,3.16,28300,3.16
2014-02-20,3.28,3.28,3.28,3.28,000,3.28
2014-02-19,3.28,3.28,3.28,3.28,000,3.28
2014-02-18,3.28,3.28,3.28,3.28,9000,3.28
2014-02-17,3.17,3.29,3.17,3.29,16200,3.29
2014-02-14,3.29,3.29,3.29,3.29,1500,3.29
2014-02-13,3.18,3.18,3.18,3.18,000,3.18
2014-02-12,3.18,3.18,3.18,3.18,000,3.18
2014-02-11,3.18,3.18,3.18,3.18,000,3.18
2014-02-10,3.18,3.18,3.18,3.18,600,3.18
2014-02-07,3.18,3.18,3.18,3.18,1000,3.18
2014-02-06,3.17,3.17,3.17,3.17,000,3.17
2014-02-05,3.17,3.17,3.17,3.17,500,3.17
2014-02-04,3.30,3.30,3.30,3.30,3000,3.30
2014-02-03,3.43,3.43,3.30,3.30,400,3.30
2014-01-31,3.41,3.41,3.41,3.41,000,3.41
2014-01-30,3.41,3.41,3.41,3.41,700,3.41
2014-01-29,3.35,3.35,3.35,3.35,500,3.35
2014-01-28,3.41,3.41,3.41,3.41,000,3.41
2014-01-27,3.41,3.41,3.41,3.41,000,3.41
2014-01-24,3.41,3.41,3.41,3.41,1000,3.41
2014-01-23,3.46,3.46,3.46,3.46,000,3.46
2014-01-22,3.46,3.46,3.46,3.46,900,3.46
2014-01-21,3.46,3.46,3.46,3.46,000,3.46
2014-01-20,3.46,3.46,3.46,3.46,000,3.46
2014-01-17,3.56,3.56,3.56,3.56,2200,3.56
2014-01-16,3.65,3.65,3.65,3.65,000,3.65
2014-01-15,3.35,3.65,3.30,3.65,33700,3.65
2014-01-14,3.54,3.54,3.30,3.30,41100,3.30
2014-01-13,3.56,3.56,3.50,3.54,6400,3.54
2014-01-10,3.41,3.65,3.41,3.65,19700,3.65
2014-01-09,3.54,3.54,3.54,3.54,000,3.54
2014-01-08,3.36,3.54,3.36,3.54,19000,3.54
2014-01-07,3.50,3.50,3.30,3.30,3800,3.30
2014-01-06,3.50,3.50,3.50,3.50,000,3.50
2014-01-03,3.50,3.50,3.50,3.50,8500,3.50
2014-01-02,3.51,3.51,3.51,3.51,3100,3.51
2014-01-01,3.53,3.53,3.53,3.53,000,3.53
2013-12-31,3.53,3.53,3.53,3.53,000,3.53
2013-12-30,3.50,3.99,3.40,3.53,31900,3.53
2013-12-27,3.46,3.50,3.45,3.50,6600,3.50
2013-12-26,3.45,3.45,3.45,3.45,000,3.45
2013-12-25,3.45,3.45,3.45,3.45,000,3.45
2013-12-24,3.45,3.45,3.45,3.45,000,3.45
2013-12-23,3.60,3.60,3.45,3.45,26900,3.45
2013-12-20,3.84,3.84,3.60,3.60,19100,3.60
2013-12-19,3.85,3.99,3.85,3.99,1100,3.99
2013-12-18,3.86,3.86,3.86,3.86,000,3.86
2013-12-17,3.86,3.86,3.86,3.86,200,3.86
2013-12-16,3.85,3.85,3.85,3.85,1100,3.85
2013-12-13,3.85,3.85,3.85,3.85,5000,3.85
2013-12-12,3.84,3.84,3.84,3.84,000,3.84
2013-12-11,3.90,3.90,3.40,3.84,38100,3.84
2013-12-10,4.00,4.00,3.84,3.84,1700,3.84
2013-12-09,3.90,4.00,3.90,4.00,400,4.00
2013-12-06,3.90,3.90,3.90,3.90,000,3.90
2013-12-05,3.90,3.90,3.90,3.90,400,3.90
2013-12-04,4.00,4.00,4.00,4.00,1000,4.00
2013-12-03,3.90,4.05,3.90,4.05,500,4.05
2013-12-02,3.90,3.90,3.90,3.90,000,3.90
2013-11-29,3.90,3.90,3.90,3.90,000,3.90
2013-11-28,3.90,3.90,3.90,3.90,000,3.90
2013-11-27,4.00,4.05,3.90,3.90,1700,3.90
2013-11-26,3.90,4.00,3.90,4.00,600,4.00
2013-11-25,4.00,4.00,4.00,4.00,000,4.00
2013-11-22,4.07,4.07,4.00,4.00,17400,4.00
2013-11-21,4.36,4.36,4.23,4.23,6000,4.23
2013-11-20,4.55,4.55,4.55,4.55,000,4.55
2013-11-19,4.55,4.55,4.55,4.55,500,4.55
2013-11-18,4.37,4.37,4.37,4.37,000,4.37
2013-11-15,4.37,4.37,4.37,4.37,000,4.37
2013-11-14,4.37,4.37,4.37,4.37,100,4.37
2013-11-13,4.37,4.37,4.37,4.37,000,4.37
2013-11-12,4.52,4.52,4.42,4.42,1800,4.42
2013-11-11,4.67,4.67,4.67,4.67,300,4.67
2013-11-08,4.66,4.66,4.66,4.66,000,4.66
2013-11-07,4.66,4.66,4.66,4.66,000,4.66
2013-11-06,4.66,4.66,4.66,4.66,000,4.66
