Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,89.00,89.20,88.15,88.95,267800,87.48
2014-02-25,88.00,89.00,87.45,88.95,369800,87.48
2014-02-24,88.20,88.20,87.10,87.95,124500,86.50
2014-02-21,87.25,88.60,87.00,88.20,172100,86.75
2014-02-20,85.90,87.90,85.30,87.00,871800,85.57
2014-02-19,84.10,87.65,84.10,87.10,709900,85.66
2014-02-18,84.80,86.00,83.15,84.10,581400,82.71
2014-02-17,84.60,84.80,83.40,83.75,376600,82.37
2014-02-14,82.20,84.55,82.20,83.70,222200,82.32
2014-02-13,81.05,82.75,81.00,82.50,150600,81.14
2014-02-12,80.90,81.65,80.90,81.50,147200,80.16
2014-02-11,79.00,80.85,78.65,80.85,211900,79.52
2014-02-10,79.20,79.30,78.20,78.60,205000,77.30
2014-02-07,80.00,80.30,78.60,78.95,200500,77.65
2014-02-06,78.05,80.60,78.05,80.00,251500,78.68
2014-02-05,77.50,78.50,77.50,78.00,91300,76.71
2014-02-04,77.00,77.95,77.00,77.45,163500,76.17
2014-02-03,78.55,79.70,77.05,77.60,160700,76.32
2014-01-31,78.50,79.60,77.80,78.55,240200,77.26
2014-01-30,79.20,79.50,78.15,78.55,168000,77.26
2014-01-29,79.50,81.25,78.20,79.40,260500,78.09
2014-01-28,78.95,79.60,78.50,78.95,237900,77.65
2014-01-27,80.00,80.00,77.70,78.90,399300,77.60
2014-01-24,82.40,82.80,79.95,80.00,470000,78.68
2014-01-23,84.05,84.75,82.40,82.45,265800,81.09
2014-01-22,82.55,84.20,82.55,84.05,531200,82.66
2014-01-21,82.00,86.10,81.50,82.50,1232100,81.14
2014-01-20,83.00,84.10,82.35,84.00,258100,82.62
2014-01-17,81.95,83.60,81.95,83.25,437700,81.88
2014-01-16,81.80,82.50,81.25,82.50,396300,81.14
2014-01-15,81.00,81.80,80.65,81.80,195600,80.45
2014-01-14,81.50,81.50,80.10,81.00,205200,79.66
2014-01-13,82.25,82.25,80.95,81.60,195900,80.25
2014-01-10,81.00,82.25,80.00,82.25,294900,80.89
2014-01-09,81.00,81.00,80.00,80.55,234000,79.22
2014-01-08,81.50,81.60,80.80,80.80,143700,79.47
2014-01-07,81.50,82.00,81.10,81.30,160600,79.96
2014-01-06,81.50,81.50,81.50,81.50,000,80.16
2014-01-03,81.40,81.70,80.70,81.50,150000,80.16
2014-01-02,81.25,82.40,81.00,81.45,182000,80.11
2014-01-01,81.25,81.25,81.25,81.25,000,79.91
2013-12-31,81.25,81.25,81.25,81.25,000,79.91
2013-12-30,81.85,82.50,81.00,81.25,184400,79.91
2013-12-27,79.95,81.85,79.80,81.85,189800,80.50
2013-12-26,79.40,79.40,79.40,79.40,000,78.09
2013-12-25,79.40,79.40,79.40,79.40,000,78.09
2013-12-24,79.40,79.40,79.40,79.40,000,78.09
2013-12-23,79.35,80.00,79.05,79.40,164800,78.09
2013-12-20,78.60,79.55,77.70,79.45,321000,78.14
2013-12-19,79.00,79.75,77.75,78.75,286200,77.45
2013-12-18,78.85,79.45,78.60,79.00,491000,77.70
2013-12-17,78.65,79.05,77.90,79.05,242400,77.75
2013-12-16,77.00,78.75,76.75,78.60,233900,77.30
2013-12-13,78.05,78.50,76.85,77.60,343900,76.32
2013-12-12,79.40,79.85,77.40,78.00,335100,76.71
2013-12-11,79.00,80.35,78.40,79.40,373100,78.09
2013-12-10,80.00,80.50,78.80,79.05,335100,77.75
2013-12-09,78.50,81.40,76.00,80.90,52716000,79.57
2013-12-06,77.35,78.95,76.70,78.95,273600,77.65
2013-12-05,77.15,77.70,76.60,77.00,164700,75.73
2013-12-04,77.15,77.25,76.10,77.20,254600,75.93
2013-12-03,78.15,78.15,76.60,77.00,327100,75.73
2013-12-02,79.50,79.85,78.10,78.25,250900,76.96
2013-11-29,79.00,79.50,78.50,79.45,150600,78.14
