Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,2.98,3.05,2.98,3.02,178600,3.02
2014-02-25,2.97,3.03,2.94,3.00,323200,3.00
2014-02-21,3.44,3.45,3.31,3.34,366500,3.34
2014-02-20,3.51,3.59,3.37,3.44,1857800,3.44
2014-02-19,3.26,3.34,3.26,3.30,159500,3.30
2014-02-18,3.27,3.35,3.23,3.27,252200,3.27
2014-02-17,3.23,3.28,3.20,3.28,163400,3.28
2014-02-14,3.23,3.32,3.21,3.25,329500,3.25
2014-02-13,3.26,3.30,3.25,3.25,380300,3.25
2014-02-12,3.33,3.33,3.25,3.25,119200,3.25
2014-02-11,3.35,3.36,3.20,3.30,275600,3.30
2014-02-10,3.37,3.37,3.30,3.35,133900,3.35
2014-02-07,3.30,3.36,3.29,3.30,76800,3.30
2014-02-06,3.28,3.35,3.28,3.30,231700,3.30
2014-02-05,3.37,3.38,3.28,3.30,162300,3.30
2014-02-04,3.23,3.35,3.23,3.35,112700,3.35
2014-02-03,3.54,3.54,3.30,3.36,255300,3.36
2014-01-31,3.42,3.48,3.30,3.39,127200,3.39
2014-01-30,3.38,3.52,3.35,3.52,129600,3.52
2014-01-29,3.36,3.52,3.34,3.38,218200,3.38
2014-01-28,3.39,3.49,3.36,3.36,185100,3.36
2014-01-27,3.51,3.51,3.37,3.40,307000,3.40
2014-01-24,3.66,3.73,3.44,3.53,513600,3.53
2014-01-23,3.70,3.72,3.58,3.66,382000,3.66
2014-01-22,3.78,3.78,3.64,3.70,768400,3.70
2014-01-21,3.50,3.80,3.48,3.59,1326400,3.59
2014-01-20,3.59,3.59,3.45,3.48,931900,3.48
2014-01-17,3.60,3.61,3.49,3.58,684600,3.58
2014-01-16,3.73,3.73,3.42,3.60,1637300,3.60
2014-01-15,3.71,3.80,3.70,3.72,277900,3.72
2014-01-14,3.80,3.82,3.71,3.71,265700,3.71
2014-01-13,3.90,3.93,3.73,3.82,396600,3.82
2014-01-10,3.89,4.05,3.87,3.90,938500,3.90
2014-01-09,3.77,3.94,3.70,3.86,473800,3.86
2014-01-08,3.65,3.80,3.55,3.75,605000,3.75
2014-01-07,3.69,3.69,3.56,3.65,290900,3.65
2014-01-06,3.55,3.55,3.55,3.55,000,3.55
2014-01-03,3.57,3.60,3.50,3.55,276500,3.55
2014-01-02,3.40,3.58,3.40,3.55,274100,3.55
2014-01-01,3.39,3.39,3.39,3.39,000,3.39
2013-12-31,3.39,3.39,3.39,3.39,000,3.39
2013-12-30,3.36,3.41,3.32,3.39,365200,3.39
2013-12-27,3.48,3.50,3.30,3.36,597900,3.36
2013-12-26,3.45,3.45,3.45,3.45,000,3.45
2013-12-25,3.45,3.45,3.45,3.45,000,3.45
2013-12-24,3.45,3.45,3.45,3.45,000,3.45
2013-12-23,3.58,3.58,3.32,3.45,554400,3.45
2013-12-20,3.56,3.65,3.40,3.54,647300,3.54
2013-12-19,3.30,3.55,3.30,3.55,830800,3.55
2013-12-18,3.35,3.46,3.25,3.30,625500,3.30
2013-12-17,3.40,3.42,3.23,3.34,565200,3.34
2013-12-16,3.55,3.55,3.32,3.42,409400,3.42
2013-12-13,3.56,3.67,3.50,3.54,193900,3.54
2013-12-12,3.65,3.65,3.51,3.61,226400,3.61
2013-12-11,3.58,3.80,3.50,3.65,392900,3.65
2013-12-10,3.89,3.89,3.62,3.70,293000,3.70
2013-12-09,3.99,3.99,3.80,3.84,301400,3.84
2013-12-06,3.97,4.04,3.95,3.96,93300,3.96
2013-12-05,3.96,4.05,3.96,4.04,100500,4.04
2013-12-04,3.99,4.07,3.95,4.00,166900,4.00
2013-12-03,4.00,4.08,3.92,3.99,287100,3.99
2013-12-02,4.07,4.07,3.87,4.03,507100,4.03
2013-11-29,4.09,4.09,4.00,4.06,319600,4.06
2013-11-28,4.16,4.16,4.04,4.06,193300,4.06
2013-11-27,3.99,4.20,3.95,4.07,701400,4.07
