Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,212.00,213.50,212.00,212.50,27800,208.76
2014-02-25,218.50,218.50,211.00,213.00,10300,209.25
2014-02-21,209.00,210.50,205.00,205.00,11900,201.39
2014-02-20,210.00,211.50,209.00,209.00,7900,205.32
2014-02-19,212.00,213.00,210.50,211.00,11800,207.29
2014-02-18,219.50,219.50,212.00,213.00,29100,209.25
2014-02-17,211.00,216.50,211.00,214.50,36200,210.73
2014-02-14,217.00,217.00,208.00,211.00,117800,207.29
2014-02-13,223.50,223.50,217.00,217.00,25300,213.18
2014-02-12,234.00,234.00,221.00,221.50,78600,217.60
2014-02-11,216.00,217.50,215.50,216.50,51500,212.69
2014-02-10,216.50,220.00,216.00,216.00,7700,212.20
2014-02-07,216.50,220.00,216.50,217.00,9100,213.18
2014-02-06,217.50,222.00,216.00,216.50,7900,212.69
2014-02-05,216.50,222.50,216.00,222.50,7400,218.59
2014-02-04,218.50,219.00,216.50,216.50,5500,212.69
2014-02-03,226.00,227.00,218.50,218.50,4700,214.66
2014-01-31,220.50,226.00,216.00,226.00,17200,222.02
2014-01-30,221.50,224.00,208.00,221.50,27000,217.60
2014-01-29,227.00,229.00,218.00,222.00,11000,218.09
2014-01-28,226.50,234.50,222.50,226.50,22900,222.52
2014-01-27,235.00,235.00,225.50,226.50,18000,222.52
2014-01-24,238.00,242.00,235.00,235.00,6900,230.87
2014-01-23,250.00,250.00,235.00,239.00,26100,234.80
2014-01-22,248.00,251.00,247.00,249.50,5500,245.11
2014-01-21,250.00,250.00,248.50,250.00,5000,245.60
2014-01-20,252.00,252.50,247.00,250.00,14100,245.60
2014-01-17,250.50,252.50,248.00,252.50,109000,248.06
2014-01-16,252.50,253.00,251.50,252.50,13000,248.06
2014-01-15,250.00,252.50,250.00,252.50,15700,248.06
2014-01-14,246.50,251.00,241.00,250.00,12800,245.60
2014-01-13,249.50,251.00,246.00,247.00,16800,242.66
2014-01-10,249.50,250.00,248.00,250.00,6100,245.60
2014-01-09,252.50,252.50,249.50,249.50,6800,245.11
2014-01-08,253.00,253.00,248.50,251.00,10900,246.58
2014-01-07,250.00,252.50,245.00,252.50,17700,248.06
2014-01-06,249.00,249.00,249.00,249.00,000,244.62
2014-01-03,248.00,252.50,244.00,249.00,64800,244.62
2014-01-02,253.00,253.00,248.50,251.00,100500,246.58
2014-01-01,253.50,253.50,253.50,253.50,000,249.04
2013-12-31,253.50,253.50,253.50,253.50,000,249.04
2013-12-30,252.00,254.00,248.00,253.50,13600,249.04
2013-12-27,247.00,252.50,245.00,252.00,23200,247.57
2013-12-26,249.50,249.50,249.50,249.50,000,245.11
2013-12-25,249.50,249.50,249.50,249.50,000,245.11
2013-12-24,249.50,249.50,249.50,249.50,000,245.11
2013-12-23,246.00,249.50,241.50,249.50,8400,245.11
2013-12-20,243.00,248.00,234.00,247.50,18200,243.15
2013-12-19,237.50,243.50,234.50,243.50,12200,239.22
2013-12-18,237.50,238.50,232.50,238.50,10600,234.30
2013-12-17,242.50,243.50,236.00,237.00,17000,232.83
2013-12-16,233.50,243.00,233.00,241.00,15800,236.76
2013-12-13,232.50,235.00,232.50,235.00,8400,230.87
2013-12-12,231.00,234.00,229.50,233.50,3700,229.39
2013-12-11,234.00,234.50,230.00,231.50,9700,227.43
2013-12-10,239.00,239.00,229.00,235.00,21700,230.87
2013-12-09,240.00,245.50,238.00,238.50,2500,234.30
2013-12-06,244.50,245.50,240.50,240.50,2700,236.27
2013-12-05,240.00,246.00,238.00,244.50,25800,240.20
2013-12-04,238.50,241.00,238.00,241.00,14600,236.76
2013-12-03,240.50,245.00,237.00,238.50,8600,234.30
2013-12-02,236.00,244.50,236.00,244.50,34800,240.20
2013-11-29,233.00,238.00,233.00,238.00,8800,233.81
2013-11-28,225.50,237.00,225.50,237.00,22500,232.83
2013-11-27,226.00,230.00,226.00,230.00,24500,225.95
2013-11-26,224.50,226.50,223.50,225.00,15300,221.04
2013-11-25,226.50,227.00,225.00,225.00,14300,221.04
2013-11-22,223.50,227.00,223.50,226.00,34500,222.02
2013-11-21,229.00,229.00,223.00,226.00,4000,222.02
2013-11-20,236.50,237.00,229.00,229.00,7500,224.97
2013-11-19,237.00,237.00,233.50,235.00,16000,230.87
2013-11-18,237.00,237.50,232.50,237.00,15200,232.83
2013-11-15,235.00,237.00,234.00,237.00,20900,232.83
2013-11-14,233.00,235.00,230.00,235.00,19300,230.87
2013-11-13,227.00,230.50,225.00,230.50,24300,226.45
2013-11-12,224.00,228.00,221.00,228.00,7000,223.99
2013-11-11,226.50,229.00,223.50,224.00,5600,220.06
2013-11-08,228.00,228.00,225.00,226.50,17500,222.52
2013-11-07,217.50,229.00,216.50,229.00,58200,224.97
2013-11-06,213.00,217.50,210.00,217.50,45900,213.67
2013-11-05,212.00,214.50,211.00,213.00,19200,209.25
2013-11-04,219.00,219.00,210.50,212.00,19300,208.27
2013-11-01,221.00,221.00,214.00,214.00,6000,210.24
2013-10-31,222.00,222.00,217.50,221.00,14400,217.11
2013-10-30,217.00,223.00,217.00,222.00,17800,218.09
2013-10-29,220.00,220.00,215.00,216.50,20100,212.69
2013-10-28,229.00,229.00,218.50,221.00,16500,217.11
2013-10-25,224.00,228.00,224.00,228.00,11800,223.99
2013-10-24,218.00,227.50,218.00,223.00,46100,219.08
2013-10-23,241.50,241.50,213.50,217.00,138600,213.18
2013-10-22,240.00,245.00,240.00,244.00,12800,239.71
2013-10-21,240.50,245.00,238.50,242.00,14900,237.74
2013-10-18,242.50,242.50,239.00,239.50,2200,235.29
2013-10-17,241.00,244.50,239.50,244.00,7500,239.71
2013-10-16,240.00,241.00,238.00,240.00,25100,235.78
2013-10-15,239.00,241.50,238.00,239.50,2600,235.29
2013-10-14,241.50,241.50,230.50,239.50,6000,235.29
2013-10-11,241.50,242.00,239.00,242.00,8800,237.74
2013-10-10,235.50,243.00,235.50,241.50,21800,237.25
2013-10-09,238.00,238.00,235.50,237.00,15500,232.83
2013-10-08,239.50,239.50,235.00,237.00,13200,232.83
2013-10-07,241.00,242.50,235.50,240.50,12400,236.27
2013-10-04,239.00,243.50,235.00,243.00,9500,238.73
2013-10-03,240.00,240.50,237.50,238.50,9300,234.30
2013-10-02,241.00,241.00,229.00,238.50,50700,234.30
2013-10-01,243.00,243.00,238.50,241.00,9900,236.76
2013-09-30,247.50,248.50,240.50,244.00,15600,239.71
2013-09-27,245.50,249.00,240.00,249.00,8000,244.62
2013-09-26,245.50,246.50,244.50,246.00,3600,241.67
2013-09-25,248.00,249.50,245.50,247.00,7400,242.66
2013-09-24,247.00,249.50,247.00,248.00,7100,243.64
2013-09-23,247.50,249.50,246.50,247.50,3100,243.15
2013-09-20,249.50,251.00,246.00,248.00,8100,243.64
2013-09-19,251.50,252.50,249.50,249.50,7900,245.11
2013-09-18,251.00,252.00,250.00,250.00,6500,245.60
2013-09-17,249.00,251.00,247.50,251.00,5600,246.58
2013-09-16,250.00,252.50,247.50,249.00,5200,244.62
2013-09-13,253.00,253.00,245.50,249.50,7400,245.11
2013-09-12,253.50,254.00,250.00,251.50,7200,247.08
2013-09-11,254.00,257.00,252.00,254.50,10700,250.02
2013-09-10,247.00,254.50,247.00,254.50,30100,250.02
2013-09-09,249.50,250.00,244.50,247.00,14000,242.66
2013-09-06,248.00,249.50,245.00,249.50,9600,245.11
2013-09-05,247.00,250.00,245.50,249.00,16800,244.62
2013-09-04,244.00,249.00,242.50,247.50,10000,243.15
2013-09-03,238.00,244.50,238.00,244.50,30000,240.20
2013-09-02,236.50,240.00,236.50,237.50,6500,233.32
2013-08-30,232.00,237.50,232.00,236.50,8100,232.34
2013-08-29,231.00,233.50,228.50,233.50,10600,229.39
2013-08-28,229.50,231.50,226.50,230.00,11000,225.95
2013-08-27,230.00,230.50,226.00,229.00,8000,224.97
2013-08-26,231.50,231.50,228.50,230.00,15900,225.95
2013-08-23,228.00,231.50,228.00,231.00,10900,226.94
2013-08-22,222.50,232.00,222.50,228.00,22700,223.99
2013-08-21,225.50,229.00,225.00,228.00,13000,223.99
2013-08-20,227.00,227.00,224.50,224.50,10300,220.55
2013-08-19,227.50,227.50,224.00,227.00,7400,223.01
2013-08-16,223.00,227.50,221.00,226.00,17200,222.02
2013-08-15,222.00,223.00,221.50,222.00,5400,218.09
2013-08-14,223.50,224.00,220.50,222.00,1500,218.09
2013-08-13,223.00,224.00,222.50,223.50,6700,219.57
2013-08-12,223.00,223.00,220.00,222.00,5300,218.09
2013-08-09,220.50,224.50,218.00,223.00,48700,219.08
2013-08-08,225.00,225.00,217.50,219.00,12300,215.15
2013-08-07,227.00,227.50,221.00,221.50,12600,217.60
2013-08-06,230.00,233.50,226.00,226.50,21900,222.52
2013-08-05,224.50,230.00,224.00,230.00,16000,225.95
2013-08-02,226.00,226.00,223.00,225.00,5400,221.04
2013-08-01,223.00,226.00,220.50,226.00,5500,222.02
2013-07-31,220.50,223.00,215.00,223.00,9700,219.08
2013-07-30,221.00,221.00,219.50,219.50,3300,215.64
2013-07-29,223.00,223.00,219.50,220.00,3600,216.13
2013-07-26,224.00,224.00,220.50,221.50,3300,217.60
2013-07-25,223.00,223.50,221.50,223.50,1300,219.57
2013-07-24,221.50,223.00,220.00,223.00,2900,219.08
2013-07-23,220.00,222.00,220.00,222.00,3400,218.09
2013-07-22,220.50,227.00,219.00,221.00,24300,217.11
2013-07-19,222.00,226.50,218.00,223.50,10100,219.57
2013-07-18,221.00,222.50,219.50,220.50,8500,216.62
2013-07-17,223.00,223.00,219.00,222.00,1400,218.09
2013-07-16,224.00,224.00,220.00,220.00,19500,216.13
2013-07-15,225.00,225.00,218.00,223.50,27600,219.57
2013-07-12,216.50,228.00,214.50,226.50,18700,222.52
2013-07-11,214.50,216.50,214.00,216.00,8900,212.20
2013-07-10,218.00,218.00,212.50,212.50,14200,208.76
2013-07-09,225.00,225.00,212.50,218.00,14300,214.17
2013-07-08,227.00,228.50,214.00,221.50,14900,217.60
2013-07-05,230.00,230.00,226.00,229.00,4900,224.97
2013-07-04,230.00,230.00,226.50,230.00,7300,225.95
2013-07-03,229.00,229.00,224.50,229.00,2900,224.97
2013-07-02,227.50,229.50,223.50,229.50,3500,225.46
2013-07-01,229.00,232.00,226.50,228.00,12600,223.99
2013-06-28,228.00,228.50,221.50,227.00,17900,223.01
2013-06-27,225.50,229.50,225.50,227.00,5200,223.01
2013-06-26,222.50,233.00,222.50,229.00,18600,224.97
2013-06-25,223.00,225.00,220.00,222.50,20600,218.59
2013-06-24,221.50,225.50,218.50,223.00,17800,219.08
2013-06-21,227.00,227.00,227.00,227.00,000,223.01
2013-06-20,231.00,231.00,224.00,227.00,27800,223.01
2013-06-19,232.50,233.50,230.50,231.00,4300,226.94
2013-06-18,234.00,234.00,231.00,232.50,10500,228.41
2013-06-17,231.00,234.50,231.00,234.00,20800,229.88
2013-06-14,232.00,235.00,232.00,235.00,7600,230.87
2013-06-13,234.50,234.50,230.00,231.00,12800,226.94
2013-06-12,236.50,237.50,232.50,235.00,8800,230.87
2013-06-11,231.00,245.00,231.00,232.00,19800,227.92
2013-06-10,244.00,245.00,240.00,243.00,8300,238.73
2013-06-07,242.00,246.00,241.50,244.00,12000,239.71
2013-06-06,242.00,242.00,242.00,242.00,000,237.74
2013-06-05,246.00,246.00,239.00,242.00,9100,237.74
2013-06-04,244.50,244.50,240.50,241.00,10500,236.76
2013-06-03,244.00,245.50,236.50,244.50,20100,240.20
2013-05-31,245.00,245.50,231.00,244.50,87800,240.20
2013-05-30,229.50,246.00,227.00,246.00,99200,241.67
2013-05-29,225.00,229.00,224.00,229.00,19400,224.97
2013-05-28,221.00,229.50,221.00,226.50,24000,222.52
2013-05-27,222.00,224.00,220.50,221.00,4700,217.11
2013-05-24,225.00,226.50,221.00,223.00,13100,219.08
2013-05-23,229.00,229.00,221.00,225.00,11400,221.04
2013-05-22,229.50,230.50,226.00,230.50,9100,226.45
2013-05-21,231.50,232.00,226.00,226.00,16900,222.02
2013-05-20,223.00,232.00,222.50,232.00,8100,227.92
2013-05-17,228.00,228.50,223.00,224.00,8700,220.06
2013-05-16,226.50,229.00,225.00,228.50,5400,224.48
2013-05-15,230.00,230.00,225.50,228.00,7300,223.99
2013-05-14,225.00,231.00,222.50,230.50,16800,226.45
2013-05-13,231.00,235.50,222.50,225.00,42200,221.04
2013-05-10,230.00,234.50,227.00,231.00,16800,226.94
2013-05-09,235.00,235.00,235.00,235.00,000,230.87
2013-05-08,225.50,237.50,225.50,235.00,33100,230.87
2013-05-07,221.50,228.50,221.50,227.00,51100,223.01
2013-05-06,222.00,222.50,219.00,222.50,9300,218.59
2013-05-03,215.00,222.00,215.00,222.00,7900,218.09
2013-05-02,222.50,222.50,216.50,221.50,32100,217.60
2013-05-01,215.00,215.00,215.00,215.00,000,211.22
2013-04-30,215.00,215.00,215.00,215.00,000,211.22
2013-04-29,215.00,217.50,210.00,215.00,23200,211.22
2013-04-26,206.50,218.00,204.00,218.00,30800,211.31
2013-04-25,212.00,212.00,206.00,206.00,14100,199.68
2013-04-24,210.00,211.50,209.00,210.00,3900,203.56
2013-04-23,208.00,211.50,207.00,210.00,6900,203.56
2013-04-22,210.00,214.00,207.00,208.50,9900,202.10
2013-04-19,210.00,211.50,208.50,211.50,4600,205.01
2013-04-18,211.50,212.00,205.50,208.50,9200,202.10
2013-04-17,212.00,213.50,211.50,211.50,4200,205.01
2013-04-16,216.00,216.00,211.50,212.00,9100,205.50
2013-04-15,215.50,219.00,215.00,216.50,6700,209.86
2013-04-12,216.50,217.50,215.00,217.50,9300,210.83
