Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,49.10,49.70,48.80,49.60,73000,47.28
2014-02-25,49.50,49.70,49.00,49.40,64500,47.09
2014-02-24,49.00,49.70,49.00,49.70,68400,47.37
2014-02-21,49.00,49.00,48.50,49.00,55900,46.70
2014-02-20,49.20,49.20,48.80,49.10,62200,46.80
2014-02-19,48.80,49.60,48.70,49.60,88700,47.28
2014-02-18,48.70,49.40,48.00,48.70,72700,46.42
2014-02-17,49.10,49.60,48.70,48.80,74500,46.51
2014-02-14,49.10,49.30,48.90,49.10,88800,46.80
2014-02-13,48.50,49.10,48.50,49.10,150200,46.80
2014-02-12,49.10,49.50,48.70,49.10,162200,46.80
2014-02-11,49.00,49.90,48.60,49.10,215400,46.80
2014-02-10,48.80,49.70,48.40,49.00,165000,46.70
2014-02-07,48.50,49.40,48.50,48.60,108600,46.32
2014-02-06,48.30,48.60,48.10,48.40,109000,46.13
2014-02-05,48.40,48.80,48.30,48.30,118200,46.04
2014-02-04,49.20,49.20,48.40,48.70,161600,46.42
2014-02-03,49.70,49.90,48.60,49.00,301500,46.70
2014-01-31,49.60,50.50,49.10,49.70,69400,47.37
2014-01-30,50.00,50.00,49.40,49.80,450400,47.47
2014-01-29,50.50,50.50,49.50,49.80,269300,47.47
2014-01-28,50.00,50.75,49.60,49.90,262500,47.56
2014-01-27,49.40,50.00,48.60,49.70,262500,47.37
2014-01-24,50.75,50.75,48.50,49.10,362000,46.80
2014-01-23,51.50,52.25,50.75,50.75,189500,48.37
2014-01-22,51.75,52.25,51.75,51.75,148700,49.33
2014-01-21,52.25,52.75,51.50,51.75,313300,49.33
2014-01-20,53.50,53.50,52.00,52.00,94400,49.56
2014-01-17,52.00,53.50,52.00,53.00,85400,50.52
2014-01-16,52.25,53.00,51.50,52.00,458500,49.56
2014-01-15,49.90,52.00,49.80,52.00,318500,49.56
2014-01-14,50.00,50.25,49.00,49.80,536100,47.47
2014-01-13,50.25,50.25,49.90,50.00,241200,47.66
2014-01-10,49.80,50.00,49.70,50.00,282700,47.66
2014-01-09,50.00,50.25,49.80,49.80,91900,47.47
2014-01-08,49.60,50.25,49.50,49.90,255600,47.56
2014-01-07,50.50,50.50,49.20,49.70,299100,47.37
2014-01-06,49.80,49.80,49.80,49.80,000,47.47
2014-01-03,49.00,50.25,48.80,49.80,219400,47.47
2014-01-02,48.80,49.00,48.40,49.00,92000,46.70
2014-01-01,48.40,48.40,48.40,48.40,000,46.13
2013-12-31,48.40,48.40,48.40,48.40,000,46.13
2013-12-30,48.00,48.40,47.90,48.40,61400,46.13
2013-12-27,47.40,48.00,47.40,47.80,62900,45.56
2013-12-26,47.40,47.40,47.40,47.40,000,45.18
2013-12-25,47.40,47.40,47.40,47.40,000,45.18
2013-12-24,47.40,47.40,47.40,47.40,000,45.18
2013-12-23,47.70,48.00,47.20,47.40,62300,45.18
2013-12-20,47.80,48.50,47.70,47.80,141900,45.56
2013-12-19,46.20,47.80,46.20,47.80,93600,45.56
2013-12-18,46.80,47.80,45.80,46.10,315300,43.94
2013-12-17,45.70,47.00,45.60,46.60,217400,44.42
2013-12-16,46.50,47.30,45.80,45.80,146900,43.65
2013-12-13,46.10,46.90,45.70,46.20,125800,44.04
2013-12-12,45.90,46.50,45.20,46.00,172200,43.85
2013-12-11,48.00,48.00,45.80,45.90,193600,43.75
2013-12-10,48.30,48.30,47.40,47.90,54800,45.66
2013-12-09,49.00,49.00,48.00,48.20,82500,45.94
2013-12-06,48.70,48.70,47.40,48.70,70600,46.42
2013-12-05,47.90,48.90,47.90,48.70,92600,46.42
2013-12-04,48.40,49.20,47.90,48.20,64200,45.94
2013-12-03,49.20,49.30,47.90,48.40,69900,46.13
2013-12-02,49.50,49.50,49.10,49.40,58000,47.09
2013-11-29,49.30,49.50,49.10,49.40,64700,47.09
2013-11-28,49.40,49.60,49.20,49.50,166500,47.18
2013-11-27,49.50,49.50,48.60,49.20,170700,46.90
2013-11-26,48.50,49.40,48.00,49.40,498000,47.09
2013-11-25,49.40,49.60,48.00,48.70,188300,46.42
2013-11-22,48.30,49.40,48.30,48.90,278700,46.61
2013-11-21,49.20,49.20,47.00,48.30,511500,46.04
2013-11-20,50.00,50.00,48.40,49.20,11163800,46.90
2013-11-19,53.75,54.25,52.25,53.00,27400,50.52
2013-11-18,53.50,55.00,53.25,53.75,133800,51.23
2013-11-15,52.75,53.50,52.00,53.25,38500,50.76
2013-11-14,53.25,53.75,52.00,52.50,74100,50.04
2013-11-13,51.25,54.00,51.25,52.75,535000,50.28
2013-11-12,52.00,52.00,51.25,51.25,86100,48.85
2013-11-11,50.00,52.75,49.90,52.00,144800,49.56
2013-11-08,50.25,51.00,49.10,49.10,150800,46.80
2013-11-07,50.50,51.00,49.60,50.00,136600,47.66
2013-11-06,49.10,50.25,49.10,50.00,262300,47.66
2013-11-05,48.10,49.00,48.10,48.90,14500,46.61
2013-11-04,49.50,49.50,48.10,48.10,25900,45.85
2013-11-01,49.40,49.40,48.60,49.40,10300,47.09
2013-10-31,49.00,49.10,48.70,48.70,42900,46.42
2013-10-30,49.10,49.50,48.60,48.90,91800,46.61
2013-10-29,49.70,50.00,49.00,49.00,42000,46.70
2013-10-28,50.00,50.00,49.40,49.70,47000,47.37
2013-10-25,49.70,49.80,48.70,49.80,44700,47.47
2013-10-24,49.20,49.60,48.00,49.40,121400,47.09
2013-10-23,49.00,49.80,48.70,49.00,301500,46.70
2013-10-22,48.20,48.70,47.40,48.60,125000,46.32
2013-10-21,48.00,48.80,48.00,48.20,54400,45.94
2013-10-18,48.10,48.20,48.00,48.00,29800,45.75
2013-10-17,47.80,48.20,47.70,47.90,16700,45.66
2013-10-16,48.00,48.70,47.50,47.70,48300,45.47
2013-10-15,49.00,49.00,48.00,48.10,238900,45.85
2013-10-14,48.90,49.00,48.20,48.70,74000,46.42
2013-10-11,47.50,49.00,47.40,48.80,296200,46.51
2013-10-10,46.40,47.70,46.20,47.40,38400,45.18
2013-10-09,45.80,46.00,45.40,46.00,29100,43.85
2013-10-08,45.60,46.30,45.30,46.00,28100,43.85
2013-10-07,45.00,46.70,44.30,45.70,49400,43.56
2013-10-04,45.30,45.60,44.90,45.00,21100,42.89
2013-10-03,44.90,46.20,44.90,45.30,24100,43.18
2013-10-02,45.50,45.60,44.40,45.30,30600,43.18
2013-10-01,45.20,46.00,45.20,45.50,537900,43.37
2013-09-30,45.10,45.40,44.50,45.30,17900,43.18
2013-09-27,45.10,45.50,44.50,45.40,129600,43.27
2013-09-26,45.20,45.30,44.30,45.20,31200,43.08
2013-09-25,44.80,45.00,44.30,45.00,26500,42.89
2013-09-24,44.60,45.00,44.50,45.00,36900,42.89
2013-09-23,45.00,45.20,44.40,44.80,32200,42.70
2013-09-20,45.10,45.20,44.90,45.20,19100,43.08
2013-09-19,44.80,45.30,44.40,45.00,184400,42.89
2013-09-18,44.50,44.60,44.20,44.30,24700,42.22
2013-09-17,43.80,44.90,43.80,44.60,35300,42.51
2013-09-16,44.80,45.00,43.10,43.80,71100,41.75
2013-09-13,44.10,44.70,43.80,44.70,29400,42.61
2013-09-12,44.00,44.70,43.70,44.10,80100,42.03
2013-09-11,44.00,44.40,43.80,44.00,44800,41.94
2013-09-10,44.40,44.80,43.80,44.00,41400,41.94
