Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,26.80,27.20,26.60,26.90,65900,26.90
2014-02-25,27.30,27.50,26.70,26.80,40400,26.80
2014-02-21,27.50,27.60,27.00,27.10,49500,27.10
2014-02-20,27.40,27.50,26.80,27.50,68600,27.50
2014-02-19,27.50,27.50,27.20,27.40,24500,27.40
2014-02-18,27.60,27.80,27.10,27.40,49000,27.40
2014-02-17,27.80,28.00,26.60,27.60,120500,27.60
2014-02-14,28.90,28.90,26.00,27.60,297100,27.60
2014-02-13,30.60,30.80,30.30,30.50,54600,30.50
2014-02-12,30.70,30.80,30.30,30.60,32700,30.60
2014-02-11,30.30,31.00,30.30,30.60,44200,30.60
2014-02-10,30.00,30.40,30.00,30.00,41300,30.00
2014-02-07,29.50,30.50,29.50,30.50,49000,30.50
2014-02-06,29.30,30.00,29.30,29.50,45800,29.50
2014-02-05,29.10,29.80,29.10,29.10,49000,29.10
2014-02-04,30.00,30.00,28.90,29.00,74900,29.00
2014-02-03,30.00,30.00,29.40,29.40,23200,29.40
2014-01-31,29.30,29.90,28.50,29.70,45400,29.70
2014-01-30,29.90,29.90,29.00,29.30,62600,29.30
2014-01-29,30.30,30.50,29.90,30.10,50100,30.10
2014-01-28,30.50,30.50,30.10,30.30,36600,30.30
2014-01-27,30.50,30.80,30.20,30.50,69800,30.50
2014-01-24,32.00,32.40,31.00,31.50,54900,31.50
2014-01-23,32.60,32.90,31.50,32.00,39200,32.00
2014-01-22,32.70,33.30,32.50,32.50,66500,32.50
2014-01-21,32.00,33.30,32.00,32.70,175000,32.70
2014-01-20,32.10,32.10,31.60,32.00,30500,32.00
2014-01-17,31.90,32.10,31.70,31.70,41300,31.70
2014-01-16,31.90,31.90,31.50,31.60,28600,31.60
2014-01-15,31.40,31.80,31.40,31.80,39400,31.80
2014-01-14,31.40,31.40,31.00,31.30,58400,31.30
2014-01-13,31.70,31.80,31.20,31.60,32600,31.60
2014-01-10,31.50,32.00,31.50,31.80,26200,31.80
2014-01-09,32.00,32.00,31.50,31.50,46600,31.50
2014-01-08,32.00,32.20,31.60,31.70,110200,31.70
2014-01-07,31.40,32.00,31.30,31.70,57000,31.70
2014-01-06,31.30,31.30,31.30,31.30,000,31.30
2014-01-03,31.00,31.40,30.70,31.30,40200,31.30
2014-01-02,30.90,31.00,30.50,30.90,26800,30.90
2014-01-01,30.40,30.40,30.40,30.40,000,30.40
2013-12-31,30.40,30.40,30.40,30.40,000,30.40
2013-12-30,30.50,30.70,30.10,30.40,89900,30.40
2013-12-27,29.40,30.00,29.20,29.90,80300,29.90
2013-12-26,29.50,29.50,29.50,29.50,000,29.50
2013-12-25,29.50,29.50,29.50,29.50,000,29.50
2013-12-24,29.50,29.50,29.50,29.50,000,29.50
2013-12-23,28.70,29.50,28.60,29.50,59800,29.50
2013-12-20,28.70,29.00,28.50,28.80,55600,28.80
2013-12-19,28.40,28.70,28.30,28.70,58100,28.70
2013-12-18,28.50,28.90,28.40,28.70,13400,28.70
2013-12-17,29.20,29.20,28.40,28.80,37400,28.80
2013-12-16,29.00,29.20,28.50,29.20,25700,29.20
2013-12-13,29.00,29.40,28.90,29.40,18500,29.40
2013-12-12,29.50,29.50,28.90,29.00,20600,29.00
2013-12-11,29.10,29.70,29.10,29.40,13900,29.40
2013-12-10,29.90,29.90,29.10,29.40,40500,29.40
2013-12-09,29.50,29.80,29.20,29.40,21900,29.40
2013-12-06,29.70,29.80,29.30,29.50,7300,29.50
2013-12-05,29.40,29.60,29.40,29.50,12900,29.50
2013-12-04,30.00,30.00,29.20,29.40,26400,29.40
2013-12-03,30.20,30.20,29.50,29.80,32700,29.80
2013-12-02,29.90,30.30,29.70,29.90,33700,29.90
2013-11-29,30.00,30.20,29.80,29.90,37000,29.90
2013-11-28,29.60,30.00,29.60,29.70,20400,29.70
2013-11-27,29.50,29.70,29.30,29.60,16900,29.60
2013-11-26,29.80,29.80,29.40,29.70,15400,29.70
2013-11-25,29.40,29.90,29.20,29.20,21000,29.20
2013-11-22,29.00,29.30,28.90,29.20,28700,29.20
2013-11-21,29.60,29.60,28.90,28.90,29600,28.90
2013-11-20,29.90,30.00,28.20,29.20,39600,29.20
2013-11-19,30.50,30.50,29.80,29.80,34900,29.80
2013-11-18,30.30,30.70,29.90,30.00,27800,30.00
2013-11-15,30.60,31.00,30.30,30.30,27300,30.30
2013-11-14,30.90,31.10,30.60,30.60,19400,30.60
2013-11-13,31.00,31.00,30.40,30.40,16800,30.40
2013-11-12,31.10,31.30,30.80,30.90,32000,30.90
2013-11-11,30.30,31.30,30.30,31.10,85300,31.10
2013-11-08,30.50,30.70,28.00,30.30,241600,30.30
2013-11-07,31.30,31.60,31.10,31.20,47400,31.20
2013-11-06,30.80,31.10,30.70,31.10,48300,31.10
2013-11-05,30.20,30.90,30.20,30.40,70400,30.40
2013-11-04,29.20,30.20,29.20,30.20,40500,30.20
2013-11-01,28.90,29.00,28.50,29.00,16600,29.00
2013-10-31,29.00,29.10,28.60,28.90,47000,28.90
2013-10-30,28.80,29.00,28.70,29.00,28600,29.00
2013-10-29,29.10,29.10,28.20,28.70,42000,28.70
2013-10-28,29.00,29.20,28.70,29.10,81600,29.10
2013-10-25,28.00,28.60,27.90,28.30,695000,28.30
2013-10-24,27.80,27.80,27.50,27.80,45100,27.80
2013-10-23,28.00,28.00,27.60,27.90,18200,27.90
2013-10-22,27.70,28.10,27.60,27.90,35000,27.90
2013-10-21,27.90,27.90,27.60,27.60,20900,27.60
2013-10-18,28.00,28.00,27.60,27.90,20800,27.90
2013-10-17,27.90,27.90,27.50,27.60,27000,27.60
2013-10-16,27.50,28.10,27.30,27.30,65200,27.30
2013-10-15,27.10,27.60,27.10,27.40,14200,27.40
2013-10-14,27.40,27.40,27.00,27.10,23100,27.10
2013-10-11,27.90,27.90,27.10,27.60,37600,27.60
2013-10-10,27.40,27.90,27.20,27.90,34900,27.90
2013-10-09,27.90,27.90,27.60,27.90,20900,27.90
2013-10-08,27.20,27.50,27.20,27.40,19300,27.40
2013-10-07,27.40,27.50,27.00,27.30,23800,27.30
2013-10-04,28.50,28.70,27.40,27.40,94000,27.40
2013-10-03,28.00,28.70,27.90,28.50,124600,28.50
2013-10-02,28.00,28.30,27.80,27.90,42900,27.90
2013-10-01,28.60,28.70,28.00,28.00,67800,28.00
2013-09-30,29.50,29.50,28.20,28.50,91800,28.50
2013-09-27,29.50,29.60,29.30,29.50,19600,29.50
2013-09-26,30.20,30.70,28.80,29.60,95900,29.60
2013-09-25,30.60,30.80,30.10,30.20,42400,30.20
2013-09-24,30.60,30.70,30.50,30.60,13400,30.60
2013-09-23,30.80,30.80,30.60,30.80,26200,30.80
2013-09-20,30.70,30.80,30.60,30.60,23500,30.60
2013-09-19,30.90,31.00,30.60,30.60,51500,30.60
2013-09-18,30.90,30.90,30.60,30.90,23000,30.90
2013-09-17,30.70,30.90,30.60,30.80,34900,30.80
2013-09-16,30.80,31.00,30.40,30.50,55900,30.50
2013-09-13,30.80,30.90,30.50,30.70,29200,30.70
2013-09-12,30.50,30.90,30.30,30.90,24900,30.90
2013-09-11,31.00,31.00,30.50,30.60,23800,30.60
2013-09-10,30.80,31.00,30.50,30.70,41000,30.70
2013-09-09,30.80,30.90,30.40,30.80,28600,30.80
2013-09-06,30.90,30.90,30.40,30.70,9700,30.70
2013-09-05,31.00,31.10,30.50,30.90,41200,30.90
2013-09-04,30.80,31.00,30.30,31.00,35400,31.00
2013-09-03,31.00,31.00,30.50,30.80,71700,30.80
2013-09-02,30.30,31.60,30.30,30.80,247800,30.80
2013-08-30,29.00,29.10,28.60,28.80,10900,28.80
2013-08-29,28.90,29.20,28.60,29.10,18500,29.10
2013-08-28,29.30,29.30,28.70,29.00,4800,29.00
2013-08-27,29.40,29.50,28.70,29.30,21700,29.30
2013-08-26,29.30,29.50,29.00,29.40,27500,29.40
2013-08-23,30.10,31.00,29.40,29.40,98300,29.40
2013-08-22,29.80,29.80,29.30,29.80,11400,29.80
2013-08-21,29.50,30.10,29.50,29.80,13100,29.80
2013-08-20,30.40,30.40,29.60,30.20,8000,30.20
2013-08-19,29.90,30.20,29.60,30.10,25000,30.10
2013-08-16,29.80,29.90,29.60,29.90,13500,29.90
2013-08-15,30.00,30.00,29.60,29.90,15300,29.90
2013-08-14,30.30,30.30,29.80,30.00,14500,30.00
2013-08-13,30.50,30.50,29.90,30.30,11600,30.30
2013-08-12,30.40,30.40,29.90,29.90,22100,29.90
2013-08-09,29.80,30.50,29.80,30.50,37100,30.50
2013-08-08,30.00,30.20,29.70,29.80,5600,29.80
2013-08-07,30.50,30.50,30.00,30.00,18300,30.00
2013-08-06,30.00,30.60,29.70,30.50,31200,30.50
2013-08-05,29.50,29.90,29.30,29.80,12600,29.80
2013-08-02,29.40,29.50,29.30,29.50,10200,29.50
2013-08-01,29.70,29.70,29.30,29.40,6800,29.40
2013-07-31,29.70,29.70,29.10,29.70,16100,29.70
2013-07-30,29.20,29.80,29.20,29.60,4500,29.60
2013-07-29,29.50,29.80,29.00,29.60,15100,29.60
2013-07-26,29.20,29.90,29.20,29.60,19700,29.60
2013-07-25,29.30,29.30,28.90,29.20,6100,29.20
2013-07-24,28.70,29.40,28.70,29.30,11200,29.30
2013-07-23,28.70,29.20,28.40,29.10,9300,29.10
2013-07-22,29.40,29.40,28.40,28.40,11700,28.40
2013-07-19,28.60,29.20,28.60,28.60,5800,28.60
2013-07-18,28.70,29.40,28.40,29.20,15800,29.20
2013-07-17,29.40,29.40,28.60,29.30,14100,29.30
2013-07-16,29.00,29.40,28.20,29.40,11700,29.40
2013-07-15,28.50,29.00,28.30,29.00,16100,29.00
2013-07-12,28.20,28.50,27.90,28.50,32000,28.50
2013-07-11,28.80,28.90,28.20,28.30,33600,28.30
2013-07-10,29.00,29.30,28.80,29.00,5500,29.00
2013-07-09,29.40,29.40,28.50,28.90,16600,28.90
