Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,42.30,43.90,42.20,43.90,5000,43.41
2014-02-25,42.50,43.90,42.20,43.90,8000,43.41
2014-02-24,42.60,42.90,42.50,42.50,10100,42.02
2014-02-21,42.50,42.50,42.50,42.50,100,42.02
2014-02-20,42.40,42.40,42.40,42.40,300,41.92
2014-02-19,41.40,41.50,41.40,41.50,400,41.03
2014-02-18,42.50,42.50,42.50,42.50,000,42.02
2014-02-17,42.60,42.60,42.50,42.50,900,42.02
2014-02-14,41.60,41.60,41.60,41.60,000,41.13
2014-02-13,41.60,41.60,41.60,41.60,200,41.13
2014-02-12,41.20,42.00,41.00,41.20,1300,40.74
2014-02-11,41.00,41.00,41.00,41.00,000,40.54
2014-02-10,44.50,44.50,39.10,41.00,42000,40.54
2014-02-07,46.20,46.20,44.50,44.50,5300,44.00
2014-02-06,46.30,46.50,46.30,46.50,1100,45.98
2014-02-05,47.80,47.80,47.80,47.80,000,47.26
2014-02-04,44.80,47.80,44.80,47.80,300,47.26
2014-02-03,44.80,45.00,44.80,44.90,1000,44.40
2014-01-31,45.10,45.10,45.10,45.10,000,44.59
2014-01-30,48.10,48.10,48.10,48.10,000,47.56
2014-01-29,44.70,48.10,44.60,48.10,1000,47.56
2014-01-28,44.80,44.80,44.70,44.70,400,44.20
2014-01-27,44.60,44.60,44.40,44.40,600,43.90
2014-01-24,45.50,45.60,45.20,45.60,1000,45.09
2014-01-23,46.00,47.50,46.00,47.50,3300,46.97
2014-01-22,47.00,47.00,46.70,46.70,1300,46.18
2014-01-21,47.50,47.50,47.00,47.00,1200,46.47
2014-01-20,47.70,47.90,47.70,47.90,1600,47.36
2014-01-17,47.90,49.50,47.90,47.90,1100,47.36
2014-01-16,47.70,48.00,47.70,48.00,1400,47.46
2014-01-15,47.60,48.00,47.60,48.00,1400,47.46
2014-01-14,47.10,50.00,47.10,47.50,2100,46.97
2014-01-13,49.00,49.00,46.00,46.60,3600,46.08
2014-01-10,49.10,50.50,49.00,50.00,15400,49.44
2014-01-09,48.00,49.10,48.00,49.00,16800,48.45
2014-01-08,46.50,49.90,45.00,46.70,76900,46.18
2014-01-07,45.00,47.20,45.00,47.00,15600,46.47
2014-01-06,44.50,44.50,44.50,44.50,000,44.00
2014-01-03,46.00,46.00,44.50,44.50,3400,44.00
2014-01-02,44.00,46.00,44.00,46.00,2700,45.48
2014-01-01,44.10,44.10,44.10,44.10,000,43.60
2013-12-31,44.10,44.10,44.10,44.10,000,43.60
2013-12-30,44.00,45.00,44.00,44.10,7000,43.60
2013-12-27,42.90,44.00,42.90,44.00,800,43.51
2013-12-26,42.50,42.50,42.50,42.50,000,42.02
2013-12-25,42.50,42.50,42.50,42.50,000,42.02
2013-12-24,42.50,42.50,42.50,42.50,000,42.02
2013-12-23,40.00,42.50,40.00,42.50,46600,42.02
2013-12-20,41.70,41.70,41.70,41.70,200,41.23
2013-12-19,42.90,42.90,42.00,42.00,600,41.53
2013-12-18,41.00,42.00,41.00,42.00,200,41.53
2013-12-17,41.50,41.80,41.50,41.80,1200,41.33
2013-12-16,42.50,42.60,41.80,41.80,3300,41.33
2013-12-13,41.30,42.00,41.30,42.00,21300,41.53
2013-12-12,41.00,41.20,41.00,41.20,7100,40.74
2013-12-11,40.70,41.00,40.70,41.00,17700,40.54
2013-12-10,41.20,41.20,40.10,40.10,1800,39.65
2013-12-09,41.90,41.90,41.20,41.20,9200,40.74
2013-12-06,40.60,40.90,40.00,40.00,10400,39.55
2013-12-05,39.50,39.50,39.50,39.50,5300,39.06
2013-12-04,40.40,40.40,40.40,40.40,000,39.95
2013-12-03,40.40,40.40,40.40,40.40,500,39.95
2013-12-02,40.40,41.00,40.40,40.40,7200,39.95
2013-11-29,40.10,40.50,40.10,40.50,1200,40.04
2013-11-28,40.00,40.70,40.00,40.00,3400,39.55
2013-11-27,40.90,40.90,40.10,40.10,1300,39.65
2013-11-26,40.00,40.30,40.00,40.30,16200,39.85
2013-11-25,39.80,40.30,39.80,40.00,11100,39.55
2013-11-22,40.00,40.00,40.00,40.00,500,39.55
2013-11-21,41.00,41.00,40.00,40.00,11600,39.55
2013-11-20,40.00,40.00,40.00,40.00,000,39.55
2013-11-19,39.40,39.60,39.40,39.60,300,39.16
2013-11-18,39.60,39.60,39.20,39.20,5500,38.76
2013-11-15,38.40,40.20,38.40,39.60,5100,39.16
2013-11-14,38.30,38.50,38.30,38.50,4400,38.07
2013-11-13,38.30,38.30,38.30,38.30,000,37.87
2013-11-12,38.10,38.30,38.10,38.30,600,37.87
2013-11-11,39.00,39.60,38.90,39.60,4200,39.16
2013-11-08,38.10,39.00,37.90,39.00,16100,38.56
2013-11-07,39.00,39.00,38.00,38.50,10500,38.07
2013-11-06,39.60,39.60,38.20,38.20,2100,37.77
2013-11-05,38.20,38.30,38.20,38.20,7000,37.77
2013-11-04,38.10,38.10,38.10,38.10,200,37.67
2013-11-01,38.10,38.20,38.00,38.00,5900,37.57
2013-10-31,38.80,40.00,38.00,38.00,22400,37.57
2013-10-30,37.00,39.00,34.10,38.00,66400,37.57
2013-10-29,40.10,41.70,40.00,40.00,6900,39.55
2013-10-28,40.50,40.50,39.50,40.30,8600,39.85
2013-10-25,39.50,42.60,39.50,41.50,8500,41.03
2013-10-24,38.00,38.50,37.70,37.70,8800,37.28
2013-10-23,38.10,38.10,37.70,38.00,1800,37.57
2013-10-22,38.50,39.00,38.10,39.00,2400,38.56
2013-10-21,39.10,40.00,38.80,38.80,1300,38.36
2013-10-18,39.00,39.00,39.00,39.00,000,38.56
2013-10-17,39.00,39.00,39.00,39.00,000,38.56
2013-10-16,39.70,39.70,39.00,39.00,500,38.56
2013-10-15,39.80,39.80,39.80,39.80,9900,39.35
2013-10-14,39.90,40.00,39.90,40.00,4600,39.55
2013-10-11,40.00,40.00,40.00,40.00,100,39.55
2013-10-10,39.90,40.00,39.90,40.00,500,39.55
2013-10-09,39.30,39.30,39.30,39.30,000,38.86
2013-10-08,39.10,39.30,39.10,39.30,700,38.86
2013-10-07,39.00,39.00,39.00,39.00,100,38.56
2013-10-04,40.50,40.60,40.50,40.50,1100,40.04
2013-10-03,39.10,40.40,39.10,39.90,1700,39.45
2013-10-02,40.20,40.20,39.10,39.10,7200,38.66
2013-10-01,41.00,41.50,40.30,40.30,4600,39.85
2013-09-30,41.60,41.60,41.60,41.60,000,41.13
2013-09-27,41.00,41.60,41.00,41.60,700,41.13
2013-09-26,41.40,41.40,40.10,40.10,1300,39.65
2013-09-25,40.50,41.70,40.50,41.70,1300,41.23
2013-09-24,41.00,41.00,40.70,40.70,200,40.24
2013-09-23,40.60,41.90,40.60,41.80,7000,41.33
2013-09-20,41.90,41.90,41.90,41.90,100,41.43
2013-09-19,42.30,42.30,40.60,42.20,700,41.73
2013-09-18,42.30,42.30,42.30,42.30,000,41.82
2013-09-17,42.30,42.30,40.30,42.30,1300,41.82
2013-09-16,40.30,40.40,40.30,40.30,3100,39.85
2013-09-13,40.50,40.50,40.50,40.50,000,40.04
