Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,1.45,1.45,1.43,1.45,53000,1.45
2014-02-25,1.53,1.53,1.35,1.44,652100,1.44
2014-02-24,1.58,1.59,1.54,1.55,149000,1.55
2014-02-21,1.55,1.59,1.53,1.58,135200,1.58
2014-02-20,1.56,1.56,1.53,1.55,57300,1.55
2014-02-19,1.53,1.57,1.52,1.56,145200,1.56
2014-02-18,1.58,1.58,1.53,1.56,80700,1.56
2014-02-17,1.54,1.58,1.52,1.58,158100,1.58
2014-02-14,1.56,1.56,1.56,1.56,1200,1.56
2014-02-13,1.56,1.56,1.52,1.56,148500,1.56
2014-02-12,1.54,1.55,1.54,1.55,17500,1.55
2014-02-11,1.56,1.56,1.55,1.56,14000,1.56
2014-02-10,1.54,1.56,1.54,1.56,25000,1.56
2014-02-07,1.55,1.55,1.51,1.55,118000,1.55
2014-02-06,1.55,1.55,1.45,1.54,201500,1.54
2014-02-05,1.53,1.55,1.53,1.55,19300,1.55
2014-02-04,1.54,1.55,1.52,1.55,37400,1.55
2014-02-03,1.55,1.56,1.54,1.56,39700,1.56
2014-01-31,1.54,1.58,1.54,1.55,193600,1.55
2014-01-30,1.54,1.57,1.54,1.56,69200,1.56
2014-01-29,1.56,1.61,1.55,1.58,780100,1.58
2014-01-28,1.63,1.63,1.54,1.60,120300,1.60
2014-01-27,1.64,1.64,1.52,1.57,48000,1.57
2014-01-24,1.55,1.57,1.52,1.55,483400,1.55
2014-01-23,1.60,1.64,1.55,1.64,626100,1.64
2014-01-22,1.62,1.65,1.58,1.60,362100,1.60
2014-01-21,1.65,1.67,1.62,1.62,1257500,1.62
2014-01-20,1.65,1.67,1.63,1.67,161000,1.67
2014-01-17,1.67,1.67,1.61,1.67,68200,1.67
2014-01-16,1.65,1.67,1.63,1.67,16400,1.67
2014-01-15,1.64,1.67,1.64,1.65,100200,1.65
2014-01-14,1.65,1.65,1.59,1.64,66800,1.64
2014-01-13,1.65,1.65,1.62,1.62,76100,1.62
2014-01-10,1.65,1.67,1.65,1.65,14000,1.65
2014-01-09,1.65,1.65,1.63,1.65,40000,1.65
2014-01-08,1.69,1.69,1.62,1.65,85000,1.65
2014-01-07,1.68,1.72,1.63,1.69,108900,1.69
2014-01-06,1.68,1.68,1.68,1.68,000,1.68
2014-01-03,1.56,1.72,1.56,1.68,174700,1.68
2014-01-02,1.55,1.56,1.54,1.56,261400,1.56
2014-01-01,1.52,1.52,1.52,1.52,000,1.52
2013-12-31,1.52,1.52,1.52,1.52,000,1.52
2013-12-30,1.54,1.55,1.50,1.52,396700,1.52
2013-12-27,1.50,1.55,1.50,1.54,626200,1.54
2013-12-26,1.51,1.51,1.51,1.51,000,1.51
2013-12-25,1.51,1.51,1.51,1.51,000,1.51
2013-12-24,1.51,1.51,1.51,1.51,000,1.51
2013-12-23,1.50,1.52,1.47,1.51,244300,1.51
2013-12-20,1.48,1.51,1.48,1.50,251000,1.50
2013-12-19,1.50,1.52,1.48,1.50,213900,1.50
2013-12-18,1.49,1.52,1.49,1.52,66900,1.52
2013-12-17,1.49,1.52,1.48,1.52,29800,1.52
2013-12-16,1.53,1.53,1.50,1.50,186100,1.50
