Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,17.10,17.50,17.10,17.50,1200,17.50
2014-02-25,16.30,17.20,16.30,17.00,7700,17.00
2014-02-24,16.80,16.90,16.00,16.90,14500,16.90
2014-02-21,16.60,17.00,16.60,17.00,5900,17.00
2014-02-20,17.40,17.40,16.60,17.00,3800,17.00
2014-02-19,17.00,17.00,17.00,17.00,2300,17.00
2014-02-18,17.50,17.50,16.90,16.90,2000,16.90
2014-02-17,17.30,17.70,17.20,17.50,7700,17.50
2014-02-14,16.10,17.30,16.10,17.00,9700,17.00
2014-02-13,17.30,17.30,16.80,16.90,10400,16.90
2014-02-12,17.30,17.40,17.30,17.30,000,17.30
2014-02-11,17.40,17.50,17.40,17.50,1700,17.50
2014-02-10,16.90,17.60,16.90,17.60,4200,17.60
2014-02-07,17.50,17.50,17.10,17.10,1300,17.10
2014-02-06,17.60,17.60,17.60,17.60,200,17.60
2014-02-05,17.60,17.60,17.30,17.60,2900,17.60
2014-02-04,17.60,17.60,17.10,17.10,200,17.10
2014-02-03,17.10,17.80,17.10,17.60,2000,17.60
2014-01-31,17.80,17.80,17.80,17.80,000,17.80
2014-01-30,17.20,17.80,17.10,17.80,2000,17.80
2014-01-29,17.50,17.70,17.10,17.70,5000,17.70
2014-01-28,17.50,17.50,17.10,17.50,1000,17.50
2014-01-27,17.40,17.40,17.10,17.10,1200,17.10
2014-01-24,17.80,18.00,17.50,17.80,3100,17.80
2014-01-23,17.70,18.00,17.50,18.00,600,18.00
2014-01-22,18.30,18.30,17.50,17.70,4600,17.70
2014-01-21,18.80,18.80,18.20,18.20,2000,18.20
2014-01-20,18.70,18.90,18.50,18.90,1500,18.90
2014-01-17,18.50,19.00,18.50,18.90,11200,18.90
2014-01-16,18.50,18.50,18.50,18.50,000,18.50
2014-01-15,18.50,18.50,18.50,18.50,300,18.50
2014-01-14,18.00,18.00,18.00,18.00,6000,18.00
2014-01-13,18.50,18.50,18.50,18.50,000,18.50
2014-01-10,18.00,18.50,18.00,18.50,300,18.50
2014-01-09,18.90,18.90,18.30,18.50,2600,18.50
2014-01-08,18.20,18.90,18.20,18.90,4300,18.90
2014-01-07,18.90,18.90,18.60,18.90,3200,18.90
2014-01-06,19.00,19.00,19.00,19.00,000,19.00
2014-01-03,18.80,19.30,18.80,19.00,3700,19.00
2014-01-02,19.40,19.40,19.00,19.40,3100,19.40
2014-01-01,19.10,19.10,19.10,19.10,000,19.10
2013-12-31,19.10,19.10,19.10,19.10,000,19.10
2013-12-30,19.00,19.50,19.00,19.10,11800,19.10
2013-12-27,18.90,19.40,18.90,19.40,2900,19.40
2013-12-26,19.60,19.60,19.60,19.60,000,19.60
2013-12-25,19.60,19.60,19.60,19.60,000,19.60
2013-12-24,19.60,19.60,19.60,19.60,000,19.60
2013-12-23,19.00,19.60,19.00,19.60,4300,19.60
2013-12-20,19.00,19.60,19.00,19.60,1400,19.60
2013-12-19,19.30,19.30,19.00,19.00,4700,19.00
2013-12-18,20.10,20.80,18.70,19.40,36400,19.40
2013-12-17,20.90,21.30,20.10,20.10,7200,20.10
2013-12-16,20.70,22.00,20.70,20.90,4400,20.90
2013-12-13,22.60,22.60,20.80,21.00,22000,21.00
2013-12-12,23.50,23.50,22.70,23.50,9400,23.50
2013-12-11,23.50,23.50,23.50,23.50,000,23.50
2013-12-10,24.20,24.20,23.50,23.90,6100,23.90
2013-12-09,23.80,24.00,23.80,24.00,3400,24.00
2013-12-06,23.80,23.80,23.80,23.80,000,23.80
2013-12-05,24.30,24.30,23.60,23.80,6400,23.80
2013-12-04,24.50,24.50,24.50,24.50,000,24.50
2013-12-03,24.50,24.50,24.50,24.50,1300,24.50
2013-12-02,23.80,24.50,23.80,24.50,3100,24.50
2013-11-29,24.00,24.20,24.00,24.20,1000,24.20
2013-11-28,23.80,23.80,23.80,23.80,300,23.80
2013-11-27,23.50,23.50,23.50,23.50,2400,23.50
2013-11-26,24.00,24.00,24.00,24.00,100,24.00
2013-11-25,24.00,24.00,24.00,24.00,500,24.00
2013-11-22,23.60,23.60,23.60,23.60,000,23.60
2013-11-21,23.60,23.60,23.60,23.60,100,23.60
2013-11-20,23.80,23.80,23.80,23.80,500,23.80
2013-11-19,24.80,24.80,24.00,24.00,2900,24.00
2013-11-18,24.50,24.50,24.50,24.50,200,24.50
2013-11-15,25.00,25.00,24.50,24.50,1600,24.50
2013-11-14,25.00,25.00,25.00,25.00,000,25.00
2013-11-13,25.00,25.00,25.00,25.00,100,25.00
2013-11-12,25.00,25.40,24.50,25.40,7100,25.40
2013-11-11,25.00,25.00,23.80,25.00,2200,25.00
2013-11-08,25.70,25.70,25.70,25.70,500,25.70
2013-11-07,26.30,26.50,25.30,25.80,15400,25.80
2013-11-06,25.50,26.40,25.50,26.40,6000,26.40
2013-11-05,24.30,24.30,24.30,24.30,100,24.30
2013-11-04,24.20,24.20,24.20,24.20,100,24.20
2013-11-01,24.50,24.50,24.50,24.50,400,24.50
2013-10-31,25.00,25.50,25.00,25.50,1000,25.50
2013-10-30,24.50,25.00,24.50,25.00,1500,25.00
2013-10-29,24.00,24.00,24.00,24.00,000,24.00
2013-10-28,24.00,24.00,24.00,24.00,000,24.00
2013-10-25,24.50,24.50,24.50,24.50,1000,24.50
2013-10-24,24.50,24.50,24.50,24.50,000,24.50
2013-10-23,24.50,24.50,24.50,24.50,000,24.50
2013-10-22,23.30,24.10,23.10,24.00,4400,24.00
2013-10-21,23.90,23.90,23.10,23.80,1100,23.80
2013-10-18,24.40,24.40,24.40,24.40,000,24.40
2013-10-17,24.40,24.40,24.40,24.40,600,24.40
2013-10-16,24.20,24.40,24.20,24.40,1900,24.40
2013-10-15,24.20,24.20,24.20,24.20,000,24.20
2013-10-14,24.90,24.90,24.90,24.90,000,24.90
2013-10-11,24.90,24.90,24.90,24.90,000,24.90
2013-10-10,24.90,24.90,24.90,24.90,000,24.90
2013-10-09,24.90,24.90,24.90,24.90,000,24.90
2013-10-08,24.90,24.90,24.90,24.90,000,24.90
2013-10-07,25.40,25.40,24.90,24.90,600,24.90
2013-10-04,24.50,25.40,24.50,25.40,2500,25.40
2013-10-03,25.40,25.40,25.40,25.40,000,25.40
2013-10-02,24.50,25.30,24.40,24.40,1000,24.40
