Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,50.00,50.00,48.60,49.80,26700,49.80
2014-02-25,49.50,50.00,48.40,50.00,24900,50.00
2014-02-24,50.00,50.00,47.90,48.80,30500,48.80
2014-02-21,51.50,51.50,49.00,49.60,71100,49.60
2014-02-20,51.50,51.50,50.00,51.25,66700,51.25
2014-02-19,51.50,53.50,50.50,52.00,49500,52.00
2014-02-18,50.50,52.50,50.50,51.50,104300,51.50
2014-02-17,50.00,51.25,49.50,51.25,45800,51.25
2014-02-14,49.60,50.50,49.00,50.00,39900,50.00
2014-02-13,48.70,50.50,48.70,49.50,23600,49.50
2014-02-12,50.50,51.50,49.20,49.50,83900,49.50
2014-02-11,49.90,49.90,47.50,49.00,14200,49.00
2014-02-10,46.00,49.90,43.00,49.10,52200,49.10
2014-02-07,45.00,46.80,45.00,46.80,37300,46.80
2014-02-06,46.30,46.30,43.60,44.90,17900,44.90
2014-02-05,46.00,46.70,45.20,46.50,10600,46.50
2014-02-04,46.70,47.60,45.20,46.00,33600,46.00
2014-02-03,45.00,48.50,45.00,48.30,17900,48.30
2014-01-31,47.80,49.30,47.80,49.20,37400,49.20
2014-01-30,47.20,48.50,46.70,47.70,37100,47.70
2014-01-29,47.50,48.60,46.00,47.30,34600,47.30
2014-01-28,43.20,46.50,43.00,46.50,40500,46.50
2014-01-27,46.50,46.50,41.60,43.20,58200,43.20
2014-01-24,48.00,48.50,46.10,46.50,43300,46.50
2014-01-23,49.20,49.30,46.90,48.00,46600,48.00
2014-01-22,50.00,50.00,48.70,49.40,30200,49.40
2014-01-21,48.50,49.90,47.10,49.80,76900,49.80
2014-01-20,52.00,53.75,48.30,48.40,169000,48.40
2014-01-17,49.70,50.00,48.00,48.50,45700,48.50
2014-01-16,50.75,51.25,49.30,50.00,19400,50.00
2014-01-15,49.90,50.50,48.60,50.50,58300,50.50
2014-01-14,50.50,51.50,49.20,50.25,33100,50.25
2014-01-13,52.00,52.50,50.50,51.00,41000,51.00
2014-01-10,51.00,52.75,51.00,52.00,15900,52.00
2014-01-09,51.50,52.75,50.00,52.00,47000,52.00
2014-01-08,54.00,54.00,52.00,52.00,36400,52.00
2014-01-07,54.00,54.50,53.00,54.00,8400,54.00
2014-01-06,54.25,54.25,54.25,54.25,000,54.25
2014-01-03,53.00,54.25,52.50,54.25,33300,54.25
2014-01-02,53.00,53.75,52.00,53.00,16900,53.00
2014-01-01,52.50,52.50,52.50,52.50,000,52.50
2013-12-31,52.50,52.50,52.50,52.50,000,52.50
2013-12-30,54.00,54.00,52.00,52.50,47800,52.50
2013-12-27,53.00,54.00,52.00,53.50,50200,53.50
2013-12-26,53.25,53.25,53.25,53.25,000,53.25
2013-12-25,53.25,53.25,53.25,53.25,000,53.25
2013-12-24,53.25,53.25,53.25,53.25,000,53.25
2013-12-23,50.00,53.50,50.00,53.25,73200,53.25
2013-12-20,52.00,52.25,49.60,50.00,38600,50.00
2013-12-19,51.75,52.75,50.50,52.00,34600,52.00
2013-12-18,53.00,54.50,51.25,51.75,45700,51.75
2013-12-17,49.10,60.00,49.10,52.50,227200,52.50
2013-12-16,49.50,50.50,48.50,49.20,38500,49.20
2013-12-13,48.10,49.60,48.00,49.50,27500,49.50
2013-12-12,49.20,49.50,48.10,48.10,28100,48.10
2013-12-11,49.00,50.25,48.60,49.20,19400,49.20
2013-12-10,49.60,50.25,48.90,50.25,36800,50.25
2013-12-09,52.00,52.00,49.00,49.50,75900,49.50
2013-12-06,51.00,52.50,50.25,52.00,50100,52.00
2013-12-05,51.00,51.75,50.00,51.00,63700,51.00
2013-12-04,49.10,50.50,48.60,49.50,40700,49.50
2013-12-03,50.25,51.00,48.50,49.10,58700,49.10
2013-12-02,46.00,51.00,46.00,50.00,125300,50.00
2013-11-29,52.50,52.75,47.90,50.50,299600,50.50
2013-11-28,56.75,57.75,54.00,54.50,107100,54.50
2013-11-27,53.75,57.00,53.25,57.00,113600,57.00
2013-11-26,52.00,53.75,50.50,53.75,62200,53.75
2013-11-25,48.30,51.00,47.30,51.00,91100,51.00
2013-11-22,47.80,48.70,46.00,48.40,52200,48.40
2013-11-21,47.70,49.50,46.00,48.10,105300,48.10
2013-11-20,42.00,47.20,42.00,47.20,219800,47.20
2013-11-19,44.00,44.00,40.50,41.80,220100,41.80
2013-11-18,48.00,48.20,44.10,44.10,133700,44.10
2013-11-15,46.90,48.50,46.10,47.80,89900,47.80
2013-11-14,49.50,50.00,46.10,46.80,52100,46.80
2013-11-13,53.25,53.25,48.00,50.00,131200,50.00
2013-11-12,45.00,54.50,44.50,52.00,374900,52.00
2013-11-11,49.20,49.70,45.10,45.90,324700,45.90
2013-11-08,52.75,52.75,49.00,49.50,91100,49.50
2013-11-07,53.00,53.50,50.75,52.75,83200,52.75
2013-11-06,54.75,54.75,52.00,52.50,45100,52.50
2013-11-05,53.00,55.00,52.50,54.75,48300,54.75
2013-11-04,58.25,58.25,52.25,54.00,91700,54.00
2013-11-01,55.00,57.25,53.25,57.25,29600,57.25
2013-10-31,56.25,57.00,49.20,53.75,191300,53.75
2013-10-30,60.00,60.50,56.25,56.25,65700,56.25
2013-10-29,58.75,60.25,58.25,59.00,25100,59.00
2013-10-28,63.00,63.25,57.75,59.25,64900,59.25
2013-10-25,58.25,64.25,58.25,62.50,87300,62.50
2013-10-24,60.75,61.00,58.25,59.25,56200,59.25
2013-10-23,60.00,61.50,56.25,61.00,417700,61.00
2013-10-22,67.50,67.50,63.50,64.50,68900,64.50
2013-10-21,68.00,69.00,65.50,67.75,79200,67.75
2013-10-18,72.00,72.25,69.50,69.75,64600,69.75
2013-10-17,67.50,71.00,65.75,71.00,160700,71.00
2013-10-16,65.50,66.75,60.25,66.75,278000,66.75
2013-10-15,74.00,74.00,65.50,66.25,261000,66.25
2013-10-14,74.75,82.50,70.00,72.00,616700,72.00
2013-10-11,70.00,74.50,67.75,72.75,192600,72.75
2013-10-10,70.75,73.00,66.00,68.50,140800,68.50
2013-10-09,68.00,77.00,65.00,67.50,260100,67.50
2013-10-08,63.00,68.50,60.50,68.00,145800,68.00
2013-10-07,62.00,68.25,58.00,62.75,233900,62.75
2013-10-04,76.75,79.00,62.00,64.25,351800,64.25
2013-10-03,73.25,84.50,66.75,76.00,353100,76.00
2013-10-02,63.50,72.75,63.25,71.75,247700,71.75
2013-10-01,61.50,64.75,61.25,64.50,145900,64.50
2013-09-30,60.75,64.75,59.00,61.00,314100,61.00
2013-09-27,50.50,63.75,49.80,59.25,340700,59.25
2013-09-26,57.00,57.00,48.90,50.50,308700,50.50
2013-09-25,42.40,54.50,41.80,54.50,465200,54.50
2013-09-24,39.00,40.70,38.30,40.20,105000,40.20
2013-09-23,37.90,38.50,37.00,38.40,30100,38.40
2013-09-20,39.40,39.50,37.00,37.00,38400,37.00
2013-09-19,37.50,39.00,36.80,39.00,48900,39.00
2013-09-18,37.20,37.80,35.00,37.00,63800,37.00
2013-09-17,39.00,39.00,37.40,37.40,28300,37.40
2013-09-16,39.10,39.40,38.50,39.00,42200,39.00
2013-09-13,39.00,39.00,38.30,38.90,43100,38.90
2013-09-12,39.40,39.40,38.70,39.10,38700,39.10
2013-09-11,37.70,39.40,37.70,38.30,97900,38.30
2013-09-10,35.60,39.40,35.00,37.00,205700,37.00
2013-09-09,35.10,35.30,33.90,34.80,51500,34.80
2013-09-06,35.10,36.00,34.50,35.10,40800,35.10
2013-09-05,36.00,36.00,33.50,35.00,52800,35.00
2013-09-04,32.20,36.00,31.70,35.70,158500,35.70
2013-09-03,28.50,32.60,28.50,31.90,83800,31.90
2013-09-02,28.10,28.50,27.50,28.00,27100,28.00
2013-08-30,27.00,29.10,26.50,28.10,64800,28.10
2013-08-29,29.00,29.00,27.60,28.40,36400,28.40
2013-08-28,27.00,28.90,25.80,28.40,39200,28.40
