Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,12.60,12.60,12.40,12.40,91900,12.40
2014-02-25,12.50,12.60,12.40,12.55,101300,12.55
2014-02-21,12.30,12.30,11.95,12.05,188500,12.05
2014-02-20,13.00,13.05,12.30,12.30,204400,12.30
2014-02-19,13.10,13.15,13.00,13.05,29900,13.05
2014-02-18,13.10,13.10,13.00,13.10,33400,13.10
2014-02-17,13.00,13.25,13.00,13.00,53600,13.00
2014-02-14,12.50,13.30,12.50,13.25,193800,13.25
2014-02-13,12.45,12.60,12.45,12.60,69400,12.60
2014-02-12,12.40,12.50,12.40,12.50,24800,12.50
2014-02-11,12.40,12.50,12.30,12.50,17700,12.50
2014-02-10,12.30,12.40,12.30,12.40,33400,12.40
2014-02-07,12.25,12.40,12.25,12.40,5200,12.40
2014-02-06,12.40,12.40,12.25,12.25,27700,12.25
2014-02-05,12.50,12.50,12.25,12.25,37600,12.25
2014-02-04,12.10,12.35,12.10,12.35,39700,12.35
2014-02-03,12.50,12.50,12.25,12.30,44000,12.30
2014-01-31,12.00,12.30,11.95,12.30,103500,12.30
2014-01-30,11.90,12.05,11.85,12.00,14900,12.00
2014-01-29,12.10,12.20,11.70,11.90,135900,11.90
2014-01-28,12.05,12.15,12.05,12.10,10900,12.10
2014-01-27,12.20,12.40,12.00,12.00,114500,12.00
2014-01-24,12.25,12.40,11.95,12.25,68800,12.25
2014-01-23,12.15,12.25,12.05,12.25,45800,12.25
2014-01-22,12.20,12.35,12.10,12.15,77600,12.15
2014-01-21,11.95,12.25,11.95,12.10,79200,12.10
2014-01-20,11.75,11.90,11.70,11.90,61500,11.90
2014-01-17,11.70,11.90,11.55,11.70,98500,11.70
2014-01-16,12.00,12.00,11.70,11.80,73200,11.80
2014-01-15,12.05,12.10,11.85,12.00,43700,12.00
2014-01-14,12.00,12.10,11.90,12.05,36900,12.05
2014-01-13,12.10,12.40,12.00,12.05,35200,12.05
2014-01-10,12.20,12.20,12.00,12.05,28100,12.05
2014-01-09,12.00,12.00,12.00,12.00,53400,12.00
2014-01-08,11.90,12.35,11.80,12.00,55900,12.00
2014-01-07,11.90,12.00,11.65,11.70,49600,11.70
2014-01-06,11.80,11.80,11.80,11.80,000,11.80
2014-01-03,12.00,12.10,11.80,11.80,55100,11.80
2014-01-02,11.80,11.85,11.50,11.85,22300,11.85
2014-01-01,11.70,11.70,11.70,11.70,000,11.70
2013-12-31,11.70,11.70,11.70,11.70,000,11.70
2013-12-30,11.40,11.75,11.25,11.70,47600,11.70
2013-12-27,11.55,11.65,11.40,11.40,24200,11.40
2013-12-26,11.65,11.65,11.65,11.65,000,11.65
2013-12-25,11.65,11.65,11.65,11.65,000,11.65
2013-12-24,11.65,11.65,11.65,11.65,000,11.65
2013-12-23,11.85,11.85,10.90,11.65,146900,11.65
2013-12-20,11.60,11.70,11.40,11.70,52100,11.70
2013-12-19,11.90,12.00,11.50,11.70,104700,11.70
2013-12-18,11.80,12.00,11.75,12.00,8200,12.00
2013-12-17,11.90,12.15,11.85,12.15,34700,12.15
2013-12-16,12.40,12.40,12.05,12.10,36700,12.10
2013-12-13,12.10,12.40,12.10,12.40,42600,12.40
2013-12-12,12.00,12.05,11.95,12.00,17400,12.00
2013-12-11,11.80,12.45,11.80,12.45,57300,12.45
2013-12-10,11.95,12.15,11.90,11.90,14300,11.90
2013-12-09,11.80,12.20,11.80,12.10,63100,12.10
2013-12-06,11.90,12.15,11.90,11.90,22900,11.90
2013-12-05,12.00,12.20,11.90,11.90,11900,11.90
2013-12-04,12.25,12.25,12.10,12.10,47100,12.10
2013-12-03,12.55,12.55,12.30,12.35,7500,12.35
2013-12-02,12.40,12.55,12.30,12.55,12300,12.55
2013-11-29,12.40,12.75,12.25,12.55,57900,12.55
2013-11-28,12.35,12.35,12.25,12.25,7700,12.25
2013-11-27,12.35,12.50,12.25,12.30,21700,12.30
2013-11-26,12.15,12.70,12.15,12.45,66400,12.45
2013-11-25,12.00,12.25,11.95,12.25,23600,12.25
2013-11-22,12.10,12.20,11.95,12.00,10200,12.00
2013-11-21,11.80,12.00,11.70,12.00,42400,12.00
2013-11-20,11.80,11.90,11.70,11.80,28800,11.80
2013-11-19,12.00,12.00,11.80,11.90,7300,11.90
2013-11-18,12.20,12.20,11.90,12.00,28400,12.00
2013-11-15,12.10,12.30,12.00,12.20,35200,12.20
2013-11-14,12.65,12.65,11.80,12.00,101200,12.00
2013-11-13,13.00,13.20,12.05,12.65,152900,12.65
2013-11-12,12.85,13.10,12.85,13.00,36700,13.00
2013-11-11,13.00,13.15,12.80,13.00,71700,13.00
2013-11-08,12.70,13.25,12.70,13.20,185300,13.20
2013-11-07,12.55,12.70,12.40,12.70,25200,12.70
2013-11-06,12.25,12.70,12.25,12.55,38100,12.55
2013-11-05,12.65,12.75,12.20,12.30,76100,12.30
2013-11-04,12.00,12.75,12.00,12.65,149200,12.65
2013-11-01,11.65,12.00,11.65,12.00,74200,12.00
2013-10-31,11.75,11.75,11.35,11.55,76700,11.55
2013-10-30,11.80,11.85,11.30,11.60,56000,11.60
2013-10-29,11.50,11.75,11.50,11.60,15200,11.60
2013-10-28,11.50,11.70,11.40,11.55,30300,11.55
2013-10-25,11.60,11.75,11.45,11.50,26700,11.50
2013-10-24,11.45,11.60,11.45,11.55,34800,11.55
2013-10-23,11.40,11.45,11.20,11.45,53800,11.45
2013-10-22,11.15,11.50,11.10,11.30,62300,11.30
2013-10-21,11.60,11.60,10.75,11.30,157000,11.30
2013-10-18,11.50,11.60,11.45,11.60,19700,11.60
2013-10-17,11.45,11.65,11.40,11.60,12600,11.60
2013-10-16,11.40,11.40,11.40,11.40,2900,11.40
2013-10-15,11.50,11.50,11.40,11.40,11600,11.40
2013-10-14,11.50,11.65,11.50,11.50,1900,11.50
2013-10-11,11.60,11.65,11.50,11.60,11500,11.60
2013-10-10,11.45,11.60,11.30,11.60,16100,11.60
2013-10-09,11.65,11.65,11.30,11.30,98400,11.30
2013-10-08,11.80,11.80,11.65,11.65,14000,11.65
2013-10-07,12.00,12.00,11.75,11.80,5800,11.80
2013-10-04,12.00,12.00,11.75,12.00,28000,12.00
2013-10-03,11.80,12.00,11.75,11.75,76300,11.75
2013-10-02,11.50,11.65,11.45,11.65,9300,11.65
2013-10-01,11.65,11.65,11.25,11.65,94100,11.65
2013-09-30,12.00,12.00,11.40,11.65,93800,11.65
2013-09-27,12.35,12.35,12.15,12.15,45300,12.15
2013-09-26,12.10,12.35,11.85,12.35,42900,12.35
2013-09-25,12.40,12.40,12.20,12.20,51400,12.20
2013-09-24,12.50,12.60,12.40,12.40,14400,12.40
2013-09-23,12.50,12.55,12.40,12.50,43300,12.50
2013-09-20,12.60,12.70,12.40,12.65,63800,12.65
2013-09-19,12.80,12.80,12.55,12.65,41600,12.65
2013-09-18,13.00,13.00,12.50,12.75,48100,12.75
2013-09-17,12.35,12.80,12.35,12.65,206000,12.65
2013-09-16,12.50,12.50,12.20,12.35,73100,12.35
2013-09-13,12.40,12.45,12.10,12.40,50300,12.40
2013-09-12,12.25,12.40,12.00,12.40,43900,12.40
2013-09-11,12.20,12.30,12.00,12.25,41200,12.25
2013-09-10,12.10,12.30,12.05,12.20,48300,12.20
2013-09-09,12.10,12.10,11.80,12.05,73700,12.05
2013-09-06,11.80,12.25,11.70,12.00,108800,12.00
2013-09-05,11.65,12.00,11.65,11.80,117300,11.80
2013-09-04,11.45,11.65,11.30,11.65,73900,11.65
2013-09-03,11.70,11.80,11.40,11.50,94800,11.50
2013-09-02,11.55,12.60,11.55,11.60,285800,11.60
2013-08-30,10.35,10.35,10.25,10.25,75800,10.25
2013-08-29,10.50,10.50,10.35,10.40,25900,10.40
2013-08-28,10.50,10.50,10.30,10.50,2500,10.50
2013-08-27,10.45,10.50,10.45,10.45,800,10.45
2013-08-26,10.50,10.55,10.40,10.50,12400,10.50
2013-08-23,10.30,10.60,10.30,10.50,54600,10.50
2013-08-22,10.40,10.40,10.10,10.30,72700,10.30
2013-08-21,10.55,10.55,10.25,10.30,28600,10.30
2013-08-20,10.40,10.50,10.40,10.50,2000,10.50
2013-08-19,10.60,10.60,10.40,10.40,17100,10.40
2013-08-16,10.80,10.80,10.50,10.60,17900,10.60
2013-08-15,10.50,10.65,10.50,10.60,21100,10.60
2013-08-14,10.80,10.80,10.40,10.40,86700,10.40
2013-08-13,10.50,10.80,10.40,10.80,79100,10.80
2013-08-12,10.50,10.55,10.50,10.50,10700,10.50
2013-08-09,10.55,10.60,10.40,10.55,38200,10.55
2013-08-08,10.50,10.65,10.45,10.55,17000,10.55
2013-08-07,10.50,10.55,10.50,10.50,1400,10.50
2013-08-06,10.60,10.65,10.50,10.50,13600,10.50
2013-08-05,10.70,10.75,10.50,10.50,24900,10.50
2013-08-02,10.60,10.65,10.50,10.60,97400,10.60
2013-08-01,10.65,10.70,10.60,10.60,36800,10.60
2013-07-31,10.75,10.75,10.65,10.65,4500,10.65
2013-07-30,10.65,10.70,10.55,10.70,10700,10.70
2013-07-29,10.75,10.75,10.55,10.65,10500,10.65
2013-07-26,10.40,10.95,10.30,10.75,51000,10.75
2013-07-25,10.40,10.50,10.35,10.40,5100,10.40
2013-07-24,10.25,10.55,10.25,10.45,17500,10.45
2013-07-23,10.50,10.50,10.20,10.25,22100,10.25
2013-07-22,10.30,10.40,10.25,10.25,10900,10.25
2013-07-19,10.40,10.65,10.30,10.30,33400,10.30
2013-07-18,10.60,10.75,10.60,10.60,9400,10.60
2013-07-17,10.60,10.75,10.60,10.75,10300,10.75
2013-07-16,10.40,10.90,10.40,10.70,37400,10.70
2013-07-15,10.45,10.50,10.40,10.50,10300,10.50
2013-07-12,10.35,10.40,10.15,10.30,31300,10.30
2013-07-11,10.30,10.30,10.30,10.30,1100,10.30
2013-07-10,10.30,10.30,10.10,10.10,6000,10.10
2013-07-09,10.00,10.30,10.00,10.30,7900,10.30
2013-07-08,10.30,10.30,10.20,10.20,2200,10.20
2013-07-05,9.95,10.20,9.95,10.15,28500,10.15
2013-07-04,10.00,10.00,10.00,10.00,200,10.00
2013-07-03,10.00,10.05,10.00,10.05,14300,10.05
2013-07-02,10.05,10.05,10.00,10.00,2400,10.00
2013-07-01,9.95,10.00,9.85,9.90,12100,9.90
2013-06-28,9.95,10.00,9.95,10.00,6300,10.00
2013-06-27,10.00,10.15,10.00,10.15,600,10.15
2013-06-26,9.95,10.20,9.95,9.95,20500,9.95
2013-06-25,9.90,10.05,9.90,9.95,9700,9.95
2013-06-24,9.90,10.00,9.85,9.85,22700,9.85
2013-06-21,10.05,10.05,10.05,10.05,000,10.05
2013-06-20,9.90,10.05,9.85,10.05,16500,10.05
2013-06-19,9.90,10.00,9.90,9.90,3100,9.90
2013-06-18,9.90,10.00,9.90,9.90,20900,9.90
2013-06-17,10.00,10.00,9.80,9.95,25700,9.95
2013-06-14,10.00,10.15,9.65,9.95,62700,9.95
2013-06-13,10.00,10.15,9.70,9.70,84400,9.70
2013-06-12,10.00,10.25,9.95,10.00,20700,10.00
2013-06-11,10.15,10.15,10.00,10.00,15400,10.00
2013-06-10,10.00,10.00,10.00,10.00,11100,10.00
2013-06-07,10.05,10.20,10.00,10.05,8000,10.05
2013-06-06,10.00,10.00,10.00,10.00,000,10.00
2013-06-05,10.05,10.05,10.00,10.00,9000,10.00
2013-06-04,10.05,10.15,10.05,10.05,3200,10.05
2013-06-03,10.00,10.25,10.00,10.05,37500,10.05
2013-05-31,10.20,10.20,10.00,10.05,9000,10.05
2013-05-30,10.20,10.20,10.00,10.15,34800,10.15
2013-05-29,10.10,10.20,10.00,10.20,33500,10.20
2013-05-28,10.20,10.30,10.05,10.05,28200,10.05
2013-05-27,10.20,10.30,10.20,10.20,11800,10.20
2013-05-24,10.30,10.35,10.05,10.30,16400,10.30
2013-05-23,10.00,10.30,10.00,10.30,56600,10.30
2013-05-22,10.50,10.50,10.20,10.30,19000,10.30
2013-05-21,10.15,10.40,10.15,10.40,35900,10.40
2013-05-20,10.45,10.45,10.20,10.20,18600,10.20
2013-05-17,10.25,10.45,10.25,10.45,20900,10.45
2013-05-16,10.00,10.45,10.00,10.25,21000,10.25
2013-05-15,10.10,10.25,10.05,10.15,13000,10.15
2013-05-14,10.00,10.20,10.00,10.20,19500,10.20
2013-05-13,10.00,10.15,9.90,10.05,48200,10.05
2013-05-10,10.40,10.40,10.00,10.00,49500,10.00
2013-05-09,10.15,10.15,10.15,10.15,000,10.15
2013-05-08,10.35,10.40,10.00,10.15,42100,10.15
2013-05-07,10.50,10.50,10.25,10.35,43400,10.35
2013-05-06,10.40,10.50,10.40,10.50,8800,10.50
2013-05-03,10.50,10.50,10.20,10.40,90900,10.40
2013-05-02,10.60,10.60,10.40,10.50,36400,10.50
2013-05-01,10.50,10.50,10.50,10.50,000,10.50
2013-04-30,10.50,10.50,10.50,10.50,000,10.50
2013-04-29,10.60,10.60,10.50,10.50,22300,10.50
2013-04-26,11.00,11.00,10.50,10.50,83100,10.50
2013-04-25,10.50,11.00,10.15,11.00,245200,11.00
2013-04-24,10.70,10.85,10.30,10.35,83100,10.35
2013-04-23,11.10,11.10,10.70,10.80,59600,10.45
2013-04-22,11.10,11.30,10.90,10.90,30100,10.55
