Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,26.90,28.30,26.70,28.10,980200,28.10
2014-02-25,26.70,27.20,26.60,26.80,166400,26.80
2014-02-24,26.00,26.80,25.80,26.70,323600,26.70
2014-02-21,26.30,26.60,25.90,26.00,489000,26.00
2014-02-20,26.20,26.60,26.00,26.20,207000,26.20
2014-02-19,26.50,26.70,26.00,26.50,392600,26.50
2014-02-18,27.30,27.30,26.20,26.50,611600,26.50
2014-02-17,28.50,28.50,27.20,27.30,618700,27.30
2014-02-14,26.80,28.00,26.60,27.90,1262100,27.90
2014-02-13,26.40,26.60,25.80,26.00,388700,26.00
2014-02-12,26.00,26.80,25.50,26.20,435700,26.20
2014-02-11,25.70,26.10,25.50,25.80,629900,25.80
2014-02-10,26.00,26.30,25.60,25.70,491000,25.70
2014-02-07,25.60,26.40,25.40,25.80,965400,25.80
2014-02-06,25.30,25.70,24.90,25.10,758500,25.10
2014-02-05,25.60,26.00,25.00,25.10,878800,25.10
2014-02-04,28.60,29.40,25.20,25.30,3158800,25.30
2014-02-03,27.10,27.30,26.10,26.10,307600,26.10
2014-01-31,27.30,27.50,26.80,27.40,288200,27.40
2014-01-30,27.40,27.50,26.60,27.20,219300,27.20
2014-01-29,28.00,28.20,27.10,27.50,287800,27.50
2014-01-28,26.70,27.70,26.60,27.70,1046200,27.70
2014-01-27,26.40,26.50,26.00,26.40,683000,26.40
2014-01-24,27.00,27.30,26.50,26.50,276700,26.50
2014-01-23,27.50,27.90,26.90,27.00,297600,27.00
2014-01-22,27.80,28.30,27.40,27.50,332000,27.50
2014-01-21,28.30,28.40,27.60,27.80,834100,27.80
2014-01-20,28.70,29.30,28.10,28.20,518100,28.20
2014-01-17,29.50,29.70,28.50,28.80,435000,28.80
2014-01-16,30.30,30.30,29.30,29.60,504900,29.60
2014-01-15,30.80,31.00,29.70,30.30,601500,30.30
2014-01-14,31.30,31.30,30.40,30.80,325100,30.80
2014-01-13,30.60,31.50,30.40,31.50,700600,31.50
2014-01-10,30.40,30.60,29.90,30.60,239700,30.60
2014-01-09,30.60,30.60,29.50,30.20,293800,30.20
2014-01-08,31.40,31.60,30.10,30.60,378900,30.60
2014-01-07,32.50,32.50,31.20,31.40,844000,31.40
2014-01-06,32.50,32.50,32.50,32.50,000,32.50
2014-01-03,31.90,32.70,31.20,32.50,401300,32.50
2014-01-02,31.80,32.20,31.30,31.60,266800,31.60
2014-01-01,31.60,31.60,31.60,31.60,000,31.60
2013-12-31,31.60,31.60,31.60,31.60,000,31.60
2013-12-30,31.70,32.20,31.00,31.60,266200,31.60
2013-12-27,31.70,32.40,31.10,32.10,351100,32.10
2013-12-26,31.70,31.70,31.70,31.70,000,31.70
2013-12-25,31.70,31.70,31.70,31.70,000,31.70
2013-12-24,31.70,31.70,31.70,31.70,000,31.70
2013-12-23,32.60,33.00,31.40,31.70,580800,31.70
2013-12-20,31.00,32.70,30.90,32.40,1674900,32.40
2013-12-19,29.10,30.90,29.10,30.50,752700,30.50
2013-12-18,28.30,29.50,28.30,28.90,296200,28.90
2013-12-17,28.90,30.00,27.80,28.30,531700,28.30
2013-12-16,28.10,29.00,28.00,28.90,485200,28.90
2013-12-13,28.60,28.90,27.30,28.10,439600,28.10
2013-12-12,30.40,30.40,28.40,28.60,640100,28.60
2013-12-11,29.50,30.20,29.50,30.20,611000,30.20
2013-12-10,29.50,29.90,29.30,29.70,273500,29.70
2013-12-09,29.80,29.80,29.00,29.60,771800,29.60
2013-12-06,29.20,29.80,29.20,29.80,1369700,29.80
2013-12-05,29.60,29.90,29.30,29.40,734400,29.40
2013-12-04,29.00,29.80,28.70,29.80,316500,29.80
2013-12-03,29.50,29.60,28.00,29.00,335300,29.00
2013-12-02,29.20,29.90,28.90,29.40,416800,29.40
2013-11-29,29.80,29.90,28.80,29.30,247500,29.30
