Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,20.00,20.70,20.00,20.30,33400,19.95
2014-02-25,20.10,20.40,20.00,20.10,18600,19.75
2014-02-24,20.00,22.00,19.90,20.10,64700,19.75
2014-02-21,19.70,20.00,19.40,20.00,39800,19.65
2014-02-20,19.50,19.70,19.00,19.60,33000,19.26
2014-02-19,19.90,20.00,19.50,20.00,46100,19.65
2014-02-18,20.10,20.30,19.70,19.80,69300,19.46
2014-02-17,20.80,20.80,20.20,20.30,89400,19.95
2014-02-14,20.80,20.80,20.20,20.60,43700,20.24
2014-02-13,21.90,22.00,20.00,20.60,351800,20.24
2014-02-12,20.00,20.40,19.70,20.00,75800,19.65
2014-02-11,19.50,20.00,19.00,19.90,129500,19.55
2014-02-10,19.00,19.70,19.00,19.50,159600,19.16
2014-02-07,18.70,19.00,18.50,18.80,116700,18.47
2014-02-06,18.70,18.70,18.40,18.60,35400,18.28
2014-02-05,18.60,18.80,18.40,18.50,25500,18.18
2014-02-04,18.30,18.60,18.20,18.60,36000,18.28
2014-02-03,19.00,19.10,18.60,18.80,33700,18.47
2014-01-31,18.40,19.50,18.20,19.20,98500,18.87
2014-01-30,18.30,18.80,18.30,18.60,20400,18.28
2014-01-29,18.40,19.20,18.40,18.70,67400,18.37
2014-01-28,18.60,18.90,18.30,18.50,22000,18.18
2014-01-27,18.20,19.00,18.00,18.70,87400,18.37
2014-01-24,19.10,19.10,18.50,18.70,32600,18.37
2014-01-23,19.40,19.40,18.80,19.10,35600,18.77
2014-01-22,18.70,19.40,18.70,19.20,73100,18.87
2014-01-21,19.10,19.10,18.50,18.80,123700,18.47
2014-01-20,19.50,19.50,19.10,19.10,56300,18.77
2014-01-17,19.40,19.60,19.10,19.30,55200,18.96
2014-01-16,19.80,19.90,19.00,19.40,101700,19.06
2014-01-15,20.00,20.70,19.70,19.90,232700,19.55
2014-01-14,18.50,18.60,18.20,18.50,73000,18.18
2014-01-13,18.40,18.90,18.00,18.60,214800,18.28
2014-01-10,18.10,18.40,17.80,18.20,84400,17.88
2014-01-09,18.10,18.80,17.80,17.80,170600,17.49
2014-01-08,17.90,18.50,17.70,18.00,97500,17.69
2014-01-07,17.30,17.90,17.00,17.90,144400,17.59
