Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,23.00,23.20,22.90,23.00,123700,23.00
2014-02-25,23.50,23.50,23.00,23.00,468300,23.00
2014-02-24,23.30,23.50,23.10,23.50,126100,23.50
2014-02-21,23.30,23.60,23.10,23.30,125300,23.30
2014-02-20,23.60,23.90,23.10,23.30,1400200,23.30
2014-02-19,23.50,23.70,23.20,23.40,272500,23.40
2014-02-18,23.30,23.40,23.10,23.40,147000,23.40
2014-02-17,22.60,23.80,22.60,23.20,508600,23.20
2014-02-14,22.40,22.80,21.80,22.80,3363600,22.80
2014-02-13,22.10,22.40,21.90,22.10,3130500,22.10
2014-02-12,22.40,22.60,22.10,22.10,364000,22.10
2014-02-11,22.10,22.50,22.00,22.30,1449900,22.30
2014-02-10,22.30,22.40,21.80,22.00,208700,22.00
2014-02-07,21.70,22.40,21.60,22.10,244800,22.10
2014-02-06,21.20,21.90,21.20,21.70,161800,21.70
2014-02-05,21.40,21.60,21.10,21.20,812000,21.20
2014-02-04,21.40,21.50,21.10,21.40,260200,21.40
2014-02-03,21.80,22.00,21.50,21.60,171500,21.60
2014-01-31,21.80,22.30,21.80,22.00,1148200,22.00
2014-01-30,21.60,22.00,21.00,21.90,674300,21.90
2014-01-29,22.30,22.30,21.20,21.70,521000,21.70
2014-01-28,21.80,22.00,21.70,22.00,2371800,22.00
2014-01-27,22.00,22.00,21.50,21.80,328300,21.80
2014-01-24,22.40,22.40,21.80,21.90,673800,21.90
2014-01-23,22.30,22.40,22.00,22.40,2081800,22.40
2014-01-22,21.50,22.50,21.50,22.10,1346500,22.10
2014-01-21,21.70,21.90,21.50,21.60,621000,21.60
2014-01-20,21.50,21.70,21.40,21.70,350800,21.70
2014-01-17,21.60,21.80,21.00,21.50,299900,21.50
2014-01-16,21.70,21.90,21.40,21.60,2879700,21.60
2014-01-15,20.60,22.10,20.60,21.60,871600,21.60
2014-01-14,20.50,20.70,20.20,20.70,270700,20.70
2014-01-13,21.00,21.30,20.50,20.60,347700,20.60
2014-01-10,20.50,21.00,20.40,20.80,1427700,20.80
2014-01-09,20.20,20.40,19.90,20.40,420500,20.40
2014-01-08,19.50,20.20,19.50,20.20,2664000,20.20
2014-01-07,19.70,19.80,19.50,19.60,888100,19.60
2014-01-06,19.60,19.60,19.60,19.60,000,19.60
2014-01-03,19.70,19.90,19.60,19.60,1682800,19.60
2014-01-02,19.40,19.70,19.40,19.60,493800,19.60
2014-01-01,19.40,19.40,19.40,19.40,000,19.40
2013-12-31,19.40,19.40,19.40,19.40,000,19.40
