Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,120.75,121.75,120.00,121.00,62200,121.00
2014-02-25,117.25,120.50,117.25,119.75,99500,119.75
2014-02-21,117.50,118.50,117.50,118.00,72500,118.00
2014-02-20,117.75,118.00,116.25,117.00,41100,117.00
2014-02-19,115.75,118.50,115.75,118.00,289200,118.00
2014-02-18,116.50,116.50,114.50,115.75,160700,115.75
2014-02-17,115.25,116.50,115.00,116.00,64800,116.00
2014-02-14,114.00,115.75,113.00,115.00,53900,115.00
2014-02-13,115.25,115.25,112.75,113.50,58200,113.50
2014-02-12,116.00,116.25,114.00,115.00,45800,115.00
2014-02-11,114.50,116.00,114.00,115.25,63800,115.25
2014-02-10,113.25,115.25,113.00,114.50,139600,114.50
2014-02-07,111.50,112.25,111.25,111.75,43500,111.75
2014-02-06,111.00,111.25,110.50,111.00,122100,111.00
2014-02-05,109.00,110.75,109.00,110.50,67500,110.50
2014-02-04,110.50,110.75,108.50,109.75,62000,109.75
2014-02-03,112.00,112.25,110.50,111.00,61100,111.00
2014-01-31,112.75,114.00,110.50,112.00,71800,112.00
2014-01-30,114.50,114.50,111.00,112.00,66500,112.00
2014-01-29,116.50,117.00,111.25,113.25,80700,113.25
2014-01-28,115.25,116.25,115.00,115.50,42400,115.50
2014-01-27,115.50,115.75,113.50,114.50,48600,114.50
2014-01-24,119.00,119.75,115.00,115.75,135800,115.75
2014-01-23,120.00,120.75,118.75,119.00,48700,119.00
2014-01-22,120.00,120.25,118.25,120.00,354100,120.00
2014-01-21,120.50,121.00,120.00,120.25,73600,120.25
2014-01-20,123.00,123.00,120.25,120.50,109600,120.50
2014-01-17,122.75,123.50,122.00,123.25,65300,123.25
2014-01-16,124.50,125.00,122.50,123.50,85900,123.50
2014-01-15,125.00,125.00,121.50,124.00,704900,124.00
2014-01-14,125.00,126.50,122.50,125.00,289500,125.00
2014-01-13,124.00,126.75,123.25,125.00,101600,125.00
2014-01-10,122.75,123.75,122.25,123.75,51700,123.75
2014-01-09,122.00,123.75,121.25,122.50,63000,122.50
2014-01-08,122.25,122.50,121.50,122.00,74500,122.00
2014-01-07,123.25,123.25,121.50,121.75,73800,121.75
2014-01-06,123.25,123.25,123.25,123.25,000,123.25
2014-01-03,121.25,124.00,120.75,123.25,237500,123.25
2014-01-02,120.50,123.00,120.50,121.00,103600,121.00
2014-01-01,120.75,120.75,120.75,120.75,000,120.75
2013-12-31,120.75,120.75,120.75,120.75,000,120.75
2013-12-30,122.00,122.50,120.25,120.75,71800,120.75
2013-12-27,122.00,122.75,120.75,122.00,93900,122.00
2013-12-26,121.00,121.00,121.00,121.00,000,121.00
2013-12-25,121.00,121.00,121.00,121.00,000,121.00
2013-12-24,121.00,121.00,121.00,121.00,000,121.00
2013-12-23,116.75,122.00,116.75,121.00,95400,121.00
2013-12-20,114.75,116.50,114.75,116.50,57300,116.50
2013-12-19,114.00,116.00,113.00,114.75,90500,114.75
2013-12-18,114.00,114.75,112.00,114.00,103300,114.00
2013-12-17,114.25,114.25,113.00,113.75,82400,113.75
2013-12-16,111.75,114.50,111.75,114.50,79000,114.50
2013-12-13,110.75,112.00,110.50,111.50,309800,111.50
2013-12-12,111.50,112.00,110.00,110.75,192400,110.75
2013-12-11,107.50,112.50,106.25,111.75,762600,111.75
2013-12-10,102.00,102.50,100.00,100.00,141800,100.00
2013-12-09,103.25,103.75,102.50,102.50,63500,102.50
2013-12-06,104.00,104.00,102.00,103.25,36500,103.25
2013-12-05,104.50,104.50,103.00,103.50,30900,103.50
2013-12-04,101.00,104.50,101.00,104.50,99400,104.50
2013-12-03,103.50,103.50,100.00,100.75,144200,100.75
2013-12-02,103.25,104.00,102.75,103.50,54700,103.50
2013-11-29,104.50,104.75,102.50,103.25,34900,103.25
2013-11-28,104.25,104.75,104.25,104.50,17400,104.50
2013-11-27,104.25,104.75,103.25,104.50,58900,104.50
2013-11-26,102.50,106.00,102.25,105.00,99300,105.00
2013-11-25,102.25,103.00,101.50,102.25,92200,102.25
2013-11-22,102.50,103.25,101.00,101.75,80500,101.75
2013-11-21,102.75,104.00,102.25,102.25,39900,102.25
2013-11-20,105.75,105.75,104.25,104.75,14500,104.75
2013-11-19,106.00,106.75,104.00,105.75,53500,105.75
2013-11-18,106.00,107.75,105.50,106.50,80000,106.50
2013-11-15,102.50,108.00,102.50,106.25,234400,106.25
2013-11-14,99.50,99.75,99.00,99.50,45700,99.50
2013-11-13,100.00,100.50,99.00,99.00,22000,99.00
2013-11-12,100.50,101.00,99.25,100.00,40100,100.00
2013-11-11,100.50,102.00,100.25,100.50,32200,100.50
2013-11-08,100.00,101.25,99.75,100.75,23100,100.75
2013-11-07,100.00,100.75,99.75,100.75,32500,100.75
2013-11-06,99.00,100.00,98.75,99.75,60100,99.75
2013-11-05,101.25,101.25,99.00,99.00,42600,99.00
2013-11-04,100.75,102.00,100.50,101.25,42200,101.25
2013-11-01,102.00,102.00,100.00,102.00,8700,102.00
2013-10-31,101.75,102.50,100.25,102.00,28900,102.00
2013-10-30,102.00,102.25,101.00,101.75,21600,101.75
2013-10-29,102.50,103.00,101.50,101.75,52300,101.75
2013-10-28,102.00,103.00,101.00,102.25,49200,102.25
2013-10-25,101.00,102.00,99.75,102.00,43300,102.00
2013-10-24,101.75,101.75,101.00,101.00,20800,101.00
2013-10-23,100.00,102.00,99.25,101.25,34300,101.25
2013-10-22,101.75,101.75,100.00,100.25,52700,100.25
2013-10-21,100.75,101.25,100.25,101.25,32200,101.25
2013-10-18,100.50,100.75,99.25,100.75,23800,100.75
2013-10-17,100.00,100.50,99.50,100.25,12800,100.25
2013-10-16,100.50,100.50,98.25,100.00,20000,100.00
2013-10-15,99.25,101.00,99.00,100.50,28400,100.50
2013-10-14,101.00,101.00,98.75,99.00,27700,99.00
2013-10-11,99.75,101.50,99.50,101.50,15400,101.50
2013-10-10,99.75,101.00,99.00,99.75,27500,99.75
2013-10-09,98.25,99.75,97.00,99.75,44400,99.75
2013-10-08,100.50,100.50,98.75,98.75,28600,98.75
2013-10-07,100.75,100.75,98.00,100.50,42300,100.50
2013-10-04,100.75,101.25,100.25,101.25,23600,101.25
2013-10-03,100.75,101.25,100.00,100.75,29900,100.75
2013-10-02,102.00,102.25,100.50,101.00,31500,101.00
2013-10-01,102.00,102.50,101.50,102.50,62800,102.50
2013-09-30,101.50,102.75,100.25,102.75,62200,102.75
2013-09-27,103.75,103.75,102.50,102.50,43600,102.50
2013-09-26,103.50,104.50,103.00,103.50,976600,103.50
2013-09-25,104.50,104.50,102.50,103.50,372600,103.50
2013-09-24,101.00,104.75,101.00,104.50,146900,104.50
2013-09-23,100.25,101.00,99.75,100.50,434700,100.50
2013-09-20,100.75,101.50,99.25,100.25,262500,100.25
2013-09-19,102.00,103.50,101.00,101.25,176400,101.25
2013-09-18,99.75,100.25,98.25,99.50,72000,99.50
2013-09-17,98.00,100.50,97.50,100.00,142700,100.00
2013-09-16,95.50,98.50,95.50,98.25,131900,98.25
2013-09-13,95.50,96.25,94.50,95.75,22900,95.75
2013-09-12,95.00,96.00,94.00,95.75,49900,95.75
2013-09-11,95.75,95.75,94.00,95.75,99500,95.75
2013-09-10,95.00,96.00,94.00,96.00,54700,96.00
2013-09-09,95.50,96.50,93.25,94.50,633900,94.50
2013-09-06,99.25,99.25,98.00,98.00,73500,95.03
2013-09-05,97.50,99.75,96.75,99.75,102600,96.72
2013-09-04,99.00,99.50,97.50,98.50,74800,95.51
2013-09-03,97.25,99.00,97.25,98.75,66800,95.75
2013-09-02,96.25,98.00,96.25,97.25,45600,94.30
2013-08-30,96.00,97.00,96.00,96.25,25600,93.33
2013-08-29,96.00,96.50,95.75,96.00,26900,93.09
2013-08-28,96.25,97.00,95.50,96.00,79800,93.09
2013-08-27,96.50,96.50,95.50,95.75,49900,92.84
2013-08-26,95.25,96.00,94.75,95.00,37600,92.12
2013-08-23,94.75,96.00,94.25,96.00,57200,93.09
2013-08-22,95.75,96.75,94.00,96.00,119900,93.09
2013-08-21,97.50,98.00,96.25,96.25,30700,93.33
2013-08-20,98.00,98.50,97.00,98.00,111000,95.03
2013-08-19,94.25,98.75,94.25,98.75,168300,95.75
2013-08-16,94.50,94.50,93.25,94.25,13500,91.39
2013-08-15,93.25,95.00,93.25,93.75,71200,90.90
2013-08-14,93.25,94.00,93.25,94.00,22500,91.15
2013-08-13,93.75,94.00,93.25,93.25,20300,90.42
2013-08-12,93.00,94.00,93.00,94.00,35100,91.15
2013-08-09,93.25,93.75,93.00,93.25,26000,90.42
2013-08-08,93.00,93.75,92.50,93.75,93600,90.90
2013-08-07,93.50,94.25,92.50,93.25,62400,90.42
2013-08-06,93.50,94.25,93.00,93.50,14100,90.66
2013-08-05,92.75,93.75,92.75,93.00,26500,90.18
