Date,Open,High,Low,Close,Volume,Adj Close
2013-09-26,20.80,21.50,20.20,21.50,50600,21.50
2013-09-25,19.50,21.40,19.50,20.70,36000,20.70
2013-09-24,18.80,19.50,18.80,19.50,46600,19.50
2013-09-23,18.20,19.00,18.10,18.50,36000,18.50
2013-09-20,18.90,19.00,18.10,18.20,19000,18.20
2013-09-19,18.50,19.00,17.30,18.50,64200,18.50
2013-09-18,18.90,19.00,18.00,18.80,16800,18.80
2013-09-17,18.50,18.70,18.00,18.10,17400,18.10
2013-09-16,19.50,19.50,18.10,18.30,30600,18.30
2013-09-13,19.30,19.30,18.50,19.00,29000,19.00
2013-09-12,17.50,19.00,17.20,18.40,50200,18.40
2013-09-11,17.60,17.60,17.00,17.60,19500,17.60
2013-09-10,17.20,17.70,16.60,17.40,21100,17.40
2013-09-09,16.80,18.00,15.90,17.20,55400,17.20
2013-09-06,17.00,17.00,16.10,16.20,16800,16.20
2013-09-05,16.50,17.00,16.20,16.50,12300,16.50
2013-09-04,18.00,18.00,16.10,17.00,31300,17.00
2013-09-03,16.90,18.50,14.40,17.60,194900,17.60
2013-09-02,19.00,19.50,18.50,19.30,75300,19.30
2013-08-30,15.00,19.40,15.00,18.40,179000,18.40
2013-08-29,15.00,15.00,14.50,15.00,19400,15.00
2013-08-28,14.40,15.00,13.90,14.80,21800,14.80
2013-08-27,14.60,14.60,14.00,14.20,9300,14.20
2013-08-26,14.95,15.00,13.60,14.40,36700,14.40
2013-08-23,14.15,15.80,14.15,14.80,18700,14.80
2013-08-22,14.85,14.85,12.55,14.55,91300,14.55
2013-08-21,15.30,15.80,13.90,14.90,79700,14.90
2013-08-20,18.00,18.80,14.90,16.00,71400,16.00
2013-08-19,18.00,19.00,17.50,18.50,40900,18.50
2013-08-16,17.10,19.00,17.10,17.70,20900,17.70
2013-08-15,17.20,17.30,17.20,17.20,5900,17.20
2013-08-14,17.00,17.30,17.00,17.30,6700,17.30
2013-08-13,17.20,17.40,17.00,17.00,14700,17.00
2013-08-12,17.60,17.90,17.10,17.10,8400,17.10
2013-08-09,17.60,17.60,17.10,17.60,15600,17.60
2013-08-08,17.20,17.80,16.90,17.60,16600,17.60
2013-08-07,16.80,17.40,16.40,17.40,14200,17.40
2013-08-06,16.70,16.90,16.40,16.80,5900,16.80
