Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,84.75,86.75,84.75,86.50,22700,83.68
2014-02-25,86.75,86.75,85.00,86.75,250000,83.93
2014-02-24,86.00,87.75,85.00,86.00,40200,83.20
2014-02-21,85.50,87.00,85.50,86.75,42200,83.93
2014-02-20,86.50,87.00,85.25,86.50,52600,83.68
2014-02-19,86.00,87.00,85.50,87.00,42200,84.17
2014-02-18,86.00,87.00,85.25,86.00,39100,83.20
2014-02-17,87.00,89.50,86.00,86.75,62700,83.93
2014-02-14,80.00,89.25,80.00,87.50,144000,84.65
2014-02-13,74.00,81.25,74.00,79.75,600400,77.15
2014-02-12,74.00,75.00,73.50,74.50,116400,72.08
2014-02-11,73.00,74.50,73.00,73.50,337200,71.11
2014-02-10,72.00,74.00,71.00,73.00,238400,70.62
2014-02-07,71.75,72.25,71.25,72.00,11800,69.66
2014-02-06,70.50,71.75,69.75,71.75,23000,69.41
2014-02-05,67.00,70.00,65.00,70.00,53800,67.72
2014-02-04,67.50,68.00,64.75,67.50,43300,65.30
2014-02-03,68.50,69.50,67.75,67.75,43300,65.55
2014-01-31,71.00,71.00,68.25,69.25,47200,67.00
2014-01-30,71.50,71.50,66.50,71.00,89200,68.69
2014-01-29,71.50,71.75,70.25,71.00,39700,68.69
2014-01-28,68.00,71.00,68.00,70.50,32000,68.21
2014-01-27,68.75,68.75,66.00,67.75,82500,65.55
2014-01-24,71.25,72.00,68.00,69.00,48100,66.75
2014-01-23,74.00,74.00,71.00,71.50,29100,69.17
2014-01-22,72.25,74.50,72.25,74.00,39400,71.59
2014-01-21,73.50,74.50,72.00,72.00,36300,69.66
2014-01-20,73.75,75.00,73.50,73.50,30100,71.11
2014-01-17,75.00,77.00,74.25,74.75,35400,72.32
2014-01-16,74.75,75.75,74.25,74.75,356200,72.32
2014-01-15,73.75,76.00,72.50,75.50,52100,73.04
2014-01-14,71.50,73.50,71.50,72.50,28200,70.14
2014-01-13,73.50,74.50,72.50,72.50,72800,70.14
2014-01-10,72.75,74.00,71.50,73.50,44300,71.11
