Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,17.70,18.30,17.60,18.20,93900,18.20
2014-02-25,17.10,17.50,17.10,17.50,115300,17.50
2014-02-24,17.70,17.70,17.20,17.30,74300,17.30
2014-02-21,18.00,18.00,17.40,17.80,119300,17.80
2014-02-20,18.30,18.70,17.80,18.00,295600,18.00
2014-02-19,18.90,18.90,18.20,18.40,85400,18.40
2014-02-18,19.70,19.70,18.60,19.00,133300,19.00
2014-02-17,18.80,18.80,17.40,18.80,112100,18.80
2014-02-14,17.50,18.90,17.50,18.30,163400,18.30
2014-02-13,17.20,17.50,17.20,17.50,50200,17.50
2014-02-12,17.80,17.80,17.10,17.40,64000,17.40
2014-02-11,17.50,17.80,17.20,17.50,82000,17.50
2014-02-10,17.50,17.50,16.90,17.50,146600,17.50
2014-02-07,17.20,17.50,16.80,17.50,104800,17.50
2014-02-06,17.70,18.10,17.20,17.40,114800,17.40
2014-02-05,17.80,18.10,17.50,17.70,161100,17.70
2014-02-04,16.80,17.50,16.50,17.50,316700,17.50
2014-02-03,17.70,17.80,17.00,17.00,135100,17.00
2014-01-31,18.40,18.40,17.50,17.80,162500,17.80
2014-01-30,18.30,18.40,17.80,18.40,54400,18.40
2014-01-29,18.50,19.30,18.10,18.50,65000,18.50
2014-01-28,18.50,19.00,17.70,18.50,258000,18.50
2014-01-27,19.30,19.30,18.20,18.50,151900,18.50
2014-01-24,19.50,19.60,18.90,19.20,187200,19.20
2014-01-23,19.50,19.60,19.30,19.40,150300,19.40
2014-01-22,19.70,19.70,19.10,19.20,92500,19.20
2014-01-21,19.80,19.90,19.40,19.50,125900,19.50
2014-01-20,19.90,20.20,19.40,19.90,71000,19.90
2014-01-17,19.80,20.10,19.20,19.90,156300,19.90
2014-01-16,19.60,20.00,19.10,19.70,104800,19.70
2014-01-15,19.80,19.90,19.00,19.30,222500,19.30
2014-01-14,19.10,20.50,18.70,19.70,409600,19.70
2014-01-13,23.40,24.50,19.50,19.80,1722000,19.80
2014-01-10,23.20,23.30,22.40,23.30,91900,23.30
2014-01-09,23.50,24.10,22.80,23.20,162800,23.20
2014-01-08,23.70,23.70,22.90,23.50,194200,23.50
2014-01-07,22.20,24.50,21.80,23.50,348500,23.50
2014-01-06,22.20,22.20,22.20,22.20,000,22.20
2014-01-03,21.90,22.70,21.80,22.20,126000,22.20
2014-01-02,19.90,21.90,19.80,21.90,138400,21.90
2014-01-01,19.90,19.90,19.90,19.90,000,19.90
2013-12-31,19.90,19.90,19.90,19.90,000,19.90
2013-12-30,19.10,19.90,19.10,19.90,271400,19.90
2013-12-27,19.40,19.50,19.00,19.50,86300,19.50
2013-12-26,19.40,19.40,19.40,19.40,000,19.40
2013-12-25,19.40,19.40,19.40,19.40,000,19.40
2013-12-24,19.40,19.40,19.40,19.40,000,19.40
2013-12-23,19.70,20.40,19.10,19.40,258700,19.40
2013-12-20,19.90,19.90,19.30,19.50,135900,19.50
2013-12-19,18.50,20.40,18.30,19.80,231000,19.80
2013-12-18,18.80,18.80,18.40,18.70,39000,18.70
2013-12-17,18.60,18.80,18.10,18.80,41900,18.80
2013-12-16,19.00,19.00,18.50,18.70,18000,18.70
