Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,0.21,0.21,0.20,0.21,1265600,0.21
2014-02-25,0.21,0.21,0.20,0.21,2066800,0.21
2014-02-24,0.21,0.21,0.20,0.21,995200,0.21
2014-02-21,0.21,0.21,0.20,0.21,875700,0.21
2014-02-20,0.20,0.21,0.20,0.21,6547400,0.21
2014-02-19,0.21,0.21,0.19,0.21,24035000,0.21
2014-02-18,0.21,0.22,0.20,0.20,15102700,0.20
2014-02-17,0.22,0.22,0.21,0.22,3540400,0.22
2014-02-14,0.23,0.23,0.21,0.22,8856700,0.22
2014-02-13,0.23,0.23,0.22,0.23,2951700,0.23
2014-02-12,0.24,0.24,0.22,0.23,6858400,0.23
2014-02-11,0.24,0.25,0.23,0.24,3948900,0.24
2014-02-10,0.24,0.25,0.23,0.24,20726100,0.24
2014-02-07,0.24,0.25,0.23,0.24,19647100,0.24
2014-02-06,0.24,0.25,0.23,0.24,23714500,0.24
2014-02-05,0.23,0.25,0.23,0.24,28858400,0.24
2014-02-04,0.23,0.24,0.22,0.23,7341900,0.23
2014-02-03,0.22,0.25,0.22,0.24,27576600,0.24
2014-01-31,0.29,0.30,0.22,0.22,108509200,0.22
2014-01-30,0.18,0.32,0.17,0.27,159038700,0.27
2014-01-29,0.18,0.19,0.17,0.18,5228800,0.18
2014-01-28,0.18,0.18,0.17,0.17,3385400,0.17
2014-01-27,0.20,0.20,0.17,0.18,32019600,0.18
2014-01-24,0.19,0.20,0.18,0.20,13375500,0.20
2014-01-23,0.18,0.20,0.16,0.19,19057200,0.19
2014-01-22,0.19,0.19,0.17,0.18,8624600,0.18
2014-01-21,0.21,0.21,0.18,0.19,12511900,0.19
2014-01-20,0.15,0.23,0.15,0.20,107587100,0.20
2014-01-17,0.15,0.16,0.14,0.15,3554400,0.15
2014-01-16,0.15,0.16,0.14,0.15,2269800,0.15
2014-01-15,0.16,0.16,0.14,0.15,8154000,0.15
2014-01-14,0.16,0.16,0.15,0.16,373900,0.16
2014-01-13,0.15,0.16,0.15,0.16,482700,0.16
2014-01-10,0.15,0.16,0.15,0.16,1863800,0.16
2014-01-09,0.15,0.16,0.14,0.16,1542900,0.16
2014-01-08,0.16,0.16,0.15,0.15,3046600,0.15
