Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,20.00,20.00,19.50,19.70,10900,18.91
2014-02-25,20.00,20.00,20.00,20.00,500,19.20
2014-02-24,19.50,19.90,19.30,19.70,5700,18.91
2014-02-21,19.40,19.90,19.30,19.70,11400,18.91
2014-02-20,19.90,19.90,19.30,19.30,2400,18.53
2014-02-19,19.80,19.90,19.50,19.60,21600,18.82
2014-02-18,19.40,19.80,19.30,19.80,8600,19.01
2014-02-17,19.70,19.70,19.20,19.30,20800,18.53
2014-02-14,18.90,19.50,18.90,19.50,18900,18.72
2014-02-13,18.90,19.00,18.90,18.90,15400,18.15
2014-02-12,19.00,19.30,18.80,19.30,10400,18.53
2014-02-11,19.00,19.80,19.00,19.30,28300,18.53
2014-02-10,18.80,19.00,18.30,19.00,127500,18.24
2014-02-07,18.80,19.00,18.30,18.80,51300,18.05
2014-02-06,19.30,19.30,18.70,19.00,53400,18.24
2014-02-05,19.50,19.70,19.30,19.60,16000,18.82
2014-02-04,19.50,20.00,19.50,19.50,15600,18.72
2014-02-03,20.50,20.50,19.50,20.00,6900,19.20
2014-01-31,19.70,19.90,19.50,19.50,5700,18.72
2014-01-30,19.90,19.90,19.30,19.60,17900,18.82
2014-01-29,20.00,20.00,19.50,19.90,16200,19.11
2014-01-28,19.30,20.00,19.30,20.00,4600,19.20
2014-01-27,20.00,20.00,19.60,19.70,10400,18.91
2014-01-24,20.50,20.50,20.10,20.20,20900,19.39
2014-01-23,20.50,20.50,20.10,20.40,55300,19.59
2014-01-22,20.80,21.00,20.40,20.50,61200,19.68
2014-01-21,21.50,21.50,20.80,20.80,33100,19.97
2014-01-20,21.20,21.50,21.20,21.30,26300,20.45
2014-01-17,21.20,21.60,21.20,21.40,10400,20.55
2014-01-16,21.40,21.40,21.30,21.40,4600,20.55
2014-01-15,22.20,22.20,21.00,21.40,51700,20.55
2014-01-14,21.60,22.20,21.60,22.20,4500,21.31
2014-01-13,22.20,22.40,21.20,21.80,54500,20.93
2014-01-10,22.70,22.70,22.20,22.20,13700,21.31
2014-01-09,22.60,22.70,22.50,22.70,8400,21.79
2014-01-08,22.80,23.00,22.70,22.90,2700,21.99
2014-01-07,23.20,23.40,22.80,22.80,9300,21.89
2014-01-06,23.00,23.00,23.00,23.00,000,22.08
2014-01-03,23.10,23.20,23.00,23.00,13500,22.08
2014-01-02,22.50,23.20,22.50,23.10,4700,22.18
2014-01-01,22.50,22.50,22.50,22.50,000,21.60
2013-12-31,22.50,22.50,22.50,22.50,000,21.60
2013-12-30,22.30,23.50,22.30,22.50,23000,21.60
2013-12-27,21.60,22.80,21.60,22.00,160800,21.12
2013-12-26,21.50,21.50,21.50,21.50,000,20.64
2013-12-25,21.50,21.50,21.50,21.50,000,20.64
2013-12-24,21.50,21.50,21.50,21.50,000,20.64
2013-12-23,21.50,21.70,21.30,21.50,74600,20.64
2013-12-20,21.40,21.50,21.40,21.40,12700,20.55
2013-12-19,21.10,21.50,21.10,21.50,26200,20.64
2013-12-18,21.10,21.50,21.10,21.20,48600,20.35
2013-12-17,21.10,21.40,21.00,21.40,33000,20.55
2013-12-16,21.70,21.70,20.70,21.50,56700,20.64
2013-12-13,22.00,22.00,21.80,21.80,29100,20.93
2013-12-12,22.80,22.80,22.10,22.10,6000,21.22
2013-12-11,23.20,23.50,23.00,23.00,6700,22.08
2013-12-10,22.80,23.40,22.80,23.20,11300,22.27
2013-12-09,23.10,23.40,23.00,23.40,7400,22.47
2013-12-06,22.90,23.20,22.80,23.20,4300,22.27
2013-12-05,23.00,23.10,22.20,23.10,24200,22.18
2013-12-04,22.60,23.10,22.60,22.80,10300,21.89
2013-12-03,23.00,23.00,21.90,22.50,19000,21.60
2013-12-02,22.90,23.10,22.50,23.00,23200,22.08
2013-11-29,22.60,23.00,22.60,23.00,14300,22.08
2013-11-28,22.30,23.00,22.30,22.60,3900,21.70
2013-11-27,22.50,22.50,22.10,22.20,8700,21.31
2013-11-26,21.90,22.70,21.90,22.50,7300,21.60
2013-11-25,22.00,22.10,21.80,21.80,2600,20.93
2013-11-22,22.40,22.80,22.40,22.40,6000,21.51
2013-11-21,22.40,22.70,22.40,22.50,5400,21.60
2013-11-20,22.40,22.40,22.40,22.40,500,21.51
2013-11-19,22.40,22.50,22.40,22.50,3000,21.60
2013-11-18,22.00,23.00,22.00,22.80,6600,21.89
2013-11-15,23.00,23.30,22.60,23.20,20400,22.27
2013-11-14,21.70,23.00,21.70,22.50,12000,21.60
2013-11-13,22.20,22.20,21.60,21.70,5900,20.83
2013-11-12,21.90,22.10,21.80,22.10,7300,21.22
2013-11-11,22.50,22.70,21.90,21.90,16900,21.03
2013-11-08,22.70,23.00,22.70,22.70,2900,21.79
2013-11-07,22.10,22.70,22.10,22.70,12200,21.79
2013-11-06,22.00,22.30,22.00,22.10,7800,21.22
2013-11-05,21.80,22.00,21.70,21.80,6700,20.93
2013-11-04,21.80,22.00,21.60,21.60,60800,20.74
2013-11-01,22.10,22.10,22.10,22.10,1900,21.22
2013-10-31,22.20,22.20,21.70,22.00,3200,21.12
2013-10-30,22.00,22.40,22.00,22.20,1100,21.31
2013-10-29,22.00,22.20,22.00,22.00,3200,21.12
2013-10-28,22.60,22.60,22.10,22.30,16200,21.41
2013-10-25,22.30,23.00,22.20,22.60,13800,21.70
2013-10-24,21.80,22.50,21.80,22.50,6900,21.60
2013-10-23,21.80,22.20,21.80,22.00,5700,21.12
2013-10-22,21.90,22.10,21.80,22.00,5700,21.12
2013-10-21,21.40,22.20,21.30,21.90,13700,21.03
2013-10-18,21.50,21.80,21.30,21.80,2600,20.93
2013-10-17,21.10,21.60,21.10,21.30,4600,20.45
2013-10-16,21.30,21.30,20.60,21.00,4200,20.16
2013-10-15,21.20,21.70,21.20,21.30,1700,20.45
2013-10-14,21.20,21.50,21.20,21.30,2500,20.45
2013-10-11,21.10,21.50,21.00,21.10,8500,20.26
2013-10-10,21.10,21.10,21.10,21.10,2600,20.26
2013-10-09,21.00,21.50,21.00,21.10,4900,20.26
2013-10-08,21.50,21.50,21.00,21.00,4200,20.16
2013-10-07,22.00,22.40,21.50,21.50,10400,20.64
2013-10-04,22.20,22.30,21.90,22.00,13400,21.12
2013-10-03,22.00,22.50,22.00,22.40,4100,21.51
2013-10-02,23.00,23.40,21.50,21.90,16300,21.03
2013-10-01,23.30,23.50,23.00,23.00,5800,22.08
2013-09-30,24.30,24.30,23.10,23.30,12100,22.37
2013-09-27,23.80,24.30,23.40,23.40,10500,22.47
2013-09-26,23.00,23.40,23.00,23.40,6400,22.47
2013-09-25,22.60,23.60,22.60,22.60,14500,21.70
2013-09-24,22.30,22.60,22.00,22.60,11000,21.70
2013-09-23,22.30,22.30,21.60,22.00,16000,21.12
2013-09-20,21.60,22.40,21.50,21.80,33200,20.93
2013-09-19,21.20,21.50,21.00,21.20,15900,20.35
2013-09-18,20.90,21.20,20.60,21.20,6600,20.35
2013-09-17,21.00,21.20,20.80,20.90,8100,20.07
2013-09-16,20.50,21.30,20.20,21.00,58300,20.16
2013-09-13,20.90,20.90,20.50,20.50,8900,19.68
2013-09-12,20.70,21.00,20.50,20.90,10200,20.07
2013-09-11,21.00,21.00,20.60,20.90,12100,20.07
2013-09-10,20.50,21.00,20.50,21.00,29100,20.16
2013-09-09,20.00,20.90,19.90,20.60,33000,19.78
2013-09-06,20.00,20.00,19.80,19.90,8200,19.11
2013-09-05,20.20,20.20,19.90,19.90,11100,19.11
2013-09-04,19.30,20.50,19.30,20.20,33700,19.39
2013-09-03,19.50,19.90,19.30,19.50,16700,18.72
2013-09-02,19.40,19.40,19.20,19.30,2500,18.53
2013-08-30,19.10,19.70,19.10,19.20,11600,18.43
2013-08-29,19.00,19.40,19.00,19.10,5100,18.34
2013-08-28,19.10,19.10,18.80,19.00,9300,18.24
2013-08-27,19.50,19.50,19.00,19.10,7800,18.34
2013-08-26,19.40,19.90,19.00,19.20,34300,18.43
2013-08-23,19.30,19.30,19.10,19.10,4400,18.34
2013-08-22,19.20,19.40,19.20,19.30,10300,18.53
2013-08-21,19.80,19.80,19.20,19.20,7000,18.43
2013-08-20,19.70,19.70,19.30,19.40,1700,18.63
2013-08-19,19.70,19.80,19.50,19.60,1900,18.82
2013-08-16,19.80,19.80,19.50,19.70,2600,18.91
2013-08-15,19.90,20.00,19.80,19.80,8700,19.01
2013-08-14,19.60,20.10,19.50,19.80,11500,19.01
2013-08-13,19.50,19.90,19.50,19.70,5800,18.91
2013-08-12,20.00,20.00,19.50,19.50,1000,18.72
2013-08-09,19.80,19.80,19.80,19.80,000,19.01
2013-08-08,19.30,19.80,19.30,19.80,7300,19.01
2013-08-07,19.60,19.60,19.30,19.30,8900,18.53
2013-08-06,20.00,20.00,19.50,19.50,1100,18.72
2013-08-05,20.10,20.10,19.60,19.70,4000,18.91
2013-08-02,20.40,20.40,20.10,20.10,3800,19.30
2013-08-01,20.10,20.50,20.10,20.10,3400,19.30
2013-07-31,19.80,20.20,19.70,20.10,6100,19.30
2013-07-30,19.90,20.40,19.90,20.00,11100,19.20
2013-07-29,19.80,19.90,19.60,19.60,600,18.82
2013-07-26,19.80,19.90,19.60,19.60,5200,18.82
2013-07-25,19.70,19.80,19.50,19.50,3200,18.72
2013-07-24,19.40,19.80,19.40,19.80,4800,19.01
2013-07-23,19.30,19.50,19.20,19.30,4400,18.53
