Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,130.50,131.50,130.50,131.50,700,128.15
2014-02-25,130.00,132.00,129.75,130.50,3600,127.17
2014-02-24,122.75,130.00,122.75,128.00,1100,124.74
2014-02-21,119.75,121.75,119.00,121.25,1100,118.16
2014-02-20,119.00,119.00,118.00,118.50,700,115.48
2014-02-19,119.00,119.00,118.50,118.50,200,115.48
2014-02-18,117.25,117.25,117.25,117.25,000,114.26
2014-02-17,117.25,118.50,117.25,117.25,500,114.26
2014-02-14,119.00,119.00,114.75,119.00,1100,115.96
2014-02-13,124.00,124.00,120.75,120.75,1400,117.67
2014-02-12,121.00,122.50,121.00,122.50,600,119.38
2014-02-11,120.00,120.00,120.00,120.00,400,116.94
2014-02-10,117.75,120.25,116.50,120.25,1600,117.18
2014-02-07,116.00,116.50,116.00,116.50,300,113.53
2014-02-06,114.75,115.00,114.75,115.00,1000,112.07
2014-02-05,114.00,114.00,114.00,114.00,000,111.09
2014-02-04,113.75,114.00,113.75,114.00,500,111.09
2014-02-03,115.00,115.00,115.00,115.00,400,112.07
2014-01-31,113.50,113.50,113.50,113.50,000,110.61
2014-01-30,113.00,113.50,113.00,113.50,000,110.61
2014-01-29,115.00,115.00,113.75,113.75,400,110.85
2014-01-28,115.25,116.50,115.25,115.25,300,112.31
2014-01-27,114.00,114.00,113.00,114.00,1700,111.09
2014-01-24,115.00,115.00,114.25,114.25,1100,111.34
2014-01-23,116.00,116.00,114.75,114.75,1100,111.82
2014-01-22,116.25,116.50,116.25,116.25,500,113.28
2014-01-21,115.50,116.00,113.00,116.00,3400,113.04
2014-01-20,113.00,115.75,113.00,115.50,1500,112.55
2014-01-17,115.00,115.00,113.00,113.00,1100,110.12
2014-01-16,114.00,114.75,114.00,114.75,100,111.82
2014-01-15,114.75,114.75,114.75,114.75,000,111.82
2014-01-14,113.50,114.25,113.50,114.00,19800,111.09
2014-01-13,113.50,113.75,113.50,113.50,400,110.61
2014-01-10,115.25,115.25,113.50,113.50,200,110.61
2014-01-09,114.50,115.00,113.50,115.00,800,112.07
2014-01-08,115.50,115.50,115.50,115.50,000,112.55
2014-01-07,115.00,115.50,114.25,115.50,400,112.55
2014-01-06,115.00,115.00,115.00,115.00,000,112.07
2014-01-03,115.00,115.00,115.00,115.00,200,112.07
2014-01-02,113.75,116.25,113.75,116.25,300,113.28
2014-01-01,115.00,115.00,115.00,115.00,000,112.07
2013-12-31,115.00,115.00,115.00,115.00,000,112.07
2013-12-30,113.50,115.00,113.50,115.00,2300,112.07
2013-12-27,115.00,115.00,115.00,115.00,1900,112.07
2013-12-26,117.50,117.50,117.50,117.50,000,114.50
2013-12-25,117.50,117.50,117.50,117.50,000,114.50
2013-12-24,117.50,117.50,117.50,117.50,000,114.50
2013-12-23,115.25,117.50,115.00,117.50,1500,114.50
2013-12-20,115.00,116.00,115.00,116.00,500,113.04
2013-12-19,115.00,115.00,115.00,115.00,400,112.07
2013-12-18,113.50,120.00,113.50,115.00,2800,112.07
2013-12-17,113.25,114.50,113.00,113.00,1000,110.12
2013-12-16,114.75,114.75,113.00,113.25,3300,110.36
2013-12-13,115.00,115.00,113.25,113.50,2000,110.61
2013-12-12,115.25,115.50,115.25,115.50,100,112.55
2013-12-11,117.25,117.25,116.00,116.00,400,113.04
2013-12-10,117.00,117.50,117.00,117.50,000,114.50
2013-12-09,115.00,116.25,115.00,116.25,600,113.28
2013-12-06,115.75,117.00,115.50,116.75,300,113.77
2013-12-05,117.00,117.00,117.00,117.00,300,114.02
2013-12-04,117.00,117.00,117.00,117.00,000,114.02
2013-12-03,119.00,119.00,117.00,117.00,400,114.02
2013-12-02,119.00,119.00,118.50,118.75,300,115.72
2013-11-29,115.00,121.00,115.00,120.00,2700,116.94
2013-11-28,113.00,113.50,113.00,113.50,800,110.61
2013-11-27,113.50,113.50,113.00,113.50,2100,110.61
2013-11-26,116.00,116.00,113.00,113.50,1800,110.61
2013-11-25,113.25,116.00,113.00,116.00,1300,113.04
2013-11-22,113.00,113.25,113.00,113.00,1700,110.12
2013-11-21,113.75,114.00,113.00,113.00,1100,110.12
2013-11-20,119.00,119.00,113.50,119.00,1500,115.96
2013-11-19,118.25,119.00,118.25,119.00,700,115.96
2013-11-18,120.00,120.00,118.00,118.00,1000,114.99
2013-11-15,119.75,120.00,119.00,119.00,1700,115.96
2013-11-14,112.00,118.00,112.00,118.00,1800,114.99
2013-11-13,115.00,115.00,110.00,112.00,5900,109.14
2013-11-12,117.50,117.50,115.00,115.00,1200,112.07
2013-11-11,117.00,119.75,117.00,119.00,2600,115.96
2013-11-08,112.50,117.25,111.00,117.00,3900,114.02
2013-11-07,118.00,118.00,110.00,114.50,140100,111.58
2013-11-06,120.00,120.00,118.50,118.50,600,115.48
2013-11-05,123.50,123.50,120.00,120.00,1500,116.94
2013-11-04,120.75,121.50,120.50,121.25,1000,118.16
2013-11-01,123.50,123.50,120.75,122.50,400,119.38
2013-10-31,127.00,128.00,120.75,120.75,4000,117.67
2013-10-30,127.25,127.25,126.00,126.50,1900,123.27
2013-10-29,134.00,134.00,126.00,127.00,3100,123.76
2013-10-28,137.50,137.50,134.50,134.50,1900,131.07
2013-10-25,128.50,133.25,128.50,133.25,800,129.85
2013-10-24,125.50,130.00,125.50,128.00,3200,124.74
2013-10-23,121.00,125.75,121.00,125.50,3300,122.30
2013-10-22,117.50,119.75,117.50,119.50,800,116.45
2013-10-21,117.00,118.00,116.00,117.50,2400,114.50
2013-10-18,111.75,113.75,111.75,113.75,300,110.85
2013-10-17,110.00,110.00,108.50,108.50,1300,105.73
2013-10-16,108.25,110.00,108.00,110.00,700,107.19
2013-10-15,108.00,109.50,108.00,109.50,200,106.71
2013-10-14,108.00,108.25,108.00,108.25,300,105.49
2013-10-11,106.75,107.75,106.75,107.50,400,104.76
2013-10-10,106.00,107.00,106.00,107.00,25800,104.27
2013-10-09,105.75,106.00,105.75,106.00,800,103.30
2013-10-08,105.00,106.00,105.00,106.00,700,103.30
2013-10-07,105.50,106.00,105.00,105.50,1000,102.81
2013-10-04,107.00,107.00,107.00,107.00,100,104.27
2013-10-03,107.00,107.00,107.00,107.00,100,104.27
2013-10-02,108.00,108.00,106.00,106.00,4500,103.30
2013-10-01,107.75,107.75,107.75,107.75,000,105.00
2013-09-30,106.50,107.75,106.00,107.75,1600,105.00
2013-09-27,106.50,108.00,106.50,108.00,300,105.25
2013-09-26,107.00,108.00,107.00,107.50,500,104.76
2013-09-25,107.50,107.50,107.50,107.50,000,104.76
2013-09-24,108.00,108.00,107.50,107.50,500,104.76
2013-09-23,106.50,108.00,106.00,108.00,1900,105.25
2013-09-20,105.00,105.00,105.00,105.00,400,102.32
2013-09-19,105.50,105.50,105.00,105.00,400,102.32
2013-09-18,106.00,106.75,105.25,106.75,1100,104.03
2013-09-17,106.00,106.00,106.00,106.00,100,103.30
2013-09-16,105.00,106.50,105.00,106.00,500,103.30
2013-09-13,106.00,106.00,105.00,105.00,800,102.32
2013-09-12,105.50,107.00,105.50,105.50,1500,102.81
2013-09-11,107.50,110.00,105.50,105.50,2800,102.81
2013-09-10,100.00,108.00,100.00,107.00,3400,104.27
2013-09-09,98.75,100.00,98.75,100.00,1700,97.45
2013-09-06,98.75,98.75,98.75,98.75,300,96.23
2013-09-05,99.00,99.00,98.00,98.00,700,95.50
2013-09-04,99.00,99.00,97.00,97.75,600,95.26
2013-09-03,98.00,98.00,98.00,98.00,100,95.50
2013-09-02,97.00,98.00,97.00,98.00,100,95.50
2013-08-30,96.25,98.00,96.25,97.00,1000,94.53
2013-08-29,94.50,96.25,94.50,96.25,1400,93.80
2013-08-28,92.50,93.50,92.50,93.50,300,91.12
2013-08-27,94.25,94.75,92.00,92.50,1800,90.14
2013-08-26,95.00,96.00,94.25,94.25,300,91.85
2013-08-23,96.50,96.50,95.50,95.50,1400,93.06
2013-08-22,97.00,98.00,96.50,96.50,2400,94.04
2013-08-21,95.75,97.00,95.75,97.00,600,94.53
2013-08-20,97.50,98.00,97.00,98.00,1200,95.50
2013-08-19,98.00,99.00,94.25,98.25,4000,95.74
2013-08-16,98.75,98.75,96.50,98.00,3700,95.50
2013-08-15,90.25,99.00,90.25,96.25,7100,93.80
2013-08-14,84.75,88.00,84.00,88.00,3300,85.76
2013-08-13,86.50,86.50,83.25,83.25,1000,81.13
2013-08-12,87.00,87.00,86.00,86.25,300,84.05
2013-08-09,87.25,87.25,87.25,87.25,200,85.02
2013-08-08,89.00,89.00,87.25,87.25,100,85.02
2013-08-07,88.50,88.50,88.25,88.50,300,86.24
2013-08-06,87.25,87.25,87.25,87.25,100,85.02
2013-08-05,87.50,87.50,87.50,87.50,000,85.27
2013-08-02,87.50,88.00,87.50,88.00,600,85.76
2013-08-01,87.00,87.50,86.00,87.50,1600,85.27
2013-07-31,86.25,87.00,86.00,87.00,1700,84.78
2013-07-30,85.00,86.50,85.00,86.50,1100,84.29
2013-07-29,84.00,85.75,83.75,85.75,1300,83.56
2013-07-26,84.00,84.00,84.00,84.00,200,81.86
2013-07-25,83.50,84.00,83.50,84.00,100,81.86
2013-07-24,85.00,85.00,83.50,84.00,400,81.86
2013-07-23,85.75,85.75,85.75,85.75,000,83.56
2013-07-22,85.75,85.75,85.75,85.75,000,83.56
2013-07-19,83.50,84.75,83.50,84.75,500,82.59
2013-07-18,85.00,85.00,83.75,83.75,400,81.61
2013-07-17,84.00,85.00,84.00,85.00,200,82.83
2013-07-16,81.25,83.75,81.25,83.75,600,81.61
2013-07-15,82.00,82.00,82.00,82.00,100,79.91
2013-07-12,81.00,82.75,80.50,82.75,700,80.64
2013-07-11,82.25,82.25,81.50,81.50,200,79.42
2013-07-10,80.50,83.25,80.50,82.25,3100,80.15
2013-07-09,79.00,79.00,79.00,79.00,100,76.99
2013-07-08,79.00,79.00,79.00,79.00,000,76.99
2013-07-05,80.00,80.00,79.00,79.00,500,76.99
2013-07-04,80.50,80.50,80.00,80.00,300,77.96
2013-07-03,80.50,80.50,80.50,80.50,000,78.45
2013-07-02,80.50,80.50,80.50,80.50,100,78.45
2013-07-01,80.00,80.00,80.00,80.00,000,77.96
2013-06-28,80.00,80.50,80.00,80.00,1400,77.96
2013-06-27,80.00,80.50,79.00,80.50,2900,78.45
2013-06-26,80.00,80.00,78.50,78.50,200,76.50
2013-06-25,78.25,79.75,78.25,79.75,400,77.72
2013-06-24,79.00,79.25,78.25,79.25,1200,77.23
2013-06-21,80.00,80.00,80.00,80.00,000,77.96
2013-06-20,80.00,80.00,80.00,80.00,000,77.96
2013-06-19,80.00,80.00,80.00,80.00,000,77.96
2013-06-18,80.00,81.00,80.00,80.00,1300,77.96
2013-06-17,79.00,80.00,79.00,80.00,900,77.96
2013-06-14,80.00,80.00,80.00,80.00,2700,77.96
2013-06-13,77.50,77.50,77.00,77.00,700,75.04
2013-06-12,77.75,78.00,77.50,77.50,800,75.52
2013-06-11,79.00,79.00,79.00,79.00,000,76.99
2013-06-10,78.75,80.00,78.75,79.00,1200,76.99
2013-06-07,78.75,78.75,78.75,78.75,000,76.74
2013-06-06,78.75,78.75,78.75,78.75,000,76.74
2013-06-05,78.75,78.75,78.75,78.75,000,76.74
2013-06-04,78.75,78.75,78.75,78.75,000,76.74
