Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,15.70,15.90,15.30,15.60,13500,15.60
2014-02-25,15.40,15.50,15.10,15.50,19300,15.50
2014-02-24,15.30,15.50,14.90,15.40,34300,15.40
2014-02-21,15.50,15.50,15.20,15.20,11800,15.20
2014-02-20,15.50,15.60,15.10,15.50,22700,15.50
2014-02-19,15.60,15.70,15.30,15.50,22900,15.50
2014-02-18,16.10,16.10,15.40,15.70,26100,15.70
2014-02-17,16.20,16.50,15.80,16.10,65200,16.10
2014-02-14,16.60,17.10,16.30,16.30,55800,16.30
2014-02-13,16.40,17.00,16.30,16.30,16000,16.30
2014-02-12,16.50,16.90,16.20,16.80,26200,16.80
2014-02-11,17.20,17.20,16.10,16.50,51000,16.50
2014-02-10,16.30,18.10,16.30,17.30,161400,17.30
2014-02-07,16.20,16.50,16.00,16.40,18900,16.40
2014-02-06,16.40,16.50,15.90,16.00,29100,16.00
2014-02-05,15.90,16.70,15.90,16.50,22500,16.50
2014-02-04,15.70,16.70,15.40,16.60,45800,16.60
2014-02-03,16.00,16.20,15.70,16.00,13600,16.00
2014-01-31,16.10,16.10,15.60,15.90,13900,15.90
2014-01-30,16.00,16.20,15.60,16.00,25000,16.00
2014-01-29,17.00,17.00,15.80,16.10,77300,16.10
2014-01-28,15.40,16.90,15.20,16.90,120900,16.90
2014-01-27,15.20,16.50,14.60,15.20,194200,15.20
2014-01-24,16.00,16.00,15.00,15.40,74300,15.40
2014-01-23,15.70,16.00,15.60,16.00,10000,16.00
2014-01-22,15.90,16.20,15.80,16.20,26300,16.20
2014-01-21,16.30,16.50,15.70,16.10,58700,16.10
2014-01-20,14.90,16.20,14.90,16.00,110900,16.00
2014-01-17,14.95,14.95,14.55,14.75,42800,14.75
2014-01-16,14.75,16.00,14.50,14.85,74500,14.85
2014-01-15,15.00,15.30,14.70,14.90,24900,14.90
2014-01-14,14.60,15.00,14.40,15.00,24300,15.00
2014-01-13,15.10,15.10,14.20,14.60,25100,14.60
2014-01-10,15.10,15.20,14.60,15.10,59500,15.10
2014-01-09,15.40,15.50,15.10,15.10,16300,15.10
2014-01-08,15.80,15.90,15.10,15.40,79500,15.40
2014-01-07,16.00,16.50,15.70,16.20,25100,16.20
