Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,1.65,1.65,1.58,1.58,54500,1.58
2014-02-25,1.60,1.63,1.52,1.63,61100,1.63
2014-02-24,1.78,1.78,1.56,1.56,24400,1.56
2014-02-21,1.63,1.70,1.61,1.61,25100,1.61
2014-02-20,1.69,1.69,1.60,1.63,64200,1.63
2014-02-19,1.51,1.78,1.51,1.69,207500,1.69
2014-02-18,1.58,1.64,1.52,1.58,82100,1.58
2014-02-17,1.50,1.55,1.50,1.52,65300,1.52
2014-02-14,1.43,1.48,1.43,1.45,101100,1.45
2014-02-13,1.49,1.49,1.38,1.46,66300,1.46
2014-02-12,1.41,1.43,1.35,1.39,286200,1.39
2014-02-11,1.48,1.48,1.42,1.45,126400,1.45
2014-02-10,1.45,1.60,1.45,1.49,139400,1.49
2014-02-07,1.65,1.66,1.55,1.63,163700,1.63
2014-02-06,1.69,1.75,1.60,1.60,92800,1.60
2014-02-05,1.80,1.84,1.69,1.70,136400,1.70
2014-02-04,2.00,2.00,1.70,1.74,270800,1.74
2014-02-03,1.80,2.00,1.80,1.89,288300,1.89
2014-01-31,1.80,1.83,1.70,1.70,105300,1.70
2014-01-30,1.68,1.82,1.63,1.73,68700,1.73
2014-01-29,1.73,1.94,1.61,1.75,217600,1.75
2014-01-28,2.05,2.12,1.60,1.73,547100,1.73
2014-01-27,2.14,2.14,2.03,2.06,78300,2.06
2014-01-24,2.20,2.20,2.06,2.10,58700,2.10
2014-01-23,2.12,2.22,2.02,2.10,245300,2.10
2014-01-22,1.94,2.09,1.92,2.00,241300,2.00
2014-01-21,2.05,2.05,1.93,1.98,122000,1.98
2014-01-20,1.99,2.10,1.91,2.00,112300,2.00
2014-01-17,2.00,2.00,1.86,1.91,163400,1.91
2014-01-16,2.06,2.06,1.99,2.00,62600,2.00
2014-01-15,2.08,2.08,1.96,2.07,120000,2.07
2014-01-14,2.14,2.14,2.00,2.08,171900,2.08
2014-01-13,2.12,2.13,2.02,2.13,166100,2.13
2014-01-10,2.16,2.25,1.90,1.97,650300,1.97
2014-01-09,2.25,2.30,2.05,2.11,290600,2.11
2014-01-08,2.45,2.46,2.10,2.20,468600,2.20
2014-01-07,2.15,2.45,2.15,2.30,502000,2.30
2014-01-06,2.08,2.08,2.08,2.08,000,2.08
2014-01-03,2.01,2.10,1.94,2.08,323400,2.08
2014-01-02,1.88,1.99,1.77,1.94,357300,1.94
2014-01-01,1.73,1.73,1.73,1.73,000,1.73
2013-12-31,1.73,1.73,1.73,1.73,000,1.73
