Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,48.80,48.90,48.20,48.80,93000,47.00
2014-02-25,48.20,48.70,48.00,48.70,242000,46.90
2014-02-24,46.30,47.50,46.30,47.30,128100,45.55
2014-02-21,46.90,47.00,46.10,46.10,117500,44.40
2014-02-20,47.60,47.60,46.80,47.00,143700,45.26
2014-02-19,48.00,48.20,47.20,47.60,105200,45.84
2014-02-18,48.20,48.60,47.40,48.00,137500,46.23
2014-02-17,50.00,50.00,48.00,48.10,387700,46.32
2014-02-14,54.50,54.50,49.60,50.25,842000,48.39
2014-02-13,54.00,55.00,52.25,54.75,194600,52.73
2014-02-12,53.50,54.25,52.50,54.00,197200,52.00
2014-02-11,51.50,54.25,51.50,53.50,473800,51.52
2014-02-10,48.30,50.50,48.10,50.00,171300,48.15
2014-02-07,48.10,48.30,47.70,47.80,58700,46.03
2014-02-06,47.40,48.10,47.40,47.90,54300,46.13
2014-02-05,48.00,48.30,47.40,47.40,48100,45.65
2014-02-04,48.20,48.20,46.50,47.90,113900,46.13
2014-02-03,48.80,49.20,48.30,48.50,75300,46.71
2014-01-31,49.70,49.90,48.00,48.60,123200,46.80
2014-01-30,48.80,49.60,48.30,49.50,99300,47.67
2014-01-29,47.90,49.20,47.90,48.80,228900,47.00
2014-01-28,46.00,47.00,46.00,46.80,45700,45.07
2014-01-27,45.70,45.70,44.60,45.70,76100,44.01
2014-01-24,47.80,47.80,45.60,46.00,98900,44.30
2014-01-23,48.20,48.20,47.50,47.80,51900,46.03
2014-01-22,47.80,48.40,47.60,48.40,36900,46.61
2014-01-21,48.10,48.40,47.50,47.80,62800,46.03
2014-01-20,48.30,48.60,47.90,48.10,54100,46.32
2014-01-17,48.20,48.70,48.20,48.40,63800,46.61
2014-01-16,49.10,49.20,48.20,48.20,62100,46.42
2014-01-15,48.80,49.40,48.80,49.10,28900,47.29
2014-01-14,49.40,49.40,48.20,48.80,76500,47.00
2014-01-13,49.50,50.25,49.50,49.70,86400,47.86
2014-01-10,49.70,50.25,49.00,49.30,62900,47.48
2014-01-09,50.25,50.50,49.60,49.70,116600,47.86
2014-01-08,49.80,51.50,49.70,50.25,149500,48.39
2014-01-07,47.60,50.00,47.60,49.60,120900,47.77
2014-01-06,47.60,47.60,47.60,47.60,000,45.84
2014-01-03,46.40,47.70,46.10,47.60,94000,45.84
2014-01-02,44.30,46.20,44.20,46.20,82600,44.49
2014-01-01,44.00,44.00,44.00,44.00,000,42.37
2013-12-31,44.00,44.00,44.00,44.00,000,42.37
2013-12-30,44.30,44.50,43.90,44.00,72600,42.37
2013-12-27,44.30,44.70,44.20,44.30,105800,42.66
2013-12-26,44.30,44.30,44.30,44.30,000,42.66
2013-12-25,44.30,44.30,44.30,44.30,000,42.66
2013-12-24,44.30,44.30,44.30,44.30,000,42.66
2013-12-23,44.00,44.30,44.00,44.30,51700,42.66
2013-12-20,44.50,44.70,43.90,44.00,87100,42.37
2013-12-19,44.40,44.60,44.00,44.40,58300,42.76
2013-12-18,44.60,45.00,43.80,44.00,68500,42.37
