Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,89.00,89.50,88.25,89.00,28900,85.07
2014-02-25,88.00,89.50,86.75,88.50,64200,84.59
2014-02-24,89.25,89.75,87.50,88.50,40300,84.59
2014-02-21,89.75,91.00,89.25,89.25,51600,85.31
2014-02-20,90.00,90.25,89.50,90.00,36200,86.02
2014-02-19,90.25,90.25,89.50,90.25,37900,86.26
2014-02-18,91.00,91.00,89.00,90.00,57100,86.02
2014-02-17,90.75,91.50,90.50,90.50,36600,86.50
2014-02-14,91.25,91.50,90.25,90.50,54100,86.50
2014-02-13,91.00,91.75,90.00,91.25,58300,87.22
2014-02-12,87.00,89.00,87.00,88.75,55300,84.83
2014-02-11,88.00,88.00,87.00,87.00,56100,83.15
2014-02-10,86.00,87.25,86.00,86.75,62600,82.92
2014-02-07,87.00,87.75,85.50,85.75,59000,81.96
2014-02-06,86.75,88.00,86.75,87.00,66500,83.15
2014-02-05,87.75,90.00,86.50,86.75,37200,82.92
2014-02-04,86.25,87.50,84.25,87.50,298100,83.63
2014-02-03,86.00,88.00,86.00,86.00,25000,82.20
2014-01-31,90.50,90.75,87.00,87.25,38400,83.39
2014-01-30,88.75,90.50,87.50,90.50,22300,86.50
2014-01-29,90.50,91.50,88.50,89.25,40700,85.31
2014-01-28,87.00,91.25,87.00,90.50,30000,86.50
2014-01-27,87.50,88.25,83.75,86.50,80600,82.68
2014-01-24,90.00,90.75,87.50,87.50,34400,83.63
2014-01-23,93.00,93.00,88.25,89.75,75300,85.78
2014-01-22,90.00,93.50,90.00,92.75,111900,88.65
2014-01-21,90.00,90.00,89.50,89.75,56700,85.78
2014-01-20,89.75,89.75,88.50,89.25,54000,85.31
2014-01-17,89.00,89.25,88.25,89.00,51200,85.07
2014-01-16,89.75,89.75,88.25,88.75,57600,84.83
2014-01-15,90.00,90.00,88.75,89.00,123300,85.07
2014-01-14,89.00,89.50,87.75,88.50,163300,84.59
2014-01-13,88.00,90.00,86.75,89.00,143300,85.07
2014-01-10,88.00,89.25,85.25,85.75,43200,81.96
2014-01-09,85.25,88.50,84.25,88.25,33400,84.35
2014-01-08,85.50,87.00,84.00,85.25,28900,81.48
2014-01-07,84.50,85.75,84.25,85.50,27100,81.72
2014-01-06,84.50,84.50,84.50,84.50,000,80.77
2014-01-03,83.00,84.50,82.00,84.50,27200,80.77
2014-01-02,83.75,84.00,82.00,83.00,23500,79.33
2014-01-01,83.25,83.25,83.25,83.25,000,79.57
2013-12-31,83.25,83.25,83.25,83.25,000,79.57
2013-12-30,83.00,83.75,82.75,83.25,28300,79.57
2013-12-27,82.25,83.00,82.00,82.75,23500,79.09
2013-12-26,81.50,81.50,81.50,81.50,000,77.90
2013-12-25,81.50,81.50,81.50,81.50,000,77.90
2013-12-24,81.50,81.50,81.50,81.50,000,77.90
2013-12-23,83.00,83.00,80.50,81.50,38300,77.90
2013-12-20,80.25,83.25,79.50,83.25,84500,79.57
2013-12-19,79.00,80.50,78.25,79.75,75800,76.23
2013-12-18,77.00,78.50,77.00,78.00,79100,74.55
2013-12-17,76.25,77.00,74.50,76.50,107300,73.12
2013-12-16,75.00,76.25,75.00,75.50,184600,72.16
2013-12-13,74.50,75.00,72.25,73.50,38300,70.25
2013-12-12,75.00,76.25,74.75,74.75,32100,71.45
2013-12-11,77.00,77.00,75.50,75.50,23600,72.16
2013-12-10,75.50,77.00,75.25,77.00,24800,73.60
2013-12-09,76.25,77.00,76.00,76.00,25000,72.64
2013-12-06,77.00,77.25,75.00,75.75,38700,72.40
2013-12-05,77.25,77.25,76.25,76.50,17400,73.12
2013-12-04,78.25,78.25,75.50,77.50,28700,74.07
2013-12-03,79.50,79.50,78.00,78.25,19700,74.79
2013-12-02,81.00,81.00,79.00,79.75,18500,76.23
2013-11-29,80.00,81.25,79.00,80.75,24000,77.18
2013-11-28,81.00,81.00,79.50,80.25,7100,76.70
2013-11-27,80.25,81.00,78.25,81.00,61700,77.42
2013-11-26,80.00,81.00,79.75,81.00,36000,77.42
2013-11-25,77.00,80.00,77.00,79.50,20500,75.99
2013-11-22,75.50,78.00,75.50,77.00,34100,73.60
2013-11-21,76.50,76.50,74.25,76.00,34300,72.64
2013-11-20,80.00,80.00,76.25,77.00,51900,73.60
2013-11-19,79.50,80.00,79.25,80.00,10800,76.46
2013-11-18,79.00,80.00,78.50,80.00,39800,76.46
2013-11-15,79.25,79.75,78.75,78.75,11400,75.27
2013-11-14,79.00,79.50,78.50,79.25,18100,75.75
2013-11-13,78.25,79.25,77.75,78.50,53600,75.03
2013-11-12,78.75,79.00,77.75,78.25,26600,74.79
2013-11-11,77.50,79.50,77.50,78.50,25800,75.03
2013-11-08,78.00,78.00,77.25,77.25,31400,73.84
2013-11-07,79.00,80.50,77.50,78.00,74000,74.55
2013-11-06,75.25,79.00,75.25,78.75,112000,75.27
2013-11-05,75.00,75.75,74.50,75.25,102500,71.92
2013-11-04,74.50,74.75,74.25,74.75,56900,71.45
2013-11-01,73.00,74.00,72.75,73.00,22200,69.77
2013-10-31,72.50,73.00,72.00,73.00,12600,69.77
2013-10-30,73.00,73.50,72.25,72.75,18300,69.53
