Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,88.70,88.75,87.80,88.20,1976500,88.20
2014-02-25,88.55,89.00,88.00,88.30,3841500,88.30
2014-02-21,90.00,92.50,88.55,90.50,12694600,90.50
2014-02-20,99.30,100.50,98.60,100.40,1290800,100.40
2014-02-19,98.05,99.85,98.05,99.85,1348700,99.85
2014-02-18,99.40,99.45,97.90,98.15,1042400,98.15
2014-02-17,99.40,99.75,98.75,99.25,883100,99.25
2014-02-14,98.00,99.40,98.00,99.20,1428400,99.20
2014-02-13,97.15,98.40,96.75,98.00,1529900,98.00
2014-02-12,95.50,97.20,94.75,96.60,1939500,96.60
2014-02-11,93.65,95.35,93.50,95.25,1818100,95.25
2014-02-10,93.90,94.10,92.95,93.50,1812300,93.50
2014-02-07,94.00,94.10,93.35,93.65,1825500,93.65
2014-02-06,94.00,94.70,93.65,93.95,2256900,93.95
2014-02-05,93.85,94.15,93.40,93.75,1249100,93.75
2014-02-04,94.75,94.90,93.30,93.70,1826800,93.70
2014-02-03,95.70,96.75,94.85,94.95,1944200,94.95
2014-01-31,96.80,97.15,94.70,95.50,1841100,95.50
2014-01-30,97.05,97.25,96.15,96.50,1024700,96.50
2014-01-29,97.55,98.05,95.95,97.05,1819200,97.05
2014-01-28,96.40,97.15,95.80,96.70,2182000,96.70
2014-01-27,96.05,97.10,94.80,95.85,1641300,95.85
2014-01-24,99.05,99.35,95.95,96.10,2377100,96.10
2014-01-23,98.75,99.45,98.30,99.00,1733100,99.00
2014-01-22,99.35,99.60,98.55,98.85,1336500,98.85
2014-01-21,98.90,99.70,98.50,99.20,960300,99.20
2014-01-20,99.40,99.60,98.25,98.90,1048000,98.90
2014-01-17,100.00,100.90,99.00,99.40,1904400,99.40
2014-01-16,99.25,100.00,99.20,99.85,2106300,99.85
2014-01-15,98.90,99.50,98.75,99.05,1722800,99.05
2014-01-14,99.25,99.45,98.40,98.75,1196200,98.75
2014-01-13,100.00,100.10,98.60,99.45,1295800,99.45
2014-01-10,99.40,99.80,99.05,99.65,1367600,99.65
2014-01-09,98.45,99.25,98.25,98.80,1408800,98.80
2014-01-08,97.80,98.35,97.45,97.95,1526900,97.95
2014-01-07,99.50,99.60,97.40,97.70,2442800,97.70
2014-01-06,99.10,99.10,99.10,99.10,000,99.10
2014-01-03,98.55,99.75,98.25,99.10,1266400,99.10
2014-01-02,98.55,99.70,98.00,98.00,1425500,98.00
2014-01-01,98.35,98.35,98.35,98.35,000,98.35
2013-12-31,98.35,98.35,98.35,98.35,000,98.35
2013-12-30,98.00,98.75,97.50,98.35,1213000,98.35
2013-12-27,98.35,98.50,97.30,97.70,1149200,97.70
2013-12-26,97.70,97.70,97.70,97.70,000,97.70
2013-12-25,97.70,97.70,97.70,97.70,000,97.70
2013-12-24,97.70,97.70,97.70,97.70,000,97.70
2013-12-23,97.00,97.70,96.75,97.70,1017200,97.70
2013-12-20,96.85,97.35,95.90,96.65,2245000,96.65
2013-12-19,96.15,96.60,94.85,96.50,2041000,96.50
2013-12-18,95.00,96.15,93.95,95.15,2524700,95.15
2013-12-17,92.70,92.70,91.35,91.55,1181300,91.55
2013-12-16,92.50,92.95,92.05,92.70,637300,92.70
2013-12-13,92.90,93.65,92.35,92.50,887500,92.50
2013-12-12,93.80,94.00,92.50,92.70,1255900,92.70
2013-12-11,94.25,94.50,93.45,93.65,1204600,93.65
2013-12-10,95.00,95.55,93.80,94.05,1436000,94.05
2013-12-09,94.10,95.05,92.80,94.95,1783200,94.95
2013-12-06,93.15,95.75,93.00,94.00,3074900,94.00
2013-12-05,92.35,94.30,92.05,93.15,3728700,93.15
2013-12-04,94.60,96.00,91.00,91.30,6694800,91.30
2013-12-03,96.00,96.65,93.95,96.55,2871000,96.55
2013-12-02,98.50,99.00,97.50,97.85,1230500,97.85
2013-11-29,99.15,99.60,97.50,98.30,1642000,98.30
2013-11-28,99.65,100.50,98.15,98.75,2141200,98.75
2013-11-27,97.60,99.95,97.40,98.80,2475500,98.80
2013-11-26,98.00,98.05,96.00,96.50,1883400,96.50
2013-11-25,98.50,99.20,98.05,98.05,814400,98.05
2013-11-22,97.35,98.20,97.35,98.10,986600,98.10
2013-11-21,97.60,97.80,96.85,97.00,951500,97.00
2013-11-20,98.45,98.90,97.65,97.85,815300,97.85
2013-11-19,98.20,98.50,97.85,98.45,3549500,98.45
2013-11-18,96.45,98.20,96.45,98.10,1670100,98.10
2013-11-15,96.80,96.90,95.95,96.30,937500,96.30
2013-11-14,99.65,99.65,96.10,96.50,1304300,96.50
2013-11-13,97.00,97.20,96.05,96.90,1024000,96.90
2013-11-12,96.75,97.15,96.40,96.90,1444100,96.90
2013-11-11,96.95,97.40,95.65,96.00,1019700,96.00
2013-11-08,95.15,97.00,95.15,96.75,1671400,96.75
2013-11-07,95.05,95.85,94.20,95.25,2669900,95.25
2013-11-06,93.20,94.95,93.20,94.05,1660600,94.05
2013-11-05,94.75,96.00,92.90,93.40,2083700,93.40
2013-11-04,95.00,96.20,94.75,95.00,1273500,95.00
2013-11-01,95.60,96.05,94.90,94.90,670200,94.90
2013-10-31,95.75,96.25,95.05,95.60,1742900,95.60
2013-10-30,97.55,97.95,95.85,95.85,1990400,95.85
2013-10-29,98.30,98.65,97.10,97.75,1407700,97.75
2013-10-28,97.80,98.35,96.55,98.30,2013000,98.30
2013-10-25,99.90,100.00,96.95,97.30,2789800,97.30
2013-10-24,101.40,101.80,97.20,100.50,4690400,100.50
2013-10-23,102.00,103.80,102.00,102.50,1613500,102.50
2013-10-22,103.80,104.00,99.45,102.50,2719600,102.50
2013-10-21,102.80,103.80,102.50,103.70,736600,103.70
