Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,86.75,86.75,85.75,86.75,3400,83.62
2014-02-25,86.50,86.75,86.00,86.75,4200,83.62
2014-02-24,86.00,87.00,84.75,86.50,7200,83.38
2014-02-21,85.50,86.00,84.00,86.00,6600,82.90
2014-02-20,84.50,85.75,84.50,85.50,2300,82.41
2014-02-19,85.00,85.00,84.25,84.75,4300,81.69
2014-02-18,83.75,85.00,83.00,84.75,6600,81.69
2014-02-17,82.50,84.00,82.50,83.75,4000,80.73
2014-02-14,83.00,83.50,81.50,82.25,5500,79.28
2014-02-13,83.25,83.25,81.50,83.00,3800,80.00
2014-02-12,83.25,83.25,81.25,81.75,2600,78.80
2014-02-11,82.00,83.00,78.00,82.00,12000,79.04
2014-02-10,82.25,83.00,81.50,82.00,5700,79.04
2014-02-07,79.00,83.75,79.00,80.50,57700,77.59
2014-02-06,78.00,79.50,78.00,79.00,12000,76.15
2014-02-05,77.50,78.00,76.00,78.00,6300,75.18
2014-02-04,76.00,78.00,75.25,77.50,6100,74.70
2014-02-03,77.50,78.00,77.25,77.50,2400,74.70
2014-01-31,76.50,78.00,75.75,77.75,6500,74.94
2014-01-30,78.00,78.00,76.50,78.00,2000,75.18
2014-01-29,78.00,78.00,76.00,78.00,4000,75.18
2014-01-28,77.25,78.00,76.25,78.00,5000,75.18
2014-01-27,77.00,77.50,75.25,77.00,8800,74.22
2014-01-24,77.00,78.00,75.75,78.00,4200,75.18
2014-01-23,77.00,78.00,75.50,78.00,5600,75.18
2014-01-22,77.00,78.00,75.00,77.00,8600,74.22
2014-01-21,78.00,79.00,76.00,76.00,11400,73.26
2014-01-20,78.25,78.50,77.25,78.00,2800,75.18
2014-01-17,77.00,78.50,75.00,77.25,12000,74.46
2014-01-16,79.00,80.00,77.75,78.00,7300,75.18
2014-01-15,80.00,80.00,78.00,79.25,9200,76.39
2014-01-14,82.75,82.75,78.50,80.00,12400,77.11
2014-01-13,84.00,84.00,79.25,83.00,29400,80.00
2014-01-10,86.25,86.25,84.00,86.25,8200,83.14
2014-01-09,86.25,86.25,82.00,86.25,18400,83.14
2014-01-08,84.50,88.00,84.25,86.00,21400,82.90
2014-01-07,74.00,83.00,74.00,83.00,15900,80.00
2014-01-06,74.50,74.50,74.50,74.50,000,71.81
2014-01-03,73.50,74.50,73.50,74.50,3900,71.81
2014-01-02,74.00,74.00,72.50,73.25,5300,70.61
2014-01-01,73.25,73.25,73.25,73.25,000,70.61
2013-12-31,73.25,73.25,73.25,73.25,000,70.61
2013-12-30,74.00,74.00,72.00,73.25,6900,70.61
2013-12-27,73.75,75.00,73.75,74.50,6500,71.81
2013-12-26,73.50,73.50,73.50,73.50,000,70.85
2013-12-25,73.50,73.50,73.50,73.50,000,70.85
2013-12-24,73.50,73.50,73.50,73.50,000,70.85
2013-12-23,74.25,74.25,72.50,73.50,9600,70.85
2013-12-20,77.00,77.00,75.00,75.00,10000,72.29
2013-12-19,75.00,77.00,75.00,77.00,5100,74.22
2013-12-18,78.50,78.75,75.00,76.50,4100,73.74
2013-12-17,79.75,79.75,76.50,78.50,3700,75.67
2013-12-16,76.50,79.75,74.00,78.00,8100,75.18
2013-12-13,75.00,76.25,74.00,76.25,7400,73.50
2013-12-12,77.00,77.00,75.00,76.00,4400,73.26
2013-12-11,78.50,78.50,71.25,75.50,12800,72.77
2013-12-10,78.75,78.75,77.50,78.50,6000,75.67
2013-12-09,79.75,79.75,76.75,79.00,15500,76.15
2013-12-06,81.75,81.75,80.50,80.50,5500,77.59
2013-12-05,82.25,83.00,80.25,82.00,8200,79.04
2013-12-04,84.50,84.75,82.25,83.00,11200,80.00
2013-12-03,81.75,85.75,81.75,84.00,62500,80.97
2013-12-02,79.75,84.00,79.75,81.25,17900,78.32
2013-11-29,81.50,81.50,79.75,79.75,11500,76.87
2013-11-28,81.50,82.00,80.00,82.00,15200,79.04
2013-11-27,77.75,85.25,77.50,82.00,32700,79.04
2013-11-26,72.00,79.00,72.00,77.50,48500,74.70
2013-11-25,68.75,72.00,68.75,72.00,47100,69.40
2013-11-22,66.25,67.75,66.25,66.75,4600,64.34
2013-11-21,65.00,66.75,65.00,66.25,5300,63.86
2013-11-20,67.00,67.00,64.50,66.00,11000,63.62
2013-11-19,66.25,66.50,64.25,66.50,5100,64.10
2013-11-18,66.25,67.00,65.00,66.25,10300,63.86
2013-11-15,67.50,67.50,65.50,67.00,12300,64.58
2013-11-14,61.00,69.50,61.00,67.75,47500,65.30
2013-11-13,60.25,60.50,60.25,60.25,800,58.07
2013-11-12,61.50,61.50,59.00,60.00,4300,57.83
2013-11-11,61.00,61.50,60.00,61.00,3200,58.80
2013-11-08,59.00,61.00,58.50,61.00,7300,58.80
2013-11-07,60.50,60.50,59.00,59.25,3300,57.11
2013-11-06,61.00,61.00,60.00,60.50,2100,58.32
2013-11-05,60.00,61.00,58.00,60.00,10900,57.83
2013-11-04,58.00,60.00,57.00,60.00,7200,57.83
2013-11-01,58.75,58.75,58.75,58.75,000,56.63
2013-10-31,57.75,58.75,57.00,58.75,400,56.63
2013-10-30,58.75,61.00,56.00,59.00,7900,56.87
2013-10-29,59.50,60.00,59.50,60.00,800,57.83
2013-10-28,59.50,60.75,59.00,60.75,2700,58.56
2013-10-25,60.75,61.00,59.25,61.00,900,58.80
2013-10-24,59.50,61.25,59.50,60.75,1300,58.56
2013-10-23,61.00,61.00,59.00,61.00,2100,58.80
2013-10-22,60.75,61.25,58.75,60.50,2700,58.32
2013-10-21,57.75,61.25,57.00,60.00,7100,57.83
2013-10-18,58.00,59.75,58.00,59.75,1900,57.59
2013-10-17,60.50,61.75,58.00,58.00,3600,55.91
2013-10-16,59.75,60.00,57.50,59.25,4300,57.11
2013-10-15,60.50,60.50,58.75,58.75,2600,56.63
2013-10-14,58.25,59.00,56.75,59.00,2300,56.87
2013-10-11,59.00,60.00,57.75,58.00,5800,55.91
2013-10-10,58.25,58.50,57.25,57.25,1700,55.18
2013-10-09,55.25,57.00,54.50,57.00,5700,54.94
2013-10-08,58.00,58.50,55.00,58.50,8700,56.39
2013-10-07,59.75,59.75,58.00,58.00,5200,55.91
2013-10-04,59.75,60.75,59.75,60.25,1100,58.07
2013-10-03,60.25,61.00,59.75,60.50,4800,58.32
2013-10-02,61.75,61.75,60.25,61.25,5800,59.04
2013-10-01,60.50,62.00,60.00,62.00,4900,59.76
2013-09-30,63.25,63.75,59.75,62.25,11100,60.00
2013-09-27,61.50,63.75,59.50,63.75,18500,61.45
2013-09-26,60.50,62.00,60.50,61.50,1800,59.28
2013-09-25,60.50,61.75,60.50,60.50,4300,58.32
2013-09-24,59.75,61.75,59.50,60.50,4400,58.32
2013-09-23,62.00,62.00,58.00,62.00,14200,59.76
2013-09-20,62.50,62.50,60.00,62.25,7900,60.00
2013-09-19,62.50,62.50,60.75,62.50,12400,60.24
2013-09-18,62.00,62.75,61.50,62.50,19800,60.24
2013-09-17,62.75,62.75,60.00,61.50,31600,59.28
2013-09-16,57.25,63.00,57.25,62.75,90700,60.48
2013-09-13,52.00,54.00,52.00,53.75,15200,51.81
2013-09-12,52.75,53.75,52.00,53.00,4700,51.09
2013-09-11,53.00,53.00,52.00,52.50,5200,50.60
2013-09-10,51.00,53.50,51.00,53.00,21200,51.09
2013-09-09,51.00,52.00,50.75,51.75,23300,49.88
2013-09-06,48.50,50.00,48.50,50.00,1600,48.19
2013-09-05,48.00,49.30,47.80,49.20,600,47.42
2013-09-04,48.00,49.20,48.00,49.20,900,47.42
2013-09-03,48.00,49.50,47.60,49.50,3500,47.71
2013-09-02,48.00,48.00,47.70,47.70,9800,45.98
2013-08-30,48.50,48.50,47.10,48.00,4900,46.27
2013-08-29,49.00,49.40,48.30,48.30,3800,46.56
2013-08-28,48.50,49.50,48.50,49.50,1400,47.71
2013-08-27,49.50,49.50,48.00,49.00,7000,47.23
2013-08-26,51.00,52.00,49.30,49.50,10700,47.71
2013-08-23,50.00,52.00,48.10,49.20,16900,47.42
2013-08-22,47.60,49.00,47.60,49.00,2900,47.23
2013-08-21,47.60,47.60,46.70,47.60,200,45.88
2013-08-20,46.50,47.50,46.50,47.50,700,45.79
2013-08-19,47.00,47.20,46.10,47.20,1000,45.50
2013-08-16,46.90,46.90,46.90,46.90,1100,45.21
2013-08-15,46.90,46.90,46.70,46.70,300,45.01
2013-08-14,45.90,46.90,45.90,46.90,2300,45.21
2013-08-13,46.90,46.90,45.00,45.00,7900,43.38
2013-08-12,46.80,47.00,46.00,46.00,2900,44.34
2013-08-09,45.50,46.80,45.10,46.80,4300,45.11
2013-08-08,45.60,46.10,45.60,46.00,3400,44.34
2013-08-07,46.00,46.80,46.00,46.80,200,45.11
2013-08-06,46.00,46.00,46.00,46.00,1600,44.34
2013-08-05,45.90,46.50,45.90,46.00,3600,44.34
2013-08-02,44.70,45.40,44.70,45.40,300,43.76
2013-08-01,46.00,46.00,44.60,44.60,2800,42.99
2013-07-31,45.20,46.00,45.20,46.00,700,44.34
2013-07-30,45.20,46.00,45.20,46.00,900,44.34
2013-07-29,46.40,46.50,45.20,45.20,300,43.57
2013-07-26,45.20,46.00,45.20,46.00,2700,44.34
2013-07-25,45.50,46.00,45.50,46.00,2300,44.34
2013-07-24,45.90,45.90,45.50,45.50,300,43.86
2013-07-23,45.90,45.90,45.90,45.90,000,44.24
2013-07-22,45.90,45.90,45.90,45.90,000,44.24
2013-07-19,46.80,46.80,45.00,45.90,3700,44.24
2013-07-18,46.50,46.50,46.40,46.40,700,44.72
2013-07-17,46.00,46.00,46.00,46.00,100,44.34
2013-07-16,46.40,46.40,45.90,45.90,700,44.24
2013-07-15,45.80,46.00,45.60,46.00,2500,44.34
2013-07-12,45.00,46.00,45.00,45.80,6300,44.15
2013-07-11,45.70,45.70,44.80,45.50,500,43.86
2013-07-10,45.70,45.70,44.70,45.70,1200,44.05
2013-07-09,45.00,45.90,44.80,45.90,1400,44.24
2013-07-08,45.00,45.70,44.50,45.70,3200,44.05
2013-07-05,45.50,45.90,45.50,45.90,300,44.24
2013-07-04,45.00,45.50,44.10,45.50,1500,43.86
2013-07-03,45.10,45.10,44.40,44.40,2200,42.80
2013-07-02,46.90,46.90,45.00,45.00,1700,43.38
2013-07-01,46.60,46.90,46.60,46.90,800,45.21
2013-06-28,46.30,47.00,46.30,47.00,2400,45.30
2013-06-27,46.00,46.00,44.80,46.00,2800,44.34
2013-06-26,46.00,46.00,46.00,46.00,11100,44.34
2013-06-25,44.80,45.00,44.80,45.00,600,43.38
2013-06-24,46.00,46.00,45.20,45.70,1100,44.05
2013-06-21,46.00,46.00,46.00,46.00,000,44.34
2013-06-20,46.00,46.00,46.00,46.00,2700,44.34
2013-06-19,45.20,46.50,45.00,46.50,8200,44.82
2013-06-18,46.00,46.40,46.00,46.40,4500,44.72
2013-06-17,44.60,46.00,44.50,46.00,4400,44.34
2013-06-14,46.00,46.00,46.00,46.00,000,44.34
2013-06-13,45.60,46.00,44.00,46.00,7200,44.34
2013-06-12,46.00,46.40,45.40,46.40,6000,44.72
2013-06-11,46.00,46.20,46.00,46.20,1000,44.53
2013-06-10,45.60,45.90,45.60,45.90,600,44.24
2013-06-07,45.60,45.60,45.60,45.60,1200,43.95
2013-06-06,46.30,46.30,46.30,46.30,000,44.63
2013-06-05,46.30,46.30,46.30,46.30,000,44.63
2013-06-04,46.40,46.40,45.40,46.30,600,44.63
2013-06-03,46.40,46.40,46.40,46.40,1000,44.72
2013-05-31,45.50,46.20,45.50,46.20,2200,44.53
2013-05-30,46.20,46.20,46.20,46.20,200,44.53
2013-05-29,46.00,46.00,45.50,45.90,200,44.24
2013-05-28,45.90,46.00,45.00,46.00,1900,44.34
2013-05-27,45.50,46.40,45.50,45.50,2900,43.86
2013-05-24,44.90,45.50,44.90,45.50,1400,43.86
2013-05-23,45.10,46.20,44.80,45.70,7400,44.05
2013-05-22,47.90,48.00,46.20,46.20,7500,44.53
2013-05-21,47.90,47.90,47.90,47.90,400,46.17
2013-05-20,47.40,47.90,46.60,47.90,2800,46.17
2013-05-17,47.50,47.50,47.40,47.40,2100,45.69
2013-05-16,47.40,47.50,47.40,47.50,2800,45.79
2013-05-15,47.40,47.40,47.30,47.40,2600,45.69
2013-05-14,46.50,47.40,45.80,46.00,5800,44.34
2013-05-13,47.60,47.60,47.00,47.20,1600,45.50
2013-05-10,46.90,48.60,46.90,48.60,1000,46.85
2013-05-09,46.90,46.90,46.90,46.90,000,45.21
2013-05-08,46.50,46.90,46.50,46.90,100,45.21
2013-05-07,47.00,47.20,46.50,47.00,3900,45.30
2013-05-06,46.50,47.20,46.50,47.10,6200,45.40
2013-05-03,48.10,48.10,47.00,47.50,5300,45.79
2013-05-02,48.50,48.50,48.10,48.10,3000,46.36
2013-05-01,48.50,48.50,48.50,48.50,000,46.75
2013-04-30,48.50,48.50,48.50,48.50,000,46.75
2013-04-29,49.80,49.80,48.50,48.50,2500,46.75
2013-04-26,50.00,50.00,49.30,49.80,1800,48.00
2013-04-25,51.25,51.25,49.50,50.00,14100,48.19
2013-04-24,50.25,51.25,49.50,51.25,3800,49.40
2013-04-23,53.00,53.25,52.50,53.25,7900,48.97
2013-04-22,52.00,52.00,51.50,52.00,1600,47.82
2013-04-19,52.50,53.00,52.00,52.50,3700,48.28
2013-04-18,53.00,53.00,48.20,53.00,7500,48.74
2013-04-17,50.75,51.75,50.25,51.75,6800,47.59
2013-04-16,48.50,50.75,46.70,50.75,7200,46.67
2013-04-15,51.75,51.75,45.10,50.00,15800,45.98
2013-04-12,53.00,53.75,51.75,51.75,4800,47.59
2013-04-11,52.00,53.00,52.00,53.00,1800,48.74
2013-04-10,52.25,53.00,51.25,52.00,2500,47.82
2013-04-09,51.00,52.00,50.75,51.00,2500,46.90
2013-04-08,52.00,52.75,51.00,51.00,3700,46.90
2013-04-05,52.50,52.50,51.00,51.00,2700,46.90
2013-04-04,51.25,52.50,51.25,52.50,1300,48.28
2013-04-03,51.50,52.00,51.50,52.00,4400,47.82
2013-04-02,52.25,52.25,51.00,51.25,5500,47.13
2013-04-01,51.50,51.50,51.50,51.50,000,47.36
2013-03-29,51.50,51.50,51.50,51.50,000,47.36
2013-03-28,51.50,51.50,51.50,51.50,000,47.36
2013-03-27,51.00,51.50,51.00,51.50,2400,47.36
2013-03-26,51.25,51.25,50.50,51.00,6100,46.90
2013-03-25,51.75,52.50,50.00,51.50,33900,47.36
2013-03-22,48.40,49.70,48.40,49.70,300,45.70
2013-03-21,47.00,49.70,47.00,49.70,129400,45.70
2013-03-20,47.80,48.70,47.50,47.90,61200,44.05
2013-03-19,48.60,49.00,48.30,49.00,3400,45.06
2013-03-18,49.10,49.10,48.60,49.10,1200,45.15
2013-03-15,49.10,49.50,49.10,49.10,3700,45.15
2013-03-14,49.20,49.20,49.00,49.00,400,45.06
2013-03-13,49.50,49.50,49.00,49.20,4700,45.24
2013-03-12,50.00,50.50,49.80,49.80,4200,45.79
2013-03-11,49.90,49.90,49.00,49.90,2200,45.89
2013-03-08,49.90,49.90,49.90,49.90,1000,45.89
2013-03-07,49.50,49.90,49.00,49.90,700,45.89
2013-03-06,51.25,51.25,49.50,50.00,5200,45.98
2013-03-05,51.00,51.50,49.70,49.90,8300,45.89
2013-03-04,50.75,51.25,48.30,51.00,6400,46.90
2013-03-01,48.50,53.00,48.00,50.75,19900,46.67
2013-02-28,46.50,48.00,46.50,48.00,8600,44.14
2013-02-27,46.10,46.20,45.50,46.00,4200,42.30
2013-02-26,45.20,46.10,45.00,46.10,2900,42.39
2013-02-25,45.90,46.00,45.40,45.50,1000,41.84
2013-02-22,45.10,46.00,45.10,46.00,4600,42.30
2013-02-21,46.00,46.00,45.00,45.00,6500,41.38
2013-02-20,47.00,47.00,45.00,46.40,8900,42.67
2013-02-19,46.80,47.10,46.50,47.00,3800,43.22
2013-02-18,45.80,47.00,45.50,47.00,6800,43.22
2013-02-15,44.50,46.00,44.50,45.50,6000,41.84
2013-02-14,45.00,45.00,44.00,44.50,8400,40.92
2013-02-13,45.00,46.00,44.20,45.80,4600,42.12
2013-02-12,45.00,45.30,43.60,45.00,6800,41.38
2013-02-11,46.40,46.40,44.80,45.60,7400,41.93
2013-02-08,41.70,46.90,41.70,46.50,49000,42.76
2013-02-07,41.00,41.00,39.80,40.10,3200,36.87
2013-02-06,39.50,41.00,39.50,40.30,2300,37.06
2013-02-05,40.00,40.00,39.50,39.50,1800,36.32
2013-02-04,40.00,40.00,40.00,40.00,400,36.78
2013-02-01,39.30,39.30,38.60,39.00,2500,35.86
2013-01-31,40.00,40.00,40.00,40.00,1000,36.78
2013-01-30,39.50,39.90,39.10,39.90,2900,36.69
2013-01-29,40.00,40.00,39.10,40.00,1600,36.78
2013-01-28,39.00,40.00,39.00,40.00,4900,36.78
2013-01-25,38.80,39.00,38.30,39.00,2200,35.86
