Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,1.26,1.26,1.22,1.24,33700,1.24
2014-02-25,1.28,1.32,1.22,1.23,75300,1.23
2014-02-24,1.30,1.30,1.29,1.30,30400,1.30
2014-02-21,1.38,1.40,1.08,1.30,431700,1.30
2014-02-20,1.36,1.45,1.28,1.38,217300,1.38
2014-02-19,1.40,1.49,1.38,1.49,237700,1.49
2014-02-18,1.41,1.49,1.41,1.45,12800,1.45
2014-02-17,1.41,1.44,1.41,1.41,48400,1.41
2014-02-14,1.45,1.48,1.37,1.45,139200,1.45
2014-02-13,1.51,1.51,1.36,1.49,306700,1.49
2014-02-12,1.56,1.56,1.52,1.56,42900,1.56
2014-02-11,1.55,1.56,1.53,1.53,10000,1.53
2014-02-10,1.53,1.54,1.50,1.50,53000,1.50
2014-02-07,1.51,1.56,1.48,1.54,121300,1.54
2014-02-06,1.51,1.55,1.51,1.54,19700,1.54
2014-02-05,1.62,1.62,1.50,1.50,182500,1.50
2014-02-04,1.58,1.58,1.48,1.57,105700,1.57
2014-02-03,1.62,1.63,1.45,1.58,40400,1.58
2014-01-31,1.60,1.62,1.51,1.59,16400,1.59
2014-01-30,1.55,1.60,1.55,1.60,14300,1.60
2014-01-29,1.55,1.59,1.54,1.54,46600,1.54
2014-01-28,1.51,1.59,1.44,1.59,102900,1.59
2014-01-27,1.58,1.62,1.55,1.58,54500,1.58
2014-01-24,1.61,1.62,1.55,1.62,78300,1.62
2014-01-23,1.64,1.65,1.61,1.61,57400,1.61
2014-01-22,1.62,1.65,1.61,1.61,56900,1.61
2014-01-21,1.65,1.65,1.65,1.65,000,1.65
2014-01-20,1.61,1.65,1.59,1.65,61800,1.65
2014-01-17,1.63,1.63,1.58,1.59,145900,1.59
2014-01-16,1.64,1.70,1.64,1.64,148700,1.64
2014-01-15,1.67,1.67,1.63,1.66,16800,1.66
2014-01-14,1.65,1.67,1.65,1.67,36000,1.67
2014-01-13,1.62,1.66,1.62,1.62,59400,1.62
