Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,149.40,149.80,148.80,149.30,1061000,142.69
2014-02-25,148.70,150.00,148.60,149.00,1968400,142.40
2014-02-21,144.20,147.80,144.00,146.50,2439400,140.01
2014-02-20,142.50,144.00,141.70,143.80,1441500,137.43
2014-02-19,142.20,144.00,141.90,144.00,1413900,137.62
2014-02-18,143.60,143.80,142.30,142.60,1148700,136.29
2014-02-17,142.00,143.30,141.80,143.10,1273200,136.76
2014-02-14,140.00,142.00,139.90,141.80,1481600,135.52
2014-02-13,140.00,140.30,138.50,139.90,1092200,133.71
2014-02-12,141.00,142.10,139.70,140.00,1720200,133.80
2014-02-11,139.70,141.50,139.60,140.60,1920600,134.37
2014-02-10,139.20,139.50,138.10,139.30,1557600,133.13
2014-02-07,138.30,139.50,137.30,138.70,2291100,132.56
2014-02-06,136.50,138.90,136.00,138.00,2703400,131.89
2014-02-05,135.40,137.90,133.40,136.40,2423300,130.36
2014-02-04,135.20,136.00,133.20,135.30,3372100,129.31
2014-02-03,138.90,139.80,135.10,136.40,3543600,130.36
2014-01-31,146.90,147.70,138.20,139.20,12699800,133.04
2014-01-30,155.70,156.30,151.80,152.70,2369000,145.94
2014-01-29,159.50,159.50,153.40,155.40,2284500,148.52
2014-01-28,157.30,158.00,155.60,158.00,2261000,151.00
2014-01-27,155.00,156.90,153.50,156.60,2309100,149.67
2014-01-24,160.00,160.10,155.20,155.40,3144200,148.52
2014-01-23,163.40,163.70,160.00,160.70,1873100,153.58
2014-01-22,164.40,164.80,162.90,163.40,1497700,156.16
2014-01-21,162.80,164.10,162.30,163.90,1336500,156.64
2014-01-20,161.80,163.10,161.60,162.40,1209000,155.21
2014-01-17,162.50,163.70,161.10,162.00,1721600,154.83
2014-01-16,164.00,165.50,161.70,162.20,2086900,155.02
2014-01-15,162.60,163.30,161.30,162.60,1974600,155.40
2014-01-14,163.30,163.30,160.30,162.40,2403200,155.21
2014-01-13,164.70,165.70,163.20,163.60,2291500,156.36
2014-01-10,165.40,167.20,165.40,167.20,1316200,159.80
2014-01-09,166.60,167.70,164.70,165.00,1253200,157.69
2014-01-08,168.30,168.30,166.50,166.60,1316200,159.22
2014-01-07,168.50,169.30,167.50,168.20,1364300,160.75
2014-01-06,168.50,168.50,168.50,168.50,000,161.04
2014-01-03,167.10,169.00,167.10,168.50,687900,161.04
2014-01-02,169.50,169.70,167.10,167.70,1224300,160.27
2014-01-01,168.50,168.50,168.50,168.50,000,161.04
2013-12-31,168.50,168.50,168.50,168.50,000,161.04
2013-12-30,168.60,169.90,167.40,168.50,828100,161.04
2013-12-27,166.90,169.10,166.60,168.40,823100,160.94
2013-12-26,166.40,166.40,166.40,166.40,000,159.03
2013-12-25,166.40,166.40,166.40,166.40,000,159.03
2013-12-24,166.40,166.40,166.40,166.40,000,159.03
2013-12-23,165.90,166.80,165.50,166.40,769500,159.03
2013-12-20,165.00,166.60,163.70,165.50,1953900,158.17
2013-12-19,161.80,166.00,161.80,165.40,3226500,158.08
2013-12-18,160.40,163.20,158.70,159.50,3971200,152.44
2013-12-17,155.50,155.50,153.50,154.10,990200,147.28
2013-12-16,153.30,155.80,152.40,155.80,1042700,148.90
2013-12-13,155.60,155.90,153.20,153.70,1343700,146.89
2013-12-12,158.10,158.10,154.50,155.10,1936500,148.23
2013-12-11,158.30,161.10,157.50,159.10,1864400,152.06
2013-12-10,157.00,160.90,155.60,158.20,2401200,151.20
2013-12-09,157.00,157.20,154.00,157.00,1416300,150.05
2013-12-06,157.80,157.80,154.70,156.60,1331000,149.67
2013-12-05,155.20,158.60,154.50,156.60,1347600,149.67
