Date,Open,High,Low,Close,Volume,Adj Close
2013-09-13,32.20,32.20,32.20,32.20,000,32.20
2013-09-12,33.20,33.20,32.20,32.20,1800,32.20
2013-09-11,32.90,32.90,32.90,32.90,000,32.90
2013-09-10,32.90,32.90,32.90,32.90,000,32.90
2013-09-09,32.30,33.10,32.30,33.00,1100,33.00
2013-09-06,33.70,33.70,33.70,33.70,000,33.70
2013-09-05,32.90,33.70,32.90,33.70,600,33.70
2013-09-04,33.10,33.10,33.00,33.00,1300,33.00
2013-09-03,32.30,32.30,32.30,32.30,000,32.30
2013-09-02,32.30,32.30,32.30,32.30,000,32.30
2013-08-30,32.30,32.30,32.30,32.30,2200,32.30
2013-08-29,31.80,31.80,31.80,31.80,000,31.80
2013-08-28,31.80,31.80,31.80,31.80,000,31.80
2013-08-27,31.50,31.80,31.50,31.80,1200,31.80
2013-08-26,32.20,32.20,32.20,32.20,200,32.20
2013-08-23,31.90,31.90,31.90,31.90,000,31.90
2013-08-22,31.90,31.90,31.90,31.90,000,31.90
2013-08-21,32.50,32.50,31.90,31.90,4500,31.90
2013-08-20,32.50,32.50,32.50,32.50,000,32.50
2013-08-19,32.50,32.50,32.50,32.50,2000,32.50
2013-08-16,33.10,33.10,33.00,33.00,700,33.00
2013-08-15,33.20,33.20,33.20,33.20,000,33.20
2013-08-14,33.20,33.20,33.20,33.20,300,33.20
2013-08-13,33.20,33.20,33.20,33.20,000,33.20
2013-08-12,33.30,33.30,33.20,33.20,3400,33.20
2013-08-09,33.30,33.30,33.30,33.30,000,33.30
2013-08-08,33.30,33.30,33.30,33.30,1400,33.30
2013-08-07,34.90,34.90,34.50,34.50,400,34.50
2013-08-06,40.00,40.00,40.00,40.00,000,40.00
2013-08-05,40.00,40.00,40.00,40.00,000,40.00
2013-08-02,40.00,40.00,40.00,40.00,000,40.00
2013-08-01,40.00,40.00,40.00,40.00,000,40.00
2013-07-31,40.00,40.00,40.00,40.00,000,40.00
2013-07-30,40.00,40.00,40.00,40.00,000,40.00
2013-07-29,40.00,40.00,40.00,40.00,000,40.00
2013-07-26,40.00,40.00,40.00,40.00,000,40.00
2013-07-25,40.00,40.00,40.00,40.00,000,40.00
2013-07-24,40.00,40.00,40.00,40.00,000,40.00
2013-07-23,40.00,40.00,40.00,40.00,000,40.00
2013-07-22,40.00,40.00,40.00,40.00,000,40.00
2013-07-19,40.00,40.00,40.00,40.00,000,40.00
2013-07-18,40.00,40.00,40.00,40.00,000,40.00
2013-07-17,40.00,40.00,40.00,40.00,000,40.00
2013-07-16,40.00,40.00,40.00,40.00,000,40.00
2013-07-15,40.00,40.00,40.00,40.00,000,40.00
2013-07-12,40.00,40.00,40.00,40.00,000,40.00
2013-07-11,40.00,40.00,40.00,40.00,000,40.00
2013-07-10,40.00,40.00,40.00,40.00,000,40.00
