Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,60.65,63.50,60.65,62.85,764700,62.85
2014-02-25,61.20,61.90,60.05,60.65,341100,60.65
2014-02-21,58.00,62.00,57.50,62.00,1644900,62.00
2014-02-20,58.65,58.75,57.05,57.80,564600,57.80
2014-02-19,55.00,59.00,54.80,58.60,1766000,58.60
2014-02-18,52.55,54.95,52.50,54.80,794400,54.80
2014-02-17,52.70,53.00,51.60,52.95,394500,52.95
2014-02-14,50.55,52.75,50.25,52.60,641600,52.60
2014-02-13,50.25,50.90,49.90,50.30,350700,50.30
2014-02-12,51.50,51.50,49.14,50.25,653100,50.25
2014-02-11,54.15,54.20,51.25,51.75,736100,51.75
2014-02-10,54.55,56.10,53.10,53.80,825800,53.80
2014-02-07,45.53,55.40,45.00,54.20,2762000,54.20
2014-02-06,48.04,48.90,46.30,46.90,640200,46.90
2014-02-05,49.00,49.90,47.60,47.61,430400,47.61
2014-02-04,48.97,49.00,47.26,48.57,441700,48.57
2014-02-03,49.20,49.70,48.20,48.87,478300,48.87
2014-01-31,48.20,49.40,47.20,48.95,349800,48.95
2014-01-30,48.85,49.00,47.03,47.98,435200,47.98
2014-01-29,49.14,50.45,47.71,49.00,491300,49.00
2014-01-28,46.09,49.46,46.09,48.77,911900,48.77
2014-01-27,47.68,47.71,44.75,46.06,1314200,46.06
2014-01-24,48.03,50.85,47.65,47.92,624700,47.92
2014-01-23,52.70,52.70,48.01,48.53,1519400,48.53
2014-01-22,52.45,53.70,52.10,52.85,362600,52.85
2014-01-21,54.50,54.50,51.50,52.45,899000,52.45
2014-01-20,55.10,55.80,54.45,54.60,484000,54.60
2014-01-17,55.35,55.95,53.25,55.80,735600,55.80
2014-01-16,57.90,58.30,55.45,55.55,688500,55.55
2014-01-15,56.95,58.05,56.55,58.05,859600,58.05
2014-01-14,54.90,56.70,54.00,56.70,554100,56.70
2014-01-13,55.50,55.90,53.55,55.50,548100,55.50
2014-01-10,53.05,55.70,53.05,55.50,1031400,55.50
2014-01-09,50.10,53.00,50.00,52.80,787700,52.80
2014-01-08,50.00,52.00,49.20,50.30,1325300,50.30
2014-01-07,49.50,50.25,49.10,50.00,385100,50.00
2014-01-06,49.11,49.11,49.11,49.11,000,49.11
2014-01-03,49.00,49.49,48.10,49.11,358700,49.11
2014-01-02,49.59,49.59,47.98,49.00,326800,49.00
2014-01-01,49.59,49.59,49.59,49.59,000,49.59
2013-12-31,49.59,49.59,49.59,49.59,000,49.59
2013-12-30,49.50,50.00,49.03,49.59,537000,49.59
2013-12-27,49.45,50.35,48.43,49.68,770600,49.68
2013-12-26,49.00,49.00,49.00,49.00,000,49.00
2013-12-25,49.00,49.00,49.00,49.00,000,49.00
2013-12-24,49.00,49.00,49.00,49.00,000,49.00
2013-12-23,48.51,49.47,48.39,49.00,667200,49.00
2013-12-20,44.88,48.49,44.88,48.30,1144500,48.30
2013-12-19,43.50,46.00,42.70,45.22,1310700,45.22
2013-12-18,41.60,45.10,41.60,42.31,1567900,42.31
2013-12-17,40.88,41.50,40.40,41.50,661000,41.50
2013-12-16,39.95,40.88,39.41,40.88,514000,40.88
2013-12-13,40.80,41.00,39.90,40.23,245300,40.23
2013-12-12,40.20,40.99,40.20,40.45,458400,40.45
2013-12-11,39.90,40.13,39.40,40.00,587300,40.00
2013-12-10,40.00,40.60,39.40,39.99,727000,39.99
2013-12-09,39.75,41.00,39.75,40.10,661200,40.10
2013-12-06,39.86,40.05,39.46,39.73,316000,39.73
2013-12-05,39.52,40.80,38.90,39.71,828200,39.71
2013-12-04,40.80,40.80,38.01,39.79,1326300,39.79
2013-12-03,37.80,40.90,37.80,40.57,2473100,40.57
2013-12-02,37.34,37.80,36.85,37.80,463000,37.80
2013-11-29,37.90,37.90,37.00,37.25,1509300,37.25
2013-11-28,36.50,37.85,36.35,37.85,1195300,37.85
2013-11-27,35.34,36.35,35.30,36.35,765600,36.35
2013-11-26,35.63,35.99,35.01,35.42,1990700,35.42
2013-11-25,34.11,35.73,34.11,35.30,2555900,35.30
