Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,77.75,78.25,76.00,78.00,7000,78.00
2014-02-25,77.00,78.00,76.25,78.00,4100,78.00
2014-02-24,73.50,77.00,73.50,76.00,10300,76.00
2014-02-21,75.00,75.00,72.00,73.50,2400,73.50
2014-02-20,75.25,75.75,72.00,74.50,3000,74.50
2014-02-19,76.00,76.00,71.00,75.00,3200,75.00
2014-02-18,75.50,76.00,74.00,74.00,1900,74.00
2014-02-17,77.00,77.00,75.50,76.50,1900,76.50
2014-02-14,75.50,76.00,74.00,76.00,1700,76.00
2014-02-13,74.50,75.75,74.00,75.75,300,75.75
2014-02-12,75.00,75.50,73.50,75.00,13100,75.00
2014-02-11,76.00,76.00,74.00,75.50,7200,75.50
2014-02-10,79.00,79.00,75.00,75.00,7300,75.00
2014-02-07,78.00,78.00,75.50,77.00,3800,77.00
2014-02-06,72.00,76.00,72.00,76.00,3200,76.00
2014-02-05,75.00,75.00,74.00,74.00,3200,74.00
2014-02-04,72.00,74.00,68.00,74.00,10100,74.00
2014-02-03,72.00,78.00,68.00,73.50,4900,73.50
2014-01-31,75.75,75.75,73.00,73.50,4400,73.50
2014-01-30,76.25,77.75,75.50,75.75,5900,75.75
2014-01-29,79.00,79.00,76.00,78.75,1100,78.75
2014-01-28,74.50,80.00,74.50,79.00,24800,79.00
2014-01-27,76.50,79.00,74.00,74.75,15400,74.75
2014-01-24,80.00,81.25,75.50,76.00,19500,76.00
2014-01-23,84.50,84.50,80.00,81.50,16400,81.50
2014-01-22,83.00,84.50,82.50,84.50,19500,84.50
2014-01-21,80.00,84.00,80.00,83.00,56900,83.00
2014-01-20,82.50,82.50,76.00,81.00,28000,81.00
2014-01-17,76.00,83.50,76.00,81.50,78800,81.50
2014-01-16,72.00,75.00,70.25,75.00,21700,75.00
2014-01-15,69.25,73.00,69.25,72.50,49600,72.50
2014-01-14,69.75,70.00,67.75,70.00,3300,70.00
2014-01-13,70.00,72.00,67.00,71.50,9700,71.50
2014-01-10,69.25,69.50,68.00,69.00,17500,69.00
2014-01-09,67.00,68.00,67.00,68.00,6100,68.00
2014-01-08,66.50,67.00,66.50,67.00,5700,67.00
2014-01-07,68.00,68.00,66.50,66.50,5300,66.50
2014-01-06,66.50,66.50,66.50,66.50,000,66.50
2014-01-03,66.75,67.00,65.50,66.50,3100,66.50
2014-01-02,66.50,67.00,65.50,67.00,11800,67.00
2014-01-01,65.50,65.50,65.50,65.50,000,65.50
2013-12-31,65.50,65.50,65.50,65.50,000,65.50
2013-12-30,66.50,66.50,61.50,65.50,4400,65.50
2013-12-27,64.25,66.50,64.25,66.00,17500,66.00
2013-12-26,62.75,62.75,62.75,62.75,000,62.75
2013-12-25,62.75,62.75,62.75,62.75,000,62.75
2013-12-24,62.75,62.75,62.75,62.75,000,62.75
2013-12-23,60.00,67.50,59.00,62.75,36400,62.75
