Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,83.00,84.40,82.90,84.20,7202400,81.15
2014-02-25,82.80,83.15,82.25,83.10,7552200,80.09
2014-02-24,82.85,83.00,82.35,83.00,7636800,79.99
2014-02-21,82.00,83.05,81.95,82.90,8006400,79.90
2014-02-20,81.50,81.80,81.00,81.80,7401200,78.84
2014-02-19,81.90,82.25,81.40,81.90,5398900,78.93
2014-02-18,81.80,82.05,81.10,81.60,7182600,78.64
2014-02-17,81.20,81.90,81.10,81.80,3803200,78.84
2014-02-14,81.20,81.40,80.85,81.25,5926500,78.31
2014-02-13,80.70,81.20,80.30,81.20,5423200,78.26
2014-02-12,81.45,81.55,80.55,80.75,9187900,77.82
2014-02-11,80.85,81.70,80.70,81.40,6651500,78.45
2014-02-10,80.25,80.70,80.20,80.50,5706100,77.58
2014-02-07,80.85,81.00,79.80,80.15,11212200,77.25
2014-02-06,79.65,81.15,79.30,80.80,15163100,77.87
2014-02-05,79.00,79.25,78.50,79.00,8410000,76.14
2014-02-04,78.75,79.50,78.35,79.00,9240700,76.14
2014-02-03,80.60,81.90,79.20,79.35,13660700,76.47
2014-01-31,82.20,82.50,79.60,80.00,16177500,77.10
2014-01-30,78.60,81.55,78.10,80.10,22259700,77.20
2014-01-29,77.90,78.20,76.30,77.40,14553300,74.60
2014-01-28,77.10,77.65,76.45,77.30,11707000,74.50
2014-01-27,76.40,77.75,76.00,76.80,17299200,74.02
2014-01-24,75.80,76.30,75.05,75.05,9981600,72.33
2014-01-23,77.65,77.90,75.35,75.95,15381400,73.20
2014-01-22,77.60,78.55,77.20,77.70,9674200,74.88
2014-01-21,78.15,78.45,77.05,77.40,11133900,74.60
2014-01-20,78.35,78.70,78.00,78.15,4883400,75.32
2014-01-17,77.75,78.65,77.70,78.35,6951800,75.51
2014-01-16,78.65,79.00,77.55,77.80,7974900,74.98
2014-01-15,77.30,78.80,77.10,78.75,10707000,75.90
2014-01-14,77.50,77.90,77.00,77.20,10480900,74.40
2014-01-13,78.85,78.90,77.70,78.15,9350600,75.32
2014-01-10,78.05,80.00,77.75,79.20,9100400,76.33
2014-01-09,78.70,78.75,77.60,77.85,10128100,75.03
2014-01-08,77.25,78.80,77.15,78.25,11676000,75.41
2014-01-07,77.00,77.20,75.70,76.85,8938200,74.07
2014-01-06,77.30,77.30,77.30,77.30,000,74.50
2014-01-03,77.45,77.60,76.75,77.30,5498800,74.50
2014-01-02,78.65,79.15,77.45,77.65,6857500,74.84
2014-01-01,78.50,78.50,78.50,78.50,000,75.66
2013-12-31,78.50,78.50,78.50,78.50,000,75.66
2013-12-30,79.05,79.55,78.30,78.50,6458600,75.66
2013-12-27,77.65,79.20,77.65,79.05,5908100,76.19
2013-12-26,77.65,77.65,77.65,77.65,000,74.84
2013-12-25,77.65,77.65,77.65,77.65,000,74.84
2013-12-24,77.65,77.65,77.65,77.65,000,74.84
2013-12-23,77.65,77.95,77.15,77.65,5554300,74.84
2013-12-20,77.25,77.50,76.45,77.50,12212000,74.69
2013-12-19,76.55,77.75,76.10,76.90,9408100,74.11
2013-12-18,76.30,77.10,76.15,76.15,9451400,73.39
2013-12-17,76.75,76.80,76.05,76.10,7087000,73.34
2013-12-16,77.10,77.10,76.20,76.80,8003700,74.02
2013-12-13,77.15,77.60,76.50,77.20,8395000,74.40
2013-12-12,77.60,78.00,76.70,76.70,9921100,73.92
2013-12-11,77.35,77.85,77.05,77.35,7460400,74.55
2013-12-10,79.50,79.60,77.95,78.00,9147400,75.17
2013-12-09,79.50,80.20,79.40,80.00,8935300,77.10
2013-12-06,79.30,79.50,78.05,79.10,6805500,76.23
2013-12-05,80.00,80.30,79.30,79.30,6763000,76.43
2013-12-04,80.10,80.25,79.05,80.00,5856100,77.10
2013-12-03,81.45,81.60,79.80,79.90,7647000,77.01
2013-12-02,81.50,81.90,81.15,81.15,6173600,78.21
2013-11-29,82.30,82.85,81.70,81.70,5927800,78.74
2013-11-28,82.35,82.95,82.35,82.60,5077400,79.61
2013-11-27,81.40,82.10,81.30,81.95,4810500,78.98
2013-11-26,81.75,82.10,81.35,81.40,7327700,78.45
2013-11-25,82.25,82.45,81.40,81.80,5576400,78.84
2013-11-22,81.75,82.10,81.30,82.05,5741500,79.08
2013-11-21,82.00,82.20,81.25,81.55,5692700,78.60
2013-11-20,82.20,82.85,82.05,82.45,5759800,79.46
2013-11-19,82.65,83.05,82.15,82.20,5258400,79.22
2013-11-18,83.05,83.75,82.50,82.80,8311700,79.80
2013-11-15,82.00,83.60,81.75,83.20,9920500,80.19
2013-11-14,82.00,82.30,81.40,81.65,6901600,78.69
2013-11-13,81.50,81.80,81.20,81.70,7216100,78.74
2013-11-12,79.95,81.80,79.75,81.35,12383800,78.40
2013-11-11,79.60,80.15,79.50,79.70,3952400,76.81
2013-11-08,79.00,79.70,78.95,79.50,6588200,76.62
2013-11-07,79.85,80.85,79.50,79.70,11458700,76.81
2013-11-06,77.40,80.15,77.20,79.80,13535800,76.91
2013-11-05,78.00,78.35,77.60,77.65,7812500,74.84
2013-11-04,77.70,77.95,76.85,77.50,8440300,74.69
2013-11-01,77.65,77.85,77.00,77.25,3061300,74.45
2013-10-31,78.05,78.20,76.50,77.35,15801300,74.55
2013-10-30,78.40,79.65,78.35,78.90,7703200,76.04
2013-10-29,77.45,79.10,77.45,78.00,8021400,75.17
2013-10-28,78.00,78.40,77.05,77.45,8166500,74.64
2013-10-25,78.90,79.30,77.95,78.00,12271000,75.17
2013-10-24,79.70,80.05,77.40,79.75,36324900,76.86
2013-10-23,83.80,84.55,83.75,84.25,6423400,81.20
2013-10-22,84.60,84.95,84.00,84.65,7194100,81.58
2013-10-21,84.50,84.95,84.25,84.50,6178600,81.44
2013-10-18,83.70,84.50,83.60,84.45,5851400,81.39
2013-10-17,84.30,84.70,83.60,84.10,5001100,81.05
2013-10-16,84.25,84.60,83.65,84.30,6584100,81.25
2013-10-15,83.25,84.30,83.25,84.05,7163900,81.00
2013-10-14,83.60,83.95,82.10,82.95,9726500,79.94
2013-10-11,85.90,86.05,84.35,84.75,6973400,81.68
2013-10-10,83.85,85.75,83.70,85.30,7108900,82.21
2013-10-09,83.60,84.10,83.20,83.45,6441600,80.43
2013-10-08,84.80,85.25,83.95,84.00,5684500,80.96
2013-10-07,85.05,85.40,84.20,85.00,6041400,81.92
2013-10-04,85.70,85.75,84.45,85.30,7755300,82.21
2013-10-03,86.10,87.10,85.50,85.80,6910000,82.69
2013-10-02,86.30,86.85,85.45,86.05,6527700,82.93
2013-10-01,85.95,86.65,85.20,86.50,8615900,83.37
2013-09-30,86.90,86.90,85.45,85.50,9803200,82.40
2013-09-27,87.60,88.45,87.20,87.30,6479400,84.14
2013-09-26,88.20,88.30,87.35,87.60,7079100,84.43
