Date,Open,High,Low,Close,Volume,Adj Close
2013-09-13,8.35,8.35,7.50,7.70,34400,7.70
2013-09-12,9.00,9.10,8.35,8.90,12700,8.90
2013-09-11,9.00,9.45,8.50,9.00,22800,9.00
2013-09-10,8.15,9.40,7.50,9.35,42200,9.35
2013-09-09,9.00,9.00,8.00,8.15,29100,8.15
2013-09-06,7.60,8.50,7.60,8.40,26700,8.40
2013-09-05,7.65,8.45,7.65,7.80,10200,7.80
2013-09-04,7.80,8.65,7.35,7.65,26700,7.65
2013-09-03,7.35,7.80,7.15,7.40,38400,7.40
2013-09-02,7.50,7.70,7.00,7.10,10300,7.10
2013-08-30,6.30,7.65,6.30,6.95,63200,6.95
2013-08-29,6.85,6.85,6.15,6.30,13400,6.30
2013-08-28,6.10,6.85,6.05,6.50,19700,6.50
2013-08-27,5.15,7.35,5.15,6.00,76800,6.00
2013-08-26,5.00,5.25,4.75,5.15,13200,5.15
2013-08-23,6.00,6.00,5.00,5.00,26500,5.00
2013-08-22,5.40,5.85,5.25,5.45,7800,5.45
2013-08-21,5.40,5.40,5.00,5.35,8600,5.35
2013-08-20,5.50,5.50,5.25,5.50,2200,5.50
2013-08-19,5.60,6.10,5.35,5.50,13300,5.50
2013-08-16,5.35,5.35,5.10,5.10,14500,5.10
2013-08-15,5.10,5.40,5.00,5.40,17200,5.40
2013-08-14,5.55,5.55,5.00,5.30,31600,5.30
2013-08-13,5.50,5.80,5.50,5.80,4800,5.80
2013-08-12,5.90,5.90,5.50,5.50,6000,5.50
2013-08-09,5.85,6.00,5.50,5.90,5700,5.90
2013-08-08,5.50,5.85,5.50,5.85,4800,5.85
2013-08-07,5.50,5.80,5.50,5.50,5800,5.50
2013-08-06,6.00,6.00,4.82,5.90,13000,5.90
2013-08-05,20.40,20.40,20.40,20.40,000,20.40
2013-08-02,20.40,20.40,20.40,20.40,000,20.40
2013-08-01,20.40,20.40,20.40,20.40,000,20.40
2013-07-31,20.40,20.40,20.40,20.40,000,20.40
2013-07-30,20.40,20.40,20.40,20.40,000,20.40
2013-07-29,20.40,20.40,20.40,20.40,000,20.40
2013-07-26,20.40,20.40,20.40,20.40,000,20.40
2013-07-25,20.40,20.40,20.40,20.40,000,20.40
2013-07-24,20.40,20.40,20.40,20.40,000,20.40
2013-07-23,20.40,20.40,20.40,20.40,000,20.40
2013-07-22,20.40,20.40,20.40,20.40,000,20.40
2013-07-19,20.40,20.40,20.40,20.40,000,20.40
2013-07-18,20.40,20.40,20.40,20.40,000,20.40
2013-07-17,20.40,20.40,20.40,20.40,000,20.40
2013-07-16,20.40,20.40,20.40,20.40,000,20.40
2013-07-15,20.40,20.40,20.40,20.40,000,20.40
2013-07-12,20.40,20.40,20.40,20.40,000,20.40
2013-07-11,20.40,20.40,20.40,20.40,000,20.40
2013-07-10,20.40,20.40,20.40,20.40,000,20.40
2013-07-09,20.40,20.40,20.40,20.40,000,20.40
2013-07-08,20.40,20.40,20.40,20.40,000,20.40
2013-07-05,20.40,20.40,20.40,20.40,000,20.40
2013-07-04,20.40,20.40,20.40,20.40,000,20.40
2013-07-03,20.40,20.40,20.40,20.40,000,20.40
2013-07-02,20.40,20.40,20.40,20.40,000,20.40
2013-07-01,20.40,20.40,20.40,20.40,000,20.40
2013-06-28,20.40,20.40,20.40,20.40,000,20.40
2013-06-27,20.40,20.40,20.40,20.40,000,20.40
2013-06-26,20.40,20.40,20.40,20.40,000,20.40
2013-06-25,20.40,20.40,20.40,20.40,000,20.40
2013-06-24,20.40,20.40,20.40,20.40,000,20.40
2013-06-21,20.40,20.40,20.40,20.40,000,20.40
2013-06-20,20.40,20.40,20.40,20.40,000,20.40
2013-06-19,20.40,20.40,20.40,20.40,000,20.40
2013-06-18,20.40,20.40,20.40,20.40,000,20.40
2013-06-17,20.40,20.40,20.40,20.40,000,20.40
2013-06-14,20.40,20.40,20.40,20.40,000,20.40
2013-06-13,20.40,20.40,20.40,20.40,000,20.40
2013-06-12,20.40,20.40,20.40,20.40,000,20.40
