Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,40.10,40.60,40.00,40.50,19600,37.99
2014-02-25,40.70,40.70,40.00,40.40,25400,37.89
2014-02-24,40.20,40.50,40.00,40.30,15400,37.80
2014-02-21,41.00,41.00,40.00,40.20,34900,37.71
2014-02-20,40.00,40.10,39.50,40.00,15100,37.52
2014-02-19,40.00,40.00,40.00,40.00,4500,37.52
2014-02-18,40.00,40.00,39.50,39.60,7100,37.14
2014-02-17,40.00,40.00,39.60,40.00,97000,37.52
2014-02-14,40.00,40.00,39.50,40.00,1600,37.52
2014-02-13,39.50,40.00,39.50,40.00,2100,37.52
2014-02-12,39.50,40.00,39.20,40.00,13900,37.52
2014-02-11,40.40,40.40,39.10,39.50,8200,37.05
2014-02-10,39.50,40.10,39.50,40.00,800,37.52
2014-02-07,39.30,39.50,39.30,39.50,2400,37.05
2014-02-06,39.30,39.60,39.00,39.10,8100,36.67
2014-02-05,39.80,40.50,39.50,39.60,5100,37.14
2014-02-04,40.50,40.50,39.10,39.60,3100,37.14
2014-02-03,41.20,41.20,40.20,40.50,2900,37.99
2014-01-31,40.50,41.00,40.00,40.90,7100,38.36
2014-01-30,40.70,40.90,40.20,40.90,7100,38.36
2014-01-29,41.50,41.50,41.00,41.00,10900,38.46
2014-01-28,40.40,42.00,40.40,41.90,22800,39.30
2014-01-27,41.00,41.00,40.30,40.80,12100,38.27
2014-01-24,41.50,41.50,41.40,41.50,600,38.93
2014-01-23,41.90,42.00,41.40,42.00,7000,39.39
2014-01-22,42.20,42.20,41.50,41.50,35600,38.93
2014-01-21,42.00,42.40,42.00,42.20,25400,39.58
2014-01-20,42.00,42.30,41.80,42.00,10600,39.39
2014-01-17,42.20,42.20,41.80,42.10,54200,39.49
2014-01-16,42.20,42.20,42.00,42.20,116200,39.58
2014-01-15,41.10,42.40,41.10,42.40,36100,39.77
2014-01-14,41.90,42.00,41.00,41.40,13200,38.83
2014-01-13,42.20,42.40,42.00,42.00,15600,39.39
2014-01-10,41.10,42.10,41.10,41.80,11600,39.21
2014-01-09,41.20,41.20,40.90,41.20,12000,38.64
2014-01-08,41.20,41.20,41.00,41.20,7400,38.64
2014-01-07,40.50,41.80,40.30,41.50,9900,38.93
2014-01-06,40.40,40.40,40.40,40.40,000,37.89
2014-01-03,40.50,40.60,40.10,40.40,4900,37.89
2014-01-02,42.00,42.00,41.00,41.00,21000,38.46
2014-01-01,41.80,41.80,41.80,41.80,000,39.21
2013-12-31,41.80,41.80,41.80,41.80,000,39.21
