Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,71.00,72.00,70.00,71.50,64700,69.40
2014-02-25,72.00,72.00,69.75,71.50,144300,69.40
2014-02-24,72.50,72.75,68.50,72.75,261900,70.61
2014-02-21,69.25,72.75,67.25,72.75,253300,70.61
2014-02-20,66.50,68.00,65.25,68.00,57500,66.00
2014-02-19,65.50,67.00,65.50,66.00,52400,64.06
2014-02-18,64.75,65.00,64.25,65.00,166900,63.09
2014-02-17,64.75,65.00,64.25,65.00,127200,63.09
2014-02-14,64.75,65.00,64.00,64.00,57400,62.12
2014-02-13,63.25,63.75,62.25,63.75,45800,61.87
2014-02-12,62.00,63.50,62.00,62.50,70000,60.66
2014-02-11,63.00,63.50,61.50,62.00,124600,60.18
2014-02-10,60.25,65.00,60.25,63.00,155500,61.15
2014-02-07,60.50,61.50,59.25,60.00,160500,58.24
2014-02-06,54.75,60.75,54.75,60.50,693800,58.72
2014-02-05,56.00,57.25,55.00,55.00,82400,53.38
2014-02-04,54.50,56.00,52.25,56.00,86000,54.35
2014-02-03,55.75,56.50,55.00,55.75,36200,54.11
2014-01-31,56.00,57.00,55.25,55.75,31500,54.11
2014-01-30,55.00,57.00,55.00,57.00,24300,55.32
2014-01-29,56.75,57.25,53.75,56.50,90200,54.84
2014-01-28,54.50,57.75,54.50,56.75,99000,55.08
2014-01-27,53.00,53.75,50.25,53.75,81100,52.17
2014-01-24,54.50,55.00,53.50,53.75,77300,52.17
2014-01-23,57.50,57.50,53.50,54.25,78900,52.65
2014-01-22,57.25,57.75,57.00,57.50,125800,55.81
2014-01-21,57.50,57.50,56.00,57.25,93500,55.57
2014-01-20,56.75,58.00,55.75,57.50,75900,55.81
2014-01-17,56.00,56.50,55.50,55.75,80700,54.11
2014-01-16,53.75,56.50,53.75,56.50,162300,54.84
2014-01-15,53.50,53.75,52.50,53.50,104900,51.93
2014-01-14,53.00,53.50,51.25,53.50,85100,51.93
2014-01-13,53.50,54.00,53.00,53.50,112400,51.93
2014-01-10,50.25,53.50,50.25,53.25,163000,51.68
2014-01-09,52.75,52.75,51.75,52.50,43400,50.96
2014-01-08,52.00,52.75,51.00,52.25,57500,50.71
2014-01-07,51.00,52.25,50.75,51.50,34000,49.99
2014-01-06,51.00,51.00,51.00,51.00,000,49.50
2014-01-03,50.50,51.50,50.25,51.00,18900,49.50
2014-01-02,50.50,51.25,50.50,50.50,30700,49.01
2014-01-01,50.25,50.25,50.25,50.25,000,48.77
2013-12-31,50.25,50.25,50.25,50.25,000,48.77
2013-12-30,50.00,50.50,49.90,50.25,32500,48.77
2013-12-27,51.00,51.00,49.80,50.75,39400,49.26
2013-12-26,50.75,50.75,50.75,50.75,000,49.26
2013-12-25,50.75,50.75,50.75,50.75,000,49.26
2013-12-24,50.75,50.75,50.75,50.75,000,49.26
2013-12-23,50.00,50.75,50.00,50.75,24600,49.26
2013-12-20,50.00,50.50,49.30,49.80,46500,48.34
2013-12-19,49.20,49.90,49.20,49.90,26800,48.43
2013-12-18,49.20,50.00,49.00,49.20,33800,47.75
2013-12-17,50.75,50.75,48.50,49.50,19400,48.04
2013-12-16,50.00,50.75,48.60,49.20,72400,47.75
2013-12-13,48.30,49.90,48.30,49.50,25900,48.04
2013-12-12,49.80,49.80,47.80,48.50,49300,47.07
2013-12-11,50.00,50.00,49.40,49.90,38500,48.43
2013-12-10,50.00,50.25,49.10,50.00,56200,48.53
2013-12-09,51.00,51.00,49.90,50.00,132700,48.53
2013-12-06,51.25,51.25,49.50,50.00,2564400,48.53
2013-12-05,51.50,51.75,51.00,51.00,89700,49.50
2013-12-04,51.00,52.50,50.50,51.25,188500,49.74
2013-12-03,52.25,52.25,49.40,49.50,87500,48.04
2013-12-02,51.50,52.25,51.50,52.00,57800,50.47
2013-11-29,51.50,51.50,50.50,51.00,19500,49.50
2013-11-28,51.00,51.25,50.00,51.00,47800,49.50
2013-11-27,51.50,52.00,50.25,51.00,66800,49.50
2013-11-26,51.00,51.50,50.25,51.00,74800,49.50
2013-11-25,49.50,51.25,49.50,50.50,135500,49.01
2013-11-22,47.80,49.20,47.50,49.00,125800,47.56
2013-11-21,49.40,49.40,46.80,47.50,83100,46.10
2013-11-20,49.30,49.50,47.10,48.50,159300,47.07
2013-11-19,46.20,49.60,46.20,49.00,525200,47.56
2013-11-18,44.60,45.20,43.80,44.00,35600,42.71
2013-11-15,45.40,45.40,44.50,44.60,14400,43.29
2013-11-14,45.10,46.00,45.10,45.40,13100,44.06
2013-11-13,45.20,46.20,45.00,45.40,22100,44.06
2013-11-12,47.20,47.20,45.80,46.70,31600,45.33
2013-11-11,47.00,47.30,45.60,46.60,32900,45.23
2013-11-08,45.90,46.50,45.00,46.50,32600,45.13
2013-11-07,45.00,46.00,45.00,46.00,31700,44.65
2013-11-06,44.50,45.50,44.50,45.50,25500,44.16
2013-11-05,45.00,45.20,44.20,44.40,24100,43.09
2013-11-04,44.00,45.40,44.00,45.00,41800,43.68
2013-11-01,42.10,42.90,41.40,42.80,9500,41.54
2013-10-31,41.50,42.30,41.20,42.10,25100,40.86
2013-10-30,43.40,43.40,41.90,42.30,20200,41.06
2013-10-29,43.00,43.00,40.70,42.50,52800,41.25
2013-10-28,43.80,43.80,42.50,42.80,41000,41.54
2013-10-25,45.80,45.80,43.50,43.80,49600,42.51
2013-10-24,46.50,48.00,45.00,45.50,65700,44.16
2013-10-23,47.00,47.50,46.10,46.50,30400,45.13
2013-10-22,46.30,47.40,46.30,46.80,18500,45.42
2013-10-21,46.40,47.10,46.40,46.70,11900,45.33
2013-10-18,46.20,47.00,46.20,46.40,25500,45.04
2013-10-17,46.00,46.00,44.80,46.00,11600,44.65
2013-10-16,44.90,45.10,44.00,45.10,23800,43.77
2013-10-15,45.50,45.50,44.60,45.00,10700,43.68
2013-10-14,45.00,45.50,43.90,45.50,16700,44.16
2013-10-11,45.20,47.00,44.90,45.50,39000,44.16
2013-10-10,43.00,45.00,43.00,44.60,27100,43.29
2013-10-09,43.20,43.20,42.10,42.80,32800,41.54
2013-10-08,44.20,44.70,43.40,43.50,22000,42.22
2013-10-07,44.70,45.00,43.00,44.50,31900,43.19
