Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,0.17,0.18,0.16,0.16,79900,0.16
2014-02-25,0.18,0.18,0.18,0.18,5000,0.18
2014-02-24,0.17,0.18,0.15,0.18,158300,0.18
2014-02-21,0.17,0.17,0.17,0.17,000,0.17
2014-02-20,0.17,0.17,0.17,0.17,000,0.17
2014-02-19,0.17,0.17,0.17,0.17,000,0.17
2014-02-18,0.17,0.17,0.17,0.17,82100,0.17
2014-02-17,0.16,0.23,0.16,0.18,350800,0.18
2014-02-14,0.16,0.16,0.16,0.16,000,0.16
2014-02-13,0.16,0.16,0.16,0.16,000,0.16
2014-02-12,0.16,0.16,0.16,0.16,000,0.16
2014-02-11,0.16,0.16,0.16,0.16,000,0.16
2014-02-10,0.16,0.16,0.16,0.16,000,0.16
2014-02-07,0.16,0.16,0.16,0.16,10900,0.16
2014-02-06,0.16,0.16,0.16,0.16,15500,0.16
2014-02-05,0.19,0.19,0.19,0.19,000,0.19
2014-02-04,0.19,0.19,0.19,0.19,4500,0.19
2014-02-03,0.19,0.19,0.19,0.19,000,0.19
2014-01-31,0.19,0.19,0.19,0.19,10500,0.19
2014-01-30,0.19,0.19,0.19,0.19,000,0.19
2014-01-29,0.19,0.19,0.19,0.19,1000,0.19
2014-01-28,0.19,0.19,0.19,0.19,22000,0.19
2014-01-27,0.16,0.19,0.16,0.19,35000,0.19
2014-01-24,0.19,0.19,0.16,0.16,700,0.16
2014-01-23,0.17,0.17,0.17,0.17,000,0.17
2014-01-22,0.17,0.17,0.17,0.17,000,0.17
2014-01-21,0.17,0.17,0.17,0.17,000,0.17
2014-01-20,0.17,0.17,0.17,0.17,86000,0.17
2014-01-17,0.18,0.18,0.18,0.18,000,0.18
2014-01-16,0.18,0.20,0.18,0.18,45000,0.18
2014-01-15,0.18,0.18,0.18,0.18,25000,0.18
2014-01-14,0.19,0.19,0.19,0.19,000,0.19
2014-01-13,0.19,0.19,0.19,0.19,000,0.19
2014-01-10,0.20,0.20,0.19,0.19,46100,0.19
2014-01-09,0.22,0.22,0.20,0.21,166300,0.21
2014-01-08,0.18,0.25,0.17,0.23,146300,0.23
2014-01-07,0.18,0.20,0.18,0.19,114000,0.19
2014-01-06,0.18,0.18,0.18,0.18,000,0.18
2014-01-03,0.17,0.18,0.17,0.18,35000,0.18
2014-01-02,0.16,0.17,0.16,0.16,80000,0.16
2014-01-01,0.15,0.15,0.15,0.15,000,0.15
2013-12-31,0.15,0.15,0.15,0.15,000,0.15
2013-12-30,0.15,0.15,0.15,0.15,6000,0.15
2013-12-27,0.14,0.15,0.14,0.15,7400,0.15
2013-12-26,0.15,0.15,0.15,0.15,000,0.15
2013-12-25,0.15,0.15,0.15,0.15,000,0.15
2013-12-24,0.15,0.15,0.15,0.15,000,0.15
2013-12-23,0.15,0.15,0.15,0.15,000,0.15
2013-12-20,0.15,0.15,0.15,0.15,1200,0.15
2013-12-19,0.15,0.15,0.15,0.15,000,0.15
2013-12-18,0.13,0.15,0.13,0.15,68600,0.15
2013-12-17,0.15,0.15,0.15,0.15,000,0.15
2013-12-16,0.14,0.15,0.14,0.15,111400,0.15
2013-12-13,0.16,0.16,0.16,0.16,000,0.16
2013-12-12,0.18,0.25,0.13,0.16,355700,0.16
2013-12-11,0.18,0.18,0.18,0.18,000,0.18
2013-12-10,0.18,0.18,0.16,0.18,92500,0.18
2013-12-09,0.18,0.18,0.18,0.18,20000,0.18
2013-12-06,0.20,0.20,0.19,0.19,24000,0.19
2013-12-05,0.21,0.21,0.20,0.20,50000,0.20
2013-12-04,0.18,0.21,0.18,0.19,17300,0.19
2013-12-03,0.18,0.20,0.18,0.18,21700,0.18
2013-12-02,0.22,0.22,0.18,0.20,44500,0.20
2013-11-29,0.16,0.25,0.16,0.21,1334600,0.21
2013-11-28,0.20,0.20,0.14,0.15,382600,0.15
2013-11-27,0.17,0.19,0.17,0.19,70500,0.19
2013-11-26,0.17,0.19,0.16,0.19,59200,0.19
2013-11-25,0.19,0.19,0.19,0.19,000,0.19
2013-11-22,0.19,0.19,0.19,0.19,32000,0.19
2013-11-21,0.18,0.19,0.18,0.19,56500,0.19
2013-11-20,0.19,0.20,0.18,0.20,26200,0.20
2013-11-19,0.21,0.21,0.21,0.21,000,0.21
2013-11-18,0.20,0.21,0.20,0.21,18300,0.21
