Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,4.30,4.45,4.29,4.40,23500,4.40
2014-02-25,4.40,4.40,4.10,4.15,6900,4.15
2014-02-24,4.20,4.28,4.20,4.28,4300,4.28
2014-02-21,4.00,4.45,4.00,4.39,4300,4.39
2014-02-20,4.26,4.30,4.20,4.30,12100,4.30
2014-02-19,4.49,4.49,4.49,4.49,000,4.49
2014-02-18,4.40,4.49,4.04,4.48,8300,4.48
2014-02-17,4.60,4.85,4.41,4.48,43800,4.48
2014-02-14,4.68,4.68,4.45,4.60,36700,4.60
2014-02-13,4.78,4.78,4.78,4.78,000,4.78
2014-02-12,4.55,4.83,4.50,4.60,19400,4.60
2014-02-11,4.80,4.80,4.80,4.80,000,4.80
2014-02-10,4.58,4.80,4.30,4.80,9400,4.80
2014-02-07,4.60,4.60,4.50,4.58,31100,4.58
2014-02-06,4.54,4.60,4.47,4.60,15800,4.60
2014-02-05,4.50,4.60,4.05,4.59,15700,4.59
2014-02-04,4.45,4.67,4.30,4.50,25800,4.50
2014-02-03,4.70,4.74,4.60,4.70,15000,4.70
2014-01-31,4.81,4.81,4.60,4.80,10500,4.80
2014-01-30,4.75,4.83,4.50,4.83,37200,4.83
2014-01-29,4.61,4.99,4.55,4.90,3500,4.90
2014-01-28,4.72,5.00,4.61,5.00,17700,5.00
2014-01-27,4.95,4.95,4.71,4.80,21600,4.80
2014-01-24,4.95,5.10,4.95,5.05,10600,5.05
2014-01-23,5.15,5.15,5.15,5.15,2100,5.15
2014-01-22,5.25,5.25,4.95,5.05,3000,5.05
2014-01-21,5.20,5.20,5.00,5.00,6500,5.00
2014-01-20,5.05,5.25,5.05,5.25,3900,5.25
2014-01-17,5.00,5.25,5.00,5.25,7800,5.25
2014-01-16,5.25,5.25,5.05,5.25,9400,5.25
2014-01-15,5.20,5.30,5.10,5.30,1800,5.30
2014-01-14,5.35,5.35,5.25,5.25,6000,5.25
2014-01-13,5.45,5.45,5.05,5.25,16000,5.25
2014-01-10,5.45,5.60,5.40,5.60,9400,5.60
2014-01-09,5.65,5.65,5.50,5.50,9100,5.50
2014-01-08,5.25,5.50,5.25,5.50,41400,5.50
2014-01-07,5.20,5.25,5.20,5.25,5100,5.25
2014-01-06,5.20,5.20,5.20,5.20,000,5.20
2014-01-03,5.00,5.20,4.66,5.20,30600,5.20
2014-01-02,4.70,5.05,4.58,4.65,15600,4.65
2014-01-01,4.85,4.85,4.85,4.85,000,4.85
2013-12-31,4.85,4.85,4.85,4.85,000,4.85
