Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,235.70,235.70,232.30,233.90,314900,229.70
2014-02-25,235.90,236.80,234.20,235.90,400800,231.66
2014-02-21,232.50,236.90,231.20,236.20,926800,231.95
2014-02-20,227.30,232.30,226.70,232.30,510900,228.12
2014-02-19,227.20,229.90,225.80,229.00,486100,224.88
2014-02-18,231.30,231.80,226.70,227.20,531400,223.12
2014-02-17,229.90,231.80,229.70,231.30,513900,227.14
2014-02-14,228.20,230.60,228.20,230.10,373100,225.96
2014-02-13,227.10,228.90,226.50,228.50,420600,224.39
2014-02-12,228.80,229.60,227.10,227.90,456900,223.80
2014-02-11,225.30,228.80,225.20,228.80,601400,224.69
2014-02-10,223.60,225.60,223.60,224.90,418000,220.86
2014-02-07,224.50,225.40,221.80,223.40,944200,219.38
2014-02-06,224.60,225.80,222.40,224.50,585700,220.47
2014-02-05,222.80,224.00,221.60,223.40,729700,219.38
2014-02-04,223.50,224.50,221.10,223.00,831200,218.99
2014-02-03,224.10,226.80,224.00,224.50,444400,220.47
2014-01-31,226.90,228.40,221.70,225.20,585700,221.15
2014-01-30,226.30,228.60,225.20,226.20,637600,222.13
2014-01-29,232.90,233.30,223.50,226.30,1412400,222.23
2014-01-28,225.20,237.30,221.00,234.30,1823100,230.09
2014-01-27,225.60,226.40,222.30,224.70,856400,220.66
2014-01-24,224.90,229.10,224.50,226.00,999700,221.94
2014-01-23,228.20,228.30,223.60,225.90,606400,221.84
2014-01-22,227.30,229.40,226.50,228.20,903500,224.10
2014-01-21,218.70,228.00,218.50,226.10,1021200,222.04
2014-01-20,219.80,219.80,217.10,218.80,394000,214.87
2014-01-17,219.80,220.50,218.60,220.00,525600,216.05
2014-01-16,218.40,221.70,217.80,219.30,703500,215.36
2014-01-15,212.50,217.80,212.50,217.30,695600,213.39
2014-01-14,216.30,216.30,211.10,211.90,741300,208.09
2014-01-13,219.00,219.60,216.30,217.10,321800,213.20
2014-01-10,218.70,219.70,218.20,219.00,241200,215.06
2014-01-09,218.00,219.80,217.40,218.40,357600,214.47
2014-01-08,217.30,218.70,216.80,217.40,582400,213.49
2014-01-07,220.00,220.00,215.80,217.20,532500,213.30
2014-01-06,218.90,218.90,218.90,218.90,000,214.97
2014-01-03,216.80,219.30,216.50,218.90,422500,214.97
2014-01-02,219.20,220.50,217.30,217.30,579500,213.39
2014-01-01,220.00,220.00,220.00,220.00,000,216.05
2013-12-31,220.00,220.00,220.00,220.00,000,216.05
2013-12-30,219.90,221.50,219.10,220.00,463700,216.05
2013-12-27,219.80,223.40,219.20,220.30,406200,216.34
2013-12-26,218.70,218.70,218.70,218.70,000,214.77
2013-12-25,218.70,218.70,218.70,218.70,000,214.77
2013-12-24,218.70,218.70,218.70,218.70,000,214.77
2013-12-23,218.00,220.20,217.90,218.70,505900,214.77
2013-12-20,212.70,219.10,212.70,218.00,995700,214.08
2013-12-19,209.90,212.20,209.40,212.20,1386200,208.39
2013-12-18,207.30,209.80,207.10,208.60,667300,204.85
2013-12-17,206.20,209.20,205.20,207.20,541700,203.48
2013-12-16,205.00,206.40,204.00,206.40,466000,202.69
2013-12-13,205.10,206.10,204.40,205.00,335100,201.32
2013-12-12,206.80,206.80,203.60,205.00,490900,201.32
2013-12-11,207.30,209.00,206.50,207.00,287200,203.28
2013-12-10,208.00,209.20,206.10,208.00,501200,204.26
2013-12-09,208.20,209.40,207.30,209.00,493800,205.24
2013-12-06,207.40,208.80,205.40,207.50,501500,203.77
2013-12-05,208.30,208.90,205.70,207.50,500400,203.77
2013-12-04,208.30,210.10,208.10,208.80,817800,205.05
2013-12-03,206.30,211.70,205.80,208.00,1128100,204.26
2013-12-02,204.80,205.70,204.70,205.10,252700,201.41
2013-11-29,205.40,205.90,204.90,205.00,596600,201.32
2013-11-28,206.50,207.70,204.90,205.40,652100,201.71
2013-11-27,206.10,206.90,205.50,206.40,250200,202.69
2013-11-26,206.70,206.90,206.20,206.20,354500,202.49
2013-11-25,205.90,207.30,205.80,206.90,396600,203.18
2013-11-22,205.10,206.30,205.10,205.50,331200,201.81
2013-11-21,204.20,205.60,203.60,205.00,365500,201.32
2013-11-20,205.00,205.60,204.60,204.90,338200,201.22
2013-11-19,205.00,205.60,204.10,205.10,342700,201.41
2013-11-18,204.90,205.90,204.00,205.10,390400,201.41
2013-11-15,205.50,205.60,204.50,205.00,454600,201.32
2013-11-14,205.80,206.60,204.90,205.30,685700,201.61
2013-11-13,203.50,204.80,202.70,204.80,784700,201.12
2013-11-12,204.70,205.40,202.90,204.40,824500,200.73
2013-11-11,204.00,205.10,203.40,204.40,330100,200.73
2013-11-08,202.20,205.10,201.60,203.80,451900,200.14
2013-11-07,203.50,204.00,202.00,203.00,447900,199.35
2013-11-06,201.90,203.90,201.30,203.50,564800,199.84
2013-11-05,201.80,203.30,200.80,201.80,440500,198.17
2013-11-04,204.40,205.20,201.60,201.80,560900,198.17
2013-11-01,205.80,205.80,203.50,204.00,167100,200.33
2013-10-31,205.80,205.90,204.40,205.50,435500,201.81
2013-10-30,207.60,207.80,205.80,206.00,410700,202.30
2013-10-29,207.90,208.90,206.40,207.00,391000,203.28
2013-10-28,207.20,208.90,206.70,208.30,399300,204.56
2013-10-25,208.00,208.60,206.10,207.00,406400,203.28
2013-10-24,207.80,208.60,204.70,207.00,489000,203.28
2013-10-23,209.70,210.90,207.30,208.10,788300,204.36
2013-10-22,206.00,209.90,206.00,209.70,819700,205.93
2013-10-21,206.10,206.60,204.30,206.00,426700,202.30
2013-10-18,203.20,206.20,202.00,205.90,796300,202.20
2013-10-17,203.00,203.70,202.20,202.80,465700,199.16
2013-10-16,202.30,204.10,201.70,202.70,885600,199.06
2013-10-15,201.10,204.20,201.10,203.30,870100,199.65
2013-10-14,202.50,202.50,200.00,200.30,499000,196.70
2013-10-11,201.20,202.60,200.10,202.20,813500,198.57
2013-10-10,200.50,201.20,198.50,200.00,874600,196.41
2013-10-09,198.00,201.30,196.70,199.60,2022900,196.01
2013-10-08,200.30,205.30,196.00,197.60,7295800,194.05
2013-10-07,218.00,222.90,215.80,220.40,659800,216.44
2013-10-04,229.10,229.20,218.20,218.20,1354500,214.28
2013-10-03,229.70,233.10,229.30,230.10,412000,225.96
2013-10-02,229.50,230.80,228.70,229.70,265700,225.57
2013-10-01,230.30,231.10,228.70,230.90,342300,226.75
2013-09-30,229.50,230.90,228.40,229.70,337400,225.57
2013-09-27,231.50,232.70,230.60,231.60,239700,227.44
2013-09-26,233.70,233.70,231.40,232.40,190200,228.22
2013-09-25,232.80,234.40,231.90,232.50,363300,228.32
2013-09-24,234.80,236.20,231.30,233.10,445400,228.91
2013-09-23,236.90,236.90,234.80,235.20,319500,230.97
2013-09-20,235.40,237.10,234.30,236.30,383800,232.05
2013-09-19,236.20,237.60,235.40,236.10,443500,231.86
2013-09-18,235.20,235.40,233.70,235.00,465700,230.78
2013-09-17,237.80,238.00,235.00,235.40,432500,231.17
2013-09-16,234.80,239.20,234.40,238.90,458200,234.61
2013-09-13,233.50,234.70,233.00,233.60,296700,229.40
2013-09-12,233.40,234.00,232.60,233.50,251500,229.30
2013-09-11,234.90,235.00,232.70,233.70,498600,229.50
2013-09-10,230.60,235.90,230.60,234.80,1118700,230.58
2013-09-09,231.60,231.60,228.50,229.40,424800,225.28
2013-09-06,231.00,231.50,228.60,231.50,638700,227.34
2013-09-05,232.90,234.20,230.50,231.10,409900,226.95
2013-09-04,231.00,233.00,230.00,232.80,370400,228.62
2013-09-03,232.70,232.70,229.50,230.90,296100,226.75
2013-09-02,229.00,232.60,228.50,232.60,374100,228.42
2013-08-30,230.20,230.50,225.70,228.20,623200,224.10
2013-08-29,229.80,231.30,227.90,230.30,485300,226.16
2013-08-28,229.10,231.10,228.50,229.50,358900,225.38
2013-08-27,234.80,235.00,229.40,229.80,650000,225.67
2013-08-26,235.50,237.00,234.00,235.10,302500,230.87
2013-08-23,236.50,237.50,234.00,235.70,374100,231.46
2013-08-22,234.30,237.80,234.10,236.50,364800,232.25
2013-08-21,236.20,237.40,234.40,234.40,474200,230.19
2013-08-20,237.90,237.90,233.80,235.40,447300,231.17
2013-08-19,243.30,243.50,237.60,238.00,612700,233.72
2013-08-16,242.30,243.30,240.60,243.30,313100,238.93
2013-08-15,242.10,242.80,240.70,242.00,349000,237.65
2013-08-14,242.50,242.70,240.90,242.30,227900,237.95
2013-08-13,240.40,242.70,240.00,242.70,414700,238.34
2013-08-12,241.40,241.90,238.70,240.40,290600,236.08
2013-08-09,241.20,242.50,239.80,241.30,269300,236.96
2013-08-08,241.30,241.70,239.20,241.10,339900,236.77
2013-08-07,242.80,243.00,240.20,240.90,255200,236.57
2013-08-06,243.90,244.20,242.30,242.90,288200,238.53
2013-08-05,243.80,244.40,242.50,244.00,237000,239.61
2013-08-02,241.90,243.90,241.40,243.90,288100,239.52
2013-08-01,241.10,242.70,240.30,242.00,295900,237.65
2013-07-31,239.40,241.10,238.30,241.00,449300,236.67
2013-07-30,239.10,239.90,237.50,239.60,404200,235.29
2013-07-29,234.30,239.50,234.30,237.60,325200,233.33
2013-07-26,236.50,237.00,233.10,234.10,270000,229.89
2013-07-25,235.30,236.50,233.90,236.40,308400,232.15
2013-07-24,233.40,236.60,233.00,235.40,433700,231.17
2013-07-23,233.20,234.00,232.20,232.90,331400,228.71
2013-07-22,232.60,233.60,231.60,232.90,250600,228.71
2013-07-19,234.70,234.70,232.00,232.70,424900,228.52
2013-07-18,233.00,235.00,232.80,234.80,278700,230.58
2013-07-17,232.00,234.70,230.60,232.70,385500,228.52
2013-07-16,232.30,232.90,230.80,231.90,402400,227.73
2013-07-15,231.80,236.10,231.50,232.00,761000,227.83
2013-07-12,234.60,236.70,230.50,231.60,1014300,227.44
2013-07-11,223.00,237.30,223.00,234.60,1657000,230.38
2013-07-10,215.50,219.90,214.60,219.00,921400,215.06
2013-07-09,215.40,217.00,214.50,215.10,476300,211.23
2013-07-08,212.60,215.80,212.30,215.00,397500,211.14
2013-07-05,213.50,213.70,210.80,210.90,433800,207.11
2013-07-04,208.00,214.70,207.80,213.90,852500,210.06
2013-07-03,206.40,206.90,204.20,205.90,431500,202.20
2013-07-02,205.00,207.20,203.90,206.50,573000,202.79
2013-07-01,203.90,205.20,203.00,204.90,457200,201.22
2013-06-28,206.20,206.90,203.80,203.80,761800,200.14
2013-06-27,204.80,207.20,204.60,206.30,455100,202.59
2013-06-26,205.20,207.00,203.40,204.70,529100,201.02
2013-06-25,203.10,205.70,201.90,205.10,714300,201.41
2013-06-24,203.30,204.40,201.50,202.80,679900,199.16
