Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,1.94,1.95,1.91,1.95,113000,1.95
2014-02-25,1.85,1.95,1.85,1.90,305400,1.90
2014-02-24,1.78,1.88,1.75,1.84,240700,1.84
2014-02-21,1.71,1.78,1.71,1.71,92200,1.71
2014-02-20,1.70,1.76,1.68,1.68,175900,1.68
2014-02-19,1.73,1.73,1.62,1.67,85800,1.67
2014-02-18,1.70,1.71,1.70,1.71,17100,1.71
2014-02-17,1.70,1.72,1.68,1.69,81200,1.69
2014-02-14,1.70,1.71,1.68,1.70,31200,1.70
2014-02-13,1.74,1.74,1.69,1.72,64600,1.72
2014-02-12,1.67,1.80,1.65,1.71,285400,1.71
2014-02-11,1.60,1.66,1.60,1.66,166700,1.66
2014-02-10,1.58,1.59,1.55,1.58,97700,1.58
2014-02-07,1.54,1.58,1.51,1.58,121000,1.58
2014-02-06,1.56,1.59,1.52,1.54,185500,1.54
2014-02-05,1.56,1.56,1.51,1.51,344800,1.51
2014-02-04,1.64,1.64,1.50,1.53,320000,1.53
2014-02-03,1.78,1.78,1.60,1.64,276300,1.64
2014-01-31,1.73,1.73,1.64,1.68,148100,1.68
2014-01-30,1.70,1.75,1.69,1.72,69700,1.72
2014-01-29,1.74,1.77,1.70,1.74,88900,1.74
2014-01-28,1.71,1.76,1.70,1.74,79800,1.74
2014-01-27,1.76,1.81,1.70,1.70,102300,1.70
2014-01-24,1.75,1.82,1.74,1.76,178600,1.76
2014-01-23,1.76,1.76,1.71,1.72,77100,1.72
2014-01-22,1.72,1.76,1.69,1.76,121700,1.76
2014-01-21,1.72,1.72,1.68,1.71,41400,1.71
2014-01-20,1.71,1.73,1.67,1.72,83700,1.72
2014-01-17,1.77,1.77,1.70,1.72,82600,1.72
2014-01-16,1.79,1.81,1.73,1.75,213600,1.75
2014-01-15,1.90,1.90,1.75,1.81,452500,1.81
2014-01-14,1.77,1.78,1.75,1.77,77900,1.77
2014-01-13,1.80,1.82,1.75,1.80,489700,1.80
2014-01-10,1.70,1.76,1.66,1.75,403500,1.75
2014-01-09,1.69,1.69,1.63,1.65,294600,1.65
2014-01-08,1.62,1.70,1.61,1.69,276600,1.69
2014-01-07,1.62,1.62,1.59,1.59,22700,1.59
2014-01-06,1.55,1.55,1.55,1.55,000,1.55
2014-01-03,1.61,1.61,1.55,1.55,156600,1.55
2014-01-02,1.50,1.60,1.50,1.55,330900,1.55
2014-01-01,1.50,1.50,1.50,1.50,000,1.50
2013-12-31,1.50,1.50,1.50,1.50,000,1.50
2013-12-30,1.50,1.54,1.46,1.50,338100,1.50
2013-12-27,1.50,1.54,1.50,1.52,172200,1.52
2013-12-26,1.50,1.50,1.50,1.50,000,1.50
2013-12-25,1.50,1.50,1.50,1.50,000,1.50
2013-12-24,1.50,1.50,1.50,1.50,000,1.50
2013-12-23,1.50,1.51,1.50,1.50,31700,1.50
2013-12-20,1.45,1.50,1.44,1.49,112300,1.49
2013-12-19,1.47,1.48,1.44,1.46,98500,1.46
2013-12-18,1.46,1.50,1.46,1.49,75100,1.49
2013-12-17,1.46,1.49,1.46,1.49,38900,1.49
2013-12-16,1.48,1.48,1.46,1.47,57700,1.47
2013-12-13,1.45,1.50,1.44,1.46,196000,1.46
2013-12-12,1.45,1.48,1.44,1.44,81700,1.44
2013-12-11,1.49,1.51,1.49,1.49,20000,1.49
2013-12-10,1.50,1.54,1.48,1.50,82000,1.50
2013-12-09,1.50,1.51,1.48,1.48,112700,1.48
2013-12-06,1.47,1.50,1.46,1.50,44100,1.50
2013-12-05,1.46,1.48,1.46,1.48,16600,1.48
2013-12-04,1.51,1.51,1.47,1.47,33000,1.47
2013-12-03,1.48,1.48,1.48,1.48,000,1.48
2013-12-02,1.50,1.50,1.48,1.48,41500,1.48
2013-11-29,1.50,1.52,1.48,1.52,119700,1.52
2013-11-28,1.49,1.51,1.48,1.51,389200,1.51
2013-11-27,1.44,1.44,1.41,1.43,50900,1.43
2013-11-26,1.45,1.47,1.42,1.47,119000,1.47
2013-11-25,1.45,1.47,1.40,1.40,102000,1.40
2013-11-22,1.48,1.50,1.48,1.50,77800,1.50
2013-11-21,1.46,1.48,1.45,1.46,54200,1.46
2013-11-20,1.50,1.50,1.47,1.47,65000,1.47
2013-11-19,1.47,1.48,1.47,1.48,25800,1.48
2013-11-18,1.48,1.48,1.45,1.47,53000,1.47
2013-11-15,1.46,1.48,1.45,1.46,63300,1.46
2013-11-14,1.50,1.52,1.48,1.48,51600,1.48
2013-11-13,1.51,1.52,1.51,1.52,23000,1.52
2013-11-12,1.50,1.50,1.49,1.50,44600,1.50
2013-11-11,1.49,1.49,1.49,1.49,10300,1.49
2013-11-08,1.51,1.52,1.47,1.52,177200,1.52
2013-11-07,1.53,1.53,1.44,1.50,75700,1.50
2013-11-06,1.50,1.53,1.48,1.53,69600,1.53
2013-11-05,1.54,1.54,1.52,1.53,52900,1.53
2013-11-04,1.50,1.53,1.50,1.53,47900,1.53
2013-11-01,1.53,1.53,1.48,1.48,24000,1.48
2013-10-31,1.50,1.50,1.43,1.47,65800,1.47
2013-10-30,1.54,1.56,1.50,1.50,103700,1.50
2013-10-29,1.50,1.55,1.45,1.52,128100,1.52
2013-10-28,1.49,1.51,1.48,1.50,184200,1.50
