Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,15.20,15.20,15.20,15.20,000,15.20
2014-02-25,15.40,15.40,15.20,15.20,700,15.20
2014-02-24,15.80,15.80,15.00,15.80,1900,15.80
2014-02-21,15.00,15.60,14.00,15.60,11700,15.60
2014-02-20,16.50,16.50,16.10,16.10,1000,16.10
2014-02-19,15.80,16.50,15.60,16.50,1700,16.50
2014-02-18,15.40,15.40,15.40,15.40,000,15.40
2014-02-17,15.80,15.80,15.40,15.40,1400,15.40
2014-02-14,16.20,16.30,16.00,16.00,2400,16.00
2014-02-13,16.40,16.40,16.40,16.40,000,16.40
2014-02-12,16.40,16.40,16.40,16.40,000,16.40
2014-02-11,16.80,16.80,16.40,16.40,900,16.40
2014-02-10,16.00,17.00,16.00,16.60,3800,16.60
2014-02-07,15.30,16.00,15.30,16.00,3200,16.00
2014-02-06,15.20,15.20,15.20,15.20,000,15.20
2014-02-05,15.10,15.20,15.10,15.20,1000,15.20
2014-02-04,14.70,14.95,14.70,14.95,2800,14.95
2014-02-03,15.10,15.10,14.60,14.90,3300,14.90
2014-01-31,15.10,15.10,15.10,15.10,100,15.10
2014-01-30,15.10,15.10,15.10,15.10,200,15.10
2014-01-29,15.20,15.20,15.00,15.20,3300,15.20
2014-01-28,15.40,15.40,15.40,15.40,000,15.40
2014-01-27,15.20,15.40,15.00,15.40,2800,15.40
2014-01-24,15.40,15.60,15.40,15.60,400,15.60
2014-01-23,15.70,15.70,15.50,15.70,2200,15.70
2014-01-22,15.70,15.70,15.70,15.70,100,15.70
2014-01-21,15.10,15.50,14.50,15.50,6900,15.50
2014-01-20,15.30,15.30,15.30,15.30,300,15.30
2014-01-17,15.40,15.50,15.40,15.50,1400,15.50
2014-01-16,15.10,15.10,15.10,15.10,200,15.10
2014-01-15,15.10,15.30,15.10,15.30,3000,15.30
2014-01-14,15.50,15.50,15.30,15.30,5300,15.30
2014-01-13,15.70,15.70,15.70,15.70,900,15.70
2014-01-10,15.50,15.50,15.10,15.50,3300,15.50
2014-01-09,15.50,15.50,15.50,15.50,000,15.50
2014-01-08,15.50,15.50,15.50,15.50,000,15.50
2014-01-07,15.90,15.90,15.50,15.50,1800,15.50
2014-01-06,15.50,15.50,15.50,15.50,000,15.50
2014-01-03,16.60,16.60,15.50,15.50,2800,15.50
2014-01-02,14.10,16.00,14.00,16.00,36300,16.00
2014-01-01,14.50,14.50,14.50,14.50,000,14.50
2013-12-31,14.50,14.50,14.50,14.50,000,14.50
2013-12-30,13.50,14.50,13.50,14.50,9900,14.50
2013-12-27,13.00,13.50,13.00,13.50,3100,13.50
2013-12-26,13.00,13.00,13.00,13.00,000,13.00
2013-12-25,13.00,13.00,13.00,13.00,000,13.00
2013-12-24,13.00,13.00,13.00,13.00,000,13.00
2013-12-23,13.00,13.00,13.00,13.00,5000,13.00
2013-12-20,12.75,13.00,12.50,12.75,6800,12.75
2013-12-19,12.75,12.75,12.75,12.75,1100,12.75
2013-12-18,12.50,12.80,12.50,12.75,1500,12.75
2013-12-17,12.30,12.50,11.50,12.50,2500,12.50
2013-12-16,13.10,13.30,13.00,13.30,700,13.30
2013-12-13,13.50,13.50,13.50,13.50,000,13.50
2013-12-12,13.50,13.50,13.50,13.50,100,13.50
2013-12-11,14.20,14.20,13.35,13.35,300,13.35
2013-12-10,13.10,17.00,13.10,16.80,900,16.80
2013-12-09,12.50,14.00,12.50,14.00,1100,14.00
2013-12-06,13.00,13.50,13.00,13.50,600,13.50
2013-12-05,14.00,14.00,14.00,14.00,1000,14.00
2013-12-04,13.20,14.00,13.20,13.80,2000,13.80
2013-12-03,13.00,14.50,13.00,14.50,2500,14.50
2013-12-02,13.50,13.90,13.00,13.00,600,13.00
2013-11-29,14.00,14.00,13.85,13.85,700,13.85
2013-11-28,14.00,14.00,14.00,14.00,300,14.00
2013-11-27,14.50,15.90,14.50,15.20,1400,15.20
2013-11-26,14.50,14.50,14.50,14.50,000,14.50
2013-11-25,14.50,14.50,14.50,14.50,500,14.50
2013-11-22,15.00,15.00,14.50,14.50,400,14.50
2013-11-21,15.10,15.10,15.00,15.00,2800,15.00
2013-11-20,14.50,14.50,14.50,14.50,2300,14.50
2013-11-19,15.00,15.80,15.00,15.20,800,15.20
2013-11-18,14.50,16.20,14.50,16.20,2500,16.20
2013-11-15,14.50,14.50,14.50,14.50,700,14.50
2013-11-14,17.00,17.00,16.50,16.50,100,16.50
2013-11-13,15.00,17.10,14.65,17.00,300,17.00
2013-11-12,16.00,16.00,13.30,13.30,1300,13.30
2013-11-11,15.90,15.90,15.90,15.90,000,15.90
2013-11-08,15.60,16.70,15.60,16.50,2200,16.50
2013-11-07,17.50,17.50,15.20,17.30,2500,17.30
2013-11-06,17.50,17.50,17.50,17.50,000,17.50
2013-11-05,16.60,17.40,16.60,17.40,900,17.40
2013-11-04,17.40,17.40,16.60,16.60,000,16.60
2013-11-01,17.00,17.00,17.00,17.00,000,17.00
2013-10-31,17.80,17.80,16.90,16.90,2600,16.90
2013-10-30,19.00,19.00,17.60,17.60,600,17.60
2013-10-29,18.00,18.90,18.00,18.90,3300,18.90
2013-10-28,15.70,18.00,15.70,17.00,400,17.00
2013-10-25,15.60,16.80,15.60,15.70,3400,15.70
2013-10-24,15.60,18.90,15.60,17.00,1400,17.00
2013-10-23,17.50,17.50,17.50,17.50,000,17.50
2013-10-22,17.50,17.50,17.50,17.50,000,17.50
2013-10-21,19.00,19.00,17.50,17.50,300,17.50
2013-10-18,18.00,20.00,17.50,17.50,2400,17.50
