Date,Open,High,Low,Close,Volume,Adj Close
2013-09-16,4.05,4.05,4.05,4.05,400,4.05
2013-09-13,4.33,4.33,4.33,4.33,400,4.33
2013-09-12,3.74,3.74,3.74,3.74,1000,3.74
2013-09-11,3.23,3.23,3.23,3.23,000,3.23
2013-09-10,4.39,4.39,3.23,3.23,900,3.23
2013-09-09,4.39,4.39,4.39,4.39,000,4.39
2013-09-06,3.03,4.36,3.03,4.36,1000,4.36
2013-09-05,4.48,4.48,4.48,4.48,000,4.48
2013-09-04,4.48,4.48,4.48,4.48,000,4.48
2013-09-03,4.48,4.48,4.48,4.48,000,4.48
2013-09-02,4.48,4.48,4.48,4.48,000,4.48
2013-08-30,4.49,4.50,4.48,4.48,1300,4.48
2013-08-29,4.50,4.50,4.50,4.50,000,4.50
2013-08-28,4.55,4.55,4.50,4.50,1400,4.50
2013-08-27,4.30,4.30,4.30,4.30,1100,4.30
2013-08-26,4.69,4.70,4.69,4.70,1600,4.70
2013-08-23,4.69,4.69,4.35,4.35,900,4.35
2013-08-22,3.20,4.69,3.00,4.25,4300,4.25
2013-08-21,3.76,4.70,3.76,4.00,4700,4.00
2013-08-20,3.20,3.20,3.20,3.20,000,3.20
2013-08-19,3.20,3.20,3.20,3.20,200,3.20
2013-08-16,3.20,3.20,3.20,3.20,000,3.20
2013-08-15,3.20,3.20,3.20,3.20,000,3.20
2013-08-14,3.20,3.20,3.20,3.20,000,3.20
2013-08-13,3.06,3.20,3.00,3.20,2100,3.20
2013-08-12,3.80,3.98,3.80,3.98,100,3.98
2013-08-09,4.03,4.05,4.03,4.05,200,4.05
2013-08-08,4.15,4.15,4.15,4.15,1300,4.15
2013-08-07,4.01,4.01,4.00,4.00,400,4.00
2013-08-06,4.70,4.70,4.70,4.70,000,4.70
