Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,37.00,37.10,36.70,37.10,53200,36.08
2014-02-25,36.80,37.20,36.60,37.00,159400,35.98
2014-02-24,37.00,37.10,36.50,37.00,67200,35.98
2014-02-21,36.60,37.10,36.60,37.00,109400,35.98
2014-02-20,36.40,36.80,36.20,36.60,76600,35.59
2014-02-19,36.40,36.50,35.80,36.40,79400,35.40
2014-02-18,36.50,36.60,36.20,36.40,65300,35.40
2014-02-17,36.80,36.90,36.30,36.30,95200,35.30
2014-02-14,36.80,37.10,36.30,36.80,147900,35.79
2014-02-13,37.00,37.00,36.00,36.80,537900,35.79
2014-02-12,37.20,37.20,36.50,36.90,145400,35.89
2014-02-11,35.60,37.30,35.60,36.60,233800,35.59
2014-02-10,34.70,35.70,34.70,35.40,304000,34.43
2014-02-07,34.00,34.20,33.70,34.10,213900,33.16
2014-02-06,34.30,34.30,33.30,33.70,267100,32.77
2014-02-05,33.70,34.50,33.30,33.60,314400,32.68
2014-02-04,34.70,34.70,33.40,33.70,370400,32.77
2014-02-03,37.00,37.00,34.80,35.10,132600,34.14
2014-01-31,37.30,37.70,36.30,36.50,214900,35.50
2014-01-30,38.00,38.10,37.10,37.60,148000,36.57
2014-01-29,37.80,39.00,37.60,38.00,255600,36.96
2014-01-28,37.50,38.20,37.50,37.70,139600,36.66
2014-01-27,39.00,39.00,37.40,37.40,250600,36.37
2014-01-24,40.20,40.20,39.00,39.10,106500,38.03
2014-01-23,41.00,41.20,39.50,40.20,142300,39.10
2014-01-22,40.70,41.40,40.70,40.90,192100,39.78
2014-01-21,40.00,40.60,39.70,40.50,278600,39.39
2014-01-20,39.90,40.00,39.70,39.70,481300,38.61
2014-01-17,39.60,39.80,39.10,39.80,59100,38.71
2014-01-16,39.50,39.90,39.40,39.40,93000,38.32
2014-01-15,40.00,40.00,39.50,40.00,88900,38.90
2014-01-14,39.80,40.00,39.50,40.00,63500,38.90
2014-01-13,40.30,40.30,39.60,39.90,89000,38.80
2014-01-10,39.60,40.50,39.60,40.00,112400,38.90
2014-01-09,40.60,41.00,39.50,39.60,156400,38.51
2014-01-08,41.70,41.70,40.60,40.60,155900,39.48
2014-01-07,40.50,41.60,40.50,40.50,186200,39.39
2014-01-06,40.30,40.30,40.30,40.30,000,39.19
2014-01-03,40.50,40.60,39.90,40.30,144800,39.19
2014-01-02,40.20,40.50,39.90,40.50,274400,39.39
2014-01-01,40.00,40.00,40.00,40.00,000,38.90
2013-12-31,40.00,40.00,40.00,40.00,000,38.90
2013-12-30,38.80,40.90,38.80,40.00,409400,38.90
2013-12-27,36.70,38.70,36.20,38.60,114900,37.54
2013-12-26,36.50,36.50,36.50,36.50,000,35.50
2013-12-25,36.50,36.50,36.50,36.50,000,35.50
2013-12-24,36.50,36.50,36.50,36.50,000,35.50
2013-12-23,36.60,36.80,36.40,36.50,38200,35.50
2013-12-20,36.90,37.10,36.10,36.70,170900,35.69
2013-12-19,35.80,36.90,35.80,36.90,67500,35.89
2013-12-18,35.80,36.20,35.70,35.90,47700,34.91
2013-12-17,36.00,36.40,35.60,35.80,37700,34.82
2013-12-16,36.30,37.00,35.70,36.10,61600,35.11
2013-12-13,36.10,37.10,35.80,36.40,25400,35.40
2013-12-12,36.60,36.70,36.00,36.30,33900,35.30
2013-12-11,36.80,37.20,36.70,36.80,28900,35.79
2013-12-10,37.00,37.30,36.70,36.80,51900,35.79
2013-12-09,37.20,37.50,37.00,37.00,31200,35.98
2013-12-06,36.80,37.40,36.80,37.00,40200,35.98
2013-12-05,36.50,37.70,36.20,37.10,65300,36.08
2013-12-04,37.30,37.30,34.70,36.70,118900,35.69
2013-12-03,38.10,38.10,37.30,37.40,27200,36.37
2013-12-02,38.10,38.10,37.60,38.00,45000,36.96
2013-11-29,38.00,38.00,37.70,38.00,39400,36.96
2013-11-28,38.00,38.00,37.60,37.90,42300,36.86
2013-11-27,38.10,38.20,37.70,38.00,53500,36.96
2013-11-26,38.10,38.40,37.60,37.90,67200,36.86
2013-11-25,38.80,38.90,38.10,38.20,83400,37.15
2013-11-22,37.00,38.40,37.00,38.10,45700,37.05
2013-11-21,37.50,37.90,36.90,37.00,49000,35.98
2013-11-20,38.60,38.60,37.30,37.60,65600,36.57
2013-11-19,39.10,39.10,38.60,38.70,33700,37.64
2013-11-18,39.30,39.30,38.90,39.10,33200,38.03
2013-11-15,39.30,39.30,38.80,39.30,59400,38.22
2013-11-14,38.60,39.30,38.60,39.10,58700,38.03
2013-11-13,39.10,39.30,38.50,38.50,71300,37.44
2013-11-12,39.20,39.30,38.30,39.10,114800,38.03
2013-11-11,38.70,39.20,38.20,39.20,250800,38.12
2013-11-08,36.70,37.60,36.30,37.40,85000,36.37
2013-11-07,37.30,37.30,36.70,37.00,35700,35.98
2013-11-06,37.20,37.40,36.90,37.00,49400,35.98
2013-11-05,37.00,37.40,36.80,37.00,42200,35.98
2013-11-04,37.00,37.70,37.00,37.20,50100,36.18
2013-11-01,37.10,37.10,36.40,37.00,22900,35.98
2013-10-31,37.70,37.70,37.00,37.20,45900,36.18
2013-10-30,38.00,38.10,37.50,37.90,33700,36.86
2013-10-29,38.00,38.20,37.30,38.00,48400,36.96
2013-10-28,38.20,38.60,37.20,38.00,120200,36.96
2013-10-25,37.70,38.80,37.40,38.80,93500,37.73
2013-10-24,39.80,40.20,37.00,37.70,230900,36.66
2013-10-23,37.80,39.00,37.60,39.00,100400,37.93
2013-10-22,37.50,38.00,37.40,38.00,79600,36.96
2013-10-21,37.30,37.60,37.10,37.40,45300,36.37
2013-10-18,36.90,37.20,36.80,37.20,40800,36.18
2013-10-17,37.00,37.50,36.70,36.90,48100,35.89
2013-10-16,36.50,36.90,36.00,36.90,58100,35.89
2013-10-15,37.00,37.30,36.30,36.50,70900,35.50
2013-10-14,36.90,37.00,36.50,36.80,23000,35.79
2013-10-11,37.10,37.50,36.90,37.40,58700,36.37
2013-10-10,36.20,37.10,36.20,36.90,54500,35.89
2013-10-09,36.20,36.40,36.00,36.20,34500,35.21
2013-10-08,36.30,36.60,36.00,36.30,40700,35.30
2013-10-07,36.50,36.90,35.60,36.50,61000,35.50
2013-10-04,37.00,37.30,36.10,36.70,39700,35.69
2013-10-03,36.50,37.30,36.50,37.00,63000,35.98
2013-10-02,36.50,37.20,36.50,36.60,69700,35.59
2013-10-01,37.00,37.10,35.70,36.70,117800,35.69
2013-09-30,36.50,37.30,35.20,37.30,74300,36.28
2013-09-27,37.70,37.90,35.60,36.70,137400,35.69
2013-09-26,38.00,38.10,37.40,37.60,84900,36.57
2013-09-25,38.70,39.30,37.70,37.80,316900,36.76
2013-09-24,37.40,37.80,37.10,37.60,61900,36.57
2013-09-23,37.50,38.00,37.30,37.50,70400,36.47
2013-09-20,37.60,37.60,37.10,37.40,87400,36.37
2013-09-19,36.80,38.00,36.80,37.70,126600,36.66
2013-09-18,36.40,36.50,36.10,36.50,80100,35.50
2013-09-17,35.80,36.50,35.00,36.30,114700,35.30
2013-09-16,35.00,36.00,35.00,35.80,117500,34.82
2013-09-13,34.30,35.00,34.30,35.00,62900,34.04
2013-09-12,34.20,34.60,34.00,34.40,80000,33.45
2013-09-11,34.00,34.40,33.80,34.20,85700,33.26
2013-09-10,33.70,34.20,33.60,34.00,93400,33.07
2013-09-09,33.60,33.80,33.30,33.50,71500,32.58
2013-09-06,33.90,34.20,33.60,33.70,53600,32.77
2013-09-05,33.70,33.90,33.50,33.90,49100,32.97
2013-09-04,33.60,33.80,33.30,33.80,39300,32.87
2013-09-03,33.50,33.80,33.50,33.70,44500,32.77
2013-09-02,33.70,33.90,33.50,33.50,59400,32.58
2013-08-30,33.50,33.80,33.40,33.60,43600,32.68
2013-08-29,33.60,33.90,33.50,33.70,41100,32.77
2013-08-28,33.90,33.90,33.50,33.50,45100,32.58
2013-08-27,33.50,33.90,33.30,33.90,116400,32.97
2013-08-26,33.90,34.00,33.60,33.70,20200,32.77
2013-08-23,33.90,34.30,33.50,33.70,55100,32.77
2013-08-22,33.80,34.00,33.70,33.90,45900,32.97
2013-08-21,34.20,34.30,33.50,33.80,86100,32.87
2013-08-20,34.80,34.80,34.00,34.20,71900,33.26
2013-08-19,33.80,34.80,33.70,34.80,78500,33.84
2013-08-16,33.50,33.80,33.50,33.80,33900,32.87
2013-08-15,33.60,33.60,33.30,33.50,82900,32.58
2013-08-14,33.70,33.70,33.50,33.70,51200,32.77
2013-08-13,33.90,33.90,33.50,33.70,75600,32.77
2013-08-12,34.00,34.00,33.50,33.90,150600,32.97
2013-08-09,33.80,34.00,33.50,34.00,41600,33.07
2013-08-08,33.60,33.80,33.50,33.80,77700,32.87
2013-08-07,33.60,34.00,33.50,33.70,49900,32.77
2013-08-06,33.90,34.00,33.60,33.60,50000,32.68
2013-08-05,34.10,34.40,33.70,33.80,75400,32.87
2013-08-02,34.10,34.10,33.70,34.00,39200,33.07
2013-08-01,33.80,34.20,33.60,33.90,38100,32.97
2013-07-31,34.40,34.40,33.70,33.70,94500,32.77
2013-07-30,33.90,34.40,33.50,34.20,154500,33.26
2013-07-29,33.60,34.00,33.30,33.90,189200,32.97
2013-07-26,33.50,33.70,33.30,33.50,89600,32.58
2013-07-25,33.90,33.90,33.20,33.30,248400,32.39
2013-07-24,32.10,33.50,31.70,33.50,199000,32.58
2013-07-23,32.00,32.30,31.70,32.00,36600,31.12
2013-07-22,31.70,32.30,31.50,32.00,41100,31.12
2013-07-19,31.90,32.40,31.50,31.90,90700,31.02
2013-07-18,31.10,32.20,30.80,31.90,295900,31.02
2013-07-17,30.60,31.80,30.00,31.20,463600,30.34
2013-07-16,29.00,29.00,28.20,28.30,39600,27.52
2013-07-15,28.80,28.90,28.60,28.80,35200,28.01
2013-07-12,28.70,29.00,28.50,28.60,29100,27.81
2013-07-11,28.70,28.80,28.60,28.70,16500,27.91
2013-07-10,28.50,28.70,28.30,28.60,18800,27.81
2013-07-09,28.20,28.80,28.20,28.20,16300,27.43
2013-07-08,28.80,28.80,28.00,28.10,19500,27.33
2013-07-05,28.10,28.80,27.80,28.80,39300,28.01
2013-07-04,27.70,28.00,27.70,27.70,73300,26.94
2013-07-03,27.70,28.00,27.50,27.70,54900,26.94
2013-07-02,27.40,27.90,27.40,27.50,29800,26.74
2013-07-01,27.90,27.90,27.10,27.40,28700,26.65
2013-06-28,27.90,27.90,27.40,27.80,22500,27.04
2013-06-27,27.50,27.90,27.20,27.40,41700,26.65
2013-06-26,27.80,27.90,27.20,27.50,34800,26.74
2013-06-25,27.90,27.90,27.30,27.60,33800,26.84
2013-06-24,27.90,28.50,27.30,27.70,69200,26.94
2013-06-21,28.70,28.70,28.70,28.70,000,27.91
2013-06-20,28.40,28.80,27.60,28.70,114400,27.91
2013-06-19,27.80,28.70,27.30,28.50,511800,27.72
2013-06-18,27.70,27.90,27.60,27.60,32600,26.84
2013-06-17,28.00,28.00,27.60,27.80,46500,27.04
2013-06-14,28.30,28.30,27.50,27.80,43500,27.04
2013-06-13,27.20,28.30,26.70,28.00,154500,27.23
2013-06-12,27.00,27.20,26.90,27.10,49000,26.36
2013-06-11,27.50,27.70,26.40,27.20,107700,26.45
2013-06-10,27.70,28.00,27.50,27.80,29500,27.04
2013-06-07,27.20,28.20,27.20,28.20,26300,27.43
2013-06-06,27.90,27.90,27.90,27.90,000,27.13
2013-06-05,28.50,28.50,27.70,27.90,34600,27.13
2013-06-04,28.50,28.60,28.20,28.30,28200,27.52
2013-06-03,28.50,28.50,28.00,28.50,30100,27.72
2013-05-31,28.20,28.60,28.10,28.60,25500,27.81
2013-05-30,28.70,28.70,28.10,28.20,21600,27.43
2013-05-29,28.20,28.50,28.10,28.20,12500,27.43
2013-05-28,28.70,28.70,28.10,28.20,25100,27.43
2013-05-27,28.30,28.40,28.10,28.20,55700,27.43
2013-05-24,28.70,29.10,28.10,28.30,55600,27.52
2013-05-23,29.00,29.00,28.10,28.70,71700,27.91
2013-05-22,29.30,29.30,28.80,29.00,58100,28.20
2013-05-21,29.10,29.10,28.50,29.10,34000,28.30
2013-05-20,28.80,28.90,28.40,28.90,26300,28.11
2013-05-17,28.40,28.70,28.10,28.50,19900,27.72
2013-05-16,28.80,28.80,28.20,28.60,30300,27.81
2013-05-15,29.00,29.20,28.30,28.80,31700,28.01
2013-05-14,29.10,29.10,28.70,28.90,27300,28.11
2013-05-13,28.80,29.00,28.40,28.70,51100,27.91
2013-05-10,28.70,28.80,28.40,28.50,40000,27.72
2013-05-09,28.40,28.40,28.40,28.40,000,27.62
2013-05-08,28.00,28.60,28.00,28.40,46700,27.62
2013-05-07,28.00,28.40,27.60,28.40,59900,27.62
2013-05-06,27.60,28.10,27.60,27.90,27900,27.13
2013-05-03,28.30,28.30,27.50,27.60,29300,26.84
2013-05-02,27.50,27.90,27.40,27.90,32800,27.13
2013-05-01,27.80,27.80,27.80,27.80,000,27.04
2013-04-30,27.80,27.80,27.80,27.80,000,27.04
2013-04-29,27.30,27.90,27.30,27.80,29400,27.04
2013-04-26,28.20,28.20,27.10,27.30,82600,26.55
2013-04-25,29.20,29.30,27.60,28.20,169300,27.43
2013-04-24,29.50,29.50,28.80,29.40,11200,28.59
2013-04-23,29.20,29.40,28.70,29.00,52800,28.20
2013-04-22,29.50,29.90,28.90,29.20,28300,28.40
2013-04-19,28.00,28.80,28.00,28.60,108200,27.81
2013-04-18,28.90,28.90,27.90,28.00,47600,27.23
2013-04-17,28.20,28.60,28.10,28.20,154900,27.43
2013-04-16,29.20,29.20,28.00,28.20,102600,27.43
2013-04-15,30.00,30.00,29.10,29.30,146900,28.50
2013-04-12,30.10,30.70,29.90,30.00,81500,29.18
2013-04-11,30.90,30.90,30.00,30.00,49900,29.18
2013-04-10,29.90,30.60,29.40,30.60,158200,29.76
2013-04-09,31.70,31.70,29.80,29.90,104000,28.40
2013-04-08,32.00,32.00,30.90,30.90,44000,29.35
2013-04-05,31.90,32.40,30.90,31.50,105200,29.92
2013-04-04,32.50,32.50,31.40,31.40,70100,29.82
2013-04-03,32.70,32.70,32.20,32.40,58400,30.77
2013-04-02,31.90,32.20,31.60,32.20,93500,30.58
2013-04-01,31.10,31.10,31.10,31.10,000,29.54
2013-03-29,31.10,31.10,31.10,31.10,000,29.54
2013-03-28,31.10,31.10,31.10,31.10,000,29.54
2013-03-27,31.00,31.40,30.70,31.10,259200,29.54
2013-03-26,30.50,30.50,29.70,30.40,144300,28.87
2013-03-25,31.00,31.00,29.80,30.40,69500,28.87
2013-03-22,29.00,30.10,28.80,30.10,260600,28.59
2013-03-21,28.90,29.20,28.50,29.00,96000,27.54
2013-03-20,29.50,29.50,28.80,28.80,96600,27.35
2013-03-19,30.30,30.40,29.10,29.10,1320600,27.64
2013-03-18,30.00,30.10,29.30,29.60,96300,28.11
2013-03-15,30.00,30.30,29.60,29.60,327900,28.11
2013-03-14,30.30,30.50,29.60,30.00,117800,28.49
2013-03-13,31.70,31.70,30.20,30.30,135300,28.78
2013-03-12,32.00,32.00,31.20,31.20,60100,29.63
2013-03-11,32.00,32.00,31.50,32.00,59600,30.39
2013-03-08,31.50,32.00,31.50,31.90,58400,30.30
2013-03-07,31.30,32.00,31.10,31.50,125000,29.92
2013-03-06,31.00,31.50,30.90,31.30,84800,29.73
2013-03-05,30.30,31.60,30.30,30.90,173700,29.35
2013-03-04,31.40,31.40,30.30,30.30,67600,28.78
2013-03-01,31.50,31.50,30.60,31.10,67800,29.54
2013-02-28,31.20,31.40,30.20,31.40,144700,29.82
2013-02-27,31.20,31.30,30.00,30.40,144100,28.87
2013-02-26,31.00,31.30,30.00,31.30,129900,29.73
2013-02-25,31.00,31.40,31.00,31.10,403600,29.54
2013-02-22,29.30,31.50,29.30,31.00,819900,29.44
2013-02-21,28.90,29.30,28.90,29.30,41000,27.83
2013-02-20,28.60,29.50,28.60,29.30,229900,27.83
2013-02-19,28.70,29.10,28.60,28.60,78800,27.16
2013-02-18,28.00,28.90,28.00,28.70,47700,27.26
2013-02-15,28.30,28.30,28.00,28.20,33300,26.78
2013-02-14,28.20,28.50,27.50,28.00,47000,26.59
2013-02-13,27.60,28.40,27.60,28.20,40600,26.78
2013-02-12,27.70,28.00,27.70,28.00,21900,26.59
2013-02-11,27.30,28.00,27.10,27.70,186700,26.31
2013-02-08,27.50,27.50,27.00,27.30,23800,25.93
2013-02-07,27.90,27.90,27.10,27.50,48900,26.12
2013-02-06,27.40,27.80,27.20,27.80,56300,26.40
2013-02-05,27.40,27.40,26.70,27.40,166600,26.02
2013-02-04,27.50,27.50,26.70,27.00,517600,25.64
2013-02-01,27.30,27.30,26.50,27.00,271300,25.64
2013-01-31,28.70,28.70,26.70,27.30,206600,25.93
2013-01-30,28.50,28.50,26.40,28.00,593800,26.59
2013-01-29,28.40,28.70,27.70,28.70,77100,27.26
2013-01-28,28.90,29.30,27.80,28.30,118000,26.88
2013-01-25,29.00,29.00,28.40,28.70,117500,27.26
2013-01-24,29.00,29.30,28.00,28.50,162500,27.07
2013-01-23,26.60,29.00,26.60,29.00,494200,27.54
2013-01-22,26.00,26.40,25.80,26.30,130200,24.98
2013-01-21,26.10,26.50,25.80,26.00,98000,24.69
2013-01-18,25.70,26.70,25.40,26.10,266400,24.79
2013-01-17,25.30,25.70,25.20,25.60,92400,24.31
2013-01-16,25.40,25.40,25.00,25.30,72700,24.03
2013-01-15,25.60,25.70,25.00,25.50,218500,24.22
2013-01-14,25.90,25.90,25.40,25.60,162800,24.31
2013-01-11,25.70,25.70,25.30,25.70,110900,24.41
2013-01-10,25.00,25.50,25.00,25.50,187000,24.22
2013-01-09,25.50,25.70,24.90,25.20,336600,23.93
2013-01-08,24.90,25.50,24.90,25.30,189900,24.03
2013-01-07,24.10,24.90,24.10,24.90,457400,23.65
2013-01-04,24.10,24.30,24.00,24.10,417600,22.89
2013-01-03,24.40,24.40,24.00,24.10,353900,22.89
2013-01-02,24.60,24.60,24.00,24.40,301800,23.17
2013-01-01,24.50,24.50,24.50,24.50,000,23.27
2012-12-31,24.50,24.50,24.50,24.50,000,23.27
2012-12-28,24.50,24.50,24.10,24.50,140800,23.27
2012-12-27,24.40,24.50,24.00,24.50,142800,23.27
2012-12-26,24.40,24.40,24.40,24.40,000,23.17
2012-12-25,24.40,24.40,24.40,24.40,000,23.17
2012-12-24,24.40,24.40,24.40,24.40,000,23.17
2012-12-21,24.40,24.70,23.70,24.40,139500,23.17
2012-12-20,23.60,24.30,23.60,24.30,513400,23.08
2012-12-19,23.60,23.80,23.50,23.60,141000,22.41
2012-12-18,23.60,23.90,23.50,23.80,86700,22.60
2012-12-17,23.90,24.00,23.30,23.60,150400,22.41
2012-12-14,24.10,24.20,24.00,24.00,92900,22.79
2012-12-13,24.50,24.50,23.90,24.00,285100,22.79
2012-12-12,24.60,24.60,24.10,24.10,40800,22.89
2012-12-11,24.70,24.70,23.80,24.50,61100,23.27
2012-12-10,24.10,24.70,24.00,24.70,39100,23.46
2012-12-07,24.50,24.60,24.20,24.50,44600,23.27
2012-12-06,24.90,24.90,24.50,24.90,134200,23.65
2012-12-05,25.10,25.10,24.70,24.70,270800,23.46
2012-12-04,25.00,25.10,24.70,25.10,24300,23.84
2012-12-03,25.10,25.50,24.60,25.10,60000,23.84
2012-11-30,24.60,25.40,24.60,25.20,566700,23.93
2012-11-29,25.30,25.30,24.10,25.20,20100,23.93
2012-11-28,24.90,25.30,24.50,25.30,18300,24.03
2012-11-27,25.20,25.50,25.00,25.30,21600,24.03
2012-11-26,25.20,25.20,24.60,25.20,54000,23.93
2012-11-23,25.80,25.80,24.80,25.20,78800,23.93
2012-11-22,25.50,25.70,25.20,25.70,30200,24.41
2012-11-21,25.50,25.50,25.20,25.30,9300,24.03
2012-11-20,25.50,25.70,25.30,25.50,8400,24.22
2012-11-19,25.20,25.50,25.10,25.30,7700,24.03
2012-11-16,25.10,25.40,25.10,25.10,14900,23.84
2012-11-15,25.30,25.60,25.20,25.60,4500,24.31
2012-11-14,25.50,25.90,25.20,25.70,15700,24.41
2012-11-13,25.30,25.80,25.30,25.50,10300,24.22
2012-11-12,25.30,26.00,25.30,25.90,17000,24.60
2012-11-09,26.00,26.00,25.20,25.80,18300,24.50
2012-11-08,26.20,26.50,25.70,26.40,17900,25.07
2012-11-07,26.10,26.50,26.10,26.40,5900,25.07
2012-11-06,26.30,27.00,26.30,27.00,38900,25.64
2012-11-05,25.50,26.70,25.50,26.70,24400,25.36
2012-11-02,26.50,26.50,25.40,26.00,10100,24.69
2012-11-01,25.80,26.10,25.40,25.90,8900,24.60
2012-10-31,25.70,25.90,25.60,25.60,9100,24.31
2012-10-30,26.00,26.00,25.50,25.50,12600,24.22
2012-10-29,25.60,26.00,25.60,26.00,37500,24.69
2012-10-26,26.50,26.80,26.10,26.80,29300,25.45
2012-10-25,26.50,26.90,25.20,26.90,34600,25.55
2012-10-24,27.00,27.20,26.50,27.00,23400,25.64
2012-10-23,28.10,28.10,26.50,27.50,20300,26.12
2012-10-22,28.00,28.60,28.00,28.30,392500,26.88
2012-10-19,28.40,28.40,28.00,28.00,19000,26.59
2012-10-18,29.00,29.10,28.00,28.50,18600,27.07
2012-10-17,28.70,29.00,28.70,29.00,37500,27.54
2012-10-16,28.70,28.70,28.30,28.70,26700,27.26
2012-10-15,28.50,28.60,28.00,28.10,18700,26.69
2012-10-12,28.00,28.60,27.70,28.50,10400,27.07
2012-10-11,28.40,28.50,28.20,28.20,17200,26.78
2012-10-10,28.30,28.60,27.80,28.60,24200,27.16
2012-10-09,28.80,28.90,28.10,28.70,7600,27.26
2012-10-08,28.50,28.70,28.40,28.70,8100,27.26
2012-10-05,28.80,29.00,28.60,28.70,18400,27.26
2012-10-04,29.00,29.00,28.60,28.90,4800,27.45
2012-10-03,28.50,28.80,28.40,28.60,7300,27.16
2012-10-02,28.80,29.20,28.50,28.50,41100,27.07
2012-10-01,29.10,29.30,28.30,28.60,44900,27.16
2012-09-28,28.90,29.10,28.60,29.00,15800,27.54
2012-09-27,28.30,29.10,28.30,28.70,20800,27.26
2012-09-26,28.90,29.00,28.50,28.70,15200,27.26
2012-09-25,28.40,29.00,28.40,28.80,21300,27.35
2012-09-24,29.00,29.10,28.40,28.50,9200,27.07
2012-09-21,28.70,29.80,28.70,28.90,56000,27.45
2012-09-20,28.40,29.80,28.30,29.30,61400,27.83
2012-09-19,28.50,28.60,28.00,28.20,25500,26.78
2012-09-18,28.20,28.50,28.10,28.30,7700,26.88
2012-09-17,28.80,28.90,28.10,28.80,6500,27.35
2012-09-14,28.60,29.30,28.60,28.70,56200,27.26
2012-09-13,28.40,28.50,28.20,28.50,16700,27.07
2012-09-12,28.50,28.50,28.40,28.40,6800,26.97
2012-09-11,28.30,28.60,27.60,28.50,11900,27.07
2012-09-10,28.20,28.50,28.10,28.50,6000,27.07
2012-09-07,28.50,28.50,27.90,28.40,20700,26.97
2012-09-06,28.40,28.50,27.90,28.50,17500,27.07
2012-09-05,27.90,28.50,27.90,28.40,11200,26.97
2012-09-04,27.60,28.30,27.60,28.00,300,26.59
2012-09-03,27.90,28.70,27.50,28.20,2600,26.78
2012-08-31,29.80,29.80,27.50,27.50,46400,26.12
2012-08-30,28.70,28.70,28.00,28.00,7500,26.59
2012-08-29,28.10,28.90,28.10,28.50,4300,27.07
2012-08-28,28.90,28.90,28.00,28.70,13600,27.26
2012-08-27,30.00,30.00,28.50,28.80,27000,27.35
2012-08-24,29.90,29.90,28.90,29.50,17900,28.02
2012-08-23,29.30,29.60,29.30,29.60,4500,28.11
2012-08-22,29.80,29.80,29.00,29.30,30400,27.83
2012-08-21,30.00,30.00,29.60,29.80,25900,28.30
2012-08-20,29.20,30.50,29.00,29.50,131300,28.02
2012-08-17,28.30,28.30,27.70,28.00,6900,26.59
2012-08-16,28.30,28.60,27.60,28.30,80900,26.88
