Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,226.10,226.90,224.20,226.90,212900,226.58
2014-02-25,224.70,225.70,224.40,225.50,253900,225.18
2014-02-21,224.30,225.70,223.70,224.90,328300,224.59
2014-02-20,220.00,223.70,219.40,223.70,297700,223.39
2014-02-19,220.50,222.60,219.20,222.60,409500,222.29
2014-02-18,224.00,224.00,219.70,220.50,313300,220.19
2014-02-17,222.60,223.90,222.10,223.00,218500,222.69
2014-02-14,222.10,223.20,221.00,221.30,359500,220.99
2014-02-13,223.00,223.20,217.90,221.30,713100,220.99
2014-02-12,228.60,228.60,222.70,222.80,660900,222.49
2014-02-11,210.70,225.30,210.70,224.10,1331000,223.79
2014-02-10,214.70,216.50,210.00,210.50,588100,210.21
2014-02-07,212.10,214.80,211.60,214.20,771300,213.90
2014-02-06,206.20,211.80,204.70,211.80,762000,211.50
2014-02-05,207.70,209.20,205.00,205.80,510400,205.51
2014-02-04,208.30,208.30,203.60,207.40,492700,207.11
2014-02-03,208.60,212.20,208.10,208.90,698100,208.61
2014-01-31,208.70,208.70,204.50,208.10,365900,207.81
2014-01-30,207.60,209.40,205.20,208.20,321100,207.91
2014-01-29,212.70,215.00,206.40,208.30,492300,208.01
2014-01-28,208.60,212.40,207.40,211.80,505100,211.50
2014-01-27,207.10,208.70,205.00,208.30,693800,208.01
2014-01-24,213.80,217.00,207.60,208.00,950700,207.71
2014-01-23,219.60,220.30,210.00,215.20,799600,214.90
2014-01-22,219.00,222.60,218.70,219.50,470000,219.19
2014-01-21,219.70,221.60,217.40,218.70,449300,218.39
2014-01-20,224.30,225.10,218.60,219.30,564700,218.99
2014-01-17,221.90,226.90,221.90,224.30,589500,223.99
2014-01-16,222.80,223.60,219.50,222.10,548800,221.79
2014-01-15,223.10,226.00,221.80,222.50,947900,222.19
2014-01-14,214.00,221.70,212.30,221.50,1294900,221.19
2014-01-13,211.70,214.40,210.70,213.40,497900,213.10
2014-01-10,210.10,212.60,209.00,210.50,554300,210.21
2014-01-09,208.50,210.70,208.50,209.90,510700,209.61
2014-01-08,209.80,209.90,206.10,208.50,934700,208.21
2014-01-07,203.10,210.60,201.70,209.90,926600,209.61
2014-01-06,201.70,201.70,201.70,201.70,000,201.42
2014-01-03,201.40,203.40,200.10,201.70,314900,201.42
2014-01-02,203.40,204.00,199.70,201.90,357100,201.62
2014-01-01,203.30,203.30,203.30,203.30,000,203.02
2013-12-31,203.30,203.30,203.30,203.30,000,203.02
2013-12-30,202.20,203.60,201.10,203.30,295700,203.02
2013-12-27,201.70,203.30,201.00,202.20,162200,201.92
2013-12-26,201.00,201.00,201.00,201.00,000,200.72
2013-12-25,201.00,201.00,201.00,201.00,000,200.72
2013-12-24,201.00,201.00,201.00,201.00,000,200.72
2013-12-23,199.40,201.90,199.40,201.00,194500,200.72
2013-12-20,199.10,199.90,197.70,199.50,630200,199.22
2013-12-19,193.70,199.10,193.70,199.10,622200,198.82
2013-12-18,192.00,193.10,191.50,192.50,295700,192.23
2013-12-17,191.30,192.90,191.30,191.70,184600,191.43
2013-12-16,192.00,192.70,190.30,192.00,283600,191.73
2013-12-13,191.60,193.60,191.00,191.70,240100,191.43
2013-12-12,193.70,193.80,191.60,192.00,334400,191.73
2013-12-11,194.50,195.90,193.60,194.20,348200,193.93
2013-12-10,195.60,197.90,195.00,195.00,249600,194.73
2013-12-09,196.90,198.20,194.90,197.00,401900,196.72
2013-12-06,195.50,197.40,193.70,196.80,218800,196.52
2013-12-05,194.50,197.50,193.70,195.70,252500,195.43
2013-12-04,196.40,197.30,194.60,195.20,392200,194.93
2013-12-03,200.10,201.00,196.30,196.90,438400,196.62
2013-12-02,200.90,202.30,198.30,200.80,266400,200.52
2013-11-29,203.00,204.00,201.60,201.60,369500,201.32
2013-11-28,204.80,205.70,203.00,203.60,207200,203.31
2013-11-27,203.40,204.90,202.60,204.90,369700,204.61
2013-11-26,202.10,203.70,201.60,203.50,447400,203.22
2013-11-25,201.80,203.80,200.80,203.20,361200,202.92
2013-11-22,198.50,202.40,198.40,200.70,467400,200.42
2013-11-21,197.40,199.50,196.60,198.80,398800,198.52
2013-11-20,198.80,199.80,198.50,198.80,384400,198.52
2013-11-19,200.40,201.00,198.60,199.30,478900,199.02
2013-11-18,201.60,203.50,200.10,201.60,342100,201.32
2013-11-15,202.00,203.50,201.00,202.30,359700,202.02
2013-11-14,199.00,202.60,199.00,201.80,595300,201.52
2013-11-13,199.50,200.00,195.80,198.00,315700,197.72
2013-11-12,198.30,200.00,197.60,200.00,359900,199.72
2013-11-11,197.50,199.20,197.20,198.50,232200,198.22
2013-11-08,196.40,198.00,195.60,197.80,295900,197.52
2013-11-07,196.30,198.20,195.10,197.20,440100,196.92
2013-11-06,194.00,197.00,193.90,196.60,334800,196.32
2013-11-05,194.00,195.60,192.10,193.10,1768900,192.83
2013-11-04,195.00,197.00,193.70,194.00,624700,193.73
2013-11-01,194.90,195.10,192.70,194.10,258400,193.83
2013-10-31,195.30,195.80,193.50,194.60,539100,194.33
2013-10-30,197.20,197.50,195.30,195.90,398300,195.63
2013-10-29,196.20,198.60,195.90,196.20,799100,195.93
2013-10-28,198.80,199.20,196.50,197.00,930600,196.72
2013-10-25,201.80,201.90,197.90,198.60,594900,198.32
2013-10-24,195.00,201.90,194.10,201.70,1442500,201.42
2013-10-23,185.60,197.00,184.20,193.70,1765000,193.43
2013-10-22,185.50,186.80,184.60,185.00,609800,184.74
2013-10-21,181.20,185.90,181.20,185.60,748100,185.34
2013-10-18,178.50,181.50,178.20,181.20,1128400,180.95
2013-10-17,183.70,183.90,176.60,177.10,973900,176.85
2013-10-16,183.00,183.90,181.10,182.70,587800,182.44
2013-10-15,185.70,186.50,183.50,183.70,583200,183.44
2013-10-14,185.80,185.80,183.70,184.60,290600,184.34
2013-10-11,187.50,188.00,185.80,186.00,326900,185.74
2013-10-10,183.90,186.90,183.90,186.00,593100,185.74
2013-10-09,184.30,185.20,182.30,183.00,583500,182.74
2013-10-08,187.40,188.10,185.00,185.90,455700,185.64
2013-10-07,189.60,189.90,187.50,188.00,578900,187.74
2013-10-04,190.30,191.00,189.50,190.50,346000,190.23
2013-10-03,189.30,192.00,189.20,190.70,298300,190.43
2013-10-02,193.50,193.60,188.80,190.10,587700,189.83
2013-10-01,193.60,195.80,193.20,194.50,339000,194.23
2013-09-30,193.20,194.80,192.10,193.80,467200,193.53
2013-09-27,193.60,197.70,192.70,194.40,596100,194.13
2013-09-26,196.60,197.10,193.10,193.60,395000,193.33
2013-09-25,196.50,198.40,196.50,196.70,312400,196.42
2013-09-24,198.80,199.80,197.10,197.10,505100,196.82
2013-09-23,199.70,200.80,197.50,198.20,352700,197.92
2013-09-20,194.70,201.80,194.70,200.00,721300,199.72
2013-09-19,195.50,196.60,194.10,195.70,722100,195.43
2013-09-18,193.00,194.10,191.40,191.60,1005600,191.33
2013-09-17,194.90,195.50,192.70,192.90,565400,192.63
2013-09-16,198.00,198.50,195.70,195.90,532100,195.63
2013-09-13,197.70,199.40,196.70,196.90,463700,196.62
2013-09-12,199.10,202.40,197.60,197.60,644700,197.32
2013-09-11,196.00,198.70,196.00,197.40,406500,197.12
2013-09-10,196.90,199.50,195.70,196.60,583600,196.32
2013-09-09,196.70,197.50,195.70,196.00,305800,195.73
2013-09-06,196.00,197.10,194.20,197.10,354200,196.82
2013-09-05,195.50,196.70,194.90,195.80,467100,195.53
2013-09-04,192.70,195.90,191.70,194.90,539000,194.63
2013-09-03,195.30,195.40,192.90,192.90,302500,192.63
2013-09-02,191.10,195.30,191.10,195.10,374300,194.83
2013-08-30,190.10,192.00,188.40,190.30,708800,190.03
2013-08-29,184.60,189.20,184.40,187.90,499400,187.64
2013-08-28,186.60,187.20,183.30,185.20,641900,184.94
2013-08-27,190.00,190.50,187.20,187.80,593500,187.54
2013-08-26,195.50,196.00,190.30,190.60,450800,190.33
2013-08-23,195.80,196.10,193.30,195.10,443800,194.83
2013-08-22,193.80,196.20,193.80,195.00,281000,194.73
2013-08-21,196.20,197.60,194.60,194.60,234700,194.33
2013-08-20,198.20,198.30,195.10,196.00,286700,195.73
2013-08-19,199.00,200.80,197.20,198.60,285300,198.32
2013-08-16,195.60,198.90,193.30,198.90,511500,198.62
2013-08-15,198.20,198.30,194.00,195.60,276900,195.33
2013-08-14,196.90,199.00,196.30,198.40,303900,198.12
2013-08-13,194.40,197.20,194.00,197.10,466700,196.82
2013-08-12,194.50,195.30,193.30,194.40,1373900,194.13
2013-08-09,191.60,196.90,190.30,195.00,924800,194.73
2013-08-08,203.10,203.10,191.00,191.60,1706500,191.33
2013-08-07,205.00,205.00,200.90,201.80,283100,201.52
2013-08-06,206.50,208.60,203.50,204.30,567100,204.01
2013-08-05,203.00,206.30,203.00,206.20,278600,205.91
2013-08-02,203.00,205.00,201.70,203.50,306700,203.22
2013-08-01,199.30,203.00,199.10,203.00,536500,202.72
2013-07-31,196.00,199.80,195.00,198.80,403400,198.52
2013-07-30,195.50,196.20,194.50,195.60,230100,195.33
2013-07-29,193.50,195.00,193.50,194.30,132200,194.03
2013-07-26,195.00,195.30,192.70,193.20,226400,192.93
2013-07-25,194.40,196.00,193.10,194.30,214500,194.03
2013-07-24,194.00,195.80,193.50,194.40,245400,194.13
2013-07-23,195.90,196.00,193.10,193.80,262900,193.53
2013-07-22,197.40,197.50,194.50,195.50,232200,195.23
2013-07-19,197.00,197.90,196.00,197.20,228400,196.92
2013-07-18,195.40,197.50,194.50,197.40,248000,197.12
2013-07-17,196.50,196.70,192.00,195.40,521600,195.13
2013-07-16,195.20,197.20,194.70,196.40,428100,196.12
2013-07-15,193.90,196.00,193.30,194.80,235900,194.53
2013-07-12,194.60,196.20,192.80,193.60,386700,193.33
2013-07-11,193.00,193.70,191.80,193.70,388700,193.43
2013-07-10,187.60,191.60,187.20,191.40,399800,191.13
2013-07-09,188.30,188.50,186.60,187.80,223000,187.54
2013-07-08,185.70,188.20,185.70,187.00,340800,186.74
2013-07-05,186.90,188.70,184.80,185.00,323600,184.74
2013-07-04,184.10,187.60,184.10,187.20,318500,186.94
2013-07-03,184.10,184.90,182.50,184.10,521800,183.84
2013-07-02,183.60,184.60,181.70,184.60,547700,184.34
2013-07-01,179.40,182.60,178.40,181.90,398900,181.65
2013-06-28,184.70,185.50,179.00,179.30,575500,179.05
2013-06-27,180.00,184.20,179.90,183.70,395300,183.44
2013-06-26,180.00,180.40,177.50,179.70,529700,179.45
2013-06-25,175.80,180.40,175.80,179.70,517900,179.45
2013-06-24,178.50,180.50,174.10,175.10,602800,174.85
2013-06-21,182.00,182.00,182.00,182.00,000,181.75
2013-06-20,183.50,185.20,180.90,182.00,632800,181.75
2013-06-19,189.00,190.90,185.50,186.60,655900,186.34
2013-06-18,188.20,190.60,187.90,189.00,343200,188.74
2013-06-17,188.90,190.30,188.60,189.10,293700,188.84
2013-06-14,190.70,191.70,188.50,188.50,594100,188.24
2013-06-13,192.00,192.30,188.80,190.20,875300,189.93
2013-06-12,194.80,195.90,192.90,193.20,368900,192.93
2013-06-11,195.70,196.00,193.90,194.50,1777600,194.23
2013-06-10,192.70,196.90,192.70,196.00,557900,195.73
2013-06-07,194.10,195.10,192.80,194.10,871500,193.83
2013-06-06,194.20,194.20,194.20,194.20,000,193.93
2013-06-05,197.10,197.50,193.60,194.20,1165700,193.93
2013-06-04,195.20,199.00,195.20,197.10,578200,196.82
2013-06-03,194.50,196.10,193.30,195.00,534300,194.73
2013-05-31,198.60,198.80,193.80,194.20,989300,193.93
2013-05-30,196.80,199.90,196.40,199.20,448400,198.92
2013-05-29,198.30,198.30,196.20,197.10,401100,196.82
2013-05-28,195.00,201.20,194.90,199.70,632400,199.42
2013-05-27,195.10,196.70,194.30,195.40,280700,195.13
2013-05-24,193.70,197.00,193.70,195.50,637100,195.23
2013-05-23,196.00,197.00,192.40,193.40,933600,193.13
2013-05-22,201.30,201.60,199.00,200.90,394600,200.62
2013-05-21,201.30,202.00,199.70,201.60,568300,201.32
2013-05-20,200.70,202.40,198.80,201.50,664300,201.22
2013-05-17,203.20,203.20,200.80,201.30,470200,201.02
2013-05-16,203.00,205.30,202.60,203.40,747100,203.12
2013-05-15,201.50,204.00,201.20,202.90,643200,202.62
2013-05-14,200.90,202.80,198.00,201.00,1367600,200.72
2013-05-13,186.40,202.10,184.60,199.90,1639800,199.42
2013-05-10,186.00,188.60,185.40,186.40,623000,185.96
2013-05-09,185.30,185.30,185.30,185.30,000,184.86
2013-05-08,182.30,185.30,182.30,185.30,179300,184.86
2013-05-07,181.40,184.00,181.40,182.00,437600,181.57
2013-05-06,179.80,182.00,179.70,181.70,231400,181.27
2013-05-03,178.10,182.40,177.10,179.90,627400,179.47
2013-05-02,183.90,185.90,175.50,178.20,1391600,177.78
2013-05-01,181.00,181.00,181.00,181.00,000,180.57
2013-04-30,181.00,181.00,181.00,181.00,000,180.57
2013-04-29,180.00,181.80,178.80,181.00,474100,180.57
2013-04-26,180.40,181.60,178.30,180.50,678800,180.07
2013-04-25,176.80,180.60,175.50,180.50,709800,180.07
2013-04-24,174.80,176.60,173.00,176.60,680100,176.18
2013-04-23,166.50,173.40,166.10,173.40,774600,172.99
2013-04-22,166.30,168.00,165.30,166.00,673900,165.61
2013-04-19,170.80,172.40,164.90,166.00,1144300,165.61
2013-04-18,174.80,176.90,169.40,169.90,1359200,169.50
2013-04-17,177.20,177.60,173.20,174.60,1104400,174.18
2013-04-16,179.20,179.20,174.70,176.40,996100,175.98
2013-04-15,181.00,181.80,178.80,180.40,531700,179.97
2013-04-12,182.00,182.70,180.50,181.90,659100,181.47
2013-04-11,180.00,182.50,180.00,182.50,844800,182.07
2013-04-10,178.90,180.50,178.80,180.40,721900,179.97
2013-04-09,179.30,180.20,177.00,178.90,546600,178.47
2013-04-08,178.10,181.40,177.70,178.30,901700,177.88
2013-04-05,176.20,176.70,173.60,174.90,653400,174.48
2013-04-04,177.40,177.60,175.20,176.30,825400,175.88
2013-04-03,176.70,178.20,176.10,177.50,482100,177.08
2013-04-02,176.30,177.70,175.40,176.80,675200,176.38
2013-04-01,175.40,175.40,175.40,175.40,000,174.98
2013-03-29,175.40,175.40,175.40,175.40,000,174.98
2013-03-28,175.40,175.40,175.40,175.40,000,174.98
2013-03-27,175.90,176.00,173.50,175.40,541100,174.98
2013-03-26,178.20,178.40,172.60,175.00,898300,174.58
2013-03-25,176.00,179.70,176.00,177.70,522700,177.28
2013-03-22,174.20,175.50,173.40,174.90,393800,174.48
2013-03-21,175.30,176.30,173.20,174.20,918800,173.79
2013-03-20,175.70,176.90,174.10,175.70,434400,175.28
2013-03-19,176.20,178.90,175.10,175.40,1019400,174.98
2013-03-18,175.70,178.10,175.00,177.50,460200,177.08
2013-03-15,178.30,179.60,177.70,178.00,647600,177.58
2013-03-14,179.70,180.90,177.60,179.30,1068900,178.87
2013-03-13,180.30,180.60,177.00,179.20,744300,178.77
2013-03-12,181.70,183.80,181.50,182.10,510200,181.67
2013-03-11,184.60,185.10,182.30,183.00,370200,182.56
2013-03-08,184.00,185.40,183.60,184.60,261600,184.16
2013-03-07,186.10,186.80,183.00,183.90,443700,183.46
2013-03-06,186.00,188.20,185.50,186.00,1259900,185.56
2013-03-05,186.30,187.90,184.30,185.10,826500,184.66
2013-03-04,183.00,186.50,182.30,186.30,569300,185.86
2013-03-01,184.10,187.10,182.00,183.20,473500,182.76
2013-02-28,183.80,184.60,182.00,184.40,742700,183.96
2013-02-27,178.60,182.90,178.40,182.50,362400,182.07
2013-02-26,177.10,179.80,176.50,178.60,409800,178.18
2013-02-25,181.10,183.90,180.10,180.40,392700,179.97
2013-02-22,180.40,183.30,180.20,180.80,338400,180.37
2013-02-21,181.90,182.00,177.90,181.10,378300,180.67
2013-02-20,182.90,185.80,182.10,182.90,403000,182.46
2013-02-19,180.80,183.30,180.70,182.40,436000,181.97
2013-02-18,181.60,182.50,181.10,181.40,326600,180.97
2013-02-15,178.90,182.70,178.90,181.60,570300,181.17
2013-02-14,182.50,183.40,180.10,180.10,595500,179.67
2013-02-13,178.00,183.50,177.10,182.70,1003600,182.27
2013-02-12,170.30,179.00,169.50,177.20,1059900,176.78
2013-02-11,173.30,173.70,171.00,172.70,406700,172.29
2013-02-08,172.50,174.80,172.50,173.40,368700,172.99
2013-02-07,169.80,174.60,169.80,172.50,506500,172.09
2013-02-06,172.60,174.20,169.30,170.00,993100,169.60
2013-02-05,172.40,174.30,171.50,173.60,729200,173.19
2013-02-04,175.90,177.00,172.70,173.60,822900,173.19
2013-02-01,169.10,175.50,168.00,175.10,849300,174.68
2013-01-31,175.30,177.40,170.50,170.80,624800,170.39
2013-01-30,174.10,176.00,173.30,175.60,538400,175.18
2013-01-29,177.00,177.40,172.50,174.00,545200,173.59
2013-01-28,179.00,179.80,177.50,177.60,452100,177.18
2013-01-25,176.20,178.80,174.90,178.80,506900,178.37
2013-01-24,176.50,176.90,174.60,176.10,950700,175.68
2013-01-23,175.00,176.80,174.50,176.70,458300,176.28
2013-01-22,176.00,176.40,173.60,176.20,500500,175.78
2013-01-21,175.50,176.10,173.80,175.40,572700,174.98
2013-01-18,175.00,176.50,175.00,175.60,773700,175.18
2013-01-17,171.80,174.70,171.10,174.70,625500,174.28
2013-01-16,169.30,172.40,169.10,171.80,391100,171.39
2013-01-15,168.30,169.60,168.00,169.10,574000,168.70
2013-01-14,168.20,170.00,168.00,168.00,548000,167.60
2013-01-11,165.50,169.40,165.40,168.20,740900,167.80
2013-01-10,164.30,166.40,164.30,165.30,873300,164.91
2013-01-09,163.50,164.80,162.30,164.10,508000,163.71
2013-01-08,162.70,164.20,162.20,163.40,586500,163.01
2013-01-07,165.40,165.90,161.90,163.00,964500,162.61
2013-01-04,166.50,166.50,164.90,165.80,575500,165.41
2013-01-03,166.50,167.10,164.80,166.60,526400,166.20
2013-01-02,166.50,167.70,166.30,167.40,729700,167.00
2013-01-01,163.10,163.10,163.10,163.10,000,162.71
2012-12-31,163.10,163.10,163.10,163.10,000,162.71
2012-12-28,165.50,166.00,162.70,163.10,531500,162.71
2012-12-27,164.30,166.80,164.20,166.30,321300,165.90
2012-12-26,165.00,165.00,165.00,165.00,000,164.61
2012-12-25,165.00,165.00,165.00,165.00,000,164.61
2012-12-24,165.00,165.00,165.00,165.00,000,164.61
2012-12-21,167.00,167.00,163.90,165.00,746700,164.61
2012-12-20,168.70,168.70,166.50,167.20,599500,166.80
2012-12-19,169.80,171.00,168.20,169.00,856500,168.60
2012-12-18,170.00,171.30,168.50,170.70,637100,170.29
2012-12-17,169.50,171.00,169.00,170.00,384400,169.60
2012-12-14,169.50,171.20,168.00,169.00,812100,168.60
2012-12-13,172.60,173.00,169.10,169.30,653600,168.90
2012-12-12,174.80,174.80,172.50,172.60,349100,172.19
2012-12-11,174.60,175.00,173.00,174.60,399300,174.18
