Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,40.90,41.30,40.80,41.00,29800,41.00
2014-02-25,40.40,40.90,40.20,40.90,90500,40.90
2014-02-21,40.80,40.90,40.50,40.80,42500,40.80
2014-02-20,40.80,41.00,40.30,40.70,53600,40.70
2014-02-19,40.60,41.00,40.60,41.00,73200,41.00
2014-02-18,40.00,41.00,40.00,40.20,159800,40.20
2014-02-17,39.40,40.30,39.20,39.70,91500,39.70
2014-02-14,39.00,39.50,38.90,39.20,27900,39.20
2014-02-13,38.80,39.40,38.40,39.10,62100,39.10
2014-02-12,38.90,39.00,38.70,38.70,106600,38.70
2014-02-11,38.30,38.80,38.10,38.70,123800,38.70
2014-02-10,38.30,38.50,37.90,38.30,110000,38.30
2014-02-07,37.70,39.00,37.50,38.30,83300,38.30
2014-02-06,37.70,38.10,37.50,37.50,67900,37.50
2014-02-05,37.40,38.20,37.40,38.00,40500,38.00
2014-02-04,38.00,38.40,37.30,37.30,98200,37.30
2014-02-03,38.90,39.00,38.00,38.00,18500,38.00
2014-01-31,38.40,39.00,38.30,38.70,348400,38.70
2014-01-30,38.50,38.50,38.10,38.40,28800,38.40
2014-01-29,39.20,39.20,38.10,38.50,44100,38.50
2014-01-28,38.40,38.80,38.30,38.80,29600,38.80
2014-01-27,39.00,39.00,38.00,38.40,40000,38.40
2014-01-24,39.20,39.50,38.80,38.80,43400,38.80
2014-01-23,38.90,40.20,38.90,39.20,109700,39.20
2014-01-22,39.30,39.70,38.80,38.90,74000,38.90
2014-01-21,39.90,40.00,39.30,39.30,66400,39.30
2014-01-20,40.40,40.60,39.90,39.90,169900,39.90
2014-01-17,39.70,40.50,39.60,40.40,57800,40.40
2014-01-16,40.60,40.60,39.00,39.70,64600,39.70
2014-01-15,40.20,40.60,40.00,40.60,48300,40.60
2014-01-14,40.00,40.20,39.30,40.20,54500,40.20
2014-01-13,40.60,40.70,39.50,40.00,89300,40.00
2014-01-10,40.00,40.60,40.00,40.60,94700,40.60
2014-01-09,40.40,40.80,40.00,40.00,66100,40.00
2014-01-08,40.40,40.50,40.00,40.40,128000,40.40
2014-01-07,40.20,40.50,40.00,40.40,126400,40.40
2014-01-06,40.00,40.00,40.00,40.00,000,40.00
2014-01-03,39.40,40.20,39.40,40.00,44200,40.00
2014-01-02,39.90,39.90,39.60,39.60,34900,39.60
2014-01-01,39.60,39.60,39.60,39.60,000,39.60
2013-12-31,39.60,39.60,39.60,39.60,000,39.60
2013-12-30,39.60,39.80,39.30,39.60,86000,39.60
2013-12-27,39.20,39.70,39.20,39.50,106500,39.50
2013-12-26,39.20,39.20,39.20,39.20,000,39.20
2013-12-25,39.20,39.20,39.20,39.20,000,39.20
2013-12-24,39.20,39.20,39.20,39.20,000,39.20
2013-12-23,40.00,40.00,39.00,39.20,62200,39.20
2013-12-20,38.70,39.50,38.10,39.30,68400,39.30
2013-12-19,36.70,38.80,36.70,38.60,131200,38.60
2013-12-18,36.50,37.60,36.00,37.20,82900,37.20
2013-12-17,37.30,37.40,36.40,36.50,59000,36.50
2013-12-16,37.00,37.30,36.60,37.20,36800,37.20
2013-12-13,37.40,37.40,36.70,37.00,27200,37.00
2013-12-12,38.00,38.00,36.90,37.40,37500,37.40
2013-12-11,37.80,38.00,37.80,38.00,187900,38.00
2013-12-10,38.40,38.80,37.50,37.80,63200,37.80
2013-12-09,38.60,38.80,38.20,38.50,35700,38.50
2013-12-06,37.30,39.00,37.30,38.60,189600,38.60
2013-12-05,37.80,38.20,37.10,37.30,72000,37.30
2013-12-04,38.40,38.40,37.80,38.00,31300,38.00
2013-12-03,38.90,38.90,38.20,38.50,22900,38.50
2013-12-02,38.50,38.90,38.50,38.90,19700,38.90
