Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,65.75,66.00,64.75,65.25,167500,63.84
2014-02-25,63.75,65.50,63.75,65.25,402100,63.84
2014-02-21,65.25,65.25,64.50,64.50,190500,63.11
2014-02-20,63.50,65.25,63.00,64.75,196600,63.35
2014-02-19,65.75,66.75,64.00,64.00,480200,62.62
2014-02-18,67.50,67.75,65.50,65.75,200000,64.33
2014-02-17,68.25,69.50,67.50,67.75,403900,66.29
2014-02-14,70.25,73.75,68.25,68.50,843700,67.02
2014-02-13,67.25,69.00,67.00,68.75,311300,67.26
2014-02-12,66.00,68.25,66.00,67.25,441200,65.80
2014-02-11,65.00,65.50,64.50,65.00,375100,63.59
2014-02-10,65.25,65.75,64.50,65.00,84500,63.59
2014-02-07,65.00,65.50,64.50,64.75,74200,63.35
2014-02-06,63.25,64.75,63.25,64.50,513000,63.11
2014-02-05,61.75,63.00,61.25,62.50,109800,61.15
2014-02-04,61.00,61.75,57.75,61.50,407100,60.17
2014-02-03,64.00,64.00,61.00,61.50,103200,60.17
2014-01-31,64.25,64.25,62.00,64.00,204100,62.62
2014-01-30,63.75,64.50,62.50,63.75,144700,62.37
2014-01-29,62.50,64.75,62.50,63.25,379900,61.88
2014-01-28,61.50,63.00,60.75,61.75,380600,60.41
2014-01-27,61.00,62.00,59.25,60.00,572100,58.70
2014-01-24,63.75,64.75,61.00,61.50,239400,60.17
2014-01-23,65.50,65.50,63.00,64.00,200900,62.62
2014-01-22,65.75,66.75,65.00,65.75,112200,64.33
2014-01-21,69.50,69.75,65.75,65.75,489800,64.33
2014-01-20,70.00,70.00,68.50,69.50,287100,68.00
2014-01-17,68.25,70.25,68.00,69.50,341000,68.00
2014-01-16,68.75,68.75,67.75,68.25,209800,66.77
2014-01-15,66.25,69.00,66.00,68.75,262400,67.26
2014-01-14,64.75,66.50,64.00,65.75,302600,64.33
2014-01-13,64.00,65.00,63.25,65.00,158000,63.59
2014-01-10,63.50,64.75,63.50,64.00,139800,62.62
2014-01-09,65.50,65.50,63.75,64.00,1261700,62.62
2014-01-08,62.50,65.75,62.50,65.75,305000,64.33
2014-01-07,61.25,62.50,60.75,62.50,211000,61.15
2014-01-06,61.00,61.00,61.00,61.00,000,59.68
2014-01-03,60.75,61.00,59.50,61.00,132500,59.68
2014-01-02,60.00,60.75,59.50,60.75,105100,59.44
