Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,290.70,291.90,290.20,291.90,1534600,282.30
2014-02-25,291.30,291.40,289.50,291.00,3138300,281.43
2014-02-21,287.80,290.10,286.30,289.40,3797100,279.88
2014-02-20,282.60,287.60,281.70,287.60,2815900,278.14
2014-02-19,285.80,287.10,281.10,283.80,4075300,274.46
2014-02-18,292.50,292.60,285.40,285.80,3819600,276.40
2014-02-17,292.70,293.90,291.70,292.50,1458600,282.88
2014-02-14,291.30,291.90,289.60,291.10,1395800,281.52
2014-02-13,289.80,291.40,287.50,290.50,1792800,280.94
2014-02-12,290.40,292.80,288.20,289.80,2309800,280.27
2014-02-11,286.00,290.00,285.70,290.00,2162100,280.46
2014-02-10,283.40,285.00,282.30,285.00,1478600,275.63
2014-02-07,283.60,283.90,281.90,282.90,2295200,273.59
2014-02-06,282.20,284.80,281.90,282.30,4454800,273.01
2014-02-05,278.80,279.90,278.00,279.10,2449800,269.92
2014-02-04,278.00,279.90,276.30,278.40,2038000,269.24
2014-02-03,282.50,285.10,278.60,278.60,2294700,269.44
2014-01-31,278.50,283.70,278.30,282.40,3735300,273.11
2014-01-30,279.00,281.00,275.00,276.90,5404300,267.79
2014-01-29,286.60,290.50,283.10,287.20,2942800,277.75
2014-01-28,286.20,287.30,282.70,284.70,2269600,275.33
2014-01-27,287.00,288.30,282.70,285.30,2716500,275.92
2014-01-24,292.00,293.50,287.00,287.00,2238700,277.56
2014-01-23,297.00,297.00,291.10,291.60,1922500,282.01
2014-01-22,298.00,298.90,296.50,297.30,2113500,287.52
2014-01-21,293.00,298.50,293.00,296.80,4265000,287.04
2014-01-20,290.40,293.00,290.00,292.80,1922700,283.17
2014-01-17,289.80,291.70,289.50,290.00,2178200,280.46
2014-01-16,292.00,292.00,289.30,290.10,1793500,280.56
2014-01-15,291.50,292.30,288.50,291.80,3119200,282.20
2014-01-14,285.60,285.70,282.70,284.10,2484700,274.75
2014-01-13,290.00,290.80,286.00,286.20,1952900,276.79
2014-01-10,287.80,290.20,286.60,288.60,2208000,279.11
2014-01-09,288.00,291.70,286.90,287.00,2326800,277.56
2014-01-08,293.30,293.70,286.90,288.10,3300800,278.62
2014-01-07,299.00,299.80,293.10,294.00,2958900,284.33
2014-01-06,297.80,297.80,297.80,297.80,000,288.00
2014-01-03,296.60,300.70,296.50,297.80,1812300,288.00
2014-01-02,295.90,296.90,293.70,296.40,2154500,286.65
2014-01-01,296.20,296.20,296.20,296.20,000,286.46
2013-12-31,296.20,296.20,296.20,296.20,000,286.46
2013-12-30,298.40,298.50,294.30,296.20,1709100,286.46
2013-12-27,297.10,299.30,297.00,298.40,1727400,288.58
2013-12-26,296.00,296.00,296.00,296.00,000,286.26
2013-12-25,296.00,296.00,296.00,296.00,000,286.26
2013-12-24,296.00,296.00,296.00,296.00,000,286.26
2013-12-23,292.20,296.00,290.60,296.00,2058000,286.26
2013-12-20,291.30,294.10,290.50,291.60,4164000,282.01
2013-12-19,290.30,291.70,289.70,290.90,3577400,281.33
2013-12-18,287.00,289.00,286.70,288.10,3478500,278.62
2013-12-17,284.00,287.95,283.30,286.40,2733900,276.98
2013-12-16,285.00,286.50,281.40,283.10,5061200,273.79
2013-12-13,276.30,279.10,275.90,278.50,3697800,269.34
2013-12-12,277.50,277.50,275.00,276.30,2522400,267.21
2013-12-11,279.30,279.80,277.20,277.80,3541500,268.66
2013-12-10,279.20,280.50,276.30,278.60,2732200,269.44
2013-12-09,278.80,281.30,277.90,279.60,2757500,270.40
2013-12-06,279.30,280.00,276.50,277.50,2319600,268.37
2013-12-05,282.60,282.60,279.00,279.00,2091600,269.82
2013-12-04,280.00,283.40,279.90,282.80,2961500,273.50
2013-12-03,280.00,281.30,279.00,279.00,2790000,269.82
2013-12-02,278.00,280.00,276.60,279.70,1566100,270.50
2013-11-29,277.60,280.00,277.40,278.00,2079400,268.86
2013-11-28,279.00,279.70,278.10,278.30,1151800,269.15
2013-11-27,279.30,279.80,278.20,279.70,1226200,270.50
2013-11-26,277.90,280.00,277.50,279.40,2022200,270.21
2013-11-25,275.70,278.00,275.10,277.90,1648300,268.76
2013-11-22,273.80,274.40,272.60,274.40,1345300,265.37
2013-11-21,273.10,273.30,270.30,272.60,1366900,263.63
2013-11-20,272.80,274.70,272.40,274.30,1323300,265.28
2013-11-19,273.00,273.90,271.20,273.30,1708700,264.31
2013-11-18,273.30,274.90,272.30,274.90,2021100,265.86
2013-11-15,272.00,274.80,272.00,274.00,3326300,264.99
2013-11-14,268.60,269.40,267.40,269.20,2158500,260.34
2013-11-13,267.80,267.80,265.60,265.70,1960500,256.96
2013-11-12,269.60,270.00,267.80,267.80,1800700,258.99
2013-11-11,270.50,271.50,269.70,270.20,1204500,261.31
2013-11-08,270.00,272.30,268.80,270.50,1335100,261.60
2013-11-07,272.70,273.10,269.40,270.70,1861900,261.80
2013-11-06,273.40,274.70,271.80,272.70,1720600,263.73
2013-11-05,277.00,278.00,272.40,272.60,2073700,263.63
2013-11-04,278.80,280.00,276.60,277.10,1605700,267.98
2013-11-01,279.70,280.00,276.80,278.50,631300,269.34
2013-10-31,281.20,282.00,279.00,280.00,1875600,270.79
2013-10-30,280.60,282.20,279.90,281.00,1181700,271.76
2013-10-29,279.20,280.70,278.90,280.60,1019200,271.37
2013-10-28,279.00,281.40,278.40,279.80,1272400,270.60
2013-10-25,277.90,279.20,276.90,279.20,1908400,270.02
2013-10-24,278.60,279.10,276.50,278.20,1337100,269.05
2013-10-23,275.20,279.50,274.10,278.50,2074400,269.34
2013-10-22,276.00,276.70,273.50,275.70,3116900,266.63
2013-10-21,276.60,277.20,275.40,276.60,2372700,267.50
2013-10-18,273.90,276.70,273.10,276.70,3953700,267.60
2013-10-17,271.70,273.10,270.20,272.50,2258100,263.54
2013-10-16,271.80,272.10,269.10,271.80,1702500,262.86
2013-10-15,272.00,274.00,271.30,272.90,1806400,263.92
