Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,13.50,13.50,13.45,13.45,3700,13.45
2014-02-25,13.25,13.50,13.25,13.25,6200,13.25
2014-02-24,13.25,13.50,13.25,13.50,5100,13.50
2014-02-21,13.70,13.70,13.25,13.25,6400,13.25
2014-02-20,12.85,13.60,12.85,13.60,29700,13.60
2014-02-19,12.60,12.60,12.30,12.60,7700,12.60
2014-02-18,13.50,13.50,12.50,12.55,5900,12.55
2014-02-17,13.30,13.70,13.25,13.35,8000,13.35
2014-02-14,12.50,13.80,12.50,12.75,17800,12.75
2014-02-13,12.60,12.85,12.35,12.75,14600,12.75
2014-02-12,13.40,13.65,12.10,12.75,65100,12.75
2014-02-11,13.60,13.65,13.20,13.65,10300,13.65
2014-02-10,13.70,13.70,13.45,13.70,2800,13.70
2014-02-07,13.85,13.90,13.00,13.90,19600,13.90
2014-02-06,13.90,14.85,13.85,13.90,12700,13.90
2014-02-05,14.75,15.40,14.30,14.50,43200,14.50
2014-02-04,14.55,14.65,13.20,14.50,33300,14.50
2014-02-03,14.60,15.30,14.25,14.45,36100,14.45
2014-01-31,14.15,14.40,12.75,14.20,42200,14.20
2014-01-30,14.20,14.30,13.70,14.05,25400,14.05
2014-01-29,15.60,15.70,13.60,14.35,72400,14.35
2014-01-28,17.30,18.60,14.80,15.10,244000,15.10
2014-01-27,13.80,20.00,13.45,16.30,387900,16.30
2014-01-24,10.20,13.60,10.20,12.50,205700,12.50
2014-01-23,10.00,10.00,9.65,9.65,5300,9.65
2014-01-22,10.00,10.15,10.00,10.00,10000,10.00
2014-01-21,10.10,10.10,9.85,9.85,21700,9.85
2014-01-20,10.20,10.20,9.75,10.00,4700,10.00
2014-01-17,9.85,10.00,9.80,10.00,10200,10.00
2014-01-16,9.60,9.90,9.60,9.85,14900,9.85
2014-01-15,9.60,10.20,9.40,9.85,12600,9.85
2014-01-14,10.40,10.40,9.20,9.70,11900,9.70
2014-01-13,10.70,10.95,10.10,10.60,18700,10.60
2014-01-10,11.10,11.10,10.30,10.70,10700,10.70
2014-01-09,11.20,11.20,11.00,11.15,18700,11.15
2014-01-08,11.00,11.50,10.60,11.00,58800,11.00
2014-01-07,9.40,11.00,9.40,10.30,43600,10.30
2014-01-06,9.25,9.25,9.25,9.25,000,9.25
2014-01-03,9.30,9.40,9.25,9.25,7500,9.25
2014-01-02,9.20,9.30,9.20,9.30,7000,9.30
2014-01-01,9.00,9.00,9.00,9.00,000,9.00
2013-12-31,9.00,9.00,9.00,9.00,000,9.00
2013-12-30,9.35,9.45,8.75,9.00,28300,9.00
2013-12-27,9.50,10.15,9.00,9.35,34500,9.35
2013-12-26,9.30,9.30,9.30,9.30,000,9.30
2013-12-25,9.30,9.30,9.30,9.30,000,9.30
2013-12-24,9.30,9.30,9.30,9.30,000,9.30
2013-12-23,8.45,9.30,8.45,9.30,26300,9.30
2013-12-20,8.00,8.30,7.85,8.30,6500,8.30
2013-12-19,8.15,8.15,8.15,8.15,1900,8.15
2013-12-18,8.00,8.00,8.00,8.00,2000,8.00
2013-12-17,7.80,8.15,7.25,8.15,20600,8.15
2013-12-16,8.10,8.10,8.00,8.00,2800,8.00
2013-12-13,8.55,8.55,8.25,8.25,6300,8.25
2013-12-12,8.55,8.60,8.55,8.55,2200,8.55
2013-12-11,8.55,8.55,8.55,8.55,3200,8.55
2013-12-10,8.55,8.70,8.55,8.70,1900,8.70
2013-12-09,8.90,8.90,8.55,8.85,1000,8.85
2013-12-06,8.50,8.70,8.40,8.70,7500,8.70
2013-12-05,8.50,8.60,8.35,8.50,4000,8.50
2013-12-04,8.60,8.60,8.60,8.60,1000,8.60
2013-12-03,8.80,8.80,8.60,8.60,2500,8.60
2013-12-02,9.00,9.15,8.90,8.90,7200,8.90
2013-11-29,9.00,9.10,8.85,8.85,19200,8.85
2013-11-28,9.00,9.00,8.90,8.90,10400,8.90
2013-11-27,9.00,9.00,8.85,9.00,9900,9.00
2013-11-26,8.55,9.00,8.55,9.00,10500,9.00
2013-11-25,8.90,8.90,8.50,8.85,20400,8.85
2013-11-22,9.10,9.10,9.00,9.00,11000,9.00
2013-11-21,9.20,9.40,9.00,9.40,15200,9.40
2013-11-20,9.25,9.40,9.20,9.20,12500,9.20
2013-11-19,9.50,9.50,9.00,9.20,11600,9.20
2013-11-18,8.80,9.50,8.80,9.25,25700,9.25
2013-11-15,9.05,9.10,8.70,8.90,13500,8.90
2013-11-14,9.40,9.40,8.50,9.15,10800,9.15
2013-11-13,9.50,9.50,9.40,9.40,3700,9.40
2013-11-12,9.70,9.70,8.65,9.45,28100,9.45
2013-11-11,10.10,10.10,9.65,9.75,24300,9.75
2013-11-08,10.90,11.00,9.75,10.00,47200,10.00
2013-11-07,11.10,11.80,10.30,10.90,80200,10.90
2013-11-06,9.20,10.95,9.20,10.80,96200,10.80
2013-11-05,8.45,9.25,8.40,9.10,158200,9.10
2013-11-04,7.50,8.70,7.40,7.90,87600,7.90
2013-11-01,7.50,7.50,7.40,7.50,4500,7.50
2013-10-31,7.45,7.50,7.45,7.50,4600,7.50
2013-10-30,7.50,7.50,7.50,7.50,10500,7.50
2013-10-29,7.90,7.90,7.50,7.50,32200,7.50
2013-10-28,6.90,7.20,6.90,7.20,21100,7.20
2013-10-25,6.80,6.80,6.80,6.80,2400,6.80
2013-10-24,6.90,6.90,6.90,6.90,1000,6.90
2013-10-23,6.60,6.90,6.60,6.90,6600,6.90
2013-10-22,6.60,6.60,6.60,6.60,1000,6.60
2013-10-21,6.55,6.55,6.55,6.55,000,6.55
2013-10-18,6.55,6.55,6.55,6.55,1200,6.55
2013-10-17,6.60,6.60,6.30,6.50,9100,6.50
2013-10-16,6.50,6.50,6.50,6.50,4300,6.50
2013-10-15,6.80,6.90,6.60,6.60,7100,6.60
2013-10-14,6.60,7.10,6.60,6.90,31100,6.90
2013-10-11,6.60,6.60,6.50,6.60,13600,6.60
2013-10-10,6.90,6.95,6.55,6.60,14700,6.60
2013-10-09,7.10,7.15,7.00,7.00,13100,7.00
2013-10-08,7.65,7.65,7.00,7.00,78000,7.00
2013-10-07,7.65,8.20,7.60,7.95,110600,7.95
2013-10-04,6.90,8.10,6.70,7.55,192900,7.55
2013-10-03,6.25,6.35,6.25,6.35,11600,6.35
2013-10-02,6.30,6.30,6.10,6.30,41300,6.30
2013-10-01,6.30,6.30,6.20,6.30,20400,6.30
2013-09-30,5.80,6.45,5.80,6.25,45500,6.25
2013-09-27,6.20,6.25,5.95,6.20,17800,6.20
2013-09-26,6.00,6.05,6.00,6.00,5100,6.00
2013-09-25,6.00,6.00,5.85,5.85,14800,5.85
2013-09-24,5.55,5.95,5.55,5.95,3700,5.95
2013-09-23,6.65,6.65,5.70,5.70,39600,5.70
2013-09-20,6.00,6.05,5.70,5.80,23100,5.80
2013-09-19,6.60,7.00,5.60,6.00,69100,6.00
2013-09-18,5.60,7.30,5.50,6.10,175800,6.10
2013-09-17,4.95,5.50,4.77,5.50,109600,5.50
2013-09-16,4.40,5.00,4.40,4.83,44100,4.83
2013-09-13,4.18,4.19,4.18,4.19,9000,4.19
2013-09-12,4.10,4.10,4.10,4.10,2200,4.10
2013-09-11,4.05,4.10,4.05,4.10,8700,4.10
2013-09-10,3.96,4.00,3.92,4.00,14500,4.00
2013-09-09,4.05,4.05,3.85,3.98,6300,3.98
2013-09-06,3.92,4.05,3.88,4.05,12000,4.05
2013-09-05,3.86,3.88,3.80,3.88,10000,3.88
2013-09-04,3.98,3.98,3.98,3.98,100,3.98
2013-09-03,4.00,4.00,3.86,3.86,11600,3.86
2013-09-02,3.88,4.05,3.88,4.05,11600,4.05
2013-08-30,3.84,3.84,3.83,3.83,4400,3.83
2013-08-29,3.72,3.79,3.72,3.79,44800,3.79
2013-08-28,3.72,3.79,3.72,3.79,7100,3.79
2013-08-27,3.65,3.79,3.65,3.79,31500,3.79
2013-08-26,3.72,3.72,3.50,3.66,32100,3.66
2013-08-23,3.73,3.80,3.73,3.80,7500,3.80
2013-08-22,3.80,3.80,3.80,3.80,1000,3.80
2013-08-21,3.79,3.79,3.76,3.76,3100,3.76
2013-08-20,3.73,3.73,3.73,3.73,8700,3.73
2013-08-19,3.64,3.67,3.64,3.66,3000,3.66
2013-08-16,3.70,3.70,3.70,3.70,000,3.70
2013-08-15,3.70,3.70,3.70,3.70,000,3.70
2013-08-14,3.81,3.81,3.70,3.70,7600,3.70
2013-08-13,3.82,3.82,3.76,3.76,6100,3.76
2013-08-12,3.96,3.96,3.82,3.82,9300,3.82
2013-08-09,4.00,4.00,3.96,3.96,000,3.96
2013-08-08,3.89,3.89,3.89,3.89,3400,3.89
2013-08-07,3.89,3.89,3.89,3.89,1200,3.89
2013-08-06,3.99,3.99,3.89,3.89,1000,3.89
2013-08-05,3.95,4.00,3.92,3.99,3800,3.99
2013-08-02,3.90,3.91,3.85,3.91,8100,3.91
2013-08-01,3.91,3.91,3.90,3.91,7900,3.91
2013-07-31,4.01,4.01,4.01,4.01,1000,4.01
2013-07-30,3.94,4.00,3.94,4.00,3700,4.00
2013-07-29,4.13,4.13,3.99,3.99,2600,3.99
2013-07-26,4.13,4.13,4.13,4.13,1000,4.13
2013-07-25,4.12,4.12,4.12,4.12,000,4.12
2013-07-24,4.12,4.12,4.12,4.12,000,4.12
2013-07-23,4.12,4.12,4.12,4.12,1000,4.12
2013-07-22,4.06,4.06,4.06,4.06,1600,4.06
2013-07-19,4.13,4.13,4.13,4.13,000,4.13
2013-07-18,4.13,4.13,4.13,4.13,1100,4.13
2013-07-17,4.19,4.19,4.19,4.19,000,4.19
2013-07-16,3.93,4.19,3.93,4.19,11000,4.19
2013-07-15,3.90,3.90,3.90,3.90,1200,3.90
2013-07-12,3.91,3.91,3.91,3.91,2000,3.91
2013-07-11,3.84,3.84,3.84,3.84,000,3.84
2013-07-10,3.84,3.84,3.84,3.84,000,3.84
2013-07-09,3.84,3.84,3.84,3.84,2000,3.84
2013-07-08,3.94,3.94,3.75,3.75,20100,3.75
2013-07-05,4.02,4.02,3.93,4.01,8600,4.01
2013-07-04,4.02,4.02,4.02,4.02,000,4.02
2013-07-03,4.10,4.10,4.02,4.02,3000,4.02
2013-07-02,4.07,4.07,4.07,4.07,2000,4.07
2013-07-01,4.01,4.01,4.01,4.01,3000,4.01
2013-06-28,4.01,4.09,4.01,4.09,7700,4.09
2013-06-27,3.94,3.94,3.93,3.93,1900,3.93
2013-06-26,3.99,4.06,3.94,4.06,3800,4.06
2013-06-25,3.99,4.09,3.99,4.09,600,4.09
2013-06-24,4.03,4.11,4.01,4.01,7400,4.01
2013-06-21,4.05,4.05,4.05,4.05,000,4.05
2013-06-20,3.90,4.30,3.90,4.05,14200,4.05
2013-06-19,4.05,4.05,4.05,4.05,1000,4.05
2013-06-18,4.26,4.26,4.26,4.26,000,4.26
2013-06-17,4.26,4.26,4.26,4.26,1000,4.26
2013-06-14,4.13,4.13,4.13,4.13,2000,4.13
2013-06-13,4.29,4.29,4.29,4.29,000,4.29
2013-06-12,4.20,4.20,4.20,4.20,2200,4.20
2013-06-11,4.18,4.20,4.17,4.20,2400,4.20
2013-06-10,4.10,4.10,4.10,4.10,000,4.10
2013-06-07,4.10,4.10,4.10,4.10,1000,4.10
2013-06-06,4.24,4.24,4.24,4.24,000,4.24
2013-06-05,4.10,4.24,4.10,4.24,8000,4.24
2013-06-04,4.20,4.20,4.20,4.20,000,4.20
2013-06-03,4.08,4.20,4.08,4.20,500,4.20
2013-05-31,4.09,4.09,4.09,4.09,1200,4.09
2013-05-30,4.16,4.16,4.16,4.16,000,4.16
2013-05-29,4.16,4.16,4.16,4.16,000,4.16
2013-05-28,4.16,4.16,4.16,4.16,2000,4.16
2013-05-27,4.15,4.15,4.06,4.06,200,4.06
2013-05-24,4.16,4.16,4.03,4.03,4200,4.03
2013-05-23,4.15,4.15,4.08,4.08,9500,4.08
2013-05-22,4.17,4.20,4.17,4.20,5000,4.20
2013-05-21,4.16,4.25,4.16,4.25,9100,4.25
2013-05-20,4.15,4.15,4.14,4.14,10900,4.14
2013-05-17,4.37,4.37,4.21,4.21,13000,4.21
2013-05-16,4.30,4.37,4.30,4.37,9900,4.37
2013-05-15,4.10,4.27,4.06,4.25,41500,4.25
2013-05-14,4.10,4.10,4.10,4.10,6900,4.10
2013-05-13,4.10,4.10,4.10,4.10,2400,4.10
2013-05-10,4.07,4.07,4.02,4.02,4900,4.02
2013-05-09,4.15,4.15,4.15,4.15,000,4.15
2013-05-08,4.15,4.15,4.15,4.15,2400,4.15
2013-05-07,4.19,4.21,4.18,4.19,10800,4.19
2013-05-06,4.12,4.12,4.11,4.11,6300,4.11
2013-05-03,4.12,4.15,4.10,4.15,7000,4.15
2013-05-02,4.05,4.12,4.05,4.12,7000,4.12
2013-05-01,4.00,4.00,4.00,4.00,000,4.00
2013-04-30,4.00,4.00,4.00,4.00,000,4.00
2013-04-29,4.30,4.30,3.90,4.00,6100,4.00
2013-04-26,4.05,4.05,3.88,3.94,21300,3.94
2013-04-25,4.32,4.32,3.75,4.00,11400,4.00
2013-04-24,3.99,5.00,3.95,4.40,37500,4.40
2013-04-23,3.99,4.13,3.99,4.13,1000,4.13
2013-04-22,4.36,4.36,4.36,4.36,000,4.36
2013-04-19,4.36,4.36,4.36,4.36,000,4.36
2013-04-18,4.05,4.05,4.05,4.05,800,4.05
2013-04-17,4.05,4.13,4.05,4.05,8200,4.05
2013-04-16,4.18,4.18,4.18,4.18,000,4.18
2013-04-15,4.18,4.18,4.18,4.18,000,4.18
2013-04-12,4.13,4.18,4.07,4.18,4000,4.18
2013-04-11,4.06,4.13,4.06,4.13,2500,4.13
2013-04-10,4.13,4.17,4.08,4.17,13300,4.17
2013-04-09,4.06,4.13,4.06,4.13,2100,4.13
2013-04-08,4.06,4.13,4.06,4.13,1600,4.13
2013-04-05,4.05,4.21,4.05,4.21,300,4.21
2013-04-04,4.20,4.20,4.12,4.17,7000,4.17
2013-04-03,4.05,4.20,4.05,4.20,6500,4.20
2013-04-02,3.98,4.12,3.98,4.12,8300,4.12
2013-04-01,4.22,4.22,4.22,4.22,000,4.22
2013-03-29,4.22,4.22,4.22,4.22,000,4.22
2013-03-28,4.22,4.22,4.22,4.22,000,4.22
2013-03-27,4.20,4.27,4.13,4.22,9000,4.22
2013-03-26,4.35,4.35,4.20,4.28,13000,4.28
2013-03-25,4.32,4.32,4.17,4.26,11400,4.26
2013-03-22,4.05,4.30,4.05,4.30,16300,4.30
2013-03-21,4.38,4.38,4.07,4.22,12300,4.22
2013-03-20,4.12,4.25,4.10,4.19,16800,4.19
2013-03-19,4.35,4.42,4.13,4.31,23900,4.31
2013-03-18,4.41,4.60,4.40,4.40,21900,4.40
2013-03-15,4.15,4.15,4.10,4.15,3500,4.15
2013-03-14,4.07,4.23,4.07,4.07,2100,4.07
2013-03-13,4.25,4.25,4.25,4.25,000,4.25
2013-03-12,4.11,4.30,4.11,4.25,4200,4.25
2013-03-11,4.29,4.29,4.29,4.29,000,4.29
2013-03-08,4.29,4.29,4.29,4.29,1200,4.29
2013-03-07,4.29,4.29,4.29,4.29,000,4.29
2013-03-06,4.29,4.29,4.29,4.29,300,4.29
2013-03-05,4.20,4.36,3.91,4.36,13000,4.36
2013-03-04,4.18,4.38,4.18,4.38,11400,4.38
2013-03-01,4.20,4.20,4.20,4.20,700,4.20
2013-02-28,4.41,4.41,4.41,4.41,000,4.41
2013-02-27,4.20,4.41,4.20,4.41,3600,4.41
2013-02-26,4.20,4.52,4.20,4.52,2900,4.52
2013-02-25,4.54,4.54,4.54,4.54,000,4.54
2013-02-22,4.54,4.54,4.54,4.54,000,4.54
2013-02-21,4.54,4.54,4.54,4.54,400,4.54
2013-02-20,4.50,4.55,4.50,4.52,10900,4.52
2013-02-19,4.50,4.65,4.50,4.50,12200,4.50
2013-02-18,4.66,4.66,4.40,4.65,10700,4.65
2013-02-15,4.64,4.66,4.46,4.46,11300,4.46
2013-02-14,4.64,4.64,4.55,4.55,4000,4.55
2013-02-13,4.62,4.65,4.55,4.55,8800,4.55
2013-02-12,4.57,4.60,4.57,4.60,3100,4.60
2013-02-11,4.65,4.65,4.55,4.55,100,4.55
2013-02-08,4.67,4.67,4.40,4.60,12000,4.60
2013-02-07,4.50,4.68,4.31,4.67,15500,4.67
2013-02-06,4.31,4.70,4.31,4.49,36300,4.49
2013-02-05,4.41,4.65,4.35,4.64,17600,4.64
2013-02-04,4.68,4.68,4.55,4.68,12500,4.68
2013-02-01,4.68,4.68,4.60,4.65,9800,4.65
2013-01-31,4.45,4.49,4.45,4.49,3900,4.49
2013-01-30,4.50,4.55,4.40,4.49,14000,4.49
2013-01-29,4.44,4.50,4.43,4.50,10300,4.50
2013-01-28,4.20,4.49,4.20,4.49,1700,4.49
2013-01-25,4.31,4.31,4.30,4.30,8900,4.30
2013-01-24,4.68,4.68,4.30,4.48,9600,4.48
2013-01-23,4.35,4.70,4.35,4.68,62400,4.68
2013-01-22,4.04,4.47,4.04,4.30,25500,4.30
2013-01-21,4.04,4.04,3.88,4.02,11000,4.02
2013-01-18,4.03,4.03,3.85,3.85,3000,3.85
2013-01-17,4.03,4.03,4.03,4.03,2000,4.03
2013-01-16,3.83,4.04,3.80,4.04,16900,4.04
2013-01-15,4.09,4.09,3.83,4.08,12100,4.08
2013-01-14,4.00,4.10,3.81,4.10,3700,4.10
2013-01-11,4.08,4.08,4.08,4.08,100,4.08
2013-01-10,4.05,4.05,3.75,3.80,46100,3.80
2013-01-09,4.05,4.05,4.05,4.05,000,4.05
2013-01-08,4.18,4.20,4.05,4.05,11500,4.05
2013-01-07,4.20,4.20,4.20,4.20,9000,4.20
2013-01-04,4.00,4.00,3.88,3.88,1300,3.88
2013-01-03,3.89,3.89,3.88,3.88,1200,3.88
2013-01-02,4.00,4.11,3.75,4.11,6000,4.11
2013-01-01,3.95,3.95,3.95,3.95,000,3.95
2012-12-31,3.95,3.95,3.95,3.95,000,3.95
2012-12-28,4.00,4.00,3.55,3.95,21000,3.95
2012-12-27,3.60,4.29,3.60,4.20,2300,4.20
2012-12-26,3.78,3.78,3.78,3.78,000,3.78
2012-12-25,3.78,3.78,3.78,3.78,000,3.78
2012-12-24,3.78,3.78,3.78,3.78,000,3.78
2012-12-21,3.80,3.90,3.78,3.78,20800,3.78
2012-12-20,4.10,4.10,4.10,4.10,000,4.10
2012-12-19,4.49,4.49,3.76,4.10,53600,4.10
2012-12-18,5.30,5.90,4.20,4.49,60500,4.49
2012-12-17,3.50,4.15,3.50,4.15,35000,4.15
2012-12-14,3.55,3.80,3.55,3.80,5500,3.80
2012-12-13,3.45,3.55,3.45,3.55,4000,3.55
2012-12-12,3.34,3.50,3.34,3.50,12000,3.50
2012-12-11,3.40,3.40,3.40,3.40,2300,3.40
2012-12-10,3.40,3.40,3.40,3.40,2000,3.40
2012-12-07,3.45,3.45,3.45,3.45,8700,3.45
2012-12-06,3.40,3.50,3.40,3.50,8400,3.50
2012-12-05,3.46,3.46,3.46,3.46,2400,3.46
2012-12-04,3.11,3.47,3.11,3.46,3300,3.46
2012-12-03,3.45,3.45,3.45,3.45,000,3.45
2012-11-30,3.45,3.45,3.45,3.45,500,3.45
2012-11-29,3.44,3.47,3.39,3.47,5200,3.47
2012-11-28,3.19,3.19,3.19,3.19,000,3.19
2012-11-27,3.19,3.19,3.19,3.19,300,3.19
2012-11-26,2.75,3.19,2.75,3.19,2200,3.19
2012-11-23,3.41,3.41,3.41,3.41,000,3.41
2012-11-22,3.44,3.44,3.16,3.41,16200,3.41
2012-11-21,3.47,3.47,3.47,3.47,000,3.47
2012-11-20,3.03,3.47,3.03,3.47,3900,3.47
2012-11-19,3.02,3.50,3.02,3.50,5000,3.50
2012-11-16,3.35,3.35,3.35,3.35,1000,3.35
2012-11-15,3.50,3.50,3.25,3.44,26700,3.44
2012-11-14,3.02,3.42,3.02,3.42,11700,3.42
2012-11-13,2.99,2.99,2.99,2.99,000,2.99
2012-11-12,2.99,2.99,2.99,2.99,000,2.99
2012-11-09,2.50,3.04,2.50,2.99,2100,2.99
2012-11-08,2.80,2.80,2.80,2.80,2000,2.80
2012-11-07,3.10,3.10,3.10,3.10,000,3.10
2012-11-06,3.10,3.10,3.10,3.10,3000,3.10
2012-11-05,2.99,3.16,2.55,3.16,13100,3.16
2012-11-02,3.07,3.07,3.07,3.07,000,3.07
2012-11-01,3.07,3.07,3.07,3.07,000,3.07
2012-10-31,3.07,3.07,3.07,3.07,1800,3.07
2012-10-30,2.89,3.20,2.54,2.56,8600,2.56
2012-10-29,2.89,2.89,2.89,2.89,2100,2.89
2012-10-26,2.63,2.63,2.63,2.63,000,2.63
2012-10-25,2.63,2.63,2.63,2.63,1900,2.63
2012-10-24,2.42,2.42,2.42,2.42,000,2.42
2012-10-23,3.15,3.15,2.42,2.42,600,2.42
2012-10-22,2.75,2.75,2.75,2.75,500,2.75
2012-10-19,2.64,2.64,2.64,2.64,1000,2.64
2012-10-18,2.70,2.70,2.60,2.60,7000,2.60
2012-10-17,2.87,2.87,2.87,2.87,2000,2.87
2012-10-16,2.70,2.89,2.70,2.89,14000,2.89
2012-10-15,3.04,3.04,2.70,2.70,8400,2.70
2012-10-12,3.00,3.00,3.00,3.00,500,3.00
2012-10-11,2.85,2.85,2.85,2.85,4700,2.85
2012-10-10,3.00,3.00,2.80,2.80,7400,2.80
2012-10-09,3.09,3.09,2.70,3.05,4400,3.05
2012-10-08,2.70,2.70,2.70,2.70,4200,2.70
2012-10-05,3.14,3.14,2.71,2.71,14300,2.71
2012-10-04,3.00,3.37,2.71,3.15,5000,3.15
2012-10-03,2.80,2.80,2.80,2.80,200,2.80
2012-10-02,2.70,2.70,2.70,2.70,1600,2.70
2012-10-01,3.00,3.00,2.80,3.00,3500,3.00
2012-09-28,2.90,2.90,2.90,2.90,2100,2.90
2012-09-27,3.24,3.24,3.24,3.24,000,3.24
2012-09-26,3.24,3.24,3.24,3.24,000,3.24
2012-09-25,3.00,3.00,3.00,3.00,14800,3.00
2012-09-24,3.00,3.40,3.00,3.25,4700,3.25
2012-09-21,3.00,3.30,3.00,3.00,10500,3.00
2012-09-20,2.90,2.90,2.90,2.90,000,2.90
2012-09-19,3.33,3.33,2.90,2.90,10500,2.90
2012-09-18,3.10,3.10,3.10,3.10,600,3.10
2012-09-17,3.10,3.10,3.00,3.10,16700,3.10
2012-09-14,3.41,3.50,2.95,2.95,83800,2.95
2012-09-13,3.40,3.41,3.40,3.41,2500,3.41
2012-09-12,3.80,3.80,3.80,3.80,000,3.80
2012-09-11,3.80,3.80,3.80,3.80,000,3.80
2012-09-10,4.10,4.10,3.50,3.80,4400,3.80
2012-09-07,3.41,4.15,3.41,4.15,7900,4.15
2012-09-06,3.49,3.90,3.49,3.90,7600,3.90
2012-09-05,3.05,3.05,3.05,3.05,000,3.05
2012-09-04,3.04,3.10,3.00,3.05,6400,3.05
2012-09-03,3.21,3.21,2.80,3.00,49800,3.00
2012-08-31,3.60,3.60,3.60,3.60,000,3.60
2012-08-30,3.30,3.68,3.20,3.60,25700,3.60
2012-08-29,3.38,3.89,3.30,3.30,12200,3.30
2012-08-28,3.60,4.00,3.17,4.00,1600,4.00
2012-08-27,3.70,3.70,3.60,3.60,7400,3.60
2012-08-24,3.85,3.85,3.85,3.85,1000,3.85
2012-08-23,3.87,3.87,3.87,3.87,000,3.87
2012-08-22,3.87,3.87,3.87,3.87,3000,3.87
2012-08-21,4.00,4.00,4.00,4.00,000,4.00
2012-08-20,4.00,4.00,4.00,4.00,900,4.00
2012-08-17,4.10,4.10,4.10,4.10,000,4.10
2012-08-16,4.20,4.20,4.10,4.10,4500,4.10
2012-08-15,4.10,4.10,4.10,4.10,000,4.10
2012-08-14,4.10,4.10,4.10,4.10,000,4.10
2012-08-13,4.10,4.10,4.10,4.10,000,4.10
2012-08-10,4.10,4.10,4.10,4.10,200,4.10
2012-08-09,4.14,4.18,4.14,4.14,2300,4.14
2012-08-08,4.10,4.14,3.72,4.14,9700,4.14
2012-08-07,4.10,4.15,4.10,4.10,6000,4.10
2012-08-06,3.51,4.14,3.51,4.13,7000,4.13
