Date,Open,High,Low,Close,Volume,Adj Close
2014-02-26,146.00,147.00,145.00,145.00,600,142.84
2014-02-25,146.50,148.00,146.50,147.75,500,145.55
2014-02-24,144.00,149.00,144.00,147.00,900,144.81
2014-02-21,146.75,146.75,145.00,145.00,700,142.84
2014-02-20,145.50,146.25,145.25,145.25,300,143.09
2014-02-19,147.50,147.50,144.25,147.00,3200,144.81
2014-02-18,148.25,149.00,147.50,148.00,1000,145.79
2014-02-17,148.50,148.50,148.50,148.50,100,146.29
2014-02-14,149.75,150.00,149.50,150.00,300,147.76
2014-02-13,147.75,149.75,146.75,148.25,900,146.04
2014-02-12,152.00,152.00,147.50,147.75,1200,145.55
2014-02-11,150.00,151.50,147.50,147.50,2000,145.30
2014-02-10,153.00,154.00,147.00,150.50,2700,148.26
2014-02-07,150.00,155.00,149.75,153.50,4300,151.21
2014-02-06,147.00,150.00,147.00,147.00,2400,144.81
2014-02-05,146.75,149.00,146.75,146.75,700,144.56
2014-02-04,149.25,150.00,147.25,148.00,8800,145.79
2014-02-03,153.00,154.00,152.00,152.00,10400,149.74
2014-01-31,146.75,154.00,146.75,152.00,3500,149.74
2014-01-30,155.00,155.00,151.00,151.00,2000,148.75
2014-01-29,155.00,155.00,147.25,152.50,3700,150.23
2014-01-28,145.75,155.00,145.75,152.50,2700,150.23
2014-01-27,155.00,155.00,145.00,145.75,2400,143.58
2014-01-24,154.00,155.00,151.50,152.00,3300,149.74
2014-01-23,150.00,154.00,150.00,154.00,5000,151.71
2014-01-22,154.00,159.00,152.50,153.00,3600,150.72
2014-01-21,146.00,156.00,146.00,151.00,3400,148.75
2014-01-20,147.50,147.50,145.00,146.00,2300,143.82
2014-01-17,145.00,150.00,145.00,147.50,4400,145.30
2014-01-16,143.50,148.00,143.50,145.50,1900,143.33
2014-01-15,140.00,143.50,140.00,143.50,13900,141.36
2014-01-14,141.00,141.00,139.00,139.75,16000,137.67
2014-01-13,138.50,141.00,138.50,140.00,9300,137.91
2014-01-10,139.50,140.00,138.00,138.00,5100,135.94
2014-01-09,138.50,142.00,138.50,140.00,4400,137.91
2014-01-08,139.50,139.50,137.00,138.50,2800,136.44
2014-01-07,136.50,138.00,136.50,137.00,1700,134.96
2014-01-06,136.50,136.50,136.50,136.50,000,134.47
2014-01-03,136.00,137.00,136.00,136.50,2300,134.47
2014-01-02,135.50,136.50,133.50,136.50,800,134.47
